CHILDCODE	HHDCIDR4	MADDECR4	WHOPRVR4
11001	1	0	3
11001	2	0	3
11001	3	1	1
11001	4	0	3
11001	5	0	3
11001	6	0	3
11002	1	1	6
11002	2	1	6
11002	3	1	6
11002	4	1	6
11002	5	1	6
11002	6	1	1
11003	1	1	3
11003	2	1	3
11003	3	1	3
11003	4	1	3
11003	5	1	3
11003	6	1	3
11004	1	1	3
11004	2	0	3
11004	3	1	1
11004	4	1	7
11004	5	1	1
11004	6	1	7
11005	1	1	3
11005	2	1	7
11005	3	1	3
11005	4	1	3
11005	5	1	3
11005	6	1	3
11006	1	0	2
11006	2	0	2
11006	3	0	2
11006	4	0	2
11006	5	0	2
11006	6	0	2
11007	1	1	3
11007	2	1	1
11007	3	1	1
11007	4	1	3
11007	5	1	3
11007	6	1	3
11008	1	0	3
11008	2	0	3
11008	3	1	3
11008	4	0	3
11008	5	0	3
11008	6	0	3
11009	1	0	3
11009	2	0	3
11009	3	0	3
11009	4	0	3
11009	5	0	3
11009	6	0	3
11010	1	0	3
11010	2	0	3
11010	3	1	1
11010	4	1	3
11010	5	1	1
11010	6	1	1
11011	1	0	3
11011	2	1	7
11011	3	1	7
11011	4	1	1
11011	5	1	1
11011	6	1	7
11012	1	1	3
11012	2	0	2
11012	3	0	3
11012	4	0	3
11012	5	1	3
11012	6	0	3
11013	1	0	3
11013	2	0	4
11013	3	1	7
11013	4	0	7
11013	5	1	7
11013	6	1	7
11014	1	1	3
11014	2	1	3
11014	3	1	3
11014	4	1	3
11014	5	1	3
11014	6	1	3
11015	1	1	2
11015	2	1	1
11015	3	1	1
11015	4	1	2
11015	5	1	1
11015	6	1	1
11016	1	1	3
11016	2	0	3
11016	3	0	3
11016	4	0	3
11016	5	0	3
11016	6	0	3
11018	1	1	3
11018	2	1	8
11018	3	1	7
11018	4	1	7
11018	5	1	1
11018	6	1	1
11019	1	1	7
11019	2	1	3
11019	3	1	7
11019	4	1	7
11019	5	1	7
11019	6	1	7
11021	1	1	1
11021	2	1	1
11021	3	1	1
11021	4	1	1
11021	5	1	1
11021	6	1	1
11022	1	1	4
11022	2	1	4
11022	3	1	7
11022	4	0	88
11022	5	1	7
11022	6	1	7
11023	1	0	3
11023	2	1	3
11023	3	0	3
11023	4	0	3
11023	5	1	3
11023	6	1	3
11024	1	0	4
11024	2	1	8
11024	3	1	6
11024	4	1	6
11024	5	1	6
11024	6	1	6
11025	1	1	7
11025	2	1	7
11025	3	1	7
11025	4	1	7
11025	5	1	1
11025	6	1	1
11026	1	1	7
11026	2	1	7
11026	3	1	3
11026	4	1	3
11026	5	1	1
11026	6	0	3
11027	1	0	3
11027	2	1	1
11027	3	1	1
11027	4	1	3
11027	5	1	3
11027	6	0	3
11029	1	1	7
11029	2	1	3
11029	3	1	7
11029	4	1	88
11029	5	1	1
11029	6	1	7
11030	1	1	3
11030	2	0	3
11030	3	1	3
11030	4	0	3
11030	5	1	3
11030	6	1	3
11031	1	1	7
11031	2	1	7
11031	3	1	7
11031	4	1	7
11031	5	1	1
11031	6	1	1
11032	1	1	3
11032	2	0	3
11032	3	1	3
11032	4	1	7
11032	5	1	7
11032	6	1	7
11034	1	1	3
11034	2	0	3
11034	3	1	7
11034	4	0	88
11034	5	1	7
11034	6	1	7
11035	1	1	7
11035	2	1	7
11035	3	1	7
11035	4	1	1
11035	5	1	1
11035	6	1	7
11036	1	0	3
11036	2	1	3
11036	3	1	3
11036	4	0	3
11036	5	1	1
11036	6	0	3
11037	1	0	3
11037	2	1	3
11037	3	1	3
11037	4	1	3
11037	5	1	1
11037	6	1	3
11038	1	1	2
11038	2	1	2
11038	3	1	2
11038	4	1	2
11038	5	1	2
11038	6	1	2
11039	1	1	7
11039	2	1	7
11039	3	1	1
11039	4	1	1
11039	5	1	1
11039	6	1	7
11040	1	1	3
11040	2	0	3
11040	3	1	7
11040	4	1	7
11040	5	1	7
11040	6	1	7
11041	1	1	7
11041	2	1	7
11041	3	1	7
11041	4	1	7
11041	5	1	7
11041	6	1	7
11042	1	1	7
11042	2	1	3
11042	3	1	7
11042	4	1	3
11042	5	1	7
11042	6	1	7
11043	1	0	3
11043	2	1	3
11043	3	1	3
11043	4	0	3
11043	5	1	1
11043	6	0	3
11044	1	0	2
11044	2	1	2
11044	3	0	2
11044	4	0	2
11044	5	1	2
11044	6	0	2
11045	1	0	8
11045	2	1	8
11045	3	1	8
11045	4	1	1
11045	5	1	8
11045	6	1	1
11046	1	0	3
11046	2	1	7
11046	3	1	7
11046	4	1	7
11046	5	1	7
11046	6	1	7
11047	1	1	3
11047	2	1	3
11047	3	1	3
11047	4	1	3
11047	5	1	3
11047	6	1	3
11048	1	1	2
11048	2	1	2
11048	3	1	2
11048	4	1	2
11048	5	1	2
11048	6	1	1
11049	1	0	3
11049	2	0	3
11049	3	1	1
11049	4	1	1
11049	5	1	1
11049	6	1	3
11050	1	0	4
11050	2	1	4
11050	3	1	4
11050	4	0	4
11050	5	1	4
11050	6	1	4
21001	1	1	3
21001	2	1	3
21001	3	1	3
21001	4	1	3
21001	5	1	1
21001	6	1	3
21002	1	1	3
21002	2	1	3
21002	3	1	3
21002	4	1	2
21002	5	1	1
21002	6	1	3
21003	1	1	7
21003	2	1	7
21003	3	1	1
21003	4	1	1
21003	5	1	1
21003	6	1	1
21004	1	0	3
21004	2	1	7
21004	3	1	1
21004	4	0	7
21004	5	1	3
21004	6	1	3
21005	1	0	3
21005	2	0	3
21005	3	0	3
21005	4	0	3
21005	5	0	3
21005	6	0	3
21006	1	0	3
21006	2	0	3
21006	3	1	7
21006	4	0	3
21006	5	1	7
21006	6	1	7
21007	1	0	3
21007	2	1	3
21007	3	1	1
21007	4	1	1
21007	5	1	3
21007	6	1	3
21008	1	0	3
21008	2	0	3
21008	3	0	3
21008	4	0	3
21008	5	0	3
21008	6	0	3
21009	1	0	4
21009	2	1	8
21009	3	1	8
21009	4	1	1
21009	5	1	1
21009	6	1	8
21010	1	1	3
21010	2	1	1
21010	3	1	1
21010	4	1	3
21010	5	1	1
21010	6	1	1
21011	1	0	3
21011	2	1	1
21011	3	1	1
21011	4	0	3
21011	5	0	3
21011	6	1	3
21012	1	0	3
21012	2	1	3
21012	3	0	3
21012	4	0	7
21012	5	0	3
21012	6	0	3
21013	1	1	3
21013	2	1	1
21013	3	0	3
21013	4	1	3
21013	5	1	1
21013	6	0	3
21014	1	1	8
21014	2	1	8
21014	3	1	1
21014	4	1	1
21014	5	1	1
21014	6	1	1
21015	1	1	3
21015	2	0	3
21015	3	1	1
21015	4	1	3
21015	5	1	1
21015	6	1	3
21016	1	1	3
21016	2	1	7
21016	3	1	1
21016	4	1	1
21016	5	1	1
21016	6	0	88
21017	1	1	3
21017	2	0	3
21017	3	1	1
21017	4	1	7
21017	5	1	1
21017	6	1	7
21018	1	0	3
21018	2	1	3
21018	3	1	1
21018	4	0	3
21018	5	1	3
21018	6	1	1
21019	1	0	7
21019	2	1	1
21019	3	1	1
21019	4	0	1
21019	5	1	3
21019	6	0	3
21020	1	0	3
21020	2	1	1
21020	3	1	1
21020	4	0	3
21020	5	1	3
21020	6	0	3
21021	1	0	3
21021	2	1	7
21021	3	1	1
21021	4	1	7
21021	5	1	7
21021	6	1	1
21022	1	0	3
21022	2	1	1
21022	3	1	1
21022	4	0	3
21022	5	0	3
21022	6	0	7
21023	1	0	3
21023	2	1	7
21023	3	1	7
21023	4	1	1
21023	5	1	1
21023	6	0	88
21024	1	0	3
21024	2	0	3
21024	3	0	3
21024	4	0	3
21024	5	0	3
21024	6	0	3
21025	1	1	3
21025	2	0	3
21025	3	1	1
21025	4	1	7
21025	5	1	3
21025	6	1	3
21026	1	0	3
21026	2	1	7
21026	3	1	7
21026	4	1	7
21026	5	1	1
21026	6	1	7
21027	1	0	3
21027	2	0	3
21027	3	1	1
21027	4	0	3
21027	5	0	3
21027	6	0	3
21028	1	1	2
21028	2	1	3
21028	3	1	1
21028	4	0	3
21028	5	1	7
21028	6	0	3
21029	1	1	3
21029	2	0	3
21029	3	1	3
21029	4	0	3
21029	5	1	3
21029	6	1	3
21030	1	1	3
21030	2	1	7
21030	3	1	1
21030	4	1	1
21030	5	1	1
21030	6	1	1
21031	1	0	3
21031	2	1	3
21031	3	0	3
21031	4	0	3
21031	5	1	1
21031	6	0	3
21032	1	1	7
21032	2	0	3
21032	3	1	7
21032	4	1	3
21032	5	1	1
21032	6	1	7
21033	1	0	6
21033	2	1	2
21033	3	0	2
21033	4	0	6
21033	5	1	1
21033	6	1	1
21034	1	0	2
21034	2	1	6
21034	3	0	3
21034	4	1	6
21034	5	1	6
21034	6	1	6
21035	1	1	4
21035	2	1	4
21035	3	1	1
21035	4	1	4
21035	5	1	6
21035	6	1	6
21036	1	1	3
21036	2	1	7
21036	3	1	1
21036	4	1	7
21036	5	1	1
21036	6	1	7
21037	1	1	7
21037	2	1	7
21037	3	1	1
21037	4	1	7
21037	5	1	1
21037	6	1	1
21038	1	1	8
21038	2	1	7
21038	3	1	1
21038	4	1	1
21038	5	1	1
21038	6	1	1
21039	1	0	3
21039	2	1	1
21039	3	1	1
21039	4	1	3
21039	5	1	1
21039	6	0	7
21040	1	0	3
21040	2	1	3
21040	3	1	3
21040	4	1	3
21040	5	1	3
21040	6	0	3
21042	1	0	2
21042	2	0	2
21042	3	0	2
21042	4	0	2
21042	5	0	2
21042	6	0	2
21043	1	1	3
21043	2	1	3
21043	3	1	1
21043	4	1	1
21043	5	1	1
21043	6	1	1
21044	1	1	7
21044	2	1	3
21044	3	1	1
21044	4	1	7
21044	5	1	7
21044	6	1	7
21045	1	1	6
21045	2	1	6
21045	3	1	6
21045	4	1	6
21045	5	1	6
21045	6	1	6
21046	1	0	3
21046	2	1	1
21046	3	1	1
21046	4	0	3
21046	5	0	3
21046	6	0	3
21047	1	0	3
21047	2	1	7
21047	3	1	1
21047	4	0	3
21047	5	1	1
21047	6	1	1
21048	1	1	2
21048	2	1	1
21048	3	1	1
21048	4	1	1
21048	5	1	1
21048	6	1	2
21049	1	1	3
21049	2	0	3
21049	3	0	3
21049	4	1	3
21049	5	1	3
21049	6	0	3
21050	1	0	3
21050	2	0	7
21050	3	1	1
21050	4	1	1
21050	5	1	1
21050	6	0	88
31002	1	1	3
31002	2	1	3
31002	3	1	1
31002	4	1	3
31002	5	1	3
31002	6	1	1
31004	1	1	3
31004	2	0	3
31004	3	1	1
31004	4	1	7
31004	5	1	1
31004	6	1	7
31005	1	1	7
31005	2	1	7
31005	3	1	7
31005	4	0	3
31005	5	1	7
31005	6	0	3
31006	1	1	7
31006	2	1	7
31006	3	1	7
31006	4	1	7
31006	5	1	7
31006	6	1	7
31007	1	1	3
