CHILDCODE	SCHCSTIDR4	FEESR4
11001	1	3000
11001	2	500
11001	3	0
11001	4	0
11001	5	8000
11001	6	0
11001	7	0
11001	8	500
11001	9	0
11001	10	0
11001	11	1000
11002	1	0
11002	2	0
11002	3	0
11002	4	0
11002	5	0
11002	6	0
11002	7	0
11002	8	0
11002	9	0
11002	10	0
11002	11	500
11003	1	1000
11003	2	1500
11003	3	0
11003	4	0
11003	5	20000
11003	6	0
11003	7	0
11003	8	2000
11003	9	0
11003	10	0
11003	11	3000
11004	1	0
11004	2	0
11004	3	0
11004	4	0
11004	5	0
11004	6	0
11004	7	0
11004	8	0
11004	9	0
11004	10	0
11004	11	0
11005	1	11000
11005	2	500
11005	3	0
11005	4	0
11005	5	15000
11005	6	0
11005	7	0
11005	8	500
11005	9	0
11005	10	500
11005	11	2000
11006	1	0
11006	2	0
11006	3	0
11006	4	0
11006	5	0
11006	6	0
11006	7	0
11006	8	0
11006	9	0
11006	10	0
11006	11	0
11007	1	0
11007	2	0
11007	3	0
11007	4	0
11007	5	10000
11007	6	0
11007	7	0
11007	8	0
11007	9	0
11007	10	0
11007	11	3000
11008	1	150
11008	2	500
11008	3	0
11008	4	0
11008	5	20000
11008	6	0
11008	7	0
11008	8	0
11008	9	0
11008	10	100
11008	11	1500
11009	1	0
11009	2	0
11009	3	0
11009	4	0
11009	5	0
11009	6	0
11009	7	0
11009	8	0
11009	9	0
11009	10	0
11009	11	0
11010	1	0
11010	2	1200
11010	3	0
11010	4	0
11010	5	9000
11010	6	0
11010	7	0
11010	8	5500
11010	9	0
11010	10	0
11010	11	1500
11011	1	12000
11011	2	2620
11011	3	0
11011	4	0
11011	5	0
11011	6	0
11011	7	0
11011	8	0
11011	9	0
11011	10	600
11011	11	2000
11012	1	30500
11012	2	450
11012	3	0
11012	4	0
11012	5	20000
11012	6	0
11012	7	0
11012	8	6500
11012	9	0
11012	10	50
11012	11	1000
11013	1	5000
11013	2	1200
11013	3	0
11013	4	0
11013	5	0
11013	6	2500
11013	7	0
11013	8	0
11013	9	0
11013	10	0
11013	11	2500
11014	1	0
11014	2	0
11014	3	0
11014	4	0
11014	5	0
11014	6	0
11014	7	0
11014	8	0
11014	9	0
11014	10	0
11014	11	0
11015	1	0
11015	2	0
11015	3	0
11015	4	0
11015	5	375
11015	6	0
11015	7	0
11015	8	0
11015	9	0
11015	10	0
11015	11	1000
11016	1	0
11016	2	1300
11016	3	0
11016	4	0
11016	5	12500
11016	6	0
11016	7	0
11016	8	950
11016	9	0
11016	10	300
11016	11	1000
11018	1	650
11018	2	125
11018	3	2000
11018	4	0
11018	5	0
11018	6	0
11018	7	0
11018	8	0
11018	9	0
11018	10	0
11018	11	500
11019	1	6500
11019	2	850
11019	3	0
11019	4	0
11019	5	1500
11019	6	0
11019	7	0
11019	8	2000
11019	9	0
11019	10	0
11019	11	1500
11021	1	1000
11021	2	500
11021	3	0
11021	4	0
11021	5	2000
11021	6	0
11021	7	0
11021	8	0
11021	9	0
11021	10	0
11021	11	400
11022	1	35000
11022	2	1840
11022	3	5000
11022	4	2500
11022	5	0
11022	6	0
11022	7	0
11022	8	1500
11022	9	0
11022	10	0
11022	11	4000
11023	1	0
11023	2	300
11023	3	0
11023	4	0
11023	5	3000
11023	6	500
11023	7	0
11023	8	0
11023	9	0
11023	10	0
11023	11	1000
11024	1	0
11024	2	150
11024	3	0
11024	4	0
11024	5	0
11024	6	0
11024	7	0
11024	8	0
11024	9	0
11024	10	0
11024	11	350
11025	1	250
11025	2	500
11025	3	0
11025	4	0
11025	5	0
11025	6	0
11025	7	0
11025	8	1000
11025	9	0
11025	10	0
11025	11	500
11026	1	12500
11026	2	800
11026	3	0
11026	4	0
11026	5	12500
11026	6	0
11026	7	0
11026	8	600
11026	9	0
11026	10	250
11026	11	800
11027	1	0
11027	2	555
11027	3	0
11027	4	0
11027	5	38000
11027	6	0
11027	7	0
11027	8	0
11027	9	0
11027	10	600
11027	11	3000
11029	1	31000
11029	2	2000
11029	3	5500
11029	4	5000
11029	5	0
11029	6	0
11029	7	0
11029	8	8500
11029	9	0
11029	10	0
11029	11	5000
11030	1	9000
11030	2	1000
11030	3	0
11030	4	0
11030	5	401000
11030	6	0
11030	7	30000
11030	8	1200
11030	9	0
11030	10	0
11030	11	0
11031	1	0
11031	2	0
11031	3	0
11031	4	0
11031	5	0
11031	6	0
11031	7	0
11031	8	0
11031	9	0
11031	10	0
11031	11	0
11032	1	31000
11032	2	2000
11032	3	5000
11032	4	5000
11032	5	5000
11032	6	0
11032	7	0
11032	8	6000
11032	9	0
11032	10	650
11032	11	5000
11034	1	31000
11034	2	2000
11034	3	5000
11034	4	6000
11034	5	0
11034	6	0
11034	7	0
11034	8	10000
11034	9	0
11034	10	0
11034	11	5000
11035	1	1500
11035	2	600
11035	3	0
11035	4	10000
11035	5	0
11035	6	0
11035	7	0
11035	8	2400
11035	9	0
11035	10	600
11035	11	2000
11036	1	10000
11036	2	0
11036	3	0
11036	4	0
11036	5	70000
11036	6	0
11036	7	25000
11036	8	2000
11036	9	20000
11036	10	0
11036	11	5000
11037	1	0
11037	2	0
11037	3	0
11037	4	0
11037	5	10000
11037	6	0
11037	7	0
11037	8	2000
11037	9	0
11037	10	850
11037	11	1500
11038	1	0
11038	2	0
11038	3	0
11038	4	0
11038	5	0
11038	6	0
11038	7	0
11038	8	0
11038	9	0
11038	10	0
11038	11	0
11039	1	1000
11039	2	125
11039	3	0
11039	4	0
11039	5	0
11039	6	0
11039	7	0
11039	8	0
11039	9	0
11039	10	0
11039	11	1000
11040	1	5500
11040	2	1500
11040	3	35000
11040	4	5000
11040	5	2000
11040	6	0
11040	7	0
11040	8	8500
11040	9	0
11040	10	0
11040	11	4500
11041	1	3000
11041	2	500
11041	3	0
11041	4	0
11041	5	0
11041	6	0
11041	7	0
11041	8	0
11041	9	0
11041	10	0
11041	11	2000
11042	1	500
11042	2	360
11042	3	3500
11042	4	0
11042	5	0
11042	6	0
11042	7	0
11042	8	0
11042	9	0
11042	10	0
11042	11	1500
11043	1	0
11043	2	0
11043	3	0
11043	4	0
11043	5	100000
11043	6	0
11043	7	30000
11043	8	4000
11043	9	20000
11043	10	30000
11043	11	5000
11044	1	0
11044	2	0
11044	3	0
11044	4	0
11044	5	0
11044	6	0
11044	7	0
11044	8	0
11044	9	0
11044	10	0
11044	11	0
11045	1	2000
11045	2	0
11045	3	0
11045	4	0
11045	5	0
11045	6	0
11045	7	0
11045	8	0
11045	9	0
11045	10	0
11045	11	1400
11046	1	1500
11046	2	3000
11046	3	5000
11046	4	0
11046	5	3000
11046	6	0
11046	7	0
11046	8	1800
11046	9	0
11046	10	0
11046	11	2000
11047	1	5000
11047	2	0
11047	3	0
11047	4	0
11047	5	8000
11047	6	0
11047	7	0
11047	8	200
11047	9	0
11047	10	0
11047	11	1000
11048	1	0
11048	2	0
11048	3	0
11048	4	0
11048	5	5000
11048	6	0
11048	7	0
11048	8	1000
11048	9	0
11048	10	0
11048	11	1000
11049	1	5000
11049	2	0
11049	3	0
11049	4	0
11049	5	8000
11049	6	0
11049	7	0
11049	8	200
11049	9	0
11049	10	0
11049	11	1000
11050	1	0
11050	2	450
11050	3	0
11050	4	0
11050	5	2500
11050	6	0
11050	7	0
11050	8	0
11050	9	0
11050	10	0
11050	11	1000
21001	1	100
21001	2	300
21001	3	0
21001	4	0
21001	5	2000
21001	6	0
21001	7	0
21001	8	0
21001	9	0
21001	10	300
21001	11	500
21002	1	200
21002	2	200
21002	3	0
21002	4	0
21002	5	1500
21002	6	0
21002	7	0
21002	8	200
21002	9	0
21002	10	100
21002	11	700
21003	1	0
21003	2	0
21003	3	0
21003	4	0
21003	5	0
21003	6	0
21003	7	0
21003	8	0
21003	9	0
21003	10	0
21003	11	0
21004	1	0
21004	2	0
21004	3	0
21004	4	0
21004	5	0
21004	6	0
21004	7	0
21004	8	0
21004	9	0
21004	10	0
21004	11	0
21005	1	0
21005	2	350
21005	3	0
21005	4	0
21005	5	4000
21005	6	0
21005	7	0
21005	8	1500
21005	9	0
21005	10	0
21005	11	700
21006	1	0
21006	2	0
21006	3	0
21006	4	0
21006	5	0
21006	6	0
21006	7	0
21006	8	600
21006	9	0
21006	10	0
21006	11	700
21007	1	250
21007	2	0
21007	3	0
21007	4	0
21007	5	0
21007	6	0
21007	7	0
21007	8	200
21007	9	0
21007	10	0
21007	11	200
21008	1	10000
21008	2	1000
21008	3	0
21008	4	0
21008	5	40000
21008	6	0
21008	7	0
21008	8	700
21008	9	0
21008	10	0
21008	11	1000
21009	1	0
21009	2	0
21009	3	0
21009	4	0
21009	5	0
21009	6	0
21009	7	0
21009	8	500
21009	9	0
21009	10	0
21009	11	500
21010	1	500
21010	2	400
21010	3	0
21010	4	0
21010	5	0
21010	6	0
21010	7	0
21010	8	0
21010	9	8000
21010	10	0
21010	11	2000
21011	1	0
21011	2	0
21011	3	0
21011	4	0
21011	5	35000
21011	6	0
21011	7	0
21011	8	0
21011	9	0
21011	10	0
21011	11	500
21012	1	0
21012	2	0
21012	3	0
21012	4	0
21012	5	0
21012	6	0
21012	7	0
21012	8	0
21012	9	0
21012	10	0
21012	11	300
21013	1	0
21013	2	550
21013	3	0
21013	4	0
21013	5	4000
21013	6	0
21013	7	0
21013	8	5000
21013	9	0
21013	10	0
21013	11	2000
21014	1	8000
21014	2	150
21014	3	0
21014	4	0
21014	5	0
21014	6	0
21014	7	0
21014	8	3000
21014	9	0
21014	10	0
21014	11	1500
21015	1	0
21015	2	0
21015	3	0
21015	4	0
21015	5	0
21015	6	0
21015	7	0
21015	8	0
21015	9	0
21015	10	0
21015	11	0
21016	1	0
21016	2	0
21016	3	0
21016	4	0
21016	5	0
21016	6	0
21016	7	0
21016	8	300
21016	9	0
21016	10	0
21016	11	500
21017	1	0
21017	2	0
21017	3	0
21017	4	0
21017	5	0
21017	6	0
21017	7	0
21017	8	0
21017	9	0
21017	10	0
21017	11	0
21018	1	6000
21018	2	0
21018	3	0
21018	4	0
21018	5	10000
21018	6	0
21018	7	0
21018	8	5000
21018	9	0
21018	10	0
21018	11	3000
21019	1	13000
21019	2	1000
21019	3	0
21019	4	650
21019	5	18000
21019	6	0
21019	7	0
21019	8	8000
21019	9	0
21019	10	0
21019	11	3000
21020	1	7000
21020	2	0
21020	3	0
21020	4	0
21020	5	70000
21020	6	0
21020	7	0
21020	8	500
21020	9	0
21020	10	0
21020	11	800
21021	1	0
21021	2	100
21021	3	0
21021	4	0
21021	5	0
21021	6	0
21021	7	0
21021	8	3000
21021	9	0
21021	10	500
21021	11	1000
21022	1	0
21022	2	500
21022	3	0
21022	4	0
21022	5	4500
21022	6	0
21022	7	0
21022	8	200
21022	9	0
21022	10	0
21022	11	1000
21023	1	20
21023	2	75
21023	3	0
21023	4	0
21023	5	0
21023	6	0
21023	7	0
21023	8	3000
21023	9	0
21023	10	600
21023	11	800
21024	1	300
21024	2	1000
21024	3	0
21024	4	0
21024	5	12000
21024	6	0
21024	7	0
21024	8	0
21024	9	0
21024	10	0
21024	11	1000
21025	1	500
21025	2	1500
21025	3	4000
21025	4	0
21025	5	0
21025	6	0
21025	7	0
21025	8	5000
21025	9	0
21025	10	0
21025	11	2000
21026	1	600
21026	2	1800
21026	3	5000
21026	4	0
21026	5	0
21026	6	0
21026	7	0
21026	8	1650
21026	9	0
21026	10	0
21026	11	2000
21027	1	2000
21027	2	600
21027	3	0
21027	4	0
21027	5	60000
21027	6	0
21027	7	0
21027	8	2000
21027	9	0
21027	10	0
21027	11	2500
21028	1	0
21028	2	600
21028	3	500
21028	4	0
21028	5	10000
21028	6	0
21028	7	0
21028	8	3000
21028	9	0
21028	10	200
21028	11	1500
21029	1	4000
21029	2	650
21029	3	0
21029	4	0
21029	5	4650
21029	6	0
21029	7	0
21029	8	600
21029	9	0
21029	10	0
21029	11	1000
21030	1	400
21030	2	700
21030	3	0
21030	4	0
21030	5	0
21030	6	0
21030	7	0
21030	8	1400
21030	9	0
21030	10	0
21030	11	700
21031	1	0
21031	2	20
21031	3	0
21031	4	0
21031	5	200
21031	6	0
21031	7	0
21031	8	0
21031	9	0
21031	10	0
21031	11	100
21032	1	0
21032	2	0
21032	3	0
21032	4	0
21032	5	0
21032	6	0
21032	7	0
21032	8	0
21032	9	0
21032	10	0
21032	11	0
21033	1	0
21033	2	0
21033	3	0
21033	4	0
21033	5	500
21033	6	0
21033	7	0
21033	8	0
21033	9	0
21033	10	0
21033	11	400
21034	1	0
21034	2	0
21034	3	0
21034	4	0
21034	5	0
21034	6	0
21034	7	0
21034	8	0
21034	9	0
21034	10	0
21034	11	0
21035	1	0
21035	2	0
21035	3	0
21035	4	0
21035	5	0
21035	6	0
21035	7	0
21035	8	0
21035	9	0
21035	10	0
21035	11	50
21036	1	0
21036	2	0
21036	3	0
21036	4	0
21036	5	0
21036	6	0
21036	7	0
21036	8	500
21036	9	0
21036	10	0
21036	11	500
21037	1	0
21037	2	0
21037	3	0
21037	4	0
21037	5	0
21037	6	0
21037	7	0
21037	8	0
21037	9	0
21037	10	0
21037	11	0
21038	1	0
21038	2	0
21038	3	0
21038	4	0
21038	5	0
21038	6	0
21038	7	0
21038	8	0
21038	9	0
21038	10	0
21038	11	0
21039	1	500
21039	2	500
21039	3	0
21039	4	0
21039	5	8000
21039	6	0
21039	7	0
21039	8	2250
21039	9	0
21039	10	0
21039	11	1850
21040	1	50000
21040	2	0
21040	3	0
21040	4	0
21040	5	50000
21040	6	0
21040	7	0
21040	8	0
21040	9	0
21040	10	0
21040	11	0
21042	1	200
21042	2	200
21042	3	1800
21042	4	0
21042	5	2900
21042	6	0
21042	7	0
21042	8	200
21042	9	0
21042	10	0
21042	11	500
21043	1	500
21043	2	750
21043	3	1250
21043	4	0
21043	5	5000
21043	6	0
21043	7	0
21043	8	2000
21043	9	0
21043	10	0
21043	11	2000
21044	1	0
21044	2	0
21044	3	0
21044	4	0
21044	5	0
21044	6	0
21044	7	0
21044	8	0
21044	9	0
21044	10	0
21044	11	0
21045	1	0
21045	2	0
21045	3	0
21045	4	0
21045	5	0
21045	6	0
21045	7	0
21045	8	0
21045	9	0
21045	10	0
21045	11	0
21046	1	0
21046	2	1500
21046	3	0
21046	4	0
21046	5	0
21046	6	0
21046	7	4000
21046	8	0
21046	9	0
21046	10	0
21046	11	1000
21047	1	0
21047	2	150
21047	3	0
21047	4	0
21047	5	0
21047	6	750
21047	7	0
21047	8	0
21047	9	0
21047	10	0
21047	11	500
21048	1	0
21048	2	0
21048	3	0
21048	4	0
21048	5	0
21048	6	0
21048	7	0
21048	8	0
21048	9	0
21048	10	0
21048	11	700
21049	1	5000
21049	2	600
21049	3	0
21049	4	0
21049	5	15000
21049	6	0
21049	7	0
21049	8	3000
21049	9	0
21049	10	300
21049	11	1000
21050	1	0
21050	2	100
21050	3	1200
21050	4	0
21050	5	0
21050	6	0
21050	7	5000
21050	8	600
21050	9	1000
21050	10	0
21050	11	2500
31002	1	36000
31002	2	750
31002	3	0
31002	4	0
31002	5	0
31002	6	0
31002	7	25000
31002	8	0
31002	9	25000
31002	10	48000
31002	11	500
31004	1	1000
31004	2	470
31004	3	7000
31004	4	0
31004	5	0
31004	6	0
31004	7	0
31004	8	3920
31004	9	0
31004	10	0
31004	11	2000
31005	1	1000
31005	2	1100
31005	3	0
31005	4	0
31005	5	0
31005	6	0
31005	7	0
31005	8	0
31005	9	0
31005	10	0
31005	11	3000
31006	1	0
31006	2	0
31006	3	0
31006	4	0
31006	5	25000
31006	6	0
31006	7	0
31006	8	0
31006	9	0
31006	10	0
31006	11	0
31007	1	5000
31007	2	3000
31007	3	27000
31007	4	0
31007	5	0
31007	6	0
31007	7	7500
31007	8	0
31007	9	7000
31007	10	0
31007	11	0
31009	1	1000
31009	2	800
31009	3	0
31009	4	0
31009	5	0
31009	6	0
31009	7	0
31009	8	0
31009	9	0
31009	10	0
31009	11	0
31010	1	0
31010	2	0
31010	3	15000
31010	4	0
31010	5	0
31010	6	0
31010	7	0
31010	8	600
31010	9	0
31010	10	0
31010	11	600
31011	1	5000
31011	2	750
31011	3	0
31011	4	0
31011	5	0
31011	6	0
31011	7	0
31011	8	0
31011	9	0
31011	10	0
31011	11	1000
