CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
11001	1	5	4
11001	2	5	4
11001	3	5	3
11001	4	8	6
11001	5	8	6
11001	6	6	5
11001	7	7	6
11001	8	7	6
11001	9	5	2
11001	10	5	2
11002	1	3	6
11002	2	2	7
11002	3	4	6
11002	4	3	8
11002	5	4	7
11002	6	5	6
11002	7	6	5
11002	8	7	6
11002	9	5	3
11002	10	4	6
11003	1	5	2
11003	2	3	2
11003	3	4	2
11003	4	6	5
11003	5	6	3
11003	6	3	4
11003	7	2	2
11003	8	5	5
11003	9	6	3
11003	10	5	4
11004	1	7	5
11004	2	6	5
11004	3	7	5
11004	4	7	7
11004	5	6	5
11004	6	6	6
11004	7	8	6
11004	8	8	6
11004	9	5	5
11004	10	5	5
11005	1	7	7
11005	2	1	1
11005	3	5	5
11005	4	5	5
11005	5	6	6
11005	6	5	5
11005	7	6	5
11005	8	5	5
11005	9	1	1
11005	10	1	1
11006	1	4	3
11006	2	3	2
11006	3	4	4
11006	4	4	4
11006	5	5	4
11006	6	6	5
11006	7	5	5
11006	8	2	2
11006	9	3	3
11006	10	3	3
11007	1	6	4
11007	2	7	5
11007	3	6	7
11007	4	5	5
11007	5	5	4
11007	6	5	5
11007	7	5	4
11007	8	4	6
11007	9	2	1
11007	10	1	1
11008	1	5	3
11008	2	1	1
11008	3	4	2
11008	4	4	6
11008	5	6	3
11008	6	4	3
11008	7	5	5
11008	8	1	1
11008	9	4	4
11008	10	1	1
11009	1	5	2
11009	2	6	6
11009	3	4	3
11009	4	4	3
11009	5	5	4
11009	6	6	5
11009	7	1	1
11009	8	1	1
11009	9	2	2
11009	10	1	1
11010	1	6	4
11010	2	7	6
11010	3	6	5
11010	4	6	5
11010	5	6	6
11010	6	5	5
11010	7	5	5
11010	8	5	5
11010	9	6	5
11010	10	2	2
11011	1	5	3
11011	2	6	5
11011	3	7	6
11011	4	8	6
11011	5	8	7
11011	6	6	6
11011	7	7	6
11011	8	8	6
11011	9	5	5
11011	10	6	7
11012	1	6	4
11012	2	1	1
11012	3	5	4
11012	4	5	5
11012	5	6	6
11012	6	4	4
11012	7	1	1
11012	8	1	1
11012	9	1	1
11012	10	1	1
11013	1	8	6
11013	2	6	5
11013	3	7	5
11013	4	6	6
11013	5	8	7
11013	6	6	6
11013	7	5	5
11013	8	7	6
11013	9	5	5
11013	10	5	5
11014	1	6	3
11014	2	5	4
11014	3	6	5
11014	4	5	5
11014	5	7	5
11014	6	7	6
11014	7	7	7
11014	8	6	5
11014	9	4	3
11014	10	4	4
