CHILDCODE	HHLNIDR5	HHLNSCR5	FMLNR5	DIFFPYR5
60039	1	2	1	1
60040	1	6	1	3
60041	1	1	1	3
60051	1	1	1	1
60052	1	2	1	1
60054	1	1	1	2
60059	1	7	2	1
60061	1	2	1	1
60063	1	2	1	1
60067	1	2	1	2
60069	1	1	1	3
60073	1	2	1	1
60077	1	2	1	1
60078	1	1	1	3
60082	1	1	1	2
60084	1	2	1	1
60085	1	6	1	1
60086	1	2	1	3
60087	1	2	1	1
60088	1	2	1	3
60091	1	10	2	1
60092	1	1	1	1
60094	1	2	1	1
60095	1	8	2	1
60096	1	8	2	2
60097	1	7	2	3
60099	1	2	1	1
60100	1	4	1	1
60104	1	2	1	3
60105	1	1	1	2
60106	1	1	1	1
60108	1	1	1	1
60111	1	1	1	1
60119	1	3	1	1
70001	1	3	1	2
70002	1	7	2	1
70003	1	1	1	1
70004	1	1	1	2
70006	1	2	1	1
70007	1	2	1	2
70008	1	2	1	2
70011	1	5	1	2
70012	1	1	1	2
70015	1	7	2	2
70016	1	1	1	2
70018	1	1	1	2
70023	1	1	1	1
70023	2	7	2	1
70025	1	10	1	1
70028	1	7	2	2
70029	1	1	1	1
70031	1	2	1	2
70034	1	8	2	1
70041	1	2	1	1
70042	1	8	2	1
70053	1	2	1	1
70055	1	2	1	3
70059	1	2	1	1
70065	1	7	2	2
70066	1	2	1	3
70067	1	1	1	1
70069	1	2	1	2
70072	1	1	1	1
70073	1	2	1	1
70074	1	1	1	1
70077	1	2	1	2
70079	1	 	 	 
70080	1	2	1	3
70082	1	2	1	1
70083	1	8	2	1
70085	1	1	1	3
70087	1	2	1	2
70087	2	8	2	2
70093	1	2	1	1
70094	1	2	1	1
70097	1	2	1	1
70098	1	8	2	2
70099	1	2	1	2
70105	1	5	1	1
70118	1	2	1	1
70124	1	3	1	1
70124	2	4	1	1
70125	1	6	1	1
80001	1	2	1	1
80003	1	1	1	2
80004	1	2	1	1
80006	1	5	1	2
80008	1	4	1	1
80009	1	2	1	1
80011	1	8	2	3
80012	1	2	1	2
80018	1	2	1	1
80019	1	2	1	2
80021	1	1	1	2
80022	1	1	1	1
80025	1	3	1	2
80026	1	2	1	2
80029	1	2	1	1
80031	1	8	2	1
80032	1	8	2	1
80049	1	2	1	3
80050	1	2	1	3
80051	1	5	1	1
80055	1	5	1	1
80059	1	2	1	1
80061	1	2	1	2
80064	1	2	1	1
80068	1	1	1	2
80069	1	2	1	1
80070	1	7	2	1
80071	1	1	1	2
80078	1	1	1	2
80086	1	1	1	1
80086	2	7	2	1
80088	1	2	1	1
80092	1	2	1	2
80093	1	2	1	3
80095	1	2	1	3
80097	1	1	1	1
80104	1	8	2	2
80107	1	8	2	2
80115	1	2	1	1
80120	1	2	1	2
80124	1	1	1	1
80124	2	6	1	1
80132	1	2	1	2
80165	1	3	1	1
90004	1	2	1	3
90005	1	2	1	1
90006	1	1	1	3
90007	1	1	1	3
90008	1	8	2	1
90009	1	1	1	1
90013	1	3	1	1
90015	1	1	1	1
90015	2	8	2	2
90017	1	8	2	1
90024	1	2	1	2
90039	1	1	1	3
90045	1	1	1	1
90046	1	8	2	1
90050	1	1	1	1
90053	1	1	1	3
90054	1	1	1	1
90057	1	1	1	1
90059	1	8	2	1
90068	1	1	1	1
90074	1	1	1	1
90075	1	1	1	1
90078	1	1	1	1
90079	1	1	1	3
90084	1	1	1	2
90086	1	8	2	2
90087	1	1	1	1
90092	1	8	2	2
90094	1	1	1	1
90102	1	1	1	1
90105	1	1	1	2
100002	1	1	1	3
100003	1	8	2	1
100004	1	1	1	1
100010	1	1	1	2
100011	1	2	1	1
100012	1	1	1	2
100018	1	1	1	1
100018	2	3	1	1
100020	1	1	1	1
100020	2	2	1	1
100022	1	2	1	2
100026	1	1	1	1
100027	1	1	1	1
100027	2	2	1	1
100029	1	2	1	1
100030	1	1	1	1
100031	1	2	1	2
100035	1	3	1	1
100038	1	2	1	1
100040	1	2	1	1
100041	1	2	1	1
100043	1	3	1	1
100046	1	2	1	2
100047	1	2	1	1
100048	1	3	1	1
100052	1	1	1	2
100053	1	2	1	2
100055	1	1	1	2
100058	1	2	1	2
100062	1	1	1	2
100064	1	2	1	1
100066	1	2	1	1
100067	1	2	1	1
100072	1	2	1	2
100074	1	1	1	3
100078	1	1	1	1
100079	1	8	2	1
100080	1	1	1	1
100080	2	7	2	1
100081	1	1	1	2
100082	1	1	1	3
100084	1	2	1	1
100086	1	2	1	1
100089	1	1	1	3
100090	1	1	1	3
100093	1	1	1	3
100097	1	8	2	1
100098	1	1	1	3
100099	1	1	1	3
100100	1	2	1	1
100104	1	1	1	3
100104	2	2	1	3
100113	1	8	2	1
110002	1	1	1	1
110005	1	7	2	1
110006	1	2	1	1
110010	1	2	1	1
110012	1	1	1	3
110012	2	8	2	3
110013	1	8	2	1
110017	1	2	1	1
110018	1	8	2	2
110019	1	2	1	1
110025	1	8	2	2
110026	1	8	2	1
110027	1	1	1	2
110027	2	7	2	2
110028	1	2	1	1
110030	1	2	1	1
110032	1	7	2	3
110034	1	1	1	77
110040	1	8	2	3
110042	1	1	1	2
110043	1	2	1	1
110044	1	2	1	1
110044	2	7	2	1
110048	1	8	2	3
110049	1	2	1	1
110050	1	1	1	3
110050	2	1	1	1
110050	3	8	2	3
110052	1	1	1	1
110054	1	2	1	1
110056	1	8	2	1
110057	1	7	2	3
110059	1	2	1	3
110059	2	7	2	1
110060	1	1	1	1
110073	1	1	1	1
110075	1	8	2	1
110076	1	1	1	2
110077	1	2	1	2
110078	1	 	 	 
110079	1	1	1	1
110080	1	 	 	 
110081	1	2	1	1
110086	1	2	1	1
110087	1	2	1	1
110087	2	1	1	1
110087	3	8	2	1
110088	1	2	1	1
110090	1	8	2	1
110091	1	2	1	1
110091	2	10	1	1
110092	1	2	1	1
110093	1	7	2	1
110094	1	6	1	3
110094	2	2	1	3
110096	1	1	1	1
110096	2	7	2	1
110098	1	2	1	1
110099	1	2	1	2
110099	2	8	2	2
110119	1	2	1	1
110121	1	1	1	3
110121	2	8	2	3
110121	3	7	2	3
110123	1	2	1	1
110123	2	8	2	1
110126	1	1	1	3
110126	2	10	1	1
120001	1	1	1	1
120004	1	2	1	1
120009	1	1	1	1
120009	2	8	2	1
120011	1	2	1	2
120012	1	2	1	2
120015	1	2	1	3
120016	1	8	2	2
120016	2	10	2	2
120018	1	7	2	2
120022	1	1	1	2
120028	1	2	1	3
120030	1	3	1	1
120035	1	1	1	2
120036	1	2	1	3
120038	1	1	1	2
120039	1	2	1	2
120040	1	1	1	1
120048	1	2	1	2
120049	1	1	1	2
120049	2	8	2	2
120058	1	1	1	1
120061	1	2	1	3
120062	1	8	2	2
120063	1	2	1	77
120064	1	2	1	2
120065	1	1	1	1
120071	1	1	1	1
120072	1	2	1	2
120078	1	1	1	3
120078	2	8	2	3
120079	1	1	1	1
120080	1	8	2	3
120081	1	2	1	2
120081	2	7	2	1
120087	1	8	2	2
120089	1	1	1	1
120089	2	8	2	1
120092	1	1	1	3
120092	2	7	2	2
120093	1	7	2	1
120094	1	2	1	3
120096	1	1	1	1
120096	2	2	1	1
120096	3	7	2	1
120097	1	2	1	1
120098	1	2	1	1
120099	1	1	1	1
120114	1	2	1	1
120126	1	8	2	2
120133	1	1	1	2
120139	1	2	1	1
120140	1	7	2	1
120141	1	1	1	3
120141	2	6	1	3
120148	1	8	2	1
120150	1	1	1	1
130005	1	5	1	2
130005	2	8	2	2
130006	1	7	2	2
130010	1	10	1	1
130011	1	2	1	3
130011	2	8	2	2
130012	1	2	1	2
130012	2	8	2	2
130013	1	8	2	2
130017	1	8	2	1
130019	1	8	2	1
130020	1	2	1	3
130021	1	8	2	1
130022	1	8	2	1
130024	1	2	1	2
130026	1	1	1	1
130033	1	8	2	2
130037	1	2	1	1
130040	1	6	1	1
130044	2	7	2	2
130044	3	8	2	2
130049	1	2	1	2
130049	2	8	2	2
130050	1	8	2	2
130052	1	10	1	1
130053	1	8	2	1
130054	1	8	2	1
130059	1	2	1	1
130059	2	7	2	2
130060	1	10	1	1
130071	1	6	1	1
130073	1	2	1	3
130073	2	8	2	3
130075	1	2	1	2
130080	1	8	2	2
130083	1	2	1	2
130085	1	7	2	2
130085	2	2	1	2
130086	1	2	1	2
130086	2	8	2	1
130087	1	2	1	2
130088	1	8	2	3
130089	1	1	1	2
130089	2	8	2	2
130090	1	8	2	2
130093	1	8	2	1
130096	1	2	1	1
130098	1	8	2	2
130099	1	2	1	2
130103	1	2	1	3
130103	2	8	2	3
130104	1	2	1	2
130104	2	8	2	2
140003	1	1	1	1
140004	1	7	2	2
140005	1	2	1	1
140006	1	8	2	2
140008	1	8	2	3
140009	1	10	1	1
140013	2	8	2	3
140013	3	7	2	3
140019	1	2	1	2
140019	2	8	2	1
140020	1	2	1	1
140021	1	2	1	1
140022	1	5	1	1
140023	1	3	1	2
140023	2	8	2	2
140024	1	3	1	3
140024	2	8	2	2
140026	1	2	1	2
140026	2	7	2	2
140027	1	6	1	2
140028	1	2	1	2
140032	1	6	1	3
140033	1	2	1	1
140034	1	1	1	2
140037	1	8	2	3
140038	1	7	2	1
140040	1	8	2	2
140044	1	2	1	3
140048	1	2	1	3
140049	1	2	1	2
140055	1	2	1	3
140055	2	10	1	2
140055	3	7	2	2
140055	4	8	2	2
140056	1	8	2	2
140061	1	8	2	2
140063	1	7	2	1
140064	1	2	1	1
140065	1	5	1	3
140065	2	8	2	3
140067	1	2	1	3
140067	2	8	2	2
140073	1	8	2	1
140077	1	2	1	1
140080	1	8	2	2
140080	2	6	1	2
140081	1	3	1	2
140081	2	8	2	2
140083	1	5	1	2
140083	2	6	1	2
140084	1	8	2	2
140085	1	8	2	2
140086	1	1	1	3
140086	2	8	2	2
140087	1	2	1	3
140087	2	7	2	2
140089	1	2	1	1
140090	2	8	2	2
140091	1	2	1	1
140091	2	8	2	1
140092	1	8	2	2
140094	1	1	1	3
140094	2	7	2	3
140094	3	8	2	3
140098	1	2	1	1
140103	1	2	1	1
150002	1	1	1	1
150003	1	8	2	1
150009	1	2	1	2
150012	1	2	1	2
150013	1	5	1	2
150017	1	8	2	3
150018	1	8	2	1
150021	1	7	2	1
150024	1	7	2	1
150027	1	8	2	2
150029	1	8	2	2
150030	1	1	1	1
150032	1	1	1	1
150032	2	7	2	1
150033	1	8	2	2
150041	1	10	1	2
150049	1	1	1	2
150054	1	1	1	3
150054	2	8	2	2
150064	1	2	1	3
150064	2	8	2	2
150068	1	8	2	2
150072	1	8	2	3
150073	1	5	1	1
150079	1	7	2	3
150087	1	2	1	1
150090	1	1	1	1
150092	1	8	2	2
150093	1	3	1	3
150095	1	3	1	1
150098	1	8	2	2
150099	1	2	1	2
150103	1	10	1	1
150107	1	8	2	2
150126	1	1	1	2
150129	1	1	1	1
150136	1	8	2	2
150138	1	2	1	2
150139	1	1	1	1
150139	2	7	2	1
150140	1	1	1	2
150142	1	1	1	2
150145	1	1	1	3
160001	1	1	1	2
160003	1	2	1	1
160005	1	1	1	2
160006	1	2	1	2
160008	1	2	1	2
160011	1	2	1	1
160013	1	7	2	1
160018	1	2	1	2
160022	1	2	1	2
160025	1	1	1	2
160030	1	8	2	2
160032	1	8	2	2
160033	1	2	1	2
160034	1	2	1	3
160036	1	6	1	2
160045	1	8	2	2
160047	1	4	1	2
160050	1	1	1	2
160054	1	1	1	2
160055	1	8	2	3
160056	1	1	1	1
160056	2	2	1	2
160057	1	8	2	2
160059	1	2	1	2
160062	1	5	1	2
160063	1	8	2	2
160064	1	7	2	2
160065	1	8	2	2
160067	1	8	2	1
160067	2	2	1	1
160068	1	2	1	2
160069	1	1	1	1
160071	1	8	2	1
160073	1	1	1	2
160074	1	8	2	2
160075	1	7	2	2
160077	1	8	2	3
160078	1	1	1	2
160082	1	8	2	2
160085	1	8	2	2
160089	1	2	1	1
160093	1	1	1	2
160094	1	8	2	3
160100	1	2	1	2
160114	1	1	1	2
170004	1	3	1	2
170012	1	8	2	3
170013	1	1	1	1
170028	1	6	1	1
170029	1	1	1	1
170055	2	1	1	2
170056	1	3	1	2
170076	1	1	1	2
170077	1	8	2	3
170079	1	8	2	2
170080	1	2	1	1
170084	1	3	1	1
170091	1	3	1	1
170092	1	10	1	1
170097	1	3	1	1
170103	1	3	1	2
170118	1	3	1	1
170144	1	2	1	1
180002	1	1	1	1
180003	1	8	2	1
180004	1	6	1	3
180005	1	10	1	2
180007	1	1	1	3
180016	1	7	2	3
180030	1	1	1	1
180040	1	3	1	3
180045	1	8	2	1
180047	1	3	1	1
180055	1	3	1	1
180065	1	1	1	2
180071	1	3	1	1
180072	1	10	1	1
180075	1	3	1	2
180084	1	8	2	1
180089	1	1	1	3
180091	1	3	1	2
180099	1	3	1	1
180100	1	1	1	1
180104	1	1	1	2
180109	1	8	2	2
180121	1	1	1	1
190003	1	2	1	3
190004	1	1	1	3
190006	1	1	1	1
190007	1	1	1	2
190009	1	6	1	2
190011	1	 	 	 
190012	1	1	1	2
190013	1	2	1	1
190015	1	1	1	2
190016	1	1	1	1
190018	1	1	1	1
190022	1	1	1	2
190023	1	1	1	1
190024	1	7	2	3
190025	1	1	1	3
190027	1	2	1	2
190028	1	1	1	2
190030	1	1	1	1
190031	1	7	2	2
190033	1	2	1	3
190035	1	1	1	1
190039	1	7	2	1
190042	1	5	1	2
190047	1	2	1	1
190051	1	10	1	2
190060	1	1	1	2
190066	1	1	1	2
190068	1	1	1	2
190068	2	3	1	2
190081	1	10	1	2
190089	1	7	2	1
190089	2	1	1	3
190091	1	1	1	2
190092	1	2	1	2
190093	1	3	1	2
190094	1	1	1	3
190099	1	3	1	2
190107	1	2	1	2
190113	1	1	1	1
190116	1	1	1	2
190139	1	1	1	1
200003	1	10	1	3
200003	2	7	2	2
200007	1	1	1	2
200017	1	7	2	2
200022	1	7	2	1
200024	1	3	1	1
200025	1	 	 	 
200030	1	3	1	2
200036	1	8	2	1
200054	1	1	1	2
200061	1	1	1	2
200072	1	3	1	2
200075	1	1	1	2
200076	1	1	1	1
200077	1	2	1	1
200079	1	3	1	4
200079	2	8	2	4
200085	1	2	1	1
200088	1	8	2	2
200090	1	1	1	1
200091	1	1	1	2
200096	1	1	1	1
200097	1	7	2	2
200098	1	1	1	1
200119	1	1	1	1
200142	1	8	2	1
