CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN010006	1	8	4	6	32400
IN010006	2	1	4	5	4050
IN010006	3	1	4	5	4050
IN010023	1	5	4	1	20250
IN010023	2	5	4	6	20250
IN010034	1	2	4	3	8100
IN010038	1	2	4	1	8100
IN010077	1	5	4	7	20250
IN010087	1	2	4	6	8100
IN010094	1	3	4	6	12150
IN020001	1	1	4	3	4050
IN020003	1	1.5	4	3	6075
IN020004	1	2	3	7	8100
IN020004	2	1	1	1	4050
IN020005	1	3	4	1	12150
IN020006	1	1	4	3	4050
IN020007	1	5	4	1	20250
IN020010	1	1	4	8	4050
IN020012	1	1	4	3	4050
IN020014	1	.5	4	3	2025
IN020015	1	2.70000004768372	4	1	10935.000193119
IN020016	1	1	4	3	4050
IN020016	2	1	4	8	4050
IN020017	1	1	4	1	4050
IN020018	1	4	4	1	16200
IN020018	2	4	4	1	16200
IN020019	1	3	4	1	12150
IN020019	2	2	4	7	8100
IN020023	1	10	4	7	40500
IN020024	1	3	4	3	12150
IN020025	1	2.5	4	7	10125
IN020028	1	2	4	1	8100
IN020043	1	15	1	1	60750
IN020043	2	5	4	1	20250
IN020045	1	2	3	1	8100
IN020049	1	2	1	1	8100
IN020050	1	1	4	1	4050
IN020051	1	4	4	1	16200
IN020052	1	2	4	7	8100
IN020053	1	2	4	6	8100
IN020053	2	2.5	4	7	10125
IN020053	3	.5	4	1	2025
IN020055	1	1.5	4	1	6075
IN020055	2	1	4	6	4050
IN020055	3	1	4	7	4050
IN020056	1	8	4	1	32400
IN020056	2	4	4	6	16200
IN020057	1	2	4	7	8100
IN020061	1	1	4	1	4050
IN020062	1	1	4	6	4050
IN020063	1	1	3	1	4050
IN020064	1	1	4	6	4050
IN020065	1	1	4	1	4050
IN020065	2	1	4	3	4050
IN020065	3	1	4	7	4050
IN020066	1	1.5	4	1	6075
IN020070	1	1	4	1	4050
IN020072	1	3	4	3	12150
IN020072	2	2	4	1	8100
IN020072	3	2	4	1	8100
IN020072	4	1	4	3	4050
IN020074	1	1	4	1	4050
IN020074	2	1	4	3	4050
IN020075	1	.5	4	1	2025
IN020077	1	5	4	1	20250
IN020078	1	1	4	1	4050
IN020079	1	3	4	2	12150
IN020079	2	2	4	6	8100
IN020079	3	1	4	1	4050
IN020080	1	1	4	1	4050
IN020080	2	1	1	6	4050
IN020080	3	2	1	6	8100
IN020081	1	2	4	7	8100
IN020082	1	1	4	6	4050
IN020082	2	1	4	6	4050
IN020082	3	.5	4	1	2025
IN020082	4	.5	4	1	2025
IN020083	1	1	4	1	4050
IN020086	1	.5	4	1	2025
IN020089	1	1	4	6	4050
IN020092	1	2	4	3	8100
IN020094	1	1	4	6	4050
IN020095	1	1	4	1	4050
IN020096	1	1	4	7	4050
IN020097	1	4	4	3	16200
IN020097	2	4	4	7	16200
IN020097	3	1	4	6	4050
IN020098	1	3	4	3	12150
IN020100	1	2	4	3	8100
IN020100	2	1	4	7	4050
IN020100	3	1	4	3	4050
IN020100	4	1	4	1	4050
IN030004	1	1	4	6	4050
IN030010	1	3	4	6	12150
IN030011	1	1	4	1	4050
IN030028	1	.0500000007450581	4	7	202.500003017485
IN030037	1	.0199999995529652	2	4	80.9999981895089
IN030042	1	1	4	1	4050
IN030045	1	.5	4	4	2025
IN030045	2	.400000005960464	4	4	1620.00002413988
IN030045	3	.400000005960464	4	4	1620.00002413988
IN030053	1	2	4	4	8100
IN030063	1	.0199999995529652	4	4	80.9999981895089
IN030073	1	1	2	1	4050
IN030073	2	1	2	1	4050
IN030073	3	.0199999995529652	4	4	80.9999981895089
IN030090	1	1	4	1	4050
IN030092	1	2	4	4	8100
IN040003	1	3	4	8	12150
IN040003	2	.699999988079071	4	7	2834.99995172024
IN040004	1	1	4	1	4050
IN040005	1	2	4	1	8100
IN040006	1	1	4	1	4050
IN040007	1	.300000011920929	4	8	1215.00004827976
IN040008	1	.5	4	8	2025
IN040009	1	.25	4	1	1012.5
IN040009	2	1	4	1	4050
IN040010	1	.5	4	1	2025
IN040011	1	1	4	1	4050
IN040011	2	.5	4	8	2025
IN040012	1	5	4	8	20250
IN040013	1	1	4	1	4050
IN040014	1	1	4	8	4050
IN040017	1	1	4	8	4050
IN040018	1	1	4	8	4050
IN040018	2	.5	4	1	2025
IN040019	1	2	4	8	8100
IN040019	2	.5	4	1	2025
IN040020	1	2	4	1	8100
IN040020	2	.5	4	8	2025
IN040021	1	3	4	8	12150
IN040021	2	2	4	1	8100
IN040022	1	3	4	3	12150
IN040022	2	.5	4	1	2025
IN040023	1	.5	4	8	2025
IN040023	2	.25	4	1	1012.5
IN040024	1	4	4	1	16200
IN040025	1	1	4	1	4050
IN040026	1	1	4	1	4050
IN040028	1	1	4	1	4050
IN040030	1	1	4	1	4050
IN040031	1	.5	4	1	2025
IN040031	2	.5	4	8	2025
IN040032	1	.5	4	1	2025
IN040032	2	.100000001490116	4	8	405.00000603497
IN040033	1	2	4	1	8100
IN040033	2	1	4	8	4050
IN040036	1	1.11000001430511	1	1	4495.50005793571
IN040037	1	3	4	8	12150
IN040037	2	1	4	1	4050
IN040038	1	.5	4	1	2025
IN040038	2	.5	4	8	2025
IN040039	1	1	4	1	4050
IN040039	2	1	4	8	4050
IN040039	3	1	1	1	4050
IN040040	1	1	4	8	4050
IN040042	1	1	4	1	4050
IN040042	2	1	4	1	4050
IN040044	1	4	4	8	16200
IN040044	2	2	4	1	8100
IN040045	1	1	99	1	4050
IN040045	2	2	99	8	8100
IN040046	1	2	4	8	8100
IN040048	1	.25	4	1	1012.5
IN040049	1	5	4	1	20250
IN040050	1	2	4	8	8100
IN040051	1	3	4	8	12150
IN040051	2	2	4	1	8100
IN040052	1	5	4	8	20250
IN040053	1	2	4	2	8100
IN040054	1	1.5	4	1	6075
IN040055	1	1	4	8	4050
IN040055	2	1	4	8	4050
IN040055	3	.25	3	1	1012.5
IN040056	1	3	4	8	12150
IN040062	1	2	4	1	8100
IN040065	1	1.5	4	1	6075
IN040065	2	1.5	4	8	6075
IN040071	1	1	4	6	4050
IN040075	1	3	4	1	12150
IN040076	1	3	4	6	12150
IN040079	1	2	4	1	8100
IN040080	1	.5	4	1	2025
IN040080	2	.400000005960464	4	6	1620.00002413988
IN040082	1	2	4	1	8100
IN040085	1	2	4	8	8100
IN040088	1	.5	4	7	2025
IN040091	1	5	4	8	20250
IN040091	2	1	4	1	4050
IN040093	1	.5	4	1	2025
IN040093	2	.5	4	2	2025
IN040094	1	.5	4	1	2025
IN040095	1	2	4	8	8100
IN040096	1	2	4	1	8100
IN040096	2	1	4	8	4050
IN040097	1	1	4	8	4050
IN040097	2	.5	4	1	2025
IN040100	1	1	4	8	4050
IN040100	2	1	4	8	4050
IN050001	1	2.5	4	1	10125
IN050001	2	2.5	4	1	10125
IN050001	3	2.5	4	1	10125
IN050001	4	2.25	4	1	9112.5
IN050001	5	1.5	4	1	6075
IN050001	6	1.5	4	1	6075
IN050001	7	1.5	4	1	6075
IN050001	8	1	4	1	4050
IN050003	1	.25	4	1	1012.5
IN050003	2	.25	4	1	1012.5
IN050004	1	2.5	4	1	10125
IN050004	2	2	4	1	8100
IN050004	3	1.5	4	1	6075
IN050004	4	1.25	4	1	5062.5
IN050004	5	1	4	1	4050
IN050005	1	.300000011920929	4	1	1215.00004827976
IN050005	2	.300000011920929	4	1	1215.00004827976
IN050005	3	.150000005960464	4	1	607.500024139881
IN050005	4	.100000001490116	4	1	405.00000603497
IN050005	5	.0799999982118607	4	1	323.999992758036
IN050005	6	.00999999977648258	4	6	40.4999990947545
IN050006	1	.5	4	1	2025
IN050006	2	.5	4	1	2025
IN050007	1	.5	4	1	2025
IN050008	1	.5	4	1	2025
IN050009	1	.400000005960464	4	1	1620.00002413988
IN050010	1	1.5	4	1	6075
IN050010	2	1	4	1	4050
IN050010	3	.800000011920929	4	1	3240.00004827976
IN050011	1	.699999988079071	4	1	2834.99995172024
