PLACEID	SCPRIDR4	PRBLCTLY	SPCPRBLC	AGSTPRB	O4YRDIMS
1	1	1	 	1	1
1	2	1	 	1	1
1	3	1	 	0	5
1	4	0	 	 	 
1	5	0	 	 	 
1	6	0	 	 	 
1	7	0	 	 	 
1	8	1	 	0	5
1	9	1	 	1	1
1	10	0	 	 	 
1	12	1	 	0	5
1	13	0	 	 	 
1	14	0	 	 	 
2	1	1	 	1	1
2	2	1	 	1	1
2	3	1	 	1	4
2	4	0	 	 	 
2	5	0	 	 	 
2	6	0	 	 	 
2	7	0	 	 	 
2	8	1	 	1	5
2	9	0	 	 	 
2	10	0	 	 	 
2	12	0	 	 	 
2	13	0	 	 	 
2	14	1	 	0	5
3	1	1	 	1	2
3	2	0	 	 	 
3	3	0	 	 	 
3	4	1	 	1	2
3	5	0	 	 	 
3	6	0	 	 	 
3	7	0	 	 	 
3	8	0	 	 	 
3	9	1	 	0	2
3	10	0	 	 	 
3	12	0	 	 	 
3	13	0	 	 	 
3	14	0	 	 	 
4	1	0	 	 	 
4	2	0	 	 	 
4	3	0	 	 	 
4	4	0	 	 	 
4	5	0	 	 	 
4	6	0	 	 	 
4	7	0	 	 	 
4	8	0	 	 	 
4	9	0	 	 	 
4	10	0	 	 	 
4	12	0	 	 	 
4	13	0	 	 	 
4	14	0	 	 	 
5	1	0	 	 	 
5	2	0	 	 	 
5	3	0	 	 	 
5	4	0	 	 	 
5	5	0	 	 	 
5	6	0	 	 	 
5	7	0	 	 	 
5	8	0	 	 	 
5	9	0	 	 	 
5	10	0	 	 	 
5	12	0	 	 	 
5	13	0	 	 	 
5	14	0	 	 	 
6	1	1	 	1	1
6	2	1	 	1	1
6	3	0	 	 	 
6	4	1	 	1	2
6	5	0	 	 	 
6	6	0	 	 	 
6	7	0	 	 	 
6	8	1	 	0	5
6	9	1	 	1	1
6	10	1	Domestic male violence	1	1
6	12	0	 	 	 
6	13	0	 	 	 
6	14	1	 	0	4
7	1	1	 	1	1
7	2	0	 	 	 
7	3	0	 	 	 
7	4	0	 	 	 
7	5	0	 	 	 
7	6	0	 	 	 
7	7	0	 	 	 
7	8	0	 	 	 
7	9	0	 	 	 
7	10	0	 	 	 
7	12	1	 	0	4
7	13	0	 	 	 
7	14	0	 	 	 
8	1	1	 	1	1
8	2	0	 	 	 
8	3	0	 	 	 
8	4	0	 	 	 
8	5	0	 	 	 
8	6	0	 	 	 
8	7	0	 	 	 
8	8	1	 	1	4
8	9	0	 	 	 
8	10	0	 	 	 
8	12	1	 	1	1
8	13	0	 	 	 
8	14	0	 	 	 
9	1	0	 	 	 
9	2	0	 	 	 
9	3	0	 	 	 
9	4	0	 	 	 
9	5	0	 	 	 
9	6	0	 	 	 
9	7	0	 	 	 
9	8	1	 	1	5
9	9	0	 	 	 
9	10	0	 	 	 
9	12	1	 	0	4
9	13	0	 	 	 
9	14	0	 	 	 
10	1	1	 	1	1
10	2	0	 	 	 
10	3	0	 	 	 
10	4	0	 	 	 
10	5	0	 	 	 
10	6	0	 	 	 
10	7	0	 	 	 
10	8	1	 	1	1
10	9	0	 	 	 
10	10	0	 	 	 
10	12	0	 	 	 
10	13	0	 	 	 
10	14	0	 	 	 
11	1	1	 	1	1
11	2	1	 	1	1
11	3	0	 	 	 
11	4	0	 	 	 
11	5	0	 	 	 
11	6	0	 	 	 
11	7	0	 	 	 
11	8	1	 	1	1
11	9	1	 	1	1
11	10	0	 	 	 
11	12	0	 	 	 
11	13	0	 	 	 
11	14	0	 	 	 
12	1	0	 	 	 
12	2	0	 	 	 
12	3	0	 	 	 
12	4	0	 	 	 
12	5	0	 	 	 
12	6	0	 	 	 
12	7	0	 	 	 
12	8	0	 	 	 
12	9	0	 	 	 
12	10	0	 	 	 
12	12	0	 	 	 
12	13	0	 	 	 
12	14	0	 	 	 
13	1	1	 	1	2
13	2	0	 	 	 
13	3	1	 	1	1
13	4	0	 	 	 
13	5	0	 	 	 
13	6	1	 	0	4
13	7	1	 	0	5
13	8	1	 	0	5
13	9	1	 	1	1
13	10	0	 	 	 
13	12	1	 	1	4
13	13	0	 	 	 
13	14	0	 	 	 
14	1	1	 	1	1
14	2	0	 	 	 
14	3	1	 	1	1
14	4	0	 	 	 
14	5	1	 	1	1
14	6	1	 	1	4
14	7	1	 	1	5
14	8	1	 	1	1
14	9	0	 	 	 
14	10	1	DAILY LABOURERS' MARKET	1	4
14	12	1	 	1	5
14	13	0	 	 	 
14	14	0	 	 	 
15	1	1	 	1	1
15	2	0	 	 	 
15	3	1	 	1	3
15	4	1	 	1	2
15	5	0	 	 	 
15	6	0	 	 	 
15	7	1	 	1	1
15	8	1	 	0	4
15	9	1	 	1	1
15	10	0	 	 	 
15	12	1	 	1	1
15	13	0	 	 	 
15	14	0	 	 	 
16	1	1	 	1	2
16	2	0	 	 	 
16	3	1	 	1	3
16	4	1	 	1	3
16	5	0	 	 	 
16	6	1	 	1	1
16	7	1	 	1	1
16	8	1	 	0	4
16	9	1	 	1	2
16	10	0	 	 	 
16	12	1	 	1	2
16	13	0	 	 	 
16	14	1	 	1	1
17	1	1	 	1	1
17	2	0	 	 	 
17	3	1	 	1	2
17	4	1	 	1	1
17	5	1	 	1	1
17	6	0	 	 	 
17	7	1	 	1	1
17	8	1	 	0	4
17	9	1	 	1	1
17	10	0	 	 	 
17	12	1	 	1	1
17	13	0	 	 	 
17	14	1	 	1	1
18	1	1	 	0	2
18	2	0	 	 	 
18	3	1	 	1	1
18	4	0	 	 	 
18	5	0	 	 	 
18	6	1	 	1	5
18	7	1	 	1	5
18	8	1	 	0	4
18	9	0	 	 	 
18	10	0	 	 	 
18	12	1	 	1	5
18	13	0	 	 	 
18	14	0	 	 	 
19	1	1	 	1	4
19	2	1	 	1	1
19	3	1	 	1	1
19	4	0	 	 	 
19	5	0	 	 	 
19	6	1	 	1	5
19	7	1	 	1	5
19	8	1	 	1	5
19	9	1	 	1	2
19	10	1	domestic violence	1	1
19	12	1	 	1	5
19	13	0	 	 	 
19	14	1	 	0	5
20	1	1	 	1	1
20	2	1	 	1	2
20	3	1	 	1	4
20	4	1	 	1	4
20	5	1	 	0	4
20	6	1	 	1	2
20	7	1	 	1	2
20	8	1	 	0	4
20	9	1	 	0	4
20	10	0	 	 	 
20	12	1	 	0	4
20	13	0	 	 	 
20	14	0	 	 	 
21	1	1	 	1	1
21	2	0	 	 	 
21	3	1	 	1	1
21	4	0	 	 	 
21	5	0	 	 	 
21	6	0	 	 	 
21	7	1	 	1	2
21	8	1	 	1	2
21	9	1	 	1	1
21	10	0	 	 	 
21	12	1	 	1	5
21	13	0	 	 	 
21	14	0	 	 	 
22	1	1	 	1	1
22	2	0	 	 	 
22	3	1	 	1	4
22	4	1	 	1	1
22	5	0	 	 	 
22	6	0	 	 	 
22	7	1	 	1	2
22	8	1	 	1	3
22	9	1	 	1	3
22	10	1	to decrease migration from rural to urban	1	4
22	12	1	 	1	1
22	13	0	 	 	 
22	14	0	 	 	 
23	1	1	 	1	1
23	2	0	 	 	 
23	3	1	 	77	3
23	4	0	 	 	 
23	5	0	 	 	 
23	6	1	 	1	5
23	7	1	 	1	3
23	8	1	 	1	4
23	9	1	 	1	1
23	10	0	 	 	 
23	12	1	 	1	4
23	13	0	 	 	 
23	14	0	 	 	 
24	1	1	 	1	1
24	2	0	 	 	 
24	3	1	 	1	1
24	4	0	 	 	 
24	5	0	 	 	 
24	6	1	 	1	1
24	7	1	 	1	1
24	8	1	 	1	1
24	9	1	 	1	1
24	10	0	 	 	 
24	12	1	 	1	1
24	13	0	 	 	 
24	14	1	 	1	1
