CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
111051	2	0	0	 
111053	1	.0399999991059303	6	5
111053	2	0	0	 
111054	1	.0199999995529652	0	 
111054	2	0	0	 
111055	1	.0199999995529652	3	5
111055	2	0	0	 
111056	1	0	0	 
111056	2	.0199999995529652	0	 
111057	1	.0199999995529652	2	5
111057	2	0	0	 
121001	1	.0199999995529652	0	 
121001	2	.00999999977648258	0	 
121002	1	.0299999993294477	2.5	5
121002	2	0	0	 
121003	1	.0500000007450581	11	5
121003	2	0	0	 
121004	1	.0199999995529652	2.5	5
121004	2	0	0	 
121005	1	.0199999995529652	4	5
121005	2	0	0	 
121006	1	0	0	 
121006	2	.00999999977648258	0	 
121007	1	.0299999993294477	5	5
121007	2	0	0	 
121008	1	.0299999993294477	0	 
121008	2	.00999999977648258	0	 
121009	1	.0199999995529652	0	 
121009	2	0	0	 
121010	1	.0199999995529652	4	5
121010	2	0	0	 
121011	1	.0199999995529652	4	5
121011	2	0	0	 
121012	1	.0299999993294477	5.5	5
121012	2	0	0	 
121013	1	.0299999993294477	0	 
121013	2	0	0	 
121014	1	.00999999977648258	3	5
121014	2	0	0	 
121015	1	.0299999993294477	.5	4
121015	2	0	12	5
121016	1	.0199999995529652	2	5
121016	2	0	0	 
121017	1	.100000001490116	7	5
121017	2	0	0	 
121018	1	.0299999993294477	4	5
121018	2	0	0	 
121019	1	.200000002980232	0	 
121019	2	0	0	 
121020	1	.0500000007450581	2.5	5
121020	2	0	0	 
121021	1	0	0	 
121021	2	.0299999993294477	0	 
121022	1	.0299999993294477	0	 
121022	2	.00999999977648258	0	 
121023	1	.0299999993294477	4	5
121023	2	0	0	 
121025	1	.0199999995529652	1	5
121025	2	0	0	 
121026	1	.0500000007450581	3	5
121026	2	0	0	 
121027	1	.0299999993294477	12	5
121027	2	0	0	 
121028	1	.25	12	5
121028	2	0	0	 
121029	1	.0299999993294477	2.5	5
121029	2	0	0	 
121030	1	.0799999982118607	3.5	5
121030	2	0	1.5	5
121031	1	.0199999995529652	0	 
121031	2	0	0	 
121032	1	.0199999995529652	2.59999990463257	5
121032	2	0	0	 
121033	1	.0199999995529652	0	 
121033	2	0	0	 
121034	1	.00999999977648258	0	 
121034	2	0	0	 
121035	1	.0199999995529652	0	 
121035	2	0	0	 
121036	1	.0299999993294477	12	5
121036	2	0	0	 
121037	1	.0399999991059303	1.5	5
121037	2	0	0	 
121038	1	.0199999995529652	1	5
121038	2	0	0	 
121039	1	.0299999993294477	2.5	5
121039	2	0	1	5
121040	1	.0199999995529652	0	 
121040	2	0	0	 
121041	1	0	0	 
121041	2	.00999999977648258	0	 
121042	1	0	 	 
121042	2	0	 	 
121043	1	.0199999995529652	0	 
121043	2	0	0	 
121044	1	.00999999977648258	3	5
121044	2	0	0	 
121045	1	0	0	 
121045	2	.0199999995529652	0	 
121046	1	0	0	 
121046	2	.00999999977648258	0	 
121047	1	3	5.5	5
121047	2	0	3.5	5
121048	1	0	 	 
121048	2	0	 	 
121049	1	.0199999995529652	3	5
121049	2	0	0	 
121050	1	.0299999993294477	3	4
121050	2	0	0	 
131001	1	.0299999993294477	1.5	5
131001	2	0	0	 
131002	1	.300000011920929	2	5
131002	2	0	0	 
131003	1	.0299999993294477	2.09999990463257	5
131003	2	0	0	 
131004	1	0	0	 
131004	2	0	0	 
131005	1	.0299999993294477	1	5
131005	2	0	0	 
131006	1	.0299999993294477	1	5
131006	2	0	1	5
131008	1	.0599999986588955	7	5
131008	2	.0199999995529652	0	 
131009	1	.0399999991059303	8	5
131009	2	.0199999995529652	0	 
131010	1	.0399999991059303	9	5
131010	2	0	0	 
131011	1	.0399999991059303	2	5
131011	2	0	0	 
131012	1	.0299999993294477	4	5
131012	2	.0299999993294477	0	 
131013	1	.0199999995529652	0	 
131013	2	0	11	2
131014	1	.0299999993294477	3	4
131014	2	0	0	 
131015	1	.0199999995529652	2	5
131015	2	0	0	 
131016	1	.0299999993294477	0	 
131016	2	0	0	 
131017	1	.0299999993294477	3	5
131017	2	0	0	 
131018	1	.200000002980232	3	5
131018	2	0	0	 
131019	1	.0199999995529652	5	5
131019	2	0	0	 
131020	1	.0299999993294477	.5	5
131020	2	0	0	 
131021	1	.0199999995529652	2	5
131021	2	0	0	 
131022	1	.0199999995529652	5	5
131022	2	0	0	 
131023	1	.0199999995529652	1.29999995231628	5
131023	2	0	0	 
131024	1	.200000002980232	0	 
131024	2	0	0	 
131025	1	-.0199999995529652	2.5	5
131025	2	0	0	 
131026	1	.0299999993294477	2	5
131026	2	0	0	 
131027	1	.0500000007450581	1.54999995231628	5
131027	2	0	0	 
131028	1	.0599999986588955	2.49000000953674	2
131028	2	0	0	 
131029	1	.0199999995529652	2	5
131029	2	0	0	 
131030	1	.0399999991059303	4	1
131030	2	0	0	 
131031	1	.0500000007450581	.75	4
131031	2	0	0	 
131032	1	.0599999986588955	4	5
131032	2	0	0	 
131034	1	.0500000007450581	2	5
131034	2	0	0	 
131035	1	.0599999986588955	2.5	3
131035	2	0	0	 
131036	1	.0299999993294477	0	 
131036	2	0	0	 
131037	1	.0299999993294477	5	5
131037	2	0	0	 
131038	1	.0199999995529652	1.5	5
131038	2	0	0	 
131039	1	.0299999993294477	5	5
131039	2	0	0	 
131040	1	.140000000596046	1.5	5
131040	2	0	0	 
131041	1	.0199999995529652	2.40000009536743	5
131041	2	0	0	 
131042	1	2	.5	5
131042	2	0	0	 
131043	1	.0399999991059303	2	2
131043	2	0	0	 
131044	1	.0500000007450581	10	1
131044	2	0	0	 
131045	1	.0500000007450581	3	3
131045	2	0	0	 
131046	1	.0599999986588955	5	3
131046	2	0	0	 
131047	1	.0199999995529652	1.25	1
131047	2	0	1	1
131048	1	.0299999993294477	0	 
131048	2	0	0	 
131049	1	.0199999995529652	.5	5
131049	2	0	0	 
131050	1	.0399999991059303	0	 
131050	2	.00999999977648258	0	 
141001	1	.300000011920929	0	 
141001	2	0	0	 
141002	1	.0199999995529652	0	 
141002	2	0	0	 
141004	1	.5	6	2
141004	2	0	0	 
141005	1	.0500000007450581	0	 
141005	2	0	0	 
141006	1	.0199999995529652	0	 
141006	2	0	0	 
141007	1	.0500000007450581	1	5
141007	2	0	0	 
141008	1	0	 	 
141008	2	0	 	 
141009	1	.00999999977648258	0	 
141009	2	0	0	 
141010	1	.100000001490116	0	 
141010	2	0	0	 
141011	1	.0399999991059303	 	 
141011	2	0	 	 
141012	1	.100000001490116	0	 
141012	2	0	0	 
141013	1	0	 	 
141013	2	0	 	 
141014	1	.00999999977648258	0	 
141014	2	0	0	 
141015	1	.100000001490116	0	 
141015	2	0	0	 
141016	1	.0199999995529652	0	 
141016	2	0	0	 
141017	1	0	 	 
141017	2	0	 	 
141018	1	.0199999995529652	0	 
141018	2	0	0	 
141020	1	.400000005960464	1	5
141020	2	0	0	 
141021	1	.0500000007450581	7	2
141021	2	0	0	 
141022	1	0	 	 
141022	2	0	 	 
141023	1	.0199999995529652	0	 
141023	2	0	0	 
141024	1	.0700000002980232	0	 
141024	2	0	0	 
141025	1	.0399999991059303	0	 
141025	2	0	0	 
141026	1	.0299999993294477	 	 
141026	2	0	 	 
141027	1	.0299999993294477	0	 
141027	2	0	0	 
141028	1	.0500000007450581	0	 
141028	2	0	0	 
141029	1	.0900000035762787	0	 
141029	2	0	0	 
141030	1	.0500000007450581	0	 
141030	2	0	0	 
141031	1	.0299999993294477	2	4
141031	2	0	0	 
141032	1	.25	0	 
141032	2	0	0	 
141033	1	.0199999995529652	0	 
141033	2	0	0	 
141034	1	.0199999995529652	0	 
141034	2	0	0	 
141035	1	.00999999977648258	0	 
141035	2	0	0	 
141036	1	.00999999977648258	0	 
141036	2	0	0	 
141037	1	.0199999995529652	0	 
141037	2	0	0	 
141038	1	.0299999993294477	0	 
141038	2	0	0	 
141040	1	.00999999977648258	0	 
141040	2	0	0	 
141041	1	0	0	 
141041	2	0	0	 
141042	1	.0599999986588955	.119999997317791	5
141042	2	0	0	 
141043	1	.00999999977648258	.100000001490116	5
141043	2	0	0	 
141044	1	.0199999995529652	0	 
141044	2	0	0	 
141045	1	0	2	5
141045	2	0	0	 
141046	1	.0199999995529652	0	 
141046	2	0	0	 
141048	1	0	 	 
141048	2	0	 	 
141049	1	.0199999995529652	0	 
141049	2	0	0	 
141050	1	.200000002980232	0	 
141050	2	0	0	 
151001	1	.119999997317791	6	5
151001	2	0	3	5
151002	1	4.40000009536743	3	5
151002	2	0	0	 
151003	1	.100000001490116	5	88
151003	2	0	0	 
151004	1	.800000011920929	5	5
151004	2	0	0	 
151005	1	.0700000002980232	3	5
151005	2	0	0	 
151006	1	.0199999995529652	6	5
151006	2	-77	-77	 
151007	1	.0199999995529652	0	 
151007	2	0	0	 
151008	1	.0700000002980232	.5	4
151008	2	0	0	 
151009	1	.600000023841858	2	5
151009	2	0	0	 
151010	1	.150000005960464	5	2
151010	2	0	2.5	2
151011	1	.0500000007450581	3	88
151011	2	0	0	 
151012	1	.0700000002980232	2	88
151012	2	0	4	2
151013	1	.0199999995529652	0	 
151013	2	0	0	 
151014	1	.0199999995529652	2	5
151014	2	0	0	 
151015	1	.0199999995529652	2	5
151015	2	0	0	 
151016	1	.0299999993294477	.75	5
151016	2	0	0	 
151017	1	.119999997317791	2	88
151017	2	0	1	5
151018	1	.699999988079071	4	1
151018	2	0	0	 
151019	1	2.5	3	5
151019	2	0	2	5
151020	1	.0500000007450581	1	5
151020	2	0	0	 
151021	1	.0500000007450581	3	5
151021	2	0	2	5
151022	1	.100000001490116	2	5
151022	2	0	2	5
151023	1	.140000000596046	12	5
151023	2	0	0	 
151024	1	.0399999991059303	1	5
151024	2	0	0	 
151025	1	.00999999977648258	3	5
151025	2	0	0	 
151026	1	.0199999995529652	0	 
151026	2	0	0	 
151027	1	.0199999995529652	3	5
151027	2	0	0	 
151028	1	.0700000002980232	1	5
151028	2	0	2	4
151029	1	.100000001490116	1	5
151029	2	0	2	5
151030	1	.0199999995529652	0	 
151030	2	0	3	88
151031	1	.0700000002980232	0	 
151031	2	0	0	 
151032	1	.0500000007450581	0	 
151032	2	0	0	 
151033	1	.800000011920929	2	5
151033	2	0	0	 
151034	1	.0700000002980232	3	88
151034	2	0	2	88
151035	1	.0399999991059303	1	5
151035	2	0	0	 
151036	1	.75	8	4
151036	2	0	0	 
151037	1	.119999997317791	0	 
151037	2	0	.5	5
151038	1	2.5	2	5
151038	2	0	3	5
151039	1	.100000001490116	0	 
151039	2	0	0	 
151040	1	.100000001490116	20	2
151040	2	0	0	 
151041	1	.0500000007450581	0	 
151041	2	0	0	 
151042	1	.119999997317791	0	 
151042	2	0	3	5
151043	1	.0399999991059303	1	88
151043	2	0	0	 
151045	1	.0500000007450581	1	5
151045	2	0	0	 
151046	1	.0199999995529652	0	 
151046	2	0	0	 
151047	1	.0500000007450581	0	 
151047	2	0	0	 
151048	1	0	 	 
151048	2	0	 	 
151049	1	.0399999991059303	0	 
151049	2	0	0	 
161001	1	0	 	 
161001	2	0	 	 
161002	1	.0500000007450581	0	 
161002	2	0	0	 
161003	1	.0500000007450581	0	 
161003	2	0	0	 
161004	1	.0199999995529652	1	5
161004	2	0	0	 
161005	1	.0799999982118607	0	 
161005	2	0	0	 
161006	1	.300000011920929	0	 
161006	2	0	0	 
161007	1	.0500000007450581	0	 
161007	2	0	0	 
161008	1	.0500000007450581	1	5
161008	2	0	4	5
161009	1	.0500000007450581	1.5	88
161009	2	0	0	 
161010	1	2.29999995231628	2	5
161010	2	0	0	 
161011	1	.5	0	 
161011	2	0	0	 
161012	1	.100000001490116	2	88
161012	2	0	0	 
161013	1	6.5	6	5
161013	2	0	3	5
161014	1	.100000001490116	1	5
161014	2	0	0	 
161015	1	.0299999993294477	6	4
161015	2	0	0	 
161016	1	2.5	3	5
161016	2	0	0	 
161017	1	.0199999995529652	0	 
161017	2	0	0	 
161018	1	.230000004172325	2	5
161018	2	0	0	 
161019	1	.0199999995529652	0	 
161019	2	0	5	5
161020	1	.400000005960464	100	88
161020	2	0	0	 
161021	1	2.5	3	5
161021	2	0	0	 
161022	1	.0299999993294477	3	3
161022	2	0	5	2
161023	1	0	 	 
161023	2	0	 	 
161024	1	.0500000007450581	1	88
161024	2	0	5	88
161025	1	2	4	5
161025	2	0	2	5
161026	1	.0599999986588955	2	5
161026	2	0	4	5
161027	1	0	22	4
161027	2	0	0	 
161028	1	4.09999990463257	5	5
161028	2	0	0	 
161029	1	.0199999995529652	10	3
161029	2	0	4.5	88
161030	1	.0199999995529652	2	5
161030	2	0	0	 
161031	1	.25	7	88
161031	2	0	0	 
161032	1	.0199999995529652	0	 
161032	2	0	0	 
161033	1	4	2	5
161033	2	0	2	5
161034	1	.0500000007450581	2	88
161034	2	0	0	 
161035	1	0	2	5
161035	2	0	0	 
161036	1	 	 	 
161036	2	 	 	 
161037	1	0	0	 
161037	2	0	3	5
161038	1	.0199999995529652	0	 
161038	2	0	0	 
161039	1	.0399999991059303	0	 
161039	2	0	0	 
161040	1	.0199999995529652	 	 
161040	2	0	 	 
161041	1	.0299999993294477	2	5
161041	2	0	0	 
161042	1	.0199999995529652	0	 
161042	2	0	0	 
161043	1	.100000001490116	0	 
161043	2	0	0	 
161044	1	2.5	3	5
161044	2	0	0	 
161045	1	.0199999995529652	3	5
161045	2	0	0	 
161046	1	.430000007152557	6	1
161046	2	0	0	 
161047	1	.449999988079071	2	5
161047	2	0	0	 
161048	1	.810000002384186	2	5
161048	2	0	0	 
161049	1	.600000023841858	6	1
161049	2	0	0	 
161050	1	.0500000007450581	4	5
161050	2	0	0	 
171002	1	.0199999995529652	0	 
171002	2	0	0	 
171003	1	.0500000007450581	1	5
171003	2	0	0	 
171004	1	.0399999991059303	1	4
171004	2	0	0	 
171005	1	.0199999995529652	2	2
171005	2	0	0	 
171006	1	.0399999991059303	.930000007152557	1
171006	2	0	.25	5
171007	1	.0199999995529652	1	5
171007	2	0	0	 
171008	1	.0199999995529652	2	1
171008	2	0	0	 
171009	1	.0199999995529652	.5	5
171009	2	0	0	 
171010	1	.0199999995529652	.5	1
171010	2	0	0	 
171011	1	.0599999986588955	3.45000004768372	5
171011	2	0	0	 
171012	1	.0500000007450581	2.04999995231628	5
171012	2	0	0	 
171013	1	.0199999995529652	1	5
171013	2	0	2	5
171014	1	.0399999991059303	6	1
171014	2	0	3	5
171015	1	.0199999995529652	1.5	5
171015	2	0	0	 
171016	1	.0199999995529652	.5	5
171016	2	0	2	5
171017	1	.0399999991059303	4	5
171017	2	0	0	 
171018	1	.0299999993294477	1.5	5
171018	2	0	0	 
171019	1	.100000001490116	4	5
171019	2	0	0	 
171020	1	.0199999995529652	.25	5
171020	2	0	0	 
171021	1	.100000001490116	2	5
171021	2	0	0	 
171022	1	.0199999995529652	2.75	1
171022	2	0	0	 
171023	1	.0500000007450581	2	5
171023	2	0	0	 
171024	1	.00999999977648258	.5	4
171024	2	0	.5	4
171025	1	.100000001490116	4	5
171025	2	0	0	 
171026	1	.0299999993294477	6	1
171026	2	0	0	 
171027	1	.0500000007450581	.600000023841858	5
171027	2	0	1.20000004768372	5
171028	1	.100000001490116	1	5
171028	2	0	0	 
171029	1	.0500000007450581	1.5	5
171029	2	0	0	 
171030	1	.0299999993294477	0	 
171030	2	0	0	 
171031	1	.100000001490116	1	5
171031	2	0	0	 
171032	1	.0500000007450581	8	1
171032	2	0	0	 
171033	1	.00999999977648258	3	5
171033	2	0	0	 
171035	1	.0299999993294477	2	5
171035	2	0	0	 
171036	1	.0399999991059303	0	 
171036	2	0	0	 
171037	1	0	 	 
171037	2	0	 	 
171038	1	.100000001490116	2.5	5
171038	2	0	0	 
171039	1	.0700000002980232	8	5
171039	2	0	0	 
171040	1	.0399999991059303	5	5
171040	2	0	0	 
171041	1	.0500000007450581	0	 
171041	2	0	0	 
171042	1	.5	8	5
171042	2	0	0	 
171043	1	.100000001490116	3	5
171043	2	0	0	 
171044	1	.0399999991059303	1.5	5
171044	2	0	0	 
171045	1	.0199999995529652	1.5	5
171045	2	0	0	 
171046	1	.0399999991059303	6	5
171046	2	0	0	 
171047	1	.150000005960464	2.5	5
171047	2	0	0	 
171048	1	.0799999982118607	1	5
171048	2	0	0	 
171049	1	.0700000002980232	.5	5
171049	2	0	3	5
171050	1	.0399999991059303	14	1
171050	2	0	0	 
181001	1	.0299999993294477	4	5
181001	2	0	0	 
181002	1	.0199999995529652	1	5
181002	2	0	0	 
181003	1	.0399999991059303	0	 
181003	2	0	0	 
181004	1	.0500000007450581	1.5	5
181004	2	0	0	 
181005	1	.100000001490116	5	5
181005	2	0	0	 
181006	1	.0399999991059303	0	 
181006	2	0	0	 
181007	1	.0500000007450581	4	5
181007	2	0	0	 
181008	1	.0399999991059303	2	5
181008	2	0	0	 
181009	1	.0199999995529652	0	 
181009	2	.0199999995529652	0	 
181010	1	.0399999991059303	3	4
181010	2	0	0	 
181011	1	.300000011920929	7	5
181011	2	0	0	 
181012	1	.0500000007450581	3	5
181012	2	0	0	 
181013	1	.0299999993294477	3	1
181013	2	0	0	 
181014	1	.0700000002980232	1.5	5
181014	2	0	0	 
181015	1	.0199999995529652	5	5
181015	2	0	0	 
181016	1	.0199999995529652	1	5
181016	2	0	0	 
181017	1	.0500000007450581	0	 
181017	2	0	0	 
181018	1	.00999999977648258	.5	5
181018	2	0	0	 
181019	1	.0399999991059303	6	5
181019	2	0	0	 
181020	1	.0399999991059303	4	5
181020	2	0	0	 
181021	1	.0599999986588955	5	1
181021	2	0	0	 
181023	1	.0399999991059303	5	1
181023	2	0	0	 
181024	1	.0399999991059303	2	5
181024	2	0	0	 
181025	1	.0399999991059303	5	3
181025	2	0	0	 
181026	1	.0399999991059303	5	2
181026	2	0	0	 
181027	1	.0500000007450581	8	5
181027	2	0	0	 
181028	1	.0299999993294477	1	5
181028	2	0	0	 
181029	1	.0599999986588955	5	2
181029	2	0	0	 
181030	1	.0299999993294477	7	1
181030	2	0	0	 
181031	1	.0299999993294477	1	4
181031	2	0	0	 
181032	1	.5	2	5
181032	2	0	1	5
181033	1	.0399999991059303	.5	5
181033	2	0	0	 
181035	1	.0299999993294477	0	 
181035	2	0	0	 
181036	1	.119999997317791	1.5	2
181036	2	0	0	 
181037	1	.0199999995529652	0	 
181037	2	0	0	 
181038	1	.0599999986588955	13	5
181038	2	0	0	 
181039	1	.0399999991059303	1	5
181039	2	0	0	 
181040	1	.0399999991059303	1	1
181040	2	0	0	 
181041	1	.0399999991059303	8.19999980926514	1
181041	2	0	0	 
181042	1	.0399999991059303	2	5
181042	2	0	0	 
181043	1	0	 	 
181043	2	.0199999995529652	 	 
181044	1	.0500000007450581	0	 
181044	2	0	0	 
181045	1	.0500000007450581	2	5
181045	2	0	0	 
181046	1	.0299999993294477	3	5
181046	2	0	0	 
181047	1	.0299999993294477	2	1
181047	2	0	2	2
181048	1	.0199999995529652	2.5	5
181048	2	0	0	 
181049	1	.0199999995529652	.0500000007450581	5
181049	2	0	4	5
181050	1	.0199999995529652	 	 
181050	2	0	 	 
191001	1	.0199999995529652	0	 
191001	2	0	0	 
191002	1	.0199999995529652	3	1
191002	2	0	0	 
191003	1	.0299999993294477	6	5
191003	2	0	0	 
191004	1	.0299999993294477	1.5	2
191004	2	0	1.5	3
191005	1	.0299999993294477	3	3
191005	2	0	0	 
191006	1	.0399999991059303	9	1
191006	2	0	0	 
191007	1	.0599999986588955	5	3
191007	2	0	0	 
191008	1	.300000011920929	7	5
191008	2	0	2.5	5
191010	1	.0799999982118607	25	3
191010	2	0	0	 
191011	1	.0599999986588955	4	5
191011	2	0	0	 
191012	1	.0299999993294477	4	5
191012	2	0	0	 
191013	1	.0500000007450581	8	4
191013	2	0	0	 
191014	1	.0199999995529652	2	5
191014	2	0	0	 
191015	1	.0500000007450581	4	5
191015	2	0	0	 
191016	1	.0299999993294477	2.5	2
191016	2	0	0	 
191017	1	.0399999991059303	3	5
191017	2	0	0	 
191018	1	.0399999991059303	.5	5
191018	2	0	0	 
191019	1	.0199999995529652	0	 
191019	2	0	0	 
191020	1	.0299999993294477	1.5	1
191020	2	0	0	 
191021	1	.0399999991059303	6	1
191021	2	0	0	 
191022	1	.0199999995529652	2	4
191022	2	0	0	 
191023	1	.0599999986588955	12	3
191023	2	0	0	 
191024	1	.0199999995529652	1.25	3
191024	2	0	.5	4
191025	1	.0199999995529652	.5	5
191025	2	0	0	 
191026	1	.0199999995529652	0	 
191026	2	.00999999977648258	0	 
191027	1	.0599999986588955	5	3
191027	2	0	0	 
191028	1	.0299999993294477	5	1
191028	2	0	0	 
191029	1	.0299999993294477	5	2
191029	2	0	0	 
191030	1	.0199999995529652	7.5	1
191030	2	0	0	 
191031	1	.0500000007450581	5	1
191031	2	0	0	 
191032	1	.0399999991059303	5	3
191032	2	0	0	 
191033	1	.0299999993294477	4.5	1
191033	2	0	0	 
191034	1	.0500000007450581	8	3
191034	2	0	0	 
191035	1	.0299999993294477	5	1
191035	2	0	0	 
191036	1	.0599999986588955	5	5
191036	2	0	0	 
191037	1	.0399999991059303	3.5	2
191037	2	0	0	 
191038	1	.0500000007450581	6	3
191038	2	0	0	 
191039	1	.300000011920929	2	5
191039	2	0	0	 
191040	1	.0399999991059303	4	1
191040	2	0	0	 
191041	1	.00999999977648258	.5	5
191041	2	0	0	 
191042	1	.0399999991059303	0	 
191042	2	0	0	 
191043	1	.0599999986588955	0	 
191043	2	0	0	 
191044	1	.0399999991059303	0	 
191044	2	0	0	 
191045	1	.0799999982118607	6	3
191045	2	0	0	 
191046	1	.0799999982118607	3	2
191046	2	0	0	 
191047	1	.0299999993294477	8	1
191047	2	0	0	 
191048	1	.0399999991059303	7	1
191048	2	0	0	 
191049	1	.0299999993294477	.300000011920929	4
191049	2	0	1	4
191050	1	.00999999977648258	2	5
191050	2	0	0	 
201001	1	1.79999995231628	0	 
201001	2	0	0	 
201002	1	0	0	 
201002	2	.00999999977648258	0	 
201003	1	.00999999977648258	0	 
201003	2	0	0	 
201004	1	.0199999995529652	0	 
201004	2	0	0	 
201005	1	.0199999995529652	1.29999995231628	5
201005	2	0	0	 
201006	1	.300000011920929	0	 
201006	2	0	0	 
201007	1	.0299999993294477	0	 
201007	2	0	0	 
201008	1	.0199999995529652	2	5
201008	2	0	0	 
201009	1	.00999999977648258	0	 
201009	2	.0199999995529652	0	 
201010	1	.0399999991059303	0	 
201010	2	0	0	 
201011	1	.330000013113022	0	 
201011	2	0	0	 
201012	1	0	0	 
201012	2	0	0	 
201013	1	 	 	 
201013	2	 	 	 
201014	1	.899999976158142	0	 
201014	2	0	0	 
201015	1	.0199999995529652	0	 
201015	2	0	0	 
201016	1	.00999999977648258	0	 
201016	2	0	0	 
201017	1	.349999994039536	3	79
201017	2	0	0	 
201018	1	.600000023841858	0	 
201018	2	0	0	 
201019	1	 	 	 
201019	2	 	 	 
201020	1	 	 	 
201020	2	 	 	 
201021	1	.0199999995529652	0	 
201021	2	0	0	 
201023	1	.0199999995529652	2	5
201023	2	0	0	 
201024	1	.0199999995529652	2.52999997138977	5
201024	2	0	0	 
201026	1	 	 	 
201026	2	 	 	 
201027	1	.129999995231628	8	4
201027	2	0	0	 
201029	1	 	 	 
201029	2	 	 	 
201032	1	.0199999995529652	0	 
201032	2	0	0	 
201033	1	.0199999995529652	0	 
201033	2	0	0	 
201034	1	.0199999995529652	0	 
201034	2	0	0	 
201036	1	.0299999993294477	0	 
201036	2	0	0	 
201037	1	.0199999995529652	0	 
201037	2	0	0	 
201038	1	.0199999995529652	0	 
201038	2	0	0	 
201039	1	.0199999995529652	0	 
201039	2	0	0	 
201040	1	.0399999991059303	2	5
201040	2	0	0	 
201041	1	0	0	 
201041	2	.00999999977648258	0	 
201042	1	0	0	 
201042	2	.0199999995529652	0	 
201044	1	.0199999995529652	0	 
201044	2	0	0	 
201045	1	.00999999977648258	0	 
201045	2	.00999999977648258	0	 
201047	1	0	0	 
201047	2	.0199999995529652	0	 
201048	1	0	0	 
201048	2	.00999999977648258	0	 
201049	1	0	0	 
201049	2	.0199999995529652	0	 
201050	1	0	 	 
201050	2	.0299999993294477	 	 
201051	1	0	 	 
201051	2	.0199999995529652	 	 
