CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
11001	1	1	1	3
11001	2	1	1	3
11001	3	1	0	3
11001	4	1	0	3
11001	5	1	1	3
11001	6	1	0	3
11001	7	1	0	3
11001	8	1	1	1
11001	9	1	0	1
11001	10	1	1	1
11001	11	1	1	1
11002	1	1	1	1
11002	2	1	1	7
11002	3	1	1	1
11002	4	1	1	7
11002	5	1	1	3
11002	6	1	1	7
11002	7	1	1	1
11002	8	1	1	1
11002	9	1	1	7
11002	10	1	1	7
11002	11	1	1	1
11003	1	1	1	1
11003	2	1	1	6
11003	3	1	1	6
11003	4	1	1	6
11003	5	1	1	1
11003	6	1	1	1
11003	7	1	1	6
11003	8	0	1	6
11003	9	1	1	6
11003	10	1	1	1
11003	11	1	1	6
11004	1	1	1	1
11004	2	0	1	3
11004	3	1	1	1
11004	4	1	1	1
11004	5	0	0	3
11004	6	1	1	1
11004	7	1	1	3
11004	8	1	1	1
11004	9	1	1	3
11004	10	1	1	1
11004	11	1	1	1
11005	1	1	1	2
11005	2	1	1	6
11005	3	1	1	6
11005	4	1	1	6
11005	5	1	1	6
11005	6	1	1	6
11005	7	1	1	6
11005	8	1	1	6
11005	9	1	1	6
11005	10	1	1	6
11005	11	1	1	6
11006	1	1	1	1
11006	2	1	0	3
11006	3	1	0	3
11006	4	1	1	1
11006	5	1	1	1
11006	6	1	0	3
11006	7	1	1	1
11006	8	1	1	1
11006	9	1	1	1
11006	10	1	1	1
11006	11	1	1	1
11007	1	1	1	1
11007	2	1	1	2
11007	3	1	1	2
11007	4	1	1	2
11007	5	1	1	1
11007	6	1	1	2
11007	7	1	1	2
11007	8	1	1	2
11007	9	1	1	2
11007	10	1	1	2
11007	11	1	1	2
11008	1	1	1	1
11008	2	1	1	7
11008	3	1	1	1
11008	4	1	0	6
11008	5	1	1	1
11008	6	1	0	3
11008	7	1	1	1
11008	8	0	0	2
11008	9	1	1	1
11008	10	1	1	3
11008	11	1	1	1
11009	1	1	1	1
11009	2	1	0	3
11009	3	1	1	1
11009	4	1	0	3
11009	5	1	0	3
11009	6	1	1	3
11009	7	1	1	7
11009	8	0	0	8
11009	9	1	0	3
11009	10	1	1	7
11009	11	1	1	1
11010	1	1	1	1
11010	2	1	1	7
11010	3	1	1	7
11010	4	1	1	7
11010	5	0	0	1
11010	6	1	1	8
11010	7	1	1	8
11010	8	0	0	77
11010	9	1	1	8
11010	10	1	1	8
11010	11	1	1	1
11011	1	1	1	1
11011	2	1	0	3
11011	3	1	1	1
11011	4	1	0	3
11011	5	0	1	1
11011	6	1	1	4
11011	7	1	1	3
11011	8	1	1	1
11011	9	1	0	3
11011	10	1	1	3
11011	11	1	1	1
11012	1	1	1	1
11012	2	1	1	1
11012	3	1	1	1
11012	4	1	1	1
11012	5	1	1	1
11012	6	1	1	1
11012	7	1	1	1
11012	8	1	1	1
11012	9	1	1	1
11012	10	1	1	7
11012	11	1	1	6
11015	1	1	1	1
11015	2	1	1	3
11015	3	1	1	1
11015	4	1	1	1
11015	5	1	1	1
11015	6	1	1	1
11015	7	1	1	1
11015	8	0	1	1
11015	9	1	1	1
11015	10	1	1	1
11015	11	1	1	1
11016	1	1	1	1
11016	2	1	1	3
11016	3	1	1	1
11016	4	1	1	1
11016	5	1	1	1
11016	6	1	1	1
11016	7	1	1	1
11016	8	0	1	1
11016	9	1	1	1
11016	10	0	1	1
11016	11	0	1	1
11018	1	0	1	1
11018	2	0	1	1
11018	3	0	1	1
11018	4	0	1	1
11018	5	0	1	1
11018	6	0	1	1
11018	7	0	1	1
11018	8	0	1	1
11018	9	0	1	1
11018	10	0	1	1
11018	11	0	1	1
11019	1	1	1	1
11019	2	1	1	1
11019	3	1	1	1
11019	4	1	1	1
11019	5	1	1	3
11019	6	1	1	1
11019	7	1	1	1
11019	8	1	1	1
11019	9	1	1	1
11019	10	1	1	1
11019	11	1	1	1
11020	1	1	1	1
11020	2	1	1	3
11020	3	1	1	1
11020	4	1	1	1
11020	5	1	1	1
11020	6	1	1	1
11020	7	1	1	1
11020	8	1	1	1
11020	9	1	1	1
11020	10	1	1	3
11020	11	1	1	1
11021	1	1	1	1
11021	2	1	1	6
11021	3	1	1	6
11021	4	1	1	6
11021	5	1	1	1
11021	6	1	1	6
11021	7	1	1	6
11021	8	1	1	6
11021	9	1	1	6
11021	10	1	1	7
11021	11	1	1	6
11022	1	1	1	1
11022	2	1	1	3
11022	3	1	1	1
11022	4	1	1	1
11022	5	1	1	1
11022	6	0	1	3
11022	7	1	1	1
11022	8	1	1	1
11022	9	1	1	1
11022	10	1	1	1
11022	11	1	1	1
11024	1	1	1	1
11024	2	1	0	3
11024	3	1	0	3
11024	4	1	0	3
11024	5	1	0	3
11024	6	1	0	3
11024	7	1	0	3
11024	8	1	0	3
11024	9	1	0	3
11024	10	1	1	1
11024	11	1	1	1
11025	1	1	1	1
11025	2	1	0	3
11025	3	1	1	1
11025	4	1	1	1
11025	5	1	1	1
11025	6	1	1	1
11025	7	1	1	1
11025	8	1	1	1
11025	9	1	0	3
11025	10	1	1	1
11025	11	1	1	1
11026	1	1	1	1
11026	2	1	1	2
11026	3	1	1	2
11026	4	1	0	2
11026	5	1	1	2
11026	6	1	1	1
11026	7	1	1	2
11026	8	1	1	2
11026	9	1	1	2
11026	10	1	1	2
11026	11	1	1	2
11029	1	1	1	1
11029	2	1	1	8
11029	3	1	1	8
11029	4	1	1	8
11029	5	1	1	8
11029	6	1	1	8
11029	7	1	1	8
11029	8	0	0	1
11029	9	1	1	8
11029	10	1	1	1
11029	11	1	1	1
11030	1	1	1	1
11030	2	1	1	8
11030	3	0	1	7
11030	4	1	1	1
11030	5	1	1	1
11030	6	1	1	8
11030	7	1	1	1
11030	8	0	1	8
11030	9	1	1	7
11030	10	0	1	1
11030	11	0	1	1
11031	1	1	1	1
11031	2	1	1	1
11031	3	1	1	1
11031	4	1	1	1
11031	5	1	1	1
11031	6	1	1	1
11031	7	1	1	1
11031	8	1	1	1
11031	9	1	1	1
11031	10	1	1	1
11031	11	1	1	1
11032	1	1	1	1
11032	2	0	1	8
11032	3	1	1	1
11032	4	1	1	1
11032	5	1	1	1
11032	6	1	1	1
11032	7	1	1	1
11032	8	0	1	1
11032	9	1	1	1
11032	10	0	1	1
11032	11	0	1	2
11033	1	1	1	1
11033	2	1	1	3
11033	3	1	1	1
11033	4	1	1	1
11033	5	1	1	1
11033	6	1	1	1
11033	7	1	1	1
11033	8	1	1	1
11033	9	1	1	1
11033	10	1	1	1
11033	11	1	1	1
11034	1	1	1	1
11034	2	1	1	1
11034	3	1	1	1
11034	4	1	1	1
11034	5	1	1	1
11034	6	1	1	1
11034	7	1	1	1
11034	8	1	1	1
11034	9	1	1	1
11034	10	0	1	1
11034	11	0	1	6
11035	1	1	1	1
11035	2	1	1	3
11035	3	1	1	1
11035	4	1	1	3
11035	5	1	1	1
11035	6	1	1	1
