CHILDCODE	SCHCSTIDR52	FEES2R5
11001	5	0
11001	6	0
11001	7	1000
11001	8	1500
11001	9	6000
11002	5	1500
11002	6	12000
11002	7	2000
11002	8	0
11002	9	2000
11003	5	 
11003	6	 
11003	7	 
11003	8	 
11003	9	 
11004	5	 
11004	6	 
11004	7	 
11004	8	 
11004	9	 
11005	5	 
11005	6	 
11005	7	 
11005	8	 
11005	9	 
11006	5	 
11006	6	 
11006	7	 
11006	8	 
11006	9	 
11007	5	 
11007	6	 
11007	7	 
11007	8	 
11007	9	 
11008	5	 
11008	6	 
11008	7	 
11008	8	 
11008	9	 
11009	5	 
11009	6	 
11009	7	 
11009	8	 
11009	9	 
11010	5	 
11010	6	 
11010	7	 
11010	8	 
11010	9	 
11011	5	1000
11011	6	9000
11011	7	0
11011	8	5000
11011	9	3000
11012	5	 
11012	6	 
11012	7	 
11012	8	 
11012	9	 
11015	5	 
11015	6	 
11015	7	 
11015	8	 
11015	9	 
11016	5	 
11016	6	 
11016	7	 
11016	8	 
11016	9	 
11018	5	 
11018	6	 
11018	7	 
11018	8	 
11018	9	 
11019	5	 
11019	6	 
11019	7	 
11019	8	 
11019	9	 
11020	5	 
11020	6	 
11020	7	 
11020	8	 
11020	9	 
11021	5	 
11021	6	 
11021	7	 
11021	8	 
11021	9	 
11022	5	 
11022	6	 
11022	7	 
11022	8	 
11022	9	 
11024	5	 
11024	6	 
11024	7	 
11024	8	 
11024	9	 
11025	5	 
11025	6	 
11025	7	 
11025	8	 
11025	9	 
11026	5	 
11026	6	 
11026	7	 
11026	8	 
11026	9	 
11029	5	 
11029	6	 
11029	7	 
11029	8	 
11029	9	 
11030	5	4000
11030	6	4200
11030	7	2800
11030	8	0
11030	9	5000
11031	5	 
11031	6	 
11031	7	 
11031	8	 
11031	9	 
11032	5	 
11032	6	 
11032	7	 
11032	8	 
11032	9	 
11033	5	 
11033	6	 
11033	7	 
11033	8	 
11033	9	 
11034	5	 
11034	6	 
11034	7	 
11034	8	 
11034	9	 
11035	5	 
11035	6	 
11035	7	 
11035	8	 
11035	9	 
11037	5	 
11037	6	 
11037	7	 
11037	8	 
11037	9	 
11038	5	0
11038	6	0
11038	7	2400
11038	8	7200
11038	9	300
11039	5	 
11039	6	 
11039	7	 
11039	8	 
11039	9	 
11040	5	 
11040	6	 
11040	7	 
11040	8	 
11040	9	 
11041	5	 
11041	6	 
11041	7	 
11041	8	 
11041	9	 
11042	5	 
11042	6	 
11042	7	 
11042	8	 
11042	9	 
11043	5	 
11043	6	 
11043	7	 
11043	8	 
11043	9	 
11044	5	 
11044	6	 
11044	7	 
11044	8	 
11044	9	 
11047	5	 
11047	6	 
11047	7	 
11047	8	 
11047	9	 
11048	5	 
11048	6	 
11048	7	 
11048	8	 
11048	9	 
11050	5	 
11050	6	 
11050	7	 
11050	8	 
11050	9	 
11052	5	 
11052	6	 
11052	7	 
11052	8	 
11052	9	 
11061	5	 
11061	6	 
11061	7	 
11061	8	 
11061	9	 
11063	5	 
11063	6	 
11063	7	 
11063	8	 
11063	9	 
11069	5	 
11069	6	 
11069	7	 
11069	8	 
11069	9	 
11074	5	0
11074	6	600
11074	7	600
11074	8	0
11074	9	800
11088	5	0
11088	6	10000
11088	7	1500
11088	8	12000
11088	9	1000
21002	5	 
21002	6	 
21002	7	 
21002	8	 
21002	9	 
21004	5	 
21004	6	 
21004	7	 
21004	8	 
21004	9	 
21005	5	0
21005	6	5000
21005	7	2000
21005	8	0
21005	9	1000
21007	5	 
21007	6	 
21007	7	 
21007	8	 
21007	9	 
21008	5	 
21008	6	 
21008	7	 
21008	8	 
21008	9	 
21009	5	3500
21009	6	600
21009	7	0
21009	8	0
21009	9	0
21011	5	 
21011	6	 
21011	7	 
21011	8	 
21011	9	 
21012	5	 
21012	6	 
21012	7	 
21012	8	 
21012	9	 
21013	5	 
21013	6	 
21013	7	 
21013	8	 
21013	9	 
21015	5	 
21015	6	 
21015	7	 
21015	8	 
21015	9	 
21017	5	 
21017	6	 
21017	7	 
21017	8	 
21017	9	 
21018	5	 
21018	6	 
21018	7	 
21018	8	 
21018	9	 
21020	5	 
21020	6	 
21020	7	 
21020	8	 
21020	9	 
21022	5	 
21022	6	 
21022	7	 
21022	8	 
21022	9	 
21023	5	 
21023	6	 
21023	7	 
21023	8	 
21023	9	 
21024	5	 
21024	6	 
21024	7	 
21024	8	 
21024	9	 
21025	5	 
21025	6	 
21025	7	 
21025	8	 
21025	9	 
21026	5	 
21026	6	 
21026	7	 
21026	8	 
21026	9	 
21027	5	 
21027	6	 
21027	7	 
21027	8	 
21027	9	 
21029	5	 
21029	6	 
21029	7	 
21029	8	 
21029	9	 
21030	5	 
21030	6	 
21030	7	 
21030	8	 
21030	9	 
21031	5	 
21031	6	 
21031	7	 
21031	8	 
21031	9	 
21032	5	 
21032	6	 
21032	7	 
21032	8	 
21032	9	 
21033	5	 
21033	6	 
21033	7	 
21033	8	 
21033	9	 
21034	5	 
21034	6	 
21034	7	 
21034	8	 
21034	9	 
21036	5	0
21036	6	2450
21036	7	1500
21036	8	1000
21036	9	0
21037	5	 
21037	6	 
21037	7	 
21037	8	 
21037	9	 
21039	5	 
21039	6	 
21039	7	 
21039	8	 
21039	9	 
21040	5	 
21040	6	 
21040	7	 
21040	8	 
21040	9	 
21041	5	 
21041	6	 
21041	7	 
21041	8	 
21041	9	 
21042	5	 
21042	6	 
21042	7	 
21042	8	 
21042	9	 
21043	5	 
21043	6	 
21043	7	 
21043	8	 
21043	9	 
21044	5	 
21044	6	 
21044	7	 
21044	8	 
21044	9	 
21046	5	 
21046	6	 
21046	7	 
21046	8	 
21046	9	 
21047	5	 
21047	6	 
21047	7	 
21047	8	 
21047	9	 
21048	5	 
21048	6	 
21048	7	 
21048	8	 
21048	9	 
21056	5	 
21056	6	 
21056	7	 
21056	8	 
21056	9	 
21069	5	 
21069	6	 
21069	7	 
21069	8	 
21069	9	 
21072	5	0
21072	6	0
21072	7	2000
21072	8	0
21072	9	500
21083	5	 
21083	6	 
21083	7	 
21083	8	 
21083	9	 
21089	5	 
21089	6	 
21089	7	 
21089	8	 
21089	9	 
21094	5	 
21094	6	 
21094	7	 
21094	8	 
21094	9	 
31001	5	 
31001	6	 
31001	7	 
31001	8	 
31001	9	 
31003	5	 
31003	6	 
31003	7	 
31003	8	 
31003	9	 
31004	5	 
31004	6	 
31004	7	 
31004	8	 
31004	9	 
31006	5	 
31006	6	 
31006	7	 
31006	8	 
31006	9	 
31007	5	 
31007	6	 
31007	7	 
31007	8	 
31007	9	 
31008	5	 
31008	6	 
31008	7	 
31008	8	 
31008	9	 
31009	5	 
31009	6	 
31009	7	 
