CHILDCODE	SCHCSTIDR5	FEESR5
11001	1	450
11001	2	9000
11001	3	450
11002	1	1500
11002	2	0
11002	3	200
11003	1	 
11003	2	 
11003	3	 
11004	1	 
11004	2	 
11004	3	 
11005	1	 
11005	2	 
11005	3	 
11006	1	 
11006	2	 
11006	3	 
11007	1	 
11007	2	 
11007	3	 
11008	1	 
11008	2	 
11008	3	 
11009	1	 
11009	2	 
11009	3	 
11010	1	 
11010	2	 
11010	3	 
11011	1	0
11011	2	0
11011	3	18000
11012	1	 
11012	2	 
11012	3	 
11015	1	 
11015	2	 
11015	3	 
11016	1	 
11016	2	 
11016	3	 
11018	1	 
11018	2	 
11018	3	 
11019	1	 
11019	2	 
11019	3	 
11020	1	 
11020	2	 
11020	3	 
11021	1	 
11021	2	 
11021	3	 
11022	1	 
11022	2	 
11022	3	 
11024	1	 
11024	2	 
11024	3	 
11025	1	 
11025	2	 
11025	3	 
11026	1	 
11026	2	 
11026	3	 
11029	1	 
11029	2	 
11029	3	 
11030	1	0
11030	2	15000
11030	3	0
11031	1	 
11031	2	 
11031	3	 
11032	1	 
11032	2	 
11032	3	 
11033	1	 
11033	2	 
11033	3	 
11034	1	 
11034	2	 
11034	3	 
11035	1	 
11035	2	 
11035	3	 
11037	1	 
11037	2	 
11037	3	 
11038	1	100
11038	2	7000
11038	3	100
11039	1	 
11039	2	 
11039	3	 
11040	1	 
11040	2	 
11040	3	 
11041	1	 
11041	2	 
11041	3	 
11042	1	 
11042	2	 
11042	3	 
11043	1	 
11043	2	 
11043	3	 
11044	1	 
11044	2	 
11044	3	 
11047	1	 
11047	2	 
11047	3	 
11048	1	 
11048	2	 
11048	3	 
11050	1	 
11050	2	 
11050	3	 
11052	1	 
11052	2	 
11052	3	 
11061	1	 
11061	2	 
11061	3	 
11063	1	 
11063	2	 
11063	3	 
11069	1	 
11069	2	 
11069	3	 
11074	1	0
11074	2	5000
11074	3	300
11088	1	500
11088	2	10000
11088	3	200
21002	1	 
21002	2	 
21002	3	 
21004	1	 
21004	2	 
21004	3	 
21005	1	3100
21005	2	3000
21005	3	300
21007	1	 
21007	2	 
21007	3	 
