CHILDCODE	PAYCIDR5	PAYTUTR5	PAYOTHR5
11001	1	0	0
11001	2	1	1
11001	3	0	0
11001	4	0	0
11001	5	0	0
11001	6	0	0
11001	7	0	0
11002	1	0	0
11002	2	1	1
11002	3	0	1
11002	4	0	0
11002	5	1	0
11002	6	0	1
11002	7	0	1
11003	1	 	 
11003	2	 	 
11003	3	 	 
11003	4	 	 
11003	5	 	 
11003	6	 	 
11003	7	 	 
11004	1	 	 
11004	2	 	 
11004	3	 	 
11004	4	 	 
11004	5	 	 
11004	6	 	 
11004	7	 	 
11005	1	 	 
11005	2	 	 
11005	3	 	 
11005	4	 	 
11005	5	 	 
11005	6	 	 
11005	7	 	 
11006	1	 	 
11006	2	 	 
11006	3	 	 
11006	4	 	 
11006	5	 	 
11006	6	 	 
11006	7	 	 
11007	1	 	 
11007	2	 	 
11007	3	 	 
11007	4	 	 
11007	5	 	 
11007	6	 	 
11007	7	 	 
11008	1	 	 
11008	2	 	 
11008	3	 	 
11008	4	 	 
11008	5	 	 
11008	6	 	 
11008	7	 	 
11009	1	 	 
11009	2	 	 
11009	3	 	 
11009	4	 	 
11009	5	 	 
11009	6	 	 
11009	7	 	 
11010	1	 	 
11010	2	 	 
11010	3	 	 
11010	4	 	 
11010	5	 	 
11010	6	 	 
11010	7	 	 
11011	1	0	0
11011	2	1	1
11011	3	0	0
11011	4	0	0
11011	5	1	1
11011	6	1	1
11011	7	0	0
11012	1	 	 
11012	2	 	 
11012	3	 	 
11012	4	 	 
11012	5	 	 
11012	6	 	 
11012	7	 	 
11015	1	 	 
11015	2	 	 
11015	3	 	 
11015	4	 	 
11015	5	 	 
11015	6	 	 
11015	7	 	 
11016	1	 	 
11016	2	 	 
11016	3	 	 
11016	4	 	 
11016	5	 	 
11016	6	 	 
11016	7	 	 
11018	1	 	 
11018	2	 	 
11018	3	 	 
11018	4	 	 
11018	5	 	 
11018	6	 	 
11018	7	 	 
11019	1	 	 
11019	2	 	 
11019	3	 	 
11019	4	 	 
11019	5	 	 
11019	6	 	 
11019	7	 	 
11020	1	 	 
11020	2	 	 
11020	3	 	 
11020	4	 	 
11020	5	 	 
11020	6	 	 
11020	7	 	 
11021	1	 	 
11021	2	 	 
11021	3	 	 
11021	4	 	 
11021	5	 	 
11021	6	 	 
11021	7	 	 
11022	1	 	 
11022	2	 	 
11022	3	 	 
11022	4	 	 
11022	5	 	 
11022	6	 	 
11022	7	 	 
11024	1	 	 
11024	2	 	 
11024	3	 	 
11024	4	 	 
11024	5	 	 
11024	6	 	 
11024	7	 	 
11025	1	 	 
11025	2	 	 
11025	3	 	 
11025	4	 	 
11025	5	 	 
11025	6	 	 
11025	7	 	 
11026	1	 	 
11026	2	 	 
11026	3	 	 
11026	4	 	 
11026	5	 	 
11026	6	 	 
11026	7	 	 
11029	1	 	 
11029	2	 	 
11029	3	 	 
11029	4	 	 
11029	5	 	 
11029	6	 	 
11029	7	 	 
11030	1	0	1
11030	2	1	0
11030	3	0	1
11030	4	0	0
11030	5	0	0
11030	6	1	0
11030	7	0	0
11031	1	 	 
11031	2	 	 
11031	3	 	 
11031	4	 	 
11031	5	 	 
11031	6	 	 
11031	7	 	 
11032	1	 	 
11032	2	 	 
11032	3	 	 
11032	4	 	 
11032	5	 	 
11032	6	 	 
11032	7	 	 
11033	1	 	 
11033	2	 	 
11033	3	 	 
11033	4	 	 
11033	5	 	 
11033	6	 	 
11033	7	 	 
11034	1	 	 
11034	2	 	 
11034	3	 	 
11034	4	 	 
11034	5	 	 
11034	6	 	 
11034	7	 	 
11035	1	 	 
11035	2	 	 
11035	3	 	 
11035	4	 	 
11035	5	 	 
11035	6	 	 
11035	7	 	 
11037	1	 	 
11037	2	 	 
11037	3	 	 
11037	4	 	 
11037	5	 	 
11037	6	 	 
11037	7	 	 
11038	1	1	1
11038	2	0	1
11038	3	0	0
11038	4	0	0
11038	5	0	0
11038	6	0	0
11038	7	0	0
11039	1	 	 
11039	2	 	 
11039	3	 	 
11039	4	 	 
11039	5	 	 
11039	6	 	 
11039	7	 	 
11040	1	 	 
11040	2	 	 
11040	3	 	 
11040	4	 	 
11040	5	 	 
11040	6	 	 
11040	7	 	 
11041	1	 	 
11041	2	 	 
11041	3	 	 
11041	4	 	 
11041	5	 	 
11041	6	 	 
11041	7	 	 
11042	1	 	 
11042	2	 	 
11042	3	 	 
11042	4	 	 
11042	5	 	 
11042	6	 	 
11042	7	 	 
11043	1	 	 
11043	2	 	 
11043	3	 	 
11043	4	 	 
11043	5	 	 
11043	6	 	 
11043	7	 	 
11044	1	 	 
11044	2	 	 
11044	3	 	 
11044	4	 	 
11044	5	 	 
11044	6	 	 
11044	7	 	 
11047	1	 	 
11047	2	 	 
11047	3	 	 
11047	4	 	 
11047	5	 	 
11047	6	 	 
11047	7	 	 
11048	1	 	 
11048	2	 	 
11048	3	 	 
11048	4	 	 
11048	5	 	 
11048	6	 	 
11048	7	 	 
11050	1	 	 
11050	2	 	 
11050	3	 	 
11050	4	 	 
11050	5	 	 
11050	6	 	 
11050	7	 	 
11052	1	 	 
11052	2	 	 
11052	3	 	 
11052	4	 	 
11052	5	 	 
11052	6	 	 
11052	7	 	 
11061	1	 	 
11061	2	 	 
11061	3	 	 
11061	4	 	 
11061	5	 	 
11061	6	 	 
11061	7	 	 
11063	1	 	 
11063	2	 	 
11063	3	 	 
11063	4	 	 
11063	5	 	 
11063	6	 	 
11063	7	 	 
11069	1	 	 
11069	2	 	 
11069	3	 	 
11069	4	 	 
11069	5	 	 
11069	6	 	 
11069	7	 	 
11074	1	0	1
11074	2	1	1
11074	3	0	0
11074	4	0	0
11074	5	0	0
11074	6	0	0
11074	7	0	0
11088	1	1	1
11088	2	0	0
11088	3	0	0
11088	4	0	0
11088	5	0	0
11088	6	0	0
11088	7	0	0
21002	1	 	 
21002	2	 	 
21002	3	 	 
21002	4	 	 
21002	5	 	 
21002	6	 	 
21002	7	 	 
21004	1	 	 
21004	2	 	 
21004	3	 	 
21004	4	 	 
21004	5	 	 
21004	6	 	 
21004	7	 	 
21005	1	0	1
21005	2	1	1
21005	3	0	1
21005	4	1	0
21005	5	0	0
21005	6	0	0
21005	7	0	0
21007	1	 	 
21007	2	 	 
21007	3	 	 
21007	4	 	 
21007	5	 	 
21007	6	 	 
21007	7	 	 
21008	1	 	 
21008	2	 	 
21008	3	 	 
21008	4	 	 
21008	5	 	 
21008	6	 	 
21008	7	 	 
21009	1	0	0
21009	2	1	1
21009	3	0	0
21009	4	0	0
21009	5	0	0
21009	6	0	0
21009	7	0	0
21011	1	 	 
21011	2	 	 
21011	3	 	 
21011	4	 	 
21011	5	 	 
21011	6	 	 
21011	7	 	 
21012	1	 	 
21012	2	 	 
21012	3	 	 
21012	4	 	 
21012	5	 	 
21012	6	 	 
21012	7	 	 
21013	1	 	 
21013	2	 	 
21013	3	 	 
21013	4	 	 
21013	5	 	 
21013	6	 	 
21013	7	 	 
21015	1	 	 
21015	2	 	 
21015	3	 	 
21015	4	 	 
21015	5	 	 
21015	6	 	 
21015	7	 	 
21017	1	 	 
21017	2	 	 
21017	3	 	 
21017	4	 	 
21017	5	 	 
21017	6	 	 
21017	7	 	 
21018	1	 	 
21018	2	 	 
21018	3	 	 
21018	4	 	 
21018	5	 	 
21018	6	 	 
21018	7	 	 
21020	1	 	 
21020	2	 	 
21020	3	 	 
