CHILDCODE	LANDIDR4	LNDLIVR4	TOTLIVR4	USELIVR4	LNDTYPR4	TOTINDR4	USEINDR4	TOTLNDR4	USERANR4	USEDRYR4	PRIRRR4
11001	1	N	 	 	N	 	 	 	 	 	 
11001	2	N	 	 	N	 	 	 	 	 	 
11001	3	N	 	 	N	 	 	 	 	 	 
11001	4	N	 	 	N	 	 	 	 	 	 
11001	5	N	 	 	N	 	 	 	 	 	 
11002	1	N	 	 	N	 	 	 	 	 	 
11002	2	N	 	 	N	 	 	 	 	 	 
11002	3	N	 	 	N	 	 	 	 	 	 
11002	4	N	 	 	N	 	 	 	 	 	 
11002	5	N	 	 	N	 	 	 	 	 	 
11003	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11003	2	N	 	 	N	 	 	 	 	 	 
11003	3	N	 	 	N	 	 	 	 	 	 
11003	4	N	 	 	N	 	 	 	 	 	 
11003	5	N	 	 	N	 	 	 	 	 	 
11004	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
11004	2	N	 	 	N	 	 	 	 	 	 
11004	3	N	 	 	N	 	 	 	 	 	 
11004	4	N	 	 	N	 	 	 	 	 	 
11004	5	N	 	 	N	 	 	 	 	 	 
11005	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
11005	2	N	 	 	N	 	 	 	 	 	 
11005	3	N	 	 	N	 	 	 	 	 	 
11005	4	N	 	 	N	 	 	 	 	 	 
11005	5	N	 	 	N	 	 	 	 	 	 
11006	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11006	2	N	 	 	N	 	 	 	 	 	 
11006	3	N	 	 	N	 	 	 	 	 	 
11006	4	N	 	 	N	 	 	 	 	 	 
11006	5	N	 	 	N	 	 	 	 	 	 
11007	1	N	 	 	N	 	 	 	 	 	 
11007	2	N	 	 	N	 	 	 	 	 	 
11007	3	N	 	 	N	 	 	 	 	 	 
11007	4	N	 	 	N	 	 	 	 	 	 
11007	5	N	 	 	N	 	 	 	 	 	 
11008	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11008	2	N	 	 	N	 	 	 	 	 	 
11008	3	N	 	 	N	 	 	 	 	 	 
11008	4	N	 	 	N	 	 	 	 	 	 
11008	5	N	 	 	N	 	 	 	 	 	 
