CHILDCODE	NONFODR4	SPYRR4
11001	1	2000
11001	2	2000
11001	3	0
11001	4	0
11002	1	2500
11002	2	3000
11002	3	-88
11002	4	800
11003	1	1000
11003	2	1500
11003	3	1000
11003	4	1200
11004	1	5000
11004	2	1600
11004	3	0
11004	4	0
11005	1	1000
11005	2	1000
11005	3	0
11005	4	0
11006	1	800
11006	2	1000
11006	3	200
11006	4	0
11007	1	3500
11007	2	6000
11007	3	1000
11007	4	-88
11008	1	2000
11008	2	5000
11008	3	-88
11008	4	-88
11009	1	500
11009	2	1000
11009	3	0
11009	4	0
11010	1	2000
11010	2	5000
11010	3	-88
11010	4	1500
11011	1	3000
11011	2	3000
11011	3	2000
11011	4	-88
11012	1	2000
11012	2	3000
11012	3	0
11012	4	0
11013	1	3000
11013	2	4000
11013	3	1500
11013	4	1500
11014	1	500
11014	2	5000
11014	3	0
11014	4	0
11015	1	3000
11015	2	3000
11015	3	-88
11015	4	1200
11016	1	1000
11016	2	3000
11016	3	-88
11016	4	2000
11018	1	8000
11018	2	2500
11018	3	0
11018	4	0
11019	1	2000
11019	2	1000
11019	3	0
11019	4	0
11021	1	0
11021	2	800
11021	3	500
11021	4	0
11022	1	10000
11022	2	12000
11022	3	3000
11022	4	0
11023	1	2500
11023	2	3000
11023	3	-88
11023	4	-88
11024	1	2500
11024	2	3000
11024	3	300
11024	4	0
11025	1	3500
11025	2	1500
11025	3	-88
11025	4	2000
11026	1	2000
11026	2	3000
11026	3	0
11026	4	0
11027	1	10000
11027	2	8000
11027	3	-88
11027	4	-88
11029	1	5000
11029	2	1500
11029	3	0
11029	4	0
11030	1	1000
11030	2	2000
11030	3	0
11030	4	0
11031	1	2500
11031	2	800
11031	3	-88
11031	4	-88
11032	1	3500
11032	2	2000
11032	3	0
11032	4	0
11034	1	7000
11034	2	5000
11034	3	0
11034	4	0
11035	1	5500
11035	2	1500
11035	3	-88
11035	4	-88
11036	1	1000
11036	2	2000
11036	3	0
11036	4	0
11037	1	2000
11037	2	4000
11037	3	-88
11037	4	-88
11038	1	3000
11038	2	4000
11038	3	0
11038	4	0
11039	1	1000
11039	2	1500
11039	3	0
11039	4	0
11040	1	1500
11040	2	1500
11040	3	0
11040	4	1000
11041	1	6000
11041	2	5000
11041	3	-88
11041	4	-88
11042	1	1500
11042	2	1500
11042	3	1000
11042	4	0
11043	1	10000
11043	2	12000
11043	3	1500
11043	4	2000
11044	1	2000
11044	2	2500
11044	3	0
11044	4	500
11045	1	2000
11045	2	3000
11045	3	0
11045	4	0
11046	1	1500
11046	2	500
11046	3	0
11046	4	0
11047	1	1000
11047	2	2500
11047	3	1000
11047	4	0
11048	1	2000
11048	2	3000
11048	3	-88
11048	4	-88
11049	1	1200
11049	2	3000
11049	3	0
11049	4	0
11050	1	4000
11050	2	3000
11050	3	-88
11050	4	-88
21001	1	2000
21001	2	4000
21001	3	0
21001	4	1000
21002	1	0
21002	2	1000
21002	3	0
21002	4	0
21003	1	1000
21003	2	1500
21003	3	-88
21003	4	-88
21004	1	1500
21004	2	600
21004	3	0
21004	4	0
21005	1	1500
21005	2	1800
21005	3	0
21005	4	0
21006	1	3500
21006	2	750
21006	3	400
21006	4	0
21007	1	-88
21007	2	2500
21007	3	-88
21007	4	-88
21008	1	3000
21008	2	2500
21008	3	1500
21008	4	1000
21009	1	2500
21009	2	1800
21009	3	-88
21009	4	0
21010	1	1000
21010	2	2500
21010	3	0
21010	4	0
21011	1	2500
21011	2	2000
21011	3	6000
21011	4	-88
21012	1	1000
21012	2	1500
21012	3	0
21012	4	0
21013	1	7000
21013	2	3000
21013	3	0
21013	4	0
21014	1	1600
21014	2	1200
21014	3	-88
21014	4	-88
21015	1	600
21015	2	0
21015	3	0
21015	4	600
21016	1	1500
21016	2	1000
21016	3	-88
21016	4	2000
21017	1	2000
21017	2	2000
21017	3	1500
21017	4	0
21018	1	0
21018	2	4000
21018	3	3000
21018	4	0
21019	1	200
21019	2	300
21019	3	370
21019	4	0
21020	1	2000
21020	2	8000
21020	3	0
21020	4	2000
21021	1	6500
21021	2	1200
21021	3	-88
21021	4	0
21022	1	1600
21022	2	600
21022	3	0
21022	4	1500
21023	1	3500
21023	2	2000
21023	3	0
21023	4	1600
21024	1	6000
21024	2	7000
21024	3	0
21024	4	0
21025	1	2000
21025	2	1000
21025	3	0
21025	4	0
21026	1	2000
21026	2	500
21026	3	0
21026	4	1500
21027	1	1000
21027	2	2000
21027	3	0
21027	4	1200
21028	1	2000
21028	2	1500
21028	3	0
21028	4	800
21029	1	4000
21029	2	4000
21029	3	0
21029	4	0
21030	1	2000
21030	2	1200
21030	3	-88
21030	4	1100
21031	1	5000
21031	2	1000
21031	3	2000
21031	4	0
21032	1	1500
21032	2	600
21032	3	0
21032	4	800
21033	1	3000
21033	2	1000
21033	3	-88
21033	4	500
21034	1	500
21034	2	600
21034	3	-88
21034	4	-88
21035	1	7000
21035	2	4000
21035	3	600
21035	4	0
21036	1	2500
21036	2	1000
21036	3	-88
21036	4	-88
21037	1	2000
21037	2	500
21037	3	0
21037	4	0
21038	1	2800
21038	2	1000
21038	3	-88
21038	4	-88
21039	1	2000
21039	2	1500
21039	3	-88
21039	4	2000
21040	1	4000
21040	2	5000
21040	3	0
21040	4	0
21042	1	1000
21042	2	500
21042	3	0
21042	4	200
21043	1	2500
21043	2	1000
21043	3	0
21043	4	0
21044	1	1500
21044	2	2000
21044	3	0
21044	4	0
21045	1	0
21045	2	1000
21045	3	0
21045	4	-88
21046	1	2000
21046	2	1500
21046	3	500
21046	4	-88
21047	1	1000
21047	2	4000
21047	3	-88
21047	4	-88
21048	1	3000
21048	2	2000
21048	3	100
21048	4	0
21049	1	0
21049	2	8000
21049	3	2000
21049	4	0
21050	1	600
21050	2	900
21050	3	-88
21050	4	-88
31002	1	5385
31002	2	8200
31002	3	1575
31002	4	0
31004	1	1000
31004	2	3500
31004	3	0
31004	4	0
31005	1	3500
31005	2	2400
31005	3	0
31005	4	0
31006	1	600
31006	2	600
31006	3	600
31006	4	600
31007	1	6000
31007	2	4000
31007	3	0
31007	4	0
31009	1	3200
31009	2	5200
31009	3	0
31009	4	0
31010	1	6000
31010	2	2000
31010	3	0
31010	4	0
31011	1	4500
31011	2	6245
31011	3	0
31011	4	0
31012	1	2000
31012	2	3000
31012	3	0
31012	4	3000
31013	1	6000
31013	2	4000
31013	3	0
31013	4	3000
31014	1	5385
31014	2	1500
31014	3	0
31014	4	2000
31015	1	4500
31015	2	2345
31015	3	0
31015	4	0
31016	1	1800
31016	2	3545
31016	3	0
