CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
11001	1	 	 	 	 
11001	2	 	 	 	 
11001	3	 	 	 	 
11001	4	 	 	 	 
11001	5	 	 	 	 
11001	6	 	 	 	 
11001	7	 	 	 	 
11001	8	 	 	 	 
11001	9	 	 	 	 
11001	10	 	 	 	 
11001	11	 	 	 	 
11001	12	 	 	 	 
11001	13	 	 	 	 
11001	14	 	 	 	 
11001	15	 	 	 	 
11001	16	 	 	 	 
11001	17	 	 	 	 
11001	18	 	 	 	 
11001	19	 	 	 	 
11001	20	 	 	 	 
11002	1	 	 	 	 
11002	2	 	 	 	 
11002	3	 	 	 	 
11002	4	 	 	 	 
11002	5	 	 	 	 
11002	6	 	 	 	 
11002	7	 	 	 	 
11002	8	 	 	 	 
11002	9	 	 	 	 
11002	10	 	 	 	 
11002	11	 	 	 	 
11002	12	 	 	 	 
11002	13	 	 	 	 
11002	14	 	 	 	 
11002	15	 	 	 	 
11002	16	 	 	 	 
11002	17	 	 	 	 
11002	18	 	 	 	 
11002	19	 	 	 	 
11002	20	 	 	 	 
11003	1	 	 	 	 
11003	2	 	 	 	 
11003	3	 	 	 	 
11003	4	 	 	 	 
11003	5	 	 	 	 
11003	6	 	 	 	 
11003	7	 	 	 	 
11003	8	 	 	 	 
11003	9	 	 	 	 
11003	10	 	 	 	 
11003	11	 	 	 	 
11003	12	 	 	 	 
11003	13	 	 	 	 
11003	14	 	 	 	 
11003	15	 	 	 	 
11003	16	 	 	 	 
11003	17	 	 	 	 
11003	18	 	 	 	 
11003	19	 	 	 	 
11003	20	 	 	 	 
11004	1	 	 	 	 
11004	2	 	 	 	 
11004	3	 	 	 	 
11004	4	 	 	 	 
11004	5	 	 	 	 
11004	6	 	 	 	 
11004	7	 	 	 	 
11004	8	 	 	 	 
11004	9	 	 	 	 
11004	10	 	 	 	 
11004	11	 	 	 	 
11004	12	 	 	 	 
11004	13	 	 	 	 
11004	14	 	 	 	 
11004	15	 	 	 	 
11004	16	 	 	 	 
11004	17	 	 	 	 
11004	18	 	 	 	 
11004	19	 	 	 	 
11004	20	 	 	 	 
11005	1	 	 	 	 
11005	2	 	 	 	 
11005	3	 	 	 	 
11005	4	 	 	 	 
11005	5	 	 	 	 
11005	6	 	 	 	 
11005	7	 	 	 	 
11005	8	 	 	 	 
11005	9	 	 	 	 
11005	10	 	 	 	 
11005	11	 	 	 	 
11005	12	 	 	 	 
11005	13	 	 	 	 
11005	14	 	 	 	 
11005	15	 	 	 	 
11005	16	 	 	 	 
11005	17	 	 	 	 
11005	18	 	 	 	 
11005	19	 	 	 	 
11005	20	 	 	 	 
11006	1	 	 	 	 
11006	2	 	 	 	 
11006	3	 	 	 	 
11006	4	 	 	 	 
11006	5	 	 	 	 
11006	6	 	 	 	 
11006	7	 	 	 	 
11006	8	 	 	 	 
11006	9	 	 	 	 
11006	10	 	 	 	 
11006	11	 	 	 	 
11006	12	 	 	 	 
11006	13	 	 	 	 
11006	14	 	 	 	 
11006	15	 	 	 	 
11006	16	 	 	 	 
11006	17	 	 	 	 
11006	18	 	 	 	 
11006	19	 	 	 	 
11006	20	 	 	 	 
11007	1	 	 	 	 
11007	2	 	 	 	 
11007	3	 	 	 	 
11007	4	 	 	 	 
11007	5	 	 	 	 
11007	6	 	 	 	 
11007	7	 	 	 	 
11007	8	 	 	 	 
11007	9	 	 	 	 
11007	10	 	 	 	 
11007	11	 	 	 	 
11007	12	 	 	 	 
11007	13	 	 	 	 
11007	14	 	 	 	 
11007	15	 	 	 	 
11007	16	 	 	 	 
11007	17	 	 	 	 
11007	18	 	 	 	 
11007	19	 	 	 	 
11007	20	 	 	 	 
11008	1	 	 	 	 
11008	2	 	 	 	 
11008	3	 	 	 	 
11008	4	 	 	 	 
11008	5	 	 	 	 
11008	6	 	 	 	 
11008	7	 	 	 	 
11008	8	 	 	 	 
11008	9	 	 	 	 
11008	10	 	 	 	 
11008	11	 	 	 	 
11008	12	 	 	 	 
11008	13	 	 	 	 
11008	14	 	 	 	 
11008	15	 	 	 	 
11008	16	 	 	 	 
11008	17	 	 	 	 
11008	18	 	 	 	 
11008	19	 	 	 	 
11008	20	 	 	 	 
11009	1	 	 	 	 
11009	2	 	 	 	 
11009	3	 	 	 	 
11009	4	 	 	 	 
11009	5	 	 	 	 
11009	6	 	 	 	 
11009	7	 	 	 	 
11009	8	 	 	 	 
11009	9	 	 	 	 
11009	10	 	 	 	 
11009	11	 	 	 	 
11009	12	 	 	 	 
11009	13	 	 	 	 
11009	14	 	 	 	 
11009	15	 	 	 	 
11009	16	 	 	 	 
11009	17	 	 	 	 
11009	18	 	 	 	 
11009	19	 	 	 	 
11009	20	 	 	 	 
11010	1	N	 	 	 
11010	2	Y	2	20000	1
11010	3	N	 	 	 
11010	4	N	 	 	 
11010	5	N	 	 	 
11010	6	N	 	 	 
11010	7	N	 	 	 
11010	8	N	 	 	 
11010	9	N	 	 	 
11010	10	N	 	 	 
11010	11	N	 	 	 
11010	12	N	 	 	 
11010	13	N	 	 	 
11010	14	N	 	 	 
11010	15	N	 	 	 
11010	16	N	 	 	 
11010	17	N	 	 	 
11010	18	N	 	 	 
11010	19	N	 	 	 
11010	20	N	 	 	 
11011	1	 	 	 	 
11011	2	 	 	 	 
11011	3	 	 	 	 
11011	4	 	 	 	 
11011	5	 	 	 	 
11011	6	 	 	 	 
11011	7	 	 	 	 
11011	8	 	 	 	 
11011	9	 	 	 	 
11011	10	 	 	 	 
11011	11	 	 	 	 
11011	12	 	 	 	 
11011	13	 	 	 	 
11011	14	 	 	 	 
11011	15	 	 	 	 
11011	16	 	 	 	 
11011	17	 	 	 	 
11011	18	 	 	 	 
11011	19	 	 	 	 
11011	20	 	 	 	 
11012	1	 	 	 	 
11012	2	 	 	 	 
11012	3	 	 	 	 
11012	4	 	 	 	 
11012	5	 	 	 	 
11012	6	 	 	 	 
11012	7	 	 	 	 
11012	8	 	 	 	 
11012	9	 	 	 	 
11012	10	 	 	 	 
11012	11	 	 	 	 
11012	12	 	 	 	 
11012	13	 	 	 	 
11012	14	 	 	 	 
11012	15	 	 	 	 
11012	16	 	 	 	 
11012	17	 	 	 	 
11012	18	 	 	 	 
11012	19	 	 	 	 
11012	20	 	 	 	 
11013	1	 	 	 	 
11013	2	 	 	 	 
11013	3	 	 	 	 
11013	4	 	 	 	 
11013	5	 	 	 	 
11013	6	 	 	 	 
11013	7	 	 	 	 
11013	8	 	 	 	 
11013	9	 	 	 	 
11013	10	 	 	 	 
11013	11	 	 	 	 
11013	12	 	 	 	 
11013	13	 	 	 	 
11013	14	 	 	 	 
11013	15	 	 	 	 
11013	16	 	 	 	 
11013	17	 	 	 	 
11013	18	 	 	 	 
11013	19	 	 	 	 
11013	20	 	 	 	 
11014	1	 	 	 	 
11014	2	 	 	 	 
11014	3	 	 	 	 
11014	4	 	 	 	 
11014	5	 	 	 	 
11014	6	 	 	 	 
11014	7	 	 	 	 
11014	8	 	 	 	 
11014	9	 	 	 	 
11014	10	 	 	 	 
11014	11	 	 	 	 
11014	12	 	 	 	 
11014	13	 	 	 	 
11014	14	 	 	 	 
11014	15	 	 	 	 
