CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN011001	1	1	4	7	4050
IN011010	1	1.5	4	1	6075
IN011010	2	1.5	4	1	6075
IN011018	1	10.5	1	1	42525
IN011018	2	4	4	1	16200
IN011020	1	2	1	5	8100
IN011022	1	4	4	6	16200
IN011030	1	.0500000007450581	4	6	202.500003017485
IN011036	1	.0299999993294477	4	4	121.499997284263
IN011036	2	.200000002980232	1	8	810.000012069941
IN011043	1	50	4	6	202500
IN021001	1	2	4	3	8100
IN021001	2	1	4	1	4050
IN021003	1	1	4	1	4050
IN021005	1	1.5	4	1	6075
IN021005	2	.5	3	7	2025
IN021006	1	1.5	4	1	6075
IN021007	1	3	1	3	12150
IN021007	2	2	4	7	8100
IN021008	1	5	4	1	20250
IN021009	1	7	4	3	28350
IN021013	1	.5	4	1	2025
IN021016	1	2	4	7	8100
IN021017	1	1	1	1	4050
IN021022	1	1.5	1	1	6075
IN021022	2	1	1	1	4050
IN021026	1	1	4	1	4050
IN021026	2	1	4	7	4050
IN021027	1	9	4	3	36450
IN021027	2	9	4	1	36450
IN021031	1	5	1	7	20250
IN021031	2	3	4	7	12150
IN021031	3	2	4	1	8100
IN021032	1	2	4	7	8100
IN021032	2	2	4	7	8100
IN021033	1	.5	3	7	2025
IN021034	1	3	4	7	12150
IN021035	1	2	4	1	8100
IN021037	1	.5	4	3	2025
IN021038	1	5	4	1	20250
IN021040	1	2	4	1	8100
IN021041	1	12	1	3	48600
IN021041	2	8	1	3	32400
IN021048	1	.5	4	7	2025
IN031001	1	1	4	4	4050
IN031001	2	.0700000002980232	4	7	283.500001206994
IN031017	1	.0399999991059303	4	4	161.999996379018
IN031031	1	3	4	1	12150
IN031031	2	.0599999986588955	4	4	242.999994568527
IN031038	1	.100000001490116	4	4	405.00000603497
IN031038	2	.0299999993294477	1	4	121.499997284263
IN031038	3	.0299999993294477	4	4	121.499997284263
IN041001	1	4	4	8	16200
IN041002	1	2	4	8	8100
IN041003	1	1	4	8	4050
IN041004	1	1	4	8	4050
IN041005	1	2	99	8	8100
IN041005	2	1	99	1	4050
IN041006	1	2	4	8	8100
IN041010	1	.5	4	1	2025
IN041010	2	.5	4	3	2025
IN041011	1	1	4	1	4050
IN041012	1	1	4	1	4050
IN041013	1	.5	4	1	2025
IN041014	1	2	4	8	8100
IN041014	2	1	4	1	4050
IN041016	1	5	4	1	20250
IN041018	1	1	4	3	4050
IN041020	1	.5	4	8	2025
IN041022	1	1	4	1	4050
IN041024	1	3	4	3	12150
IN041025	1	2	4	8	8100
IN041026	1	2	1	3	8100
IN041028	1	2	4	7	8100
IN041029	1	5	4	1	20250
IN041035	1	.600000023841858	4	1	2430.00009655952
