CHILDCODE	LANDIDR5	TOTLNDR5	TOTLIVR5
11001	1	940	88
11001	2	0	0
11002	1	0	0
11002	2	0	20
11003	1	0	12
11003	2	0	0
11004	1	3000	200
11004	2	0	0
11005	1	0	0
11005	2	0	28
11006	1	3400	200
11006	2	860	0
11007	1	3075	30400
11007	2	0	0
11008	1	2400	200
11008	2	0	0
11009	1	1500	200
11009	2	0	70
11010	1	2000	400
11010	2	0	0
11011	1	1000	50
11011	2	0	0
11012	1	0	0
11012	2	0	8
11015	1	0	0
11015	2	0	40
11016	1	0	0
11016	2	0	12
11018	1	645	150
11018	2	0	0
11019	1	0	0
11019	2	0	18
11020	1	0	0
11020	2	0	18
11021	1	0	20
11021	2	0	0
11022	1	2150	400
11022	2	0	0
11024	1	1500	200
11024	2	0	0
11025	1	1720	250
11025	2	1290	0
11026	1	430	144
11026	2	0	0
11029	1	1100	270
11029	2	1600	0
11030	1	0	0
11030	2	0	11
11031	1	0	0
11031	2	0	12
11032	1	0	0
11032	2	0	18
11033	1	0	0
11033	2	0	15
11034	1	0	0
11034	2	0	20
11035	1	0	0
11035	2	0	10
11037	1	0	0
11037	2	0	15
11038	1	2500	500
11038	2	0	0
11039	1	2000	400
11039	2	0	0
11040	1	0	0
11040	2	0	12
11041	1	0	0
11041	2	0	30
11042	1	940	40
11042	2	0	0
11043	1	0	0
11043	2	0	-77
11044	1	0	0
11044	2	0	16
11047	1	430	200
11047	2	0	0
11048	1	0	0
11048	2	0	20
11050	1	2580	200
11050	2	860	0
11052	1	0	0
11052	2	0	30
11061	1	1000	300
11061	2	0	0
11063	1	1350	200
11063	2	0	0
11069	1	2500	200
11069	2	0	0
11074	1	1600	250
11074	2	0	0
11088	1	0	0
11088	2	0	15
21002	1	0	0
21002	2	0	20
21004	1	0	0
21004	2	0	15
21005	1	0	0
21005	2	0	12
21007	1	0	120
21007	2	0	0
21008	1	0	0
21008	2	0	20
21009	1	0	0
21009	2	0	28
21011	1	0	0
21011	2	0	-77
21012	1	0	0
21012	2	0	28
21013	1	1000	450
21013	2	1000	0
21015	1	0	0
21015	2	0	-77
21017	1	0	160
21017	2	0	0
21018	1	0	200
21018	2	0	0
21020	1	0	200
21020	2	0	0
21022	1	0	0
21022	2	0	27
21023	1	2500	40
21023	2	0	0
21024	1	0	0
21024	2	0	11
21025	1	0	200
21025	2	0	0
21026	1	0	130
21026	2	0	0
21027	1	1000	100
21027	2	0	0
21029	1	0	0
21029	2	0	15
21030	1	0	0
21030	2	0	15
21031	1	0	0
21031	2	0	17
21032	1	0	0
21032	2	0	15
21033	1	3000	400
21033	2	0	0
21034	1	0	0
21034	2	0	-77
21036	1	0	0
21036	2	0	12
21037	1	0	0
21037	2	0	-77
21039	1	1000	50
21039	2	0	0
21040	1	0	0
21040	2	0	-77
21041	1	0	0
21041	2	0	13
21042	1	0	0
21042	2	0	16
21043	1	2000	9000
21043	2	0	0
21044	1	8000	1500
21044	2	0	6
21046	1	1500	150
21046	2	0	0
21047	1	0	0
21047	2	0	12
21048	1	2000	2000
21048	2	0	0
21056	1	0	0
21056	2	0	12
21069	1	0	0
21069	2	0	50
21072	1	0	0
21072	2	0	10
21083	1	200	400
21083	2	0	0
21089	1	1500	215
21089	2	0	0
21094	1	2500	200
21094	2	0	0
31001	1	0	0
31001	2	0	12
31003	1	0	250
31003	2	0	0
31004	1	10000	100
31004	2	0	0
31006	1	20000	200
31006	2	0	0
31007	1	40000	400
31007	2	0	0
31008	1	45000	300
31008	2	0	0
31009	1	3000	500
31009	2	0	0
31010	1	18000	500
31010	2	0	0
31011	1	40000	500
31011	2	0	0
31012	1	14000	400
31012	2	0	0
31013	1	4000	30
31013	2	0	0
31018	1	10000	100
31018	2	0	0
31020	1	3000	300
31020	2	0	0
31021	1	7000	240
31021	2	0	0
31023	1	21000	500
31023	2	0	0
31024	1	15000	700
31024	2	0	0
31025	1	22000	2000
31025	2	0	0
31027	1	25000	2000
31027	2	0	0
31028	1	15000	50
31028	2	0	0
31029	1	50000	200
31029	2	0	0
31031	1	13000	500
31031	2	0	0
31033	1	0	0
31033	2	0	30
31034	1	20000	400
31034	2	0	0
31035	1	12000	200
31035	2	0	0
31036	1	0	0
31036	2	0	15
31037	1	0	420
31037	2	0	0
31038	1	30000	120
31038	2	0	0
31039	1	0	270
31039	2	0	0
31040	1	0	510
31040	2	0	0
31041	1	0	288
31041	2	0	0
31043	1	0	0
31043	2	0	20
31045	1	0	0
31045	2	0	15
31046	1	0	780
31046	2	0	0
31048	1	0	0
31048	2	0	200
31049	1	0	0
31049	2	0	15
31050	1	0	404
31050	2	0	0
31052	1	12000	100
31052	2	0	0
31058	1	0	0
31058	2	240	-77
31059	1	7000	120
31059	2	0	0
31060	1	17000	400
31060	2	0	0
31079	1	1400	350
31079	2	0	0
31096	1	100000	500
31096	2	0	0
31098	1	5000	100
31098	2	0	0
31108	1	30000	1200
31108	2	0	0
31134	1	0	100
31134	2	0	0
41001	1	2625	1320
41001	2	750	0
41002	1	0	0
41002	2	0	152
41003	1	3000	200
41003	2	0	0
41004	1	0	0
41004	2	0	-77
41005	1	1200	120
41005	2	0	0
41006	1	0	0
41006	2	0	300
41007	1	4000	3000
41007	2	0	0
41008	1	180	0
41008	2	150	-77
41009	1	0	500
41009	2	36	0
41010	1	0	0
41010	2	0	15
41011	1	0	120
41011	2	0	0
41012	1	0	0
41012	2	0	161
41013	1	0	0
41013	2	0	24
41014	1	0	200
41014	2	60	0
41015	1	0	0
41015	2	0	15
41016	1	0	2000
41016	2	4000	0
41017	1	1000	85
41017	2	0	0
41019	1	0	0
41019	2	0	15
41020	1	0	0
41020	2	0	6
41021	1	0	137
41021	2	424	0
41022	1	0	0
41022	2	0	40
41023	1	0	0
41023	2	0	150
41024	1	0	0
41024	2	0	15
41025	1	0	700
41025	2	0	0
41026	1	0	0
41026	2	0	18
41027	1	0	120
41027	2	0	0
41028	1	0	0
41028	2	0	10
