CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
11001	1	1	2
11001	2	0	 
11001	3	0	 
11001	4	1	2
11001	5	1	1
11001	6	0	 
11001	7	1	3
11001	8	1	1
11001	9	0	 
11001	10	1	1
11001	11	1	2
11001	12	1	1
11001	13	1	2
11001	14	0	 
11001	15	0	 
11001	16	0	 
11002	1	0	 
11002	2	0	 
11002	3	0	 
11002	4	1	1
11002	5	0	 
11002	6	0	 
11002	7	1	4
11002	8	0	 
11002	9	0	 
11002	10	1	1
11002	11	0	 
11002	12	0	 
11002	13	0	 
11002	14	1	1
11002	15	0	 
11002	16	1	1
11003	1	0	 
11003	2	0	 
11003	3	0	 
11003	4	1	2
11003	5	0	 
11003	6	0	 
11003	7	1	2
11003	8	0	 
11003	9	0	 
11003	10	1	1
11003	11	0	 
11003	12	1	1
11003	13	1	1
11003	14	0	 
11003	15	0	 
11003	16	0	 
11004	1	1	2
11004	2	0	 
11004	3	0	 
11004	4	1	2
11004	5	1	1
11004	6	0	 
11004	7	1	2
11004	8	1	2
11004	9	0	 
11004	10	1	3
11004	11	1	3
11004	12	1	1
11004	13	1	2
11004	14	0	 
11004	15	0	 
11004	16	0	 
11005	1	1	1
11005	2	0	 
11005	3	0	 
11005	4	1	2
11005	5	0	 
11005	6	0	 
11005	7	1	2
11005	8	0	 
11005	9	0	 
11005	10	1	4
11005	11	1	1
11005	12	1	1
11005	13	1	1
11005	14	1	1
11005	15	0	 
11005	16	0	 
11006	1	1	1
11006	2	1	1
11006	3	0	 
11006	4	1	4
11006	5	1	1
11006	6	0	 
11006	7	1	5
11006	8	1	2
11006	9	0	 
11006	10	1	5
11006	11	1	3
11006	12	1	1
11006	13	1	1
11006	14	1	1
11006	15	0	 
11006	16	0	 
11007	1	1	1
11007	2	0	 
11007	3	1	1
11007	4	1	1
11007	5	1	1
11007	6	0	 
11007	7	1	2
11007	8	1	1
11007	9	0	 
11007	10	1	3
11007	11	1	3
11007	12	1	1
11007	13	1	1
11007	14	1	2
11007	15	0	 
11007	16	0	 
11008	1	1	1
11008	2	0	 
11008	3	0	 
11008	4	1	3
11008	5	0	 
11008	6	0	 
11008	7	1	3
11008	8	1	3
11008	9	0	 
11008	10	1	3
11008	11	1	3
11008	12	1	1
11008	13	1	1
11008	14	0	 
11008	15	0	 
11008	16	0	 
11009	1	1	1
11009	2	0	 
11009	3	0	 
11009	4	1	4
11009	5	1	1
11009	6	0	 
11009	7	1	4
11009	8	1	1
11009	9	0	 
11009	10	1	2
11009	11	1	3
11009	12	1	1
11009	13	1	1
11009	14	1	1
11009	15	0	 
11009	16	0	 
11010	1	1	1
11010	2	0	 
11010	3	0	 
11010	4	1	2
11010	5	0	 
11010	6	0	 
11010	7	1	3
11010	8	1	1
11010	9	0	 
11010	10	1	1
11010	11	1	2
11010	12	1	1
11010	13	1	1
11010	14	0	 
11010	15	0	 
11010	16	0	 
11011	1	1	2
11011	2	0	 
11011	3	0	 
11011	4	1	1
11011	5	1	1
11011	6	0	 
11011	7	1	2
11011	8	1	1
11011	9	0	 
11011	10	1	2
11011	11	1	2
11011	12	0	 
11011	13	1	1
11011	14	1	1
11011	15	0	 
11011	16	0	 
11012	1	0	 
11012	2	0	 
11012	3	0	 
11012	4	0	 
11012	5	0	 
11012	6	0	 
11012	7	1	1
11012	8	0	 
11012	9	0	 
11012	10	0	 
11012	11	0	 
11012	12	0	 
11012	13	0	 
11012	14	0	 
11012	15	0	 
11012	16	0	 
11015	1	0	 
11015	2	0	 
11015	3	0	 
11015	4	1	3
11015	5	0	 
11015	6	0	 
11015	7	1	3
11015	8	0	 
11015	9	0	 
11015	10	1	2
11015	11	0	 
11015	12	0	 
11015	13	1	1
11015	14	1	3
11015	15	0	 
11015	16	0	 
11016	1	0	 
11016	2	0	 
11016	3	0	 
11016	4	0	 
11016	5	0	 
11016	6	0	 
11016	7	1	1
11016	8	0	 
11016	9	0	 
11016	10	1	1
11016	11	0	 
11016	12	0	 
11016	13	1	1
11016	14	0	 
11016	15	0	 
11016	16	0	 
11018	1	1	1
11018	2	0	 
11018	3	0	 
11018	4	1	1
11018	5	1	2
11018	6	0	 
11018	7	1	1
11018	8	0	 
11018	9	1	1
11018	10	1	2
11018	11	1	1
11018	12	1	1
11018	13	1	1
11018	14	0	 
11018	15	0	 
11018	16	0	 
11019	1	0	 
11019	2	0	 
11019	3	0	 
11019	4	1	1
11019	5	0	 
11019	6	0	 
11019	7	1	1
11019	8	0	 
11019	9	0	 
11019	10	1	1
11019	11	0	 
11019	12	0	 
11019	13	1	1
11019	14	0	 
11019	15	0	 
11019	16	0	 
11020	1	0	 
11020	2	0	 
11020	3	0	 
11020	4	1	2
11020	5	1	1
11020	6	0	 
11020	7	1	3
11020	8	0	 
11020	9	0	 
11020	10	1	1
11020	11	0	 
11020	12	0	 
11020	13	1	1
11020	14	0	 
11020	15	0	 
11020	16	0	 
11021	1	0	 
11021	2	0	 
11021	3	0	 
11021	4	1	2
11021	5	0	 
11021	6	0	 
11021	7	1	2
11021	8	0	 
11021	9	0	 
11021	10	1	1
11021	11	0	 
11021	12	0	 
11021	13	1	1
11021	14	0	 
11021	15	0	 
11021	16	1	1
11022	1	1	1
11022	2	0	 
11022	3	0	 
11022	4	1	2
11022	5	0	 
11022	6	0	 
11022	7	1	2
11022	8	1	1
11022	9	0	 
11022	10	1	1
11022	11	1	2
11022	12	0	 
11022	13	1	1
11022	14	0	 
11022	15	0	 
11022	16	0	 
11024	1	1	1
11024	2	0	 
11024	3	0	 
11024	4	1	2
11024	5	1	3
11024	6	0	 
11024	7	1	4
11024	8	1	1
11024	9	0	 
11024	10	1	2
11024	11	1	3
11024	12	0	 
11024	13	1	1
11024	14	0	 
11024	15	0	 
11024	16	0	 
11025	1	1	1
11025	2	0	 
11025	3	0	 
11025	4	1	2
11025	5	1	1
11025	6	0	 
11025	7	1	4
11025	8	1	1
11025	9	0	 
11025	10	1	2
11025	11	1	2
11025	12	1	1
11025	13	1	1
11025	14	0	 
11025	15	0	 
11025	16	0	 
11026	1	1	1
11026	2	0	 
11026	3	0	 
11026	4	1	2
11026	5	0	 
11026	6	0	 
11026	7	1	2
11026	8	1	1
11026	9	0	 
11026	10	1	2
11026	11	1	1
11026	12	1	1
11026	13	1	1
11026	14	0	 
11026	15	0	 
11026	16	0	 
11029	1	1	1
11029	2	0	 
11029	3	0	 
11029	4	1	2
11029	5	1	2
11029	6	0	 
11029	7	1	4
11029	8	1	1
11029	9	0	 
11029	10	1	2
11029	11	1	3
11029	12	1	1
11029	13	1	1
11029	14	0	 
11029	15	0	 
11029	16	0	 
11030	1	0	 
11030	2	0	 
11030	3	0	 
11030	4	1	2
11030	5	0	 
11030	6	0	 
11030	7	1	2
11030	8	0	 
11030	9	0	 
11030	10	1	2
11030	11	0	 
11030	12	0	 
11030	13	1	1
11030	14	1	1
11030	15	0	 
11030	16	0	 
11031	1	0	 
11031	2	0	 
11031	3	0	 
11031	4	1	2
11031	5	0	 
11031	6	0	 
11031	7	1	2
11031	8	0	 
11031	9	0	 
11031	10	1	1
11031	11	0	 
11031	12	0	 
11031	13	1	1
11031	14	1	1
11031	15	0	 
11031	16	1	1
11032	1	0	 
