CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
11001	1	13	15
11001	2	1	5
11002	1	1	10
11002	2	2	9
11002	3	3	1
11003	1	1	10
11003	2	5	6
11003	3	11	4
11004	1	1	10
11004	2	2	10
11005	1	12	10
11005	2	2	5
11005	3	1	5
11006	1	1	7
11006	2	2	7
11006	3	7	6
11007	1	1	6
11007	2	2	8
11007	3	12	6
11008	1	1	10
11008	2	2	7
11008	3	7	2
11008	4	9	1
11009	1	1	5
11009	2	12	10
11009	3	2	5
11010	1	1	12
11010	2	12	8
11011	1	7	20
11012	1	1	20
11013	1	1	10
11013	2	12	10
11015	1	10	6
11015	2	2	9
11015	3	1	5
11016	1	9	20
11017	1	12	13
11017	2	10	7
11018	1	1	10
11018	2	3	10
11019	1	7	5
11019	2	12	15
11020	1	1	7
11020	2	2	8
11020	3	11	2
11020	4	12	2
11020	5	7	1
11021	1	12	5
11021	2	2	10
11021	3	1	5
11022	1	8	10
11022	2	1	5
11022	3	2	5
11024	1	1	3
11024	2	12	17
11025	1	1	10
11025	2	2	10
11026	1	1	15
11026	2	11	5
11028	1	1	15
11028	2	12	5
11029	1	1	15
11029	2	2	5
11030	1	1	10
11030	2	5	4
11030	3	9	6
11031	1	1	10
11031	2	12	10
11032	1	1	7
11032	2	12	13
11033	1	12	16
11033	2	1	4
11034	1	7	20
11035	1	12	20
11037	1	1	5
11037	2	12	15
11038	1	1	9
11038	2	2	7
11038	3	7	4
11039	1	1	12
11039	2	12	8
11040	1	12	20
11041	1	1	20
11042	1	8	10
11042	2	12	5
11042	3	1	5
11043	1	12	20
11044	1	1	10
11044	2	2	5
11044	3	12	5
11047	1	1	7
11047	2	2	4
11047	3	7	9
11048	1	1	8
11048	2	12	12
11050	1	1	8
11050	2	2	8
11050	3	11	4
11052	1	7	7
11052	2	2	5
11052	3	1	5
11052	4	12	3
11061	1	7	10
11061	2	10	10
11063	1	1	8
11063	2	2	6
11063	3	11	6
11069	1	1	6
11069	2	3	5
11069	3	12	3
11069	4	2	6
11074	1	1	10
11074	2	5	10
11088	1	2	14
11088	2	1	6
21002	1	12	20
21004	1	5	18
21004	2	13	2
21005	1	7	15
21005	2	12	5
21007	1	10	11
21007	2	11	9
21008	1	10	7
21008	2	13	13
21009	1	5	20
21011	1	7	20
21012	1	1	20
21013	1	11	18
21013	2	1	1
21013	3	13	1
21014	1	13	16
21014	2	12	4
21015	1	11	10
21015	2	3	7
21015	3	12	3
21017	1	7	20
21018	1	11	15
21018	2	12	5
21020	1	7	6
21020	2	11	14
21022	1	5	10
21022	2	2	7
21022	3	1	3
21023	1	1	10
21023	2	6	7
21023	3	7	3
21024	1	2	12
21024	2	1	6
21024	3	12	2
21025	1	1	3
21025	2	13	17
21026	1	11	20
21027	1	3	20
21029	1	12	19
21029	2	1	1
21030	1	12	12
21030	2	2	5
21030	3	1	3
21031	1	1	6
21031	2	2	14
21032	1	13	15
21032	2	1	4
21032	3	6	1
21033	1	2	8
21033	2	1	7
21033	3	11	5
21034	1	1	12
21034	2	2	8
21036	1	2	10
21036	2	1	5
21036	3	11	5
21037	1	2	12
21037	2	1	4
21037	3	13	4
21038	1	11	13
21038	2	7	7
21039	1	12	15
21039	2	8	3
21039	3	1	2
21041	1	1	15
21041	2	3	5
21042	1	2	9
21042	2	11	8
21042	3	1	3
21044	1	1	3
21044	2	11	17
21046	1	1	13
21046	2	3	7
21047	1	11	13
21047	2	13	6
21047	3	1	1
21048	1	3	18
21048	2	13	2
21049	1	12	9
21049	2	3	8
21049	3	1	3
21056	1	13	20
21069	1	2	15
21069	2	1	5
21072	1	11	6
21072	2	1	5
21072	3	2	5
21072	4	13	4
21083	1	12	18
21083	2	13	2
21090	1	10	5
21090	2	7	15
21094	1	5	10
21094	2	2	6
21094	3	1	4
31001	1	12	16
31001	2	2	4
31002	1	1	8
31002	2	5	3
31002	3	6	6
31002	4	7	3
31004	1	1	10
31004	2	11	10
31005	1	1	16
31005	2	5	4
31006	1	1	16
31006	2	10	4
31007	1	1	15
31007	2	2	5
31008	1	1	14
31008	2	5	6
31010	1	1	10
31010	2	12	5
31010	3	11	5
31011	1	1	8
31011	2	6	2
31011	3	13	10
31012	1	1	10
31012	2	2	5
31012	3	11	5
31013	1	1	15
31013	2	5	5
31018	1	1	12
31018	2	2	8
31020	1	2	5
31020	2	1	10
31020	3	11	5
31021	1	12	15
31021	2	1	5
31023	1	1	10
31023	2	2	10
31024	1	1	10
31024	2	2	10
31025	1	1	20
31027	1	1	10
31027	2	11	10
31028	1	1	20
31029	1	6	12
31029	2	1	8
31031	1	1	9
31031	2	2	2
31031	3	11	9
31032	1	1	14
31032	2	11	4
31032	3	6	2
31035	1	1	10
31035	2	5	10
31036	1	4	15
31036	2	7	5
31037	1	10	15
31037	2	9	5
31038	1	5	18
31038	2	8	0
