CHILDCODE	IMINIDR4	RECINCR4
11001	1	1
11001	2	0
11001	3	0
11001	4	0
11001	5	0
11001	6	0
11001	7	0
11001	8	0
11001	9	0
11001	10	0
11001	11	0
11001	12	0
11001	13	1
11002	1	1
11002	2	1
11002	3	1
11002	4	0
11002	5	0
11002	6	0
11002	7	0
11002	8	0
11002	9	0
11002	10	0
11002	11	0
11002	12	0
11002	13	0
11003	1	1
11003	2	0
11003	3	0
11003	4	0
11003	5	1
11003	6	0
11003	7	0
11003	8	0
11003	9	0
11003	10	0
11003	11	1
11003	12	0
11003	13	0
11004	1	1
11004	2	1
11004	3	0
11004	4	0
11004	5	0
11004	6	0
11004	7	0
11004	8	0
11004	9	0
11004	10	0
11004	11	0
11004	12	0
11004	13	0
11005	1	1
11005	2	1
11005	3	0
11005	4	0
11005	5	0
11005	6	0
11005	7	0
11005	8	0
11005	9	0
11005	10	0
11005	11	0
11005	12	1
11005	13	0
11006	1	1
11006	2	1
11006	3	0
11006	4	0
11006	5	0
11006	6	0
11006	7	1
11006	8	0
11006	9	0
11006	10	0
11006	11	0
11006	12	0
11006	13	0
11007	1	1
11007	2	1
11007	3	0
11007	4	0
11007	5	0
11007	6	0
11007	7	0
11007	8	0
11007	9	0
11007	10	0
11007	11	0
11007	12	1
11007	13	0
11008	1	1
11008	2	1
11008	3	0
11008	4	0
11008	5	0
11008	6	0
11008	7	1
11008	8	0
11008	9	1
11008	10	0
11008	11	0
11008	12	0
11008	13	0
11009	1	1
11009	2	1
11009	3	0
11009	4	0
11009	5	0
11009	6	0
11009	7	0
11009	8	0
11009	9	0
11009	10	0
11009	11	0
11009	12	1
11009	13	0
11010	1	1
11010	2	0
11010	3	0
11010	4	0
11010	5	0
11010	6	0
11010	7	0
11010	8	0
11010	9	0
11010	10	0
11010	11	0
11010	12	1
11010	13	0
11011	1	0
11011	2	0
11011	3	0
11011	4	0
11011	5	0
11011	6	0
11011	7	1
11011	8	0
11011	9	0
11011	10	0
11011	11	0
11011	12	0
11011	13	0
11012	1	1
11012	2	0
11012	3	0
11012	4	0
11012	5	0
11012	6	0
11012	7	0
11012	8	0
11012	9	0
11012	10	0
11012	11	0
11012	12	0
11012	13	0
11013	1	1
11013	2	0
11013	3	0
11013	4	0
11013	5	0
11013	6	0
11013	7	0
11013	8	0
11013	9	0
11013	10	0
11013	11	0
11013	12	1
11013	13	0
11015	1	1
11015	2	1
11015	3	0
11015	4	0
11015	5	0
11015	6	0
11015	7	0
11015	8	0
11015	9	0
11015	10	1
11015	11	0
11015	12	0
11015	13	0
11016	1	0
11016	2	0
11016	3	0
11016	4	0
11016	5	0
11016	6	0
11016	7	0
11016	8	0
11016	9	1
11016	10	0
11016	11	0
11016	12	0
11016	13	0
11017	1	0
11017	2	0
11017	3	0
11017	4	0
11017	5	0
11017	6	0
11017	7	0
11017	8	0
11017	9	0
11017	10	1
11017	11	0
11017	12	1
11017	13	0
11018	1	1
11018	2	0
11018	3	1
11018	4	0
11018	5	0
11018	6	0
11018	7	0
11018	8	0
11018	9	0
11018	10	0
11018	11	0
11018	12	0
11018	13	0
11019	1	0
11019	2	0
11019	3	0
11019	4	0
11019	5	0
11019	6	0
11019	7	1
