CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
11001	1	 	 	 	 
11001	2	 	 	 	 
11001	3	 	 	 	 
11001	4	 	 	 	 
11001	7	 	 	 	 
11001	8	 	 	 	 
11001	9	 	 	 	 
11001	13	 	 	 	 
11001	14	 	 	 	 
11001	15	 	 	 	 
11001	16	 	 	 	 
11001	17	 	 	 	 
11001	58	 	 	 	 
11002	1	0	 	 	 
11002	2	0	 	 	 
11002	3	0	 	 	 
11002	4	0	 	 	 
11002	7	1	2	45000	1
11002	8	0	 	 	 
11002	9	0	 	 	 
11002	13	0	 	 	 
11002	14	0	 	 	 
11002	15	0	 	 	 
11002	16	1	4	1500	1
11002	17	0	 	 	 
11002	58	0	 	 	 
11003	1	 	 	 	 
11003	2	 	 	 	 
11003	3	 	 	 	 
11003	4	 	 	 	 
11003	7	 	 	 	 
11003	8	 	 	 	 
11003	9	 	 	 	 
11003	13	 	 	 	 
11003	14	 	 	 	 
11003	15	 	 	 	 
11003	16	 	 	 	 
11003	17	 	 	 	 
11003	58	 	 	 	 
11004	1	1	3	60000	0
11004	2	0	 	 	 
11004	3	0	 	 	 
11004	4	0	 	 	 
11004	7	0	 	 	 
11004	8	0	 	 	 
11004	9	0	 	 	 
11004	13	0	 	 	 
11004	14	0	 	 	 
11004	15	0	 	 	 
11004	16	0	 	 	 
11004	17	0	 	 	 
11004	58	0	 	 	 
11005	1	0	 	 	 
11005	2	0	 	 	 
11005	3	0	 	 	 
11005	4	0	 	 	 
11005	7	1	1	20000	1
11005	8	0	 	 	 
11005	9	0	 	 	 
11005	13	0	 	 	 
11005	14	0	 	 	 
11005	15	0	 	 	 
11005	16	1	20	2000	1
11005	17	0	 	 	 
11005	58	0	 	 	 
11006	1	0	 	 	 
11006	2	0	 	 	 
11006	3	0	 	 	 
11006	4	0	 	 	 
11006	7	1	2	60000	1
11006	8	0	 	 	 
11006	9	0	 	 	 
11006	13	0	 	 	 
11006	14	0	 	 	 
11006	15	0	 	 	 
11006	16	0	 	 	 
11006	17	0	 	 	 
11006	58	0	 	 	 
11007	1	0	 	 	 
11007	2	0	 	 	 
11007	3	0	 	 	 
11007	4	0	 	 	 
11007	7	0	 	 	 
11007	8	0	 	 	 
11007	9	0	 	 	 
11007	13	0	 	 	 
11007	14	0	 	 	 
11007	15	0	 	 	 
11007	16	1	350	25000	1
11007	17	0	 	 	 
11007	58	0	 	 	 
11008	1	0	 	 	 
11008	2	0	 	 	 
11008	3	0	 	 	 
11008	4	0	 	 	 
11008	7	0	 	 	 
11008	8	0	 	 	 
11008	9	0	 	 	 
11008	13	0	 	 	 
11008	14	0	 	 	 
11008	15	0	 	 	 
11008	16	0	 	 	 
11008	17	0	 	 	 
11008	58	1	30	30000	0
11009	1	0	 	 	 
11009	2	1	1	25000	0
11009	3	0	 	 	 
11009	4	0	 	 	 
11009	7	0	 	 	 
11009	8	0	 	 	 
11009	9	0	 	 	 
11009	13	0	 	 	 
11009	14	0	 	 	 
11009	15	0	 	 	 
11009	16	1	3	360	0
11009	17	0	 	 	 
11009	58	1	6	720	0
11010	1	0	 	 	 
11010	2	0	 	 	 
11010	3	0	 	 	 
11010	4	0	 	 	 
11010	7	0	 	 	 
11010	8	0	 	 	 
11010	9	0	 	 	 
11010	13	0	 	 	 
11010	14	0	 	 	 
11010	15	0	 	 	 
11010	16	1	11	200	1
11010	17	0	 	 	 
11010	58	0	 	 	 
11011	1	 	 	 	 
11011	2	 	 	 	 
11011	3	 	 	 	 
11011	4	 	 	 	 
11011	7	 	 	 	 
11011	8	 	 	 	 
11011	9	 	 	 	 
11011	13	 	 	 	 
11011	14	 	 	 	 
11011	15	 	 	 	 
11011	16	 	 	 	 
11011	17	 	 	 	 
11011	58	 	 	 	 
11012	1	0	 	 	 
11012	2	0	 	 	 
11012	3	0	 	 	 
11012	4	0	 	 	 
11012	7	0	 	 	 
11012	8	0	 	 	 
11012	9	0	 	 	 
11012	13	0	 	 	 
11012	14	0	 	 	 
11012	15	0	 	 	 
11012	16	1	15	1000	1
11012	17	0	 	 	 
11012	58	0	 	 	 
11013	1	0	 	 	 
11013	2	0	 	 	 
11013	3	0	 	 	 
11013	4	0	 	 	 
11013	7	0	 	 	 
11013	8	0	 	 	 
11013	9	0	 	 	 
11013	13	0	 	 	 
11013	14	0	 	 	 
11013	15	0	 	 	 
11013	16	1	6	420	0
11013	17	0	 	 	 
11013	58	0	 	 	 
11015	1	0	 	 	 
11015	2	0	 	 	 
11015	3	1	1	13000	1
11015	4	0	 	 	 
11015	7	0	 	 	 
11015	8	0	 	 	 
11015	9	0	 	 	 
11015	13	0	 	 	 
11015	14	0	 	 	 
11015	15	0	 	 	 
11015	16	0	 	 	 
11015	17	0	 	 	 
11015	58	1	10	1200	1
11016	1	 	 	 	 
11016	2	 	 	 	 
11016	3	 	 	 	 
11016	4	 	 	 	 
11016	7	 	 	 	 
11016	8	 	 	 	 
11016	9	 	 	 	 
11016	13	 	 	 	 
11016	14	 	 	 	 
11016	15	 	 	 	 
11016	16	 	 	 	 
11016	17	 	 	 	 
11016	58	 	 	 	 
11017	1	 	 	 	 
11017	2	 	 	 	 
11017	3	 	 	 	 
11017	4	 	 	 	 
11017	7	 	 	 	 
11017	8	 	 	 	 
11017	9	 	 	 	 
11017	13	 	 	 	 
11017	14	 	 	 	 
11017	15	 	 	 	 
11017	16	 	 	 	 
11017	17	 	 	 	 
11017	58	 	 	 	 
11018	1	 	 	 	 
11018	2	 	 	 	 
11018	3	 	 	 	 
11018	4	 	 	 	 
11018	7	 	 	 	 
11018	8	 	 	 	 
11018	9	 	 	 	 
11018	13	 	 	 	 
11018	14	 	 	 	 
11018	15	 	 	 	 
11018	16	 	 	 	 
11018	17	 	 	 	 
11018	58	 	 	 	 
11019	1	 	 	 	 
11019	2	 	 	 	 
11019	3	 	 	 	 
11019	4	 	 	 	 
11019	7	 	 	 	 
11019	8	 	 	 	 
11019	9	 	 	 	 
11019	13	 	 	 	 
11019	14	 	 	 	 
11019	15	 	 	 	 
11019	16	 	 	 	 
11019	17	 	 	 	 
11019	58	 	 	 	 
11020	1	1	2	30000	1
11020	2	0	 	 	 
11020	3	0	 	 	 
11020	4	0	 	 	 
11020	7	0	 	 	 
11020	8	0	 	 	 
11020	9	0	 	 	 
11020	13	0	 	 	 
11020	14	0	 	 	 
11020	15	0	 	 	 
11020	16	1	100	9750	1
11020	17	0	 	 	 
11020	58	0	 	 	 
11021	1	1	2	50000	1
11021	2	0	 	 	 
11021	3	0	 	 	 
11021	4	0	 	 	 
11021	7	0	 	 	 
11021	8	0	 	 	 
11021	9	0	 	 	 
11021	13	0	 	 	 
11021	14	0	 	 	 
11021	15	0	 	 	 
11021	16	0	 	 	 
11021	17	0	 	 	 
11021	58	1	10	-77	1
11022	1	0	 	 	 
11022	2	0	 	 	 
11022	3	0	 	 	 
11022	4	0	 	 	 
11022	7	1	1	23000	1
11022	8	0	 	 	 
11022	9	0	 	 	 
11022	13	0	 	 	 
11022	14	0	 	 	 
11022	15	0	 	 	 
11022	16	1	10	1000	1
11022	17	0	 	 	 
11022	58	0	 	 	 
11024	1	0	 	 	 
