CHILDCODE	FOODIDR4	HHCONSR4	VLRPR4	OWNVR4	GFTVR4	GFSRR4
11001	2	1	0	250	0	 
11001	3	0	 	 	 	 
11001	6	1	150	0	0	 
11001	9	1	300	0	0	 
11001	17	0	 	 	 	 
11001	20	1	36	0	0	 
11001	21	0	 	 	 	 
11002	2	1	0	300	0	 
11002	3	0	 	 	 	 
11002	6	1	200	0	0	 
11002	9	1	0	600	0	 
11002	17	0	 	 	 	 
11002	20	0	 	 	 	 
11002	21	0	 	 	 	 
11003	2	1	250	0	0	 
11003	3	1	100	0	0	 
11003	6	1	150	0	0	 
11003	9	1	200	0	0	 
11003	17	0	 	 	 	 
11003	20	0	 	 	 	 
11003	21	0	 	 	 	 
11004	2	1	0	300	0	 
11004	3	0	 	 	 	 
11004	6	1	160	0	0	 
11004	9	1	100	-77	0	 
11004	17	0	 	 	 	 
11004	20	0	 	 	 	 
11004	21	1	200	0	0	 
11005	2	1	0	150	0	 
11005	3	1	30	0	0	 
11005	6	1	150	0	0	 
11005	9	1	100	0	0	 
11005	17	0	 	 	 	 
11005	20	0	 	 	 	 
11005	21	0	 	 	 	 
11006	2	1	0	270	0	 
11006	3	1	50	0	0	 
11006	6	1	60	0	0	 
11006	9	1	400	0	0	 
11006	17	0	 	 	 	 
11006	20	0	 	 	 	 
11006	21	1	120	0	0	 
11007	2	1	0	1650	0	 
11007	3	1	30	0	0	 
11007	6	1	150	0	0	 
11007	9	1	40	0	0	 
11007	17	0	 	 	 	 
11007	20	0	 	 	 	 
11007	21	1	45	0	0	 
11008	2	1	0	200	0	 
11008	3	1	200	0	0	 
11008	6	1	300	0	0	 
11008	9	1	200	0	0	 
11008	17	0	 	 	 	 
11008	20	1	100	0	0	 
11008	21	1	300	0	0	 
11009	2	1	0	150	0	 
11009	3	0	 	 	 	 
11009	6	1	400	18	0	 
11009	9	0	 	 	 	 
11009	17	0	 	 	 	 
11009	20	0	 	 	 	 
11009	21	0	 	 	 	 
11010	2	1	0	250	0	 
11010	3	0	 	 	 	 
11010	6	1	175	0	0	 
11010	9	1	75	0	0	 
11010	17	0	 	 	 	 
11010	20	0	 	 	 	 
11010	21	0	 	 	 	 
11011	2	1	0	105	0	 
11011	3	1	65	0	0	 
11011	6	1	105	0	0	 
11011	9	1	50	0	0	 
11011	17	0	 	 	 	 
11011	20	0	 	 	 	 
11011	21	0	 	 	 	 
11012	2	1	30	75	0	 
11012	3	0	 	 	 	 
11012	6	1	150	0	0	 
11012	9	1	60	0	0	 
11012	17	0	 	 	 	 
11012	20	0	 	 	 	 
11012	21	1	60	50	0	 
11013	2	1	0	500	0	 
11013	3	1	15	0	0	 
11013	6	1	60	0	0	 
11013	9	1	20	0	0	 
11013	17	0	 	 	 	 
11013	20	0	 	 	 	 
11013	21	0	 	 	 	 
11015	2	1	0	130	0	 
11015	3	0	 	 	 	 
11015	6	1	80	0	0	 
11015	9	1	100	0	0	 
11015	17	0	 	 	 	 
11015	20	0	 	 	 	 
11015	21	0	 	 	 	 
11016	2	1	0	220	0	 
11016	3	0	 	 	 	 
11016	6	1	300	0	0	 
11016	9	1	150	0	0	 
11016	17	0	 	 	 	 
11016	20	0	 	 	 	 
11016	21	1	0	40	0	 
11017	2	1	0	100	0	 
11017	3	1	15	0	0	 
11017	6	1	0	0	205	1
11017	9	1	50	0	0	 
11017	17	0	 	 	 	 
11017	20	0	 	 	 	 
11017	21	0	 	 	 	 
11018	2	1	0	360	0	 
11018	3	0	 	 	 	 
11018	6	0	 	 	 	 
11018	9	0	 	 	 	 
11018	17	0	 	 	 	 
11018	20	0	 	 	 	 
11018	21	0	 	 	 	 
11019	2	1	90	30	0	 
11019	3	0	 	 	 	 
11019	6	1	300	0	0	 
11019	9	1	0	0	0	 
11019	17	0	 	 	 	 
11019	20	1	20	5	0	 
11019	21	0	 	 	 	 
11020	2	1	25	300	0	 
11020	3	1	15	0	0	 
11020	6	1	300	250	0	 
11020	9	1	150	20	0	 
11020	17	0	 	 	 	 
11020	20	1	21	0	0	 
11020	21	0	 	 	 	 
11021	2	1	0	360	0	 
11021	3	1	21	0	0	 
11021	6	1	150	0	0	 
11021	9	1	30	0	0	 
11021	17	0	 	 	 	 
11021	20	0	 	 	 	 
11021	21	0	 	 	 	 
11022	2	1	0	150	0	 
11022	3	1	30	0	0	 
11022	6	1	100	0	0	 
11022	9	1	70	0	0	 
11022	17	0	 	 	 	 
11022	20	0	 	 	 	 
11022	21	1	0	60	0	 
11024	2	1	0	150	0	 
11024	3	0	 	 	 	 
11024	6	1	100	0	0	 
11024	9	1	50	0	0	 
11024	17	0	 	 	 	 
11024	20	1	20	0	0	 
11024	21	0	 	 	 	 
11025	2	1	0	500	0	 
11025	3	1	20	0	0	 
11025	6	1	200	0	0	 
11025	9	1	150	0	0	 
11025	17	0	 	 	 	 
11025	20	0	 	 	 	 
11025	21	1	50	0	0	 
11026	2	1	0	100	0	 
11026	3	0	 	 	 	 
11026	6	1	35	0	0	 
11026	9	1	10	0	0	 
11026	17	0	 	 	 	 
11026	20	0	 	 	 	 
11026	21	0	 	 	 	 
11028	2	1	0	150	0	 
11028	3	0	 	 	 	 
11028	6	1	110	0	0	 
11028	9	1	120	0	0	 
11028	17	0	 	 	 	 
11028	20	1	50	0	0	 
11028	21	1	300	0	0	 
11029	2	1	0	300	0	 
11029	3	1	10	0	0	 
11029	6	1	300	0	0	 
11029	9	1	100	0	0	 
11029	17	0	 	 	 	 
11029	20	0	 	 	 	 
11029	21	0	 	 	 	 
11030	2	1	0	200	0	 
11030	3	1	50	0	0	 
11030	6	1	150	0	0	 
11030	9	1	150	0	0	 
11030	17	0	 	 	 	 
11030	20	0	 	 	 	 
11030	21	0	 	 	 	 
11031	2	1	0	30	0	 
11031	3	1	-77	0	0	 
11031	6	1	80	0	0	 
11031	9	1	50	0	0	 
11031	17	0	 	 	 	 
11031	20	0	 	 	 	 
11031	21	0	 	 	 	 
11032	2	1	0	75	0	 
11032	3	0	 	 	 	 
11032	6	1	150	0	0	 
11032	9	1	150	0	0	 
11032	17	0	 	 	 	 
11032	20	0	 	 	 	 
11032	21	0	 	 	 	 
11033	2	1	0	160	0	 
11033	3	1	120	0	0	 
11033	6	1	350	0	0	 
11033	9	1	500	0	0	 
11033	17	0	 	 	 	 
11033	20	0	 	 	 	 
11033	21	0	 	 	 	 
11034	2	1	140	100	0	 
11034	3	0	 	 	 	 
11034	6	1	600	0	0	 
11034	9	1	150	0	0	 
11034	17	0	 	 	 	 
11034	20	1	0	0	0	 
11034	21	1	100	0	0	 
11035	2	1	0	150	0	 
11035	3	0	 	 	 	 
11035	6	1	200	0	0	 
11035	9	1	200	0	0	 
11035	17	0	 	 	 	 
11035	20	1	0	0	0	 
11035	21	0	 	 	 	 
11037	2	1	0	150	0	 
11037	3	1	100	0	0	 
11037	6	1	100	0	0	 
11037	9	1	100	0	0	 
11037	17	0	 	 	 	 
11037	20	0	 	 	 	 
11037	21	0	 	 	 	 
11038	2	1	0	200	0	 
11038	3	0	 	 	 	 
11038	6	1	100	0	0	 
11038	9	1	150	0	0	 
11038	17	0	 	 	 	 
11038	20	0	 	 	 	 
11038	21	0	 	 	 	 
11039	2	1	45	300	0	 
11039	3	1	100	0	0	 
11039	6	1	280	0	0	 
11039	9	1	300	0	0	 
11039	17	1	150	0	0	 
11039	20	1	100	0	0	 
11039	21	1	150	0	0	 
11040	2	1	0	150	0	 
11040	3	1	30	0	0	 
11040	6	1	150	0	0	 
11040	9	1	100	0	0	 
11040	17	0	 	 	 	 
11040	20	0	 	 	 	 
11040	21	0	 	 	 	 
11041	2	1	300	0	0	 
11041	3	1	150	0	0	 
11041	6	1	300	0	0	 
11041	9	1	150	0	0	 
11041	17	0	 	 	 	 
11041	20	0	 	 	 	 
11041	21	1	150	0	0	 
11042	2	1	0	70	0	 
11042	3	0	 	 	 	 
11042	6	1	50	0	0	 
11042	9	1	50	0	0	 
11042	17	0	 	 	 	 
11042	20	0	 	 	 	 
11042	21	0	 	 	 	 
11043	2	1	280	0	0	 
11043	3	1	40	0	0	 
11043	6	1	150	0	0	 
11043	9	1	150	0	0	 
11043	17	0	 	 	 	 
11043	20	0	 	 	 	 
11043	21	0	 	 	 	 
11044	2	1	0	150	0	 
11044	3	1	20	0	0	 
11044	6	1	150	0	0	 
11044	9	1	50	0	0	 
11044	17	0	 	 	 	 
11044	20	0	 	 	 	 
11044	21	0	 	 	 	 
11047	2	1	0	300	0	 
11047	3	1	95	0	0	 
11047	6	1	180	0	0	 
11047	9	1	0	150	0	 
11047	17	0	 	 	 	 
11047	20	0	 	 	 	 
11047	21	1	50	0	0	 
11048	2	1	90	15	0	 
11048	3	0	 	 	 	 
11048	6	1	300	0	0	 
11048	9	0	 	 	 	 
11048	17	0	 	 	 	 
11048	20	0	 	 	 	 
11048	21	0	 	 	 	 
11050	2	1	0	150	0	 
11050	3	1	30	0	0	 
11050	6	1	100	0	0	 
11050	9	1	100	0	0	 
11050	17	0	 	 	 	 
11050	20	0	 	 	 	 
11050	21	1	50	0	0	 
11052	2	1	0	150	0	 
11052	3	1	50	0	0	 
11052	6	1	200	0	0	 
11052	9	1	100	0	0	 
11052	17	0	 	 	 	 
11052	20	0	 	 	 	 
11052	21	1	0	100	0	 
11061	2	1	0	200	0	 
11061	3	0	 	 	 	 
11061	6	1	60	0	0	 
11061	9	1	50	0	0	 
11061	17	1	100	0	0	 
11061	20	0	 	 	 	 
11061	21	1	0	180	280	1
11063	2	1	0	200	0	 
11063	3	0	 	 	 	 
11063	6	1	160	0	0	 
11063	9	1	300	0	0	 
11063	17	0	 	 	 	 
11063	20	0	 	 	 	 
11063	21	1	100	0	0	 
11069	2	1	0	150	0	 
11069	3	0	 	 	 	 
11069	6	0	 	 	 	 
11069	9	1	300	0	0	 
11069	17	0	 	 	 	 
11069	20	0	 	 	 	 
11069	21	1	70	0	0	 
11074	2	1	0	250	0	 
11074	3	0	 	 	 	 
11074	6	1	200	0	0	 
11074	9	1	150	0	0	 
11074	17	0	 	 	 	 
11074	20	0	 	 	 	 
11074	21	0	 	 	 	 
11088	2	1	0	170	0	 
11088	3	1	50	0	0	 
11088	6	1	100	0	0	 
11088	9	1	200	0	0	 
11088	17	0	 	 	 	 
11088	20	0	 	 	 	 
11088	21	0	 	 	 	 
21002	2	1	170	0	0	 
21002	3	0	 	 	 	 
21002	6	1	150	0	0	 
21002	9	1	370	0	0	 
21002	17	0	 	 	 	 
21002	20	1	50	0	0	 
21002	21	0	 	 	 	 
21004	2	1	100	30	0	 
21004	3	0	 	 	 	 
21004	6	1	120	0	0	 
21004	9	1	130	0	0	 
21004	17	0	 	 	 	 
21004	20	0	 	 	 	 
21004	21	0	 	 	 	 
21005	2	1	150	0	0	 
21005	3	1	300	0	0	 
21005	6	1	150	0	0	 
21005	9	1	450	0	0	 
21005	17	1	250	0	0	 
21005	20	0	 	 	 	 
21005	21	0	 	 	 	 
21007	2	1	240	0	0	 
21007	3	1	30	200	0	 
21007	6	1	300	0	0	 
21007	9	1	100	0	50	3
21007	17	0	 	 	 	 
21007	20	1	14	0	0	 
21007	21	1	100	0	0	 
21008	2	1	350	30	0	 
21008	3	1	50	0	0	 
21008	6	1	50	0	0	 
21008	9	1	300	0	0	 
21008	17	1	150	0	0	 
21008	20	0	 	 	 	 
21008	21	0	 	 	 	 
21009	2	1	210	0	0	 
21009	3	1	150	0	0	 
21009	6	1	260	0	0	 
21009	9	1	40	0	0	 
21009	17	0	 	 	 	 
21009	20	0	 	 	 	 
21009	21	0	 	 	 	 
21011	2	1	330	0	0	 
21011	3	1	100	0	0	 
21011	6	1	360	0	0	 
21011	9	1	750	0	0	 
21011	17	0	 	 	 	 
21011	20	0	 	 	 	 
21011	21	0	 	 	 	 
21012	2	1	130	90	0	 
21012	3	0	 	 	 	 
21012	6	1	50	0	0	 
21012	9	1	75	0	0	 
21012	17	0	 	 	 	 
21012	20	0	 	 	 	 
21012	21	0	 	 	 	 
21013	2	1	150	10	0	 
21013	3	1	50	0	0	 
21013	6	1	20	0	0	 
21013	9	1	450	0	0	 
21013	17	1	100	0	0	 
21013	20	0	 	 	 	 
21013	21	0	 	 	 	 
21014	2	1	50	0	0	 
21014	3	1	50	0	0	 
21014	6	1	20	0	0	 
21014	9	1	20	0	0	 
21014	17	1	100	0	0	 
21014	20	0	 	 	 	 
21014	21	0	 	 	 	 
21015	2	1	250	0	0	 
21015	3	1	150	0	0	 
21015	6	1	400	0	0	 
21015	9	1	150	350	0	 
21015	17	0	 	 	 	 
21015	20	0	 	 	 	 
21015	21	1	125	0	0	 
21017	2	1	0	200	0	 
21017	3	1	35	0	0	 
21017	6	1	240	0	0	 
21017	9	1	75	0	0	 
21017	17	0	 	 	 	 
21017	20	1	30	0	0	 
21017	21	0	 	 	 	 
21018	2	1	30	225	0	 
21018	3	1	150	0	0	 
21018	6	1	140	0	0	 
21018	9	1	240	0	0	 
21018	17	0	 	 	 	 
21018	20	1	80	0	0	 
21018	21	0	 	 	 	 
21020	2	1	337	0	0	 
21020	3	1	50	0	0	 
21020	6	1	450	0	0	 
21020	9	1	300	0	0	 
21020	17	1	225	0	0	 
21020	20	0	 	 	 	 
21020	21	0	 	 	 	 
21022	2	1	0	300	0	 
21022	3	1	30	0	0	 
21022	6	1	30	0	0	 
21022	9	1	150	0	0	 
21022	17	0	 	 	 	 
21022	20	0	 	 	 	 
21022	21	1	100	0	0	 
21023	2	1	0	150	0	 
21023	3	0	 	 	 	 
21023	6	1	120	0	0	 
21023	9	1	200	0	300	1
21023	17	1	30	0	0	 
21023	20	1	30	0	0	 
21023	21	0	 	 	 	 
21024	2	1	120	170	0	 
21024	3	1	100	0	0	 
21024	6	1	300	0	0	 
21024	9	1	200	0	0	 
21024	17	0	 	 	 	 
21024	20	1	100	20	0	 
21024	21	1	300	0	0	 
21025	2	1	160	120	0	 
21025	3	1	240	0	0	 
21025	6	1	35	0	0	 
21025	9	1	20	0	0	 
21025	17	0	 	 	 	 
21025	20	0	 	 	 	 
21025	21	0	 	 	 	 
21026	2	1	300	0	0	 
21026	3	1	25	0	0	 
21026	6	1	150	0	0	 
21026	9	1	50	200	0	 
21026	17	0	 	 	 	 
21026	20	1	12	0	0	 
21026	21	0	 	 	 	 
21027	2	1	270	0	0	 
21027	3	1	55	0	0	 
21027	6	1	120	0	0	 
21027	9	1	0	250	0	 
21027	17	0	 	 	 	 
21027	20	0	 	 	 	 
21027	21	0	 	 	 	 
21029	2	1	0	225	0	 
21029	3	1	150	0	0	 
21029	6	1	30	0	0	 
21029	9	1	750	0	0	 
21029	17	0	 	 	 	 
21029	20	0	 	 	 	 
21029	21	0	 	 	 	 
21030	2	1	30	750	0	 
21030	3	1	40	0	0	 
21030	6	1	150	0	0	 
21030	9	1	150	0	0	 
21030	17	1	150	0	0	 
21030	20	0	 	 	 	 
21030	21	0	 	 	 	 
21031	2	1	330	170	0	 
21031	3	1	18	0	0	 
21031	6	1	180	0	0	 
21031	9	1	380	0	0	 
21031	17	0	 	 	 	 
21031	20	0	 	 	 	 
21031	21	0	 	 	 	 
21032	2	1	18	150	0	 
21032	3	0	 	 	 	 
21032	6	1	30	0	0	 
21032	9	1	75	0	0	 
21032	17	1	120	0	0	 
21032	20	0	 	 	 	 
21032	21	1	65	0	0	 
21033	2	1	230	150	0	 
21033	3	1	750	0	0	 
21033	6	1	340	0	0	 
21033	9	1	320	0	0	 
21033	17	0	 	 	 	 
21033	20	1	80	0	0	 
21033	21	0	 	 	 	 
21034	2	1	0	350	0	 
21034	3	1	100	0	0	 
21034	6	1	150	0	0	 
21034	9	1	150	0	0	 
21034	17	0	 	 	 	 
21034	20	0	 	 	 	 
21034	21	0	 	 	 	 
21036	2	1	0	360	0	 
21036	3	0	 	 	 	 
21036	6	1	225	0	0	 
21036	9	1	0	60	0	 
21036	17	0	 	 	 	 
21036	20	0	 	 	 	 
21036	21	0	 	 	 	 
21037	2	1	150	225	0	 
21037	3	0	 	 	 	 
21037	6	1	90	0	0	 
21037	9	1	300	0	0	 
21037	17	0	 	 	 	 
21037	20	0	 	 	 	 
21037	21	1	30	0	0	 
21038	2	1	150	15	0	 
21038	3	0	 	 	 	 
21038	6	1	450	0	0	 
21038	9	1	200	0	0	 
21038	17	0	 	 	 	 
21038	20	1	50	0	0	 
21038	21	1	50	0	0	 
21039	2	1	150	0	0	 
21039	3	1	50	0	0	 
21039	6	1	250	0	0	 
21039	9	1	320	0	0	 
21039	17	1	450	0	0	 
21039	20	0	 	 	 	 
21039	21	1	150	0	0	 
21041	2	1	0	180	0	 
21041	3	0	 	 	 	 
21041	6	1	180	0	0	 
21041	9	1	150	100	0	 
21041	17	0	 	 	 	 
21041	20	0	 	 	 	 
21041	21	0	 	 	 	 
21042	2	1	145	80	0	 
21042	3	1	150	0	0	 
21042	6	1	360	0	0	 
21042	9	1	350	0	0	 
21042	17	0	 	 	 	 
21042	20	0	 	 	 	 
21042	21	0	 	 	 	 
21044	2	1	120	80	0	 
21044	3	1	35	0	0	 
21044	6	1	60	0	0	 
21044	9	1	150	0	0	 
21044	17	0	 	 	 	 
21044	20	0	 	 	 	 
21044	21	0	 	 	 	 
21046	2	1	0	120	0	 
21046	3	0	 	 	 	 
21046	6	1	45	0	0	 
21046	9	1	0	50	0	 
21046	17	0	 	 	 	 
21046	20	0	 	 	 	 
21046	21	0	 	 	 	 
21047	2	1	275	20	0	 
21047	3	0	 	 	 	 
21047	6	1	300	0	0	 
21047	9	1	300	0	0	 
21047	17	0	 	 	 	 
21047	20	1	60	0	0	 
21047	21	0	 	 	 	 
21048	2	1	180	0	0	 
21048	3	1	45	0	0	 
21048	6	1	1320	0	0	 
21048	9	1	750	500	0	 
21048	17	0	 	 	 	 
21048	20	0	 	 	 	 
21048	21	0	 	 	 	 
21049	2	1	120	60	0	 
21049	3	1	20	0	0	 
21049	6	1	200	0	0	 
21049	9	1	0	150	0	 
21049	17	0	 	 	 	 
21049	20	0	 	 	 	 
21049	21	1	70	20	0	 
21056	2	1	35	0	0	 
21056	3	0	 	 	 	 
21056	6	1	15	0	0	 
21056	9	1	80	0	0	 
21056	17	0	 	 	 	 
21056	20	0	 	 	 	 
21056	21	0	 	 	 	 
21069	2	1	0	250	0	 
21069	3	1	35	0	0	 
21069	6	1	100	0	0	 
21069	9	1	300	0	0	 
21069	17	0	 	 	 	 
21069	20	0	 	 	 	 
21069	21	1	20	0	0	 
21072	2	1	0	155	0	 
21072	3	1	75	0	0	 
21072	6	1	120	0	0	 
21072	9	1	300	0	0	 
21072	17	0	 	 	 	 
21072	20	0	 	 	 	 
21072	21	1	10	10	0	 
21083	2	1	200	0	0	 
21083	3	1	50	0	0	 
21083	6	1	120	0	0	 
21083	9	1	100	0	0	 
21083	17	1	100	0	0	 
21083	20	0	 	 	 	 
21083	21	1	100	0	0	 
21090	2	1	10	0	0	 
21090	3	1	230	0	0	 
21090	6	1	450	0	0	 
21090	9	1	20	0	0	 
21090	17	0	 	 	 	 
21090	20	1	80	0	0	 
21090	21	0	 	 	 	 
21094	2	1	0	165	0	 
