CHILDCODE	ASSTIDR4	ASSETR4	TOTASSR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
11001	1	1	10	11	10	100	1
11001	2	88	 	 	 	 	 
11001	3	88	 	 	 	 	 
11001	4	88	 	 	 	 	 
11001	5	88	 	 	 	 	 
11001	6	88	 	 	 	 	 
11002	1	1	10	11	10	300	1
11002	2	40	1	30	1	1000	1
11002	3	88	 	 	 	 	 
11002	4	88	 	 	 	 	 
11002	5	88	 	 	 	 	 
11002	6	88	 	 	 	 	 
11003	1	1	3	11	3	150	0
11003	2	3	1	11	1	200	0
11003	3	88	 	 	 	 	 
11003	4	88	 	 	 	 	 
11003	5	88	 	 	 	 	 
11003	6	88	 	 	 	 	 
11004	1	1	6	11	6	300	0
11004	2	40	1	11	1	700	0
11004	3	3	2	11	2	650	0
11004	4	88	 	 	 	 	 
11004	5	88	 	 	 	 	 
11004	6	88	 	 	 	 	 
11005	1	1	5	11	5	100	1
11005	2	26	-77	21	-77	 	 
11005	3	88	 	 	 	 	 
11005	4	88	 	 	 	 	 
11005	5	88	 	 	 	 	 
11005	6	88	 	 	 	 	 
11006	1	2	1	11	1	2000	1
11006	2	3	1	11	1	100	1
11006	3	1	1	11	5	100	1
11006	4	23	3	23	3	200	1
11006	5	88	 	 	 	 	 
11006	6	88	 	 	 	 	 
11007	1	1	4	11	4	120	0
11007	2	88	 	 	 	 	 
11007	3	88	 	 	 	 	 
11007	4	88	 	 	 	 	 
11007	5	88	 	 	 	 	 
11007	6	88	 	 	 	 	 
11008	1	1	4	11	4	200	0
11008	2	14	1	9	1	25000	1
11008	3	88	 	 	 	 	 
11008	4	88	 	 	 	 	 
11008	5	88	 	 	 	 	 
11008	6	88	 	 	 	 	 
11009	1	1	2	11	2	150	0
11009	2	40	1	11	1	1000	0
11009	3	88	 	 	 	 	 
11009	4	88	 	 	 	 	 
11009	5	88	 	 	 	 	 
11009	6	88	 	 	 	 	 
11010	1	1	5	11	5	100	0
11010	2	88	 	 	 	 	 
11010	3	88	 	 	 	 	 
11010	4	88	 	 	 	 	 
11010	5	88	 	 	 	 	 
11010	6	88	 	 	 	 	 
11011	1	24	1	23	1	1000	1
11011	2	23	2	23	2	200	1
11011	3	88	 	 	 	 	 
11011	4	88	 	 	 	 	 
11011	5	88	 	 	 	 	 
11011	6	88	 	 	 	 	 
11012	1	3	1	11	1	100	1
11012	2	1	5	11	5	50	1
11012	3	88	 	 	 	 	 
11012	4	88	 	 	 	 	 
11012	5	88	 	 	 	 	 
11012	6	88	 	 	 	 	 
11013	1	1	9	11	9	50	0
11013	2	88	 	 	 	 	 
11013	3	88	 	 	 	 	 
11013	4	88	 	 	 	 	 
11013	5	88	 	 	 	 	 
11013	6	88	 	 	 	 	 
11015	1	1	4	11	4	-77	1
11015	2	88	 	 	 	 	 
11015	3	88	 	 	 	 	 
11015	4	88	 	 	 	 	 
11015	5	88	 	 	 	 	 
11015	6	88	 	 	 	 	 
11016	1	1	9	11	9	200	0
11016	2	88	 	 	 	 	 
11016	3	88	 	 	 	 	 
11016	4	88	 	 	 	 	 
11016	5	88	 	 	 	 	 
11016	6	88	 	 	 	 	 
11017	1	21	1	21	1	400	0
11017	2	88	 	 	 	 	 
11017	3	88	 	 	 	 	 
11017	4	88	 	 	 	 	 
11017	5	88	 	 	 	 	 
11017	6	88	 	 	 	 	 
11018	1	1	6	11	6	250	0
11018	2	88	 	 	 	 	 
11018	3	88	 	 	 	 	 
11018	4	88	 	 	 	 	 
11018	5	88	 	 	 	 	 
11018	6	88	 	 	 	 	 
11019	1	25	1	28	1	25000	1
11019	2	88	 	 	 	 	 
11019	3	88	 	 	 	 	 
11019	4	88	 	 	 	 	 
11019	5	88	 	 	 	 	 
11019	6	88	 	 	 	 	 
11020	1	25	2	5	2	6	1
11020	2	1	12	11	12	300	1
11020	3	40	2	11	2	1000	1
11020	4	88	 	 	 	 	 
11020	5	88	 	 	 	 	 
11020	6	88	 	 	 	 	 
11021	1	1	4	11	4	-77	0
11021	2	88	 	 	 	 	 
11021	3	88	 	 	 	 	 
11021	4	88	 	 	 	 	 
11021	5	88	 	 	 	 	 
11021	6	88	 	 	 	 	 
