FORMNO	CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
R28YRS	IN011043	1	3	4	2005	2	1	0	10	3
R28YRS	IN021021	1	2	17	2001	0	1	0	10	2
R28YRS	IN021040	1	1	13	2000	12	1	0	8	3
R28YRS	IN041050	1	1	13	2000	7	1	0	8	3
R28YRS	IN041050	2	2	13	2000	9	1	0	8	3
R28YRS	IN051026	1	1	17	2006	0	1	0	15	2
R28YRS	IN051029	1	2	17	2006	1	1	0	10	2
R28YRS	IN061006	1	2	17	2006	0	1	0	11	2
R28YRS	IN061011	1	1	4	2006	1	1	0	10	2
R28YRS	IN061024	1	1	17	-77	20	1	0	15	2
R28YRS	IN061050	1	3	4	2006	0	1	1	15	2
R28YRS	IN071031	1	2	4	2006	1	1	0	6	3
R28YRS	IN111036	1	1	4	-77	5	0	0	7	2
R28YRS	IN121028	1	3	17	2006	0	1	0	10	3
R28YRS	IN121028	2	2	16	2000	5	0	0	7	3
R28YRS	IN131011	1	1	16	2001	5	0	0	1	2
R28YRS	IN131046	1	1	17	2006	0	0	0	15	2
R28YRS	IN141043	1	1	13	2000	10	1	1	8	2
R28YRS	IN151002	1	1	17	2006	0	1	0	1	2
R28YRS	IN151039	1	1	17	2006	0	1	0	10	2
R28YRS	IN151042	1	2	18	2002	4	0	0	15	2
R28YRS	IN161002	1	1	11	2004	4	1	0	10	2
R28YRS	IN161029	1	1	18	2001	3	0	0	11	0
R28YRS	IN161049	1	4	13	2000	18	1	1	1	2
R28YRS	IN171026	1	3	18	2000	2	0	0	15	3
R28YRS	IN181005	1	2	17	2002	6	1	1	6	2
R28YRS	IN181005	2	1	3	2004	3	1	0	12	2
R28YRS	IN181029	1	1	18	2000	5	0	0	8	2
R28YRS	IN191008	1	4	16	2006	0	1	0	12	0
