CHILDCODE	ACTIDR5	ECNSCTR5	ACTR5	ACTFORR5	ACTMTHR5	ACTDAYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PDPCPRR5	PRFACTR5	MTHPRFR5
18001	1	9	11	1	12	26	4	6	8	1	175	 	3	 	0	 
18001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	1	19	10	1	1	16	4	4	8	0	 	 	 	 	1	3
18002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18004	1	7	11	3	12	24	4	6	8	1	400	 	4	 	0	 
18004	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18005	1	7	11	1	2	30	4	7	8	1	700	 	4	 	1	6
18005	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18006	1	18	11	1	3	8	4	2	4	1	70	 	2	 	0	 
18006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18008	1	7	11	1	12	16	4	4	5	1	360	 	3	 	0	 
18008	2	6	11	1	6	20	4	5	5	1	540	 	8	 	0	 
18008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18010	1	15	11	4	8	30	4	7	12	1	256	 	4	 	1	12
18010	2	1	6	2	12	24	4	6	8	1	20	 	2	 	0	 
18010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	1	9	14	6	8	24	4	6	4	1	20	 	2	 	0	 
18011	2	7	14	3	1	20	4	5	2	1	15	 	3	 	1	2
18011	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	1	7	11	1	6	28	4	7	9	1	850	 	4	 	1	12
18012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	1	9	11	1	8	24	4	6	8	1	28.5	 	2	 	1	12
18013	2	9	15	2	12	8	4	2	1	0	 	 	 	 	1	12
18013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18015	1	7	7	2	12	30	4	7	2	0	 	 	 	 	1	12
18015	2	7	11	3	2	30	4	7	8	1	200	 	4	 	0	 
18015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18016	1	1	21	2	12	4	4	1	5	0	 	 	 	 	1	12
18016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
