CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
10001	1	2	1	0	 	2
10002	1	2	1	0	 	2
10003	1	2	1	0	 	2
10007	1	2	1	0	 	1
10008	1	2	1	0	 	2
10009	1	2	1	0	 	2
10012	1	2	1	0	 	2
10013	1	2	2	0	 	2
10016	1	2	1	0	 	2
10017	1	2	1	0	 	2
10019	1	2	1	0	 	2
10021	1	2	1	0	 	2
10025	1	2	1	0	 	2
10027	1	2	1	0	 	2
10030	1	5	1	0	 	2
10030	2	2	1	0	 	2
10032	1	2	1	0	 	2
10033	1	2	1	0	 	2
10036	1	2	1	0	 	2
10042	1	2	1	0	 	2
10043	1	2	1	0	 	2
10044	1	2	1	0	 	2
10045	1	2	1	0	 	2
10046	1	2	1	0	 	1
10047	1	2	1	0	 	2
10048	1	2	1	0	 	2
10050	1	2	2	0	 	2
10051	1	1	1	0	 	1
10051	2	2	1	0	 	2
10053	1	2	1	0	 	1
10053	2	3	1	0	 	2
10054	1	2	1	0	 	2
10055	1	2	1	0	 	2
10056	1	2	1	0	 	2
10057	1	2	1	0	 	2
10058	1	2	1	0	 	2
10063	1	2	2	0	 	2
10064	1	2	1	0	 	2
10065	1	2	1	0	 	2
10069	1	2	1	0	 	1
10070	1	2	2	0	 	2
10071	1	2	2	0	 	2
10072	1	2	1	0	 	2
10080	1	2	2	0	 	2
10081	1	2	1	0	 	2
10082	1	2	1	0	 	2
10084	1	2	1	0	 	2
10085	1	2	1	0	 	2
10086	1	2	1	0	 	2
10087	1	2	1	0	 	2
10088	1	2	1	0	 	2
10089	1	2	1	0	 	2
10092	1	2	1	0	 	1
10094	1	2	2	0	 	2
10095	1	2	1	0	 	2
10098	1	2	1	0	 	1
10100	1	2	1	0	 	2
20002	1	2	1	0	 	2
20004	1	2	1	0	 	2
20005	1	1	2	1	0	2
20005	2	2	1	0	 	2
20007	1	1	1	0	 	1
20007	2	2	1	0	 	2
20008	1	2	1	0	 	2
20009	1	1	1	0	 	2
20014	1	1	1	0	 	2
20014	2	2	1	0	 	2
20018	1	1	1	0	 	1
20018	2	2	1	0	 	2
20021	1	2	1	0	 	2
20025	1	2	1	0	 	2
20025	2	1	1	0	 	2
20028	1	2	1	0	 	2
20030	1	1	2	1	2	2
20031	1	2	1	0	 	2
20032	1	2	1	0	 	2
20033	1	2	1	0	 	2
20034	1	2	1	0	 	2
20036	1	2	1	0	 	1
20039	1	2	1	0	 	2
20040	1	2	1	0	 	1
20041	1	2	1	0	 	1
20043	1	2	1	0	 	1
20050	1	2	1	0	 	2
20052	1	1	1	1	0	2
20055	1	2	1	0	 	1
20057	1	2	1	0	 	2
20057	2	1	1	0	 	2
20059	1	1	2	1	2	2
20059	2	2	1	0	 	1
20060	1	2	1	0	 	2
20061	1	2	1	0	 	2
20065	1	2	1	0	 	2
20068	1	2	1	0	 	2
20068	2	1	2	1	1	2
20070	1	2	1	0	 	2
20071	1	6	2	2	0	2
20073	1	2	1	0	 	2
20074	1	2	1	0	 	1
20074	2	1	1	0	 	2
20074	3	1	2	1	2	2
20075	1	2	1	0	 	2
20080	1	2	1	0	 	2
20084	1	2	1	0	 	2
20085	1	2	1	0	 	2
20086	1	2	1	0	 	2
20087	1	2	1	0	 	2
20088	1	2	1	0	 	2
20091	1	2	1	0	 	1
20093	1	2	1	0	 	2
20093	2	1	2	1	2	2
20094	1	2	1	0	 	2
20095	1	2	1	0	 	2
20098	1	2	1	0	 	2
20099	1	2	1	0	 	2
20100	1	3	1	1	1	1
20100	2	2	1	1	1	2
30003	1	3	1	0	 	2
30004	1	2	1	0	 	1
30005	1	2	1	0	 	1
30006	1	2	1	0	 	2
30007	1	2	1	0	 	1
30008	1	2	1	0	 	1
30009	1	2	1	0	 	1
30010	1	2	1	0	 	1
30011	1	2	1	0	 	2
30012	1	2	1	0	 	1
30014	1	2	1	0	 	1
30015	1	2	1	0	 	1
30016	1	2	1	0	 	1
30018	1	2	1	0	 	1
30019	1	2	1	0	 	1
30021	1	2	1	0	 	1
30022	1	2	1	0	 	1
30023	1	2	1	0	 	1
30024	1	2	1	0	 	1
30026	1	2	1	2	0	1
30027	1	2	1	0	 	2
30028	1	2	1	0	 	1
30029	1	2	1	0	 	1
30030	2	2	1	0	 	2
30031	1	2	1	0	 	2
30032	1	2	1	0	 	2
30033	1	2	1	0	 	2
30034	1	2	1	0	 	1
30037	1	2	1	0	 	2
30039	1	2	1	0	 	2
30040	1	2	1	0	 	1
30042	1	2	1	0	 	2
30043	1	2	1	0	 	1
30045	1	2	1	0	 	1
30047	1	2	1	0	 	2
30048	1	2	1	0	 	1
30050	1	2	1	0	 	1
30051	1	2	1	0	 	1
30052	1	2	1	0	 	1
30053	1	2	1	0	 	1
30055	1	2	1	0	 	1
30056	1	2	1	0	 	1
30060	1	2	1	0	 	2
30061	1	2	1	0	 	2
30063	1	2	1	0	 	1
30064	1	2	1	0	 	1
30065	1	2	1	0	 	1
30066	1	2	1	0	 	1
30067	1	2	1	0	 	1
30068	1	2	1	0	 	2
30069	1	2	1	0	 	2
30070	1	2	1	2	2	1
30071	1	2	1	0	 	1
30072	1	2	1	0	 	1
30073	1	2	1	0	 	2
30075	1	2	1	0	 	1
30078	1	2	1	0	 	1
30080	1	2	1	0	 	1
30082	1	2	1	0	 	1
30083	1	2	1	1	1	2
30087	1	2	1	0	 	2
30088	1	2	1	0	 	2
30089	1	2	1	0	 	1
30090	1	2	1	0	 	1
30091	1	2	1	0	 	2
30092	1	2	1	0	 	2
30093	1	2	1	0	 	1
30094	1	2	1	0	 	1
30095	1	2	1	0	 	2
30096	1	2	1	0	 	1
30097	1	2	1	0	 	1
30098	1	2	1	0	 	1
30099	1	2	1	0	 	1
40002	1	2	1	0	 	2
40003	1	2	1	0	 	2
40004	1	2	1	0	 	1
40005	1	2	1	0	 	1
40006	1	2	1	0	 	1
40010	1	2	1	0	 	2
40011	1	2	1	0	 	2
40013	1	2	1	0	 	2
40014	1	2	1	0	 	2
40018	1	2	1	0	 	2
40019	1	1	1	0	 	2
40019	2	2	1	0	 	1
40020	1	2	1	0	 	2
40022	1	2	1	0	 	1
40023	1	2	1	0	 	2
40027	1	2	1	0	 	1
40029	1	2	1	0	 	1
40030	1	2	1	0	 	1
40031	1	2	1	0	 	1
40033	1	2	1	0	 	2
40034	1	2	2	0	 	2
40036	1	1	2	1	2	2
40037	1	2	1	0	 	2
40038	1	2	1	0	 	1
40039	1	2	1	0	 	2
40042	1	2	1	0	 	1
40043	1	2	1	0	 	2
40044	1	2	1	0	 	1
40045	1	2	1	0	 	2
40046	1	2	1	0	 	2
40047	1	2	1	0	 	2
40049	1	2	1	0	 	1
40050	1	2	1	0	 	2
40051	1	2	1	0	 	2
40053	1	2	1	0	 	1
40055	1	2	1	0	 	2
40056	1	2	1	0	 	2
40059	1	2	1	0	 	2
40060	1	2	1	0	 	2
40063	1	2	1	0	 	2
40064	1	2	1	0	 	1
40065	1	2	1	0	 	1
40066	1	2	1	0	 	1
40068	1	2	1	0	 	2
40070	1	2	1	0	 	1
40071	1	2	1	0	 	2
40073	1	2	1	0	 	1
40075	1	2	1	0	 	1
40077	1	2	1	0	 	2
40079	1	2	1	0	 	1
