PLACEID	PRLDIDR5	AVLNDPRC	MNLNDPRC	MXLDNPRC
202	1	50000	 	 
202	2	-88	 	 
202	3	50	 	 
302	1	20000	 	 
302	2	15000	 	 
302	3	45	 	 
304	1	20000	 	 
304	2	8000	 	 
304	3	30	 	 
305	1	15000	 	 
305	2	5000	 	 
305	3	37	 	 
309	1	30000	 	 
309	2	7000	 	 
309	3	30	 	 
310	1	10000	 	 
310	2	8000	 	 
310	3	42	 	 
311	1	20000	 	 
311	2	10000	 	 
311	3	10	 	 
312	1	25000	 	 
312	2	15000	 	 
312	3	50	 	 
313	1	10000	 	 
313	2	5000	 	 
313	3	80	 	 
314	1	20000	 	 
314	2	10000	 	 
314	3	17	 	 
404	1	-88	 	 
404	2	5000	 	 
404	3	-77	0	0
405	1	-88	 	 
405	2	5000	 	 
405	3	3	 	 
406	1	-88	 	 
406	2	4000	 	 
406	3	10	 	 
503	1	-88	 	 
503	2	5000	 	 
503	3	6.69999980926514	 	 
505	1	-88	 	 
505	2	1000	 	 
505	3	30	 	 
506	1	-88	 	 
506	2	-77	5000	8000
506	3	6	 	 
507	1	5000	 	 
507	2	2000	 	 
507	3	15	 	 
601	1	100000	 	 
601	2	20000	 	 
601	3	80	 	 
701	1	-88	 	 
701	2	-88	 	 
701	3	500	 	 
702	1	-88	 	 
702	2	-88	 	 
702	3	4666	 	 
703	1	-88	 	 
703	2	-88	 	 
703	3	650	 	 
707	1	-88	 	 
707	2	-88	 	 
707	3	450	 	 
708	1	-88	 	 
708	2	-88	 	 
708	3	2100	 	 
709	1	-88	 	 
709	2	-88	 	 
709	3	500	 	 
710	1	-88	 	 
710	2	-88	 	 
710	3	500	 	 
711	1	-88	 	 
711	2	60000	 	 
711	3	60	 	 
712	1	-88	 	 
712	2	-88	 	 
712	3	2000	 	 
713	1	12000	 	 
713	2	-88	 	 
713	3	1200	 	 
714	1	-88	 	 
714	2	-88	 	 
714	3	3500	 	 
715	1	-88	 	 
715	2	-88	 	 
715	3	2200	 	 
716	1	-88	 	 
716	2	-88	 	 
716	3	2000	 	 
717	1	-88	 	 
717	2	-88	 	 
717	3	2800	 	 
718	1	-88	 	 
718	2	-88	 	 
718	3	1000	 	 
719	1	-88	 	 
719	2	-88	 	 
719	3	500	 	 
801	1	-88	 	 
801	2	-88	 	 
801	3	600	 	 
802	1	-88	 	 
802	2	-88	 	 
802	3	60	 	 
803	1	-88	 	 
803	2	-88	 	 
803	3	170	 	 
804	1	-88	 	 
804	2	-88	 	 
804	3	130	 	 
903	1	-88	 	 
903	2	-88	 	 
903	3	-88	 	 
1004	1	-88	 	 
1004	2	-88	 	 
1004	3	-77	660	990
1005	1	-77	-77	-77
1005	2	-77	-77	-77
1005	3	200	 	 
1104	1	-77	600	1000
1104	2	-77	1000	1300
1104	3	10	 	 
1201	1	-88	 	 
1201	2	-88	 	 
1201	3	-77	277	333.299987792969
1202	1	-88	 	 
1202	2	-88	 	 
1202	3	-88	 	 
1203	1	-88	 	 
1203	2	-88	 	 
1203	3	-77	140	190
1204	1	88	 	 
1204	2	88	 	 
1204	3	650	 	 
1205	1	-88	 	 
1205	2	-88	 	 
1205	3	-77	1500	2000
1207	1	-88	 	 
1207	2	-88	 	 
1207	3	50	 	 
1208	1	-88	 	 
1208	2	-88	 	 
1208	3	2000	 	 
1210	1	-88	 	 
1210	2	-88	 	 
1210	3	400	 	 
1213	1	-88	 	 
1213	2	-88	 	 
1213	3	3200	 	 
1215	1	-88	 	 
1215	2	-88	 	 
1215	3	1635	 	 
1216	1	-88	 	 
1216	2	-88	 	 
1216	3	-77	1600	1800
1217	1	-88	 	 
1217	2	-88	 	 
1217	3	1635	 	 
1219	1	-88	 	 
1219	2	-88	 	 
1219	3	300	 	 
1220	1	-88	 	 
1220	2	-88	 	 
1220	3	-77	500	1000
1223	1	-88	 	 
1223	2	-88	 	 
1223	3	320	 	 
1224	1	-88	 	 
1224	2	-88	 	 
1224	3	1900	 	 
1225	1	-88	 	 
1225	2	-88	 	 
1225	3	-77	-77	-77
1226	1	-88	 	 
1226	2	-88	 	 
