CHILDCODE	WRKIDR4	WRK12MR4	WRKWEER4
11001	1	0	 
11001	2	1	1
11001	3	0	 
11002	1	0	 
11002	2	0	 
11002	3	0	 
11003	1	0	 
11003	2	1	0
11003	3	0	 
11004	1	0	 
11004	2	1	1
11004	3	0	 
11005	1	0	 
11005	2	1	0
11005	3	0	 
11006	1	0	 
11006	2	0	 
11006	3	0	 
11007	1	0	 
11007	2	0	 
11007	3	0	 
11008	1	0	 
11008	2	0	 
11008	3	0	 
11009	1	0	 
11009	2	1	1
11009	3	0	 
11010	1	0	 
11010	2	0	 
11010	3	0	 
11012	1	0	 
11012	2	0	 
11012	3	1	0
11013	1	0	 
11013	2	0	 
11013	3	0	 
11014	1	0	 
11014	2	0	 
11014	3	0	 
11015	1	0	 
11015	2	0	 
11015	3	0	 
11016	1	0	 
11016	2	0	 
11016	3	0	 
11017	1	0	 
11017	2	0	 
11017	3	0	 
11018	1	0	 
11018	2	0	 
11018	3	0	 
11019	1	0	 
11019	2	0	 
11019	3	0	 
11020	1	0	 
11020	2	0	 
11020	3	0	 
11021	1	0	 
11021	2	0	 
11021	3	0	 
11022	1	1	0
11022	2	0	 
11022	3	0	 
11024	1	0	 
11024	2	0	 
11024	3	1	1
11025	1	0	 
11025	2	0	 
11025	3	0	 
11026	1	0	 
11026	2	1	1
11026	3	0	 
11027	1	0	 
11027	2	0	 
11027	3	0	 
11028	1	0	 
11028	2	1	1
11028	3	1	0
11029	1	0	 
11029	2	1	0
11029	3	0	 
11030	1	0	 
11030	2	1	0
11030	3	0	 
11031	1	0	 
11031	2	0	 
11031	3	0	 
11032	1	0	 
11032	2	1	1
11032	3	0	 
11033	1	0	 
11033	2	1	1
11033	3	0	 
11034	1	0	 
11034	2	1	1
11034	3	0	 
11035	1	0	 
11035	2	0	 
11035	3	0	 
11036	1	0	 
11036	2	0	 
11036	3	0	 
11037	1	0	 
11037	2	0	 
11037	3	0	 
11038	1	0	 
11038	2	0	 
11038	3	0	 
11039	1	0	 
11039	2	1	1
11039	3	0	 
11040	1	0	 
11040	2	0	 
11040	3	0	 
11042	1	0	 
11042	2	0	 
11042	3	0	 
11043	1	0	 
11043	2	1	1
11043	3	0	 
11044	1	0	 
11044	2	0	 
11044	3	1	1
11045	1	0	 
11045	2	0	 
11045	3	0	 
11046	1	0	 
11046	2	0	 
11046	3	0	 
11048	1	0	 
11048	2	1	0
11048	3	0	 
11049	1	0	 
11049	2	0	 
11049	3	0	 
11050	1	0	 
11050	2	0	 
11050	3	1	1
21002	1	1	0
21002	2	1	0
21002	3	0	 
21003	1	0	 
21003	2	0	 
21003	3	1	0
21004	1	0	 
21004	2	0	 
21004	3	0	 
21005	1	0	 
21005	2	0	 
21005	3	0	 
21006	1	0	 
21006	2	0	 
21006	3	0	 
21007	1	0	 
21007	2	0	 
21007	3	0	 
21008	1	0	 
21008	2	0	 
21008	3	1	1
21009	1	0	 
21009	2	1	1
21009	3	0	 
21010	1	0	 
21010	2	1	1
21010	3	0	 
21011	1	0	 
21011	2	0	 
21011	3	0	 
21012	1	0	 
21012	2	1	0
21012	3	0	 
21013	1	1	1
21013	2	1	1
21013	3	0	 
21014	1	0	 
21014	2	1	1
21014	3	0	 
21015	1	0	 
21015	2	0	 
21015	3	0	 
21016	1	0	 
21016	2	0	 
21016	3	0	 
21017	1	0	 
21017	2	1	1
21017	3	0	 
21018	1	0	 
21018	2	0	 
21018	3	0	 
21019	1	0	 
21019	2	1	1
21019	3	0	 
21020	1	0	 
21020	2	0	 
21020	3	0	 
21021	1	0	 
21021	2	0	 
21021	3	0	 
21022	1	0	 
21022	2	0	 
21022	3	0	 
21023	1	0	 
21023	2	1	1
21023	3	0	 
21024	1	0	 
21024	2	1	0
21024	3	0	 
21027	1	0	 
21027	2	0	 
21027	3	1	1
21028	1	0	 
21028	2	0	 
21028	3	1	1
21029	1	0	 
21029	2	1	0
21029	3	0	 
21031	1	0	 
21031	2	1	1
21031	3	0	 
21032	1	0	 
21032	2	1	0
21032	3	0	 
21033	1	0	 
21033	2	1	0
21033	3	0	 
21034	1	0	 
21034	2	1	1
21034	3	0	 
21035	1	0	 
21035	2	0	 
21035	3	0	 
21036	1	0	 
21036	2	1	0
21036	3	0	 
21037	1	0	 
21037	2	0	 
21037	3	0	 
21038	1	0	 
21038	2	1	0
21038	3	0	 
21040	1	0	 
21040	2	0	 
21040	3	1	1
21041	1	0	 
21041	2	0	 
21041	3	0	 
21042	1	0	 
21042	2	0	 
21042	3	0	 
21043	1	0	 
21043	2	0	 
21043	3	0	 
21045	1	0	 
21045	2	0	 
21045	3	0	 
21046	1	0	 
21046	2	0	 
21046	3	1	1
21047	1	0	 
21047	2	0	 
21047	3	0	 
21048	1	0	 
21048	2	1	0
21048	3	0	 
21050	1	0	 
21050	2	1	1
21050	3	0	 
31001	1	0	 
31001	2	1	0
31001	3	0	 
31002	1	0	 
31002	2	1	1
31002	3	0	 
31003	1	0	 
31003	2	1	1
31003	3	1	1
31004	1	0	 
31004	2	1	0
31004	3	0	 
31006	1	0	 
31006	2	0	 
31006	3	1	1
31007	1	0	 
31007	2	1	0
31007	3	1	1
31009	1	0	 
31009	2	1	0
31009	3	0	 
31010	1	0	 
31010	2	0	 
31010	3	0	 
31011	1	0	 
31011	2	0	 
31011	3	0	 
31012	1	0	 
31012	2	1	1
31012	3	0	 
31013	1	0	 
31013	2	1	0
31013	3	0	 
31015	1	0	 
31015	2	1	1
31015	3	0	 
31016	1	0	 
31016	2	1	0
31016	3	0	 
31017	1	0	 
31017	2	1	1
31017	3	0	 
31018	1	0	 
31018	2	0	 
31018	3	0	 
31019	1	0	 
31019	2	1	1
31019	3	0	 
31020	1	0	 
31020	2	1	0
31020	3	0	 
31021	1	0	 
31021	2	0	 
31021	3	0	 
31022	1	0	 
31022	2	0	 
31022	3	0	 
31023	1	0	 
31023	2	0	 
31023	3	0	 
31024	1	0	 
31024	2	1	1
31024	3	0	 
31026	1	0	 
31026	2	0	 
31026	3	0	 
31027	1	0	 
31027	2	1	1
31027	3	0	 
31028	1	0	 
31028	2	0	 
31028	3	0	 
31029	1	0	 
31029	2	1	1
31029	3	0	 
31030	1	0	 
31030	2	1	1
31030	3	0	 
31033	1	0	 
31033	2	1	0
31033	3	0	 
31034	1	0	 
31034	2	1	0
31034	3	0	 
31035	1	0	 
31035	2	0	 
31035	3	0	 
31036	1	0	 
31036	2	0	 
31036	3	0	 
31037	1	0	 
31037	2	0	 
31037	3	1	1
31038	1	0	 
31038	2	1	0
31038	3	0	 
31039	1	0	 
31039	2	0	 
31039	3	0	 
31040	1	0	 
31040	2	0	 
31040	3	0	 
31042	1	0	 
31042	2	0	 
31042	3	0	 
31043	1	0	 
31043	2	1	1
31043	3	0	 
31044	1	0	 
31044	2	1	0
31044	3	0	 
31045	1	0	 
31045	2	0	 
31045	3	0	 
31046	1	0	 
31046	2	1	1
31046	3	0	 
31048	1	0	 
31048	2	0	 
31048	3	0	 
31050	1	0	 
31050	2	0	 
31050	3	0	 
41001	1	1	1
41001	2	0	 
41001	3	0	 
41002	1	1	1
41002	2	0	 
41002	3	1	0
41003	1	0	 
41003	2	0	 
41003	3	0	 
41005	1	0	 
41005	2	1	1
41005	3	0	 
41006	1	0	 
41006	2	0	 
41006	3	0	 
41007	1	0	 
41007	2	1	1
41007	3	0	 
41008	1	0	 
41008	2	1	1
41008	3	0	 
41009	1	0	 
41009	2	0	 
41009	3	0	 
41010	1	1	0
41010	2	1	1
41010	3	1	1
