CHILDCODE	GFMRIDR4	OFNTYUR4	VLNTYUR4	OFNTSPR4	VLNTSPR4	OFSPYUR4	VLSPYUR4	OFSPNTR4	VLSPNTR4
11001	1	 	 	 	 	 	 	 	 
11001	2	 	 	 	 	 	 	 	 
11001	3	 	 	 	 	 	 	 	 
11001	4	 	 	 	 	 	 	 	 
11001	5	 	 	 	 	 	 	 	 
11001	6	 	 	 	 	 	 	 	 
11001	7	 	 	 	 	 	 	 	 
11001	8	 	 	 	 	 	 	 	 
11001	9	 	 	 	 	 	 	 	 
11001	10	 	 	 	 	 	 	 	 
11001	11	 	 	 	 	 	 	 	 
11001	12	 	 	 	 	 	 	 	 
11001	13	 	 	 	 	 	 	 	 
11002	1	 	 	 	 	 	 	 	 
11002	2	 	 	 	 	 	 	 	 
11002	3	 	 	 	 	 	 	 	 
11002	4	 	 	 	 	 	 	 	 
11002	5	 	 	 	 	 	 	 	 
11002	6	 	 	 	 	 	 	 	 
11002	7	 	 	 	 	 	 	 	 
11002	8	 	 	 	 	 	 	 	 
11002	9	 	 	 	 	 	 	 	 
11002	10	 	 	 	 	 	 	 	 
11002	11	 	 	 	 	 	 	 	 
11002	12	 	 	 	 	 	 	 	 
11002	13	 	 	 	 	 	 	 	 
11003	1	 	 	 	 	 	 	 	 
11003	2	 	 	 	 	 	 	 	 
11003	3	 	 	 	 	 	 	 	 
11003	4	 	 	 	 	 	 	 	 
11003	5	 	 	 	 	 	 	 	 
11003	6	 	 	 	 	 	 	 	 
11003	7	 	 	 	 	 	 	 	 
11003	8	 	 	 	 	 	 	 	 
11003	9	 	 	 	 	 	 	 	 
11003	10	 	 	 	 	 	 	 	 
11003	11	 	 	 	 	 	 	 	 
11003	12	 	 	 	 	 	 	 	 
11003	13	 	 	 	 	 	 	 	 
11004	1	 	 	 	 	 	 	 	 
11004	2	 	 	 	 	 	 	 	 
11004	3	 	 	 	 	 	 	 	 
11004	4	 	 	 	 	 	 	 	 
11004	5	 	 	 	 	 	 	 	 
11004	6	 	 	 	 	 	 	 	 
11004	7	 	 	 	 	 	 	 	 
11004	8	 	 	 	 	 	 	 	 
11004	9	 	 	 	 	 	 	 	 
11004	10	 	 	 	 	 	 	 	 
11004	11	 	 	 	 	 	 	 	 
11004	12	 	 	 	 	 	 	 	 
11004	13	 	 	 	 	 	 	 	 
11005	1	 	 	 	 	 	 	 	 
11005	2	 	 	 	 	 	 	 	 
11005	3	 	 	 	 	 	 	 	 
11005	4	 	 	 	 	 	 	 	 
11005	5	 	 	 	 	 	 	 	 
11005	6	 	 	 	 	 	 	 	 
11005	7	 	 	 	 	 	 	 	 
11005	8	 	 	 	 	 	 	 	 
11005	9	 	 	 	 	 	 	 	 
11005	10	 	 	 	 	 	 	 	 
11005	11	 	 	 	 	 	 	 	 
11005	12	 	 	 	 	 	 	 	 
11005	13	 	 	 	 	 	 	 	 
11006	1	0	 	0	 	0	 	0	 
11006	2	0	 	0	 	0	 	0	 
11006	3	0	 	0	 	0	 	0	 
11006	4	0	 	0	 	0	 	0	 
11006	5	0	 	0	 	0	 	0	 
11006	6	1	5000	0	 	1	3000	0	 
11006	7	0	 	0	 	0	 	0	 
11006	8	0	 	0	 	0	 	0	 
11006	9	0	 	0	 	0	 	0	 
11006	10	0	 	0	 	0	 	0	 
11006	11	0	 	0	 	0	 	0	 
11006	12	0	 	0	 	0	 	0	 
11006	13	0	 	0	 	0	 	0	 
11007	1	 	 	 	 	 	 	 	 
11007	2	 	 	 	 	 	 	 	 
11007	3	 	 	 	 	 	 	 	 
11007	4	 	 	 	 	 	 	 	 
11007	5	 	 	 	 	 	 	 	 
11007	6	 	 	 	 	 	 	 	 
11007	7	 	 	 	 	 	 	 	 
11007	8	 	 	 	 	 	 	 	 
11007	9	 	 	 	 	 	 	 	 
11007	10	 	 	 	 	 	 	 	 
11007	11	 	 	 	 	 	 	 	 
11007	12	 	 	 	 	 	 	 	 
11007	13	 	 	 	 	 	 	 	 
11008	1	 	 	 	 	 	 	 	 
11008	2	 	 	 	 	 	 	 	 
11008	3	 	 	 	 	 	 	 	 
11008	4	 	 	 	 	 	 	 	 
11008	5	 	 	 	 	 	 	 	 
11008	6	 	 	 	 	 	 	 	 
11008	7	 	 	 	 	 	 	 	 
11008	8	 	 	 	 	 	 	 	 
11008	9	 	 	 	 	 	 	 	 
11008	10	 	 	 	 	 	 	 	 
11008	11	 	 	 	 	 	 	 	 
11008	12	 	 	 	 	 	 	 	 
11008	13	 	 	 	 	 	 	 	 
11009	1	 	 	 	 	 	 	 	 
11009	2	 	 	 	 	 	 	 	 
11009	3	 	 	 	 	 	 	 	 
11009	4	 	 	 	 	 	 	 	 
11009	5	 	 	 	 	 	 	 	 
11009	6	 	 	 	 	 	 	 	 
11009	7	 	 	 	 	 	 	 	 
11009	8	 	 	 	 	 	 	 	 
11009	9	 	 	 	 	 	 	 	 
11009	10	 	 	 	 	 	 	 	 
11009	11	 	 	 	 	 	 	 	 
11009	12	 	 	 	 	 	 	 	 
11009	13	 	 	 	 	 	 	 	 
11010	1	 	 	 	 	 	 	 	 
11010	2	 	 	 	 	 	 	 	 
11010	3	 	 	 	 	 	 	 	 
11010	4	 	 	 	 	 	 	 	 
11010	5	 	 	 	 	 	 	 	 
11010	6	 	 	 	 	 	 	 	 
11010	7	 	 	 	 	 	 	 	 
11010	8	 	 	 	 	 	 	 	 
11010	9	 	 	 	 	 	 	 	 
11010	10	 	 	 	 	 	 	 	 
11010	11	 	 	 	 	 	 	 	 
11010	12	 	 	 	 	 	 	 	 
11010	13	 	 	 	 	 	 	 	 
11012	1	 	 	 	 	 	 	 	 
11012	2	 	 	 	 	 	 	 	 
11012	3	 	 	 	 	 	 	 	 
11012	4	 	 	 	 	 	 	 	 
11012	5	 	 	 	 	 	 	 	 
11012	6	 	 	 	 	 	 	 	 
11012	7	 	 	 	 	 	 	 	 
11012	8	 	 	 	 	 	 	 	 
11012	9	 	 	 	 	 	 	 	 
11012	10	 	 	 	 	 	 	 	 
11012	11	 	 	 	 	 	 	 	 
11012	12	 	 	 	 	 	 	 	 
11012	13	 	 	 	 	 	 	 	 
11013	1	 	 	 	 	 	 	 	 
11013	2	 	 	 	 	 	 	 	 
11013	3	 	 	 	 	 	 	 	 
11013	4	 	 	 	 	 	 	 	 
11013	5	 	 	 	 	 	 	 	 
11013	6	 	 	 	 	 	 	 	 
11013	7	 	 	 	 	 	 	 	 
11013	8	 	 	 	 	 	 	 	 
11013	9	 	 	 	 	 	 	 	 
11013	10	 	 	 	 	 	 	 	 
11013	11	 	 	 	 	 	 	 	 
11013	12	 	 	 	 	 	 	 	 
11013	13	 	 	 	 	 	 	 	 
11014	1	 	 	 	 	 	 	 	 
11014	2	 	 	 	 	 	 	 	 
11014	3	 	 	 	 	 	 	 	 
11014	4	 	 	 	 	 	 	 	 
11014	5	 	 	 	 	 	 	 	 
11014	6	 	 	 	 	 	 	 	 
11014	7	 	 	 	 	 	 	 	 
11014	8	 	 	 	 	 	 	 	 
11014	9	 	 	 	 	 	 	 	 
11014	10	 	 	 	 	 	 	 	 
11014	11	 	 	 	 	 	 	 	 
11014	12	 	 	 	 	 	 	 	 
