CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
11001	1	6	8
11001	2	3	5
11001	3	9	5
11001	4	4	4
11001	5	4	4
11001	6	5	4
11001	7	4	3
11001	8	4	3
11002	1	7	5
11002	2	5	6
11002	3	7	6
11002	4	3	3
11002	5	3	3
11002	6	5	6
11002	7	5	4
11002	8	5	6
11003	1	9	9
11003	2	5	1
11003	3	6	6
11003	4	2	2
11003	5	1	1
11003	6	7	4
11003	7	1	1
11003	8	8	6
11004	1	9	8
11004	2	6	4
11004	3	5	4
11004	4	5	3
11004	5	4	4
11004	6	3	3
11004	7	4	4
11004	8	6	4
11005	1	7	6
11005	2	6	7
11005	3	8	8
11005	4	8	8
11005	5	9	9
11005	6	6	6
11005	7	3	3
11005	8	8	8
11006	1	5	4
11006	2	6	3
11006	3	8	8
11006	4	8	4
11006	5	9	1
11006	6	2	7
11006	7	1	1
11006	8	8	8
11007	1	8	6
11007	2	6	8
11007	3	8	6
11007	4	7	4
11007	5	5	5
11007	6	7	7
11007	7	5	5
11007	8	8	8
11008	1	7	7
11008	2	7	5
11008	3	8	7
11008	4	8	5
11008	5	5	2
11008	6	8	6
11008	7	5	7
11008	8	8	6
11009	1	7	5
11009	2	3	1
11009	3	7	7
11009	4	8	6
11009	5	2	2
11009	6	2	2
11009	7	1	1
11009	8	8	8
11010	1	7	7
11010	2	-77	-77
11010	3	8	7
11010	4	5	5
11010	5	7	7
11010	6	7	7
11010	7	3	3
11010	8	7	7
11012	1	5	8
11012	2	4	9
11012	3	5	9
11012	4	4	9
11012	5	8	9
11012	6	-77	8
11012	7	6	9
11012	8	8	9
11013	1	9	9
11013	2	7	7
11013	3	8	8
11013	4	3	3
11013	5	4	4
11013	6	4	4
11013	7	2	2
11013	8	5	5
11014	1	7	6
11014	2	6	4
11014	3	9	6
11014	4	5	5
11014	5	3	3
11014	6	6	5
11014	7	5	5
11014	8	6	5
11015	1	8	6
11015	2	5	4
11015	3	4	3
11015	4	7	5
11015	5	4	5
11015	6	6	6
11015	7	7	7
11015	8	6	6
11016	1	2	5
11016	2	4	3
11016	3	5	6
11016	4	6	4
11016	5	6	3
11016	6	1	3
11016	7	1	1
11016	8	5	5
11017	1	5	5
11017	2	4	4
11017	3	4	5
11017	4	3	5
11017	5	3	3
11017	6	4	4
11017	7	4	5
11017	8	3	4
11018	1	6	5
11018	2	4	3
11018	3	7	5
11018	4	5	6
11018	5	4	6
11018	6	7	6
11018	7	6	5
11018	8	7	4
11019	1	6	5
11019	2	6	5
11019	3	7	6
11019	4	8	5
11019	5	8	3
11019	6	7	5
11019	7	5	5
11019	8	7	5
11020	1	1	8
11020	2	1	1
11020	3	9	9
11020	4	1	1
11020	5	1	1
11020	6	9	9
11020	7	1	1
11020	8	9	9
11021	1	7	5
11021	2	5	3
11021	3	8	5
11021	4	8	6
11021	5	4	2
11021	6	8	6
11021	7	1	1
11021	8	5	3
11022	1	7	6
11022	2	7	6
11022	3	8	7
11022	4	2	2
11022	5	1	2
11022	6	5	3
11022	7	2	2
11022	8	7	6
11024	1	5	5
11024	2	4	2
11024	3	5	5
11024	4	3	3
11024	5	4	2
11024	6	5	5
11024	7	1	1
11024	8	4	4
11025	1	5	9
11025	2	9	2
11025	3	9	5
11025	4	8	5
11025	5	6	4
11025	6	7	4
11025	7	1	1
11025	8	9	9
11026	1	5	4
11026	2	6	3
11026	3	7	7
11026	4	8	5
11026	5	4	3
11026	6	5	5
11026	7	2	2
11026	8	5	5
11027	1	7	7
11027	2	8	2
11027	3	8	4
11027	4	6	3
11027	5	6	2
11027	6	6	8
11027	7	2	2
11027	8	7	5
11028	1	6	4
11028	2	4	2
11028	3	5	4
11028	4	5	3
11028	5	3	2
11028	6	5	4
11028	7	6	5
11028	8	5	4
11029	1	6	3
11029	2	8	4
11029	3	4	7
11029	4	8	3
11029	5	5	2
11029	6	7	4
11029	7	3	6
11029	8	6	3
11030	1	6	9
11030	2	9	5
11030	3	7	7
11030	4	5	4
11030	5	5	4
11030	6	8	5
11030	7	6	2
11030	8	7	5
11031	1	6	4
11031	2	5	7
11031	3	7	5
11031	4	5	6
11031	5	5	4
11031	6	6	6
11031	7	4	2
11031	8	3	5
11032	1	5	8
11032	2	6	1
11032	3	4	8
11032	4	5	3
11032	5	2	1
11032	6	8	8
11032	7	1	1
11032	8	9	9
11033	1	7	3
11033	2	3	2
11033	3	4	3
11033	4	5	2
11033	5	2	2
11033	6	4	4
11033	7	6	4
11033	8	6	4
11034	1	5	8
11034	2	8	2
11034	3	8	5
11034	4	7	3
11034	5	3	3
11034	6	7	4
11034	7	2	2
11034	8	5	5
11035	1	3	7
11035	2	2	5
11035	3	9	9
11035	4	6	3
11035	5	8	2
11035	6	4	3
11035	7	5	1
11035	8	5	5
11036	1	5	2
11036	2	1	8
11036	3	5	5
11036	4	5	3
11036	5	3	7
11036	6	6	4
11036	7	3	3
11036	8	5	5
11037	1	8	7
11037	2	6	6
11037	3	8	5
11037	4	5	5
11037	5	6	5
11037	6	8	5
11037	7	5	5
11037	8	6	4
11038	1	5	5
11038	2	5	3
11038	3	5	5
11038	4	5	4
11038	5	3	3
11038	6	5	5
11038	7	1	1
11038	8	6	5
11039	1	3	6
11039	2	8	7
11039	3	8	7
11039	4	2	2
11039	5	4	3
11039	6	6	4
11039	7	3	5
11039	8	4	3
11040	1	8	5
11040	2	7	6
11040	3	8	5
11040	4	5	5
11040	5	4	4
11040	6	6	6
11040	7	2	3
11040	8	7	7
11042	1	6	6
11042	2	2	1
11042	3	5	3
11042	4	7	7
11042	5	6	4
11042	6	6	5
11042	7	4	5
11042	8	8	8
11043	1	4	5
11043	2	5	2
11043	3	6	3
11043	4	7	3
11043	5	5	4
11043	6	2	5
