CHILDCODE	HHDCIDR4	EVRDECR4	MADDECR4	WHOPRVR4
51004	2	1	1	7
51004	3	1	1	7
51004	5	1	1	7
51004	9	1	1	7
51004	10	1	1	7
51004	13	1	1	7
51005	1	1	1	7
51005	2	1	1	7
51005	3	1	1	7
51005	5	1	1	1
51005	9	1	1	3
51005	10	1	0	3
51005	13	1	0	3
51006	1	1	1	1
51006	2	1	1	1
51006	3	1	1	1
51006	5	1	1	1
51006	9	1	1	1
51006	10	1	1	1
51006	13	0	1	1
51007	1	1	1	7
51007	2	1	1	1
51007	3	1	1	1
51007	5	1	1	1
51007	9	1	1	8
51007	10	1	1	3
51007	13	1	0	3
51008	1	1	1	7
51008	2	1	1	7
51008	3	1	1	3
51008	5	1	1	3
51008	9	1	1	3
51008	10	1	1	3
51008	13	1	0	3
51009	1	1	1	8
51009	2	1	1	8
51009	3	1	1	8
51009	5	1	1	8
51009	9	1	1	4
51009	10	1	0	4
51009	13	1	0	4
51010	1	1	1	1
51010	2	1	1	1
51010	3	1	1	1
51010	5	1	1	1
51010	9	1	1	1
51010	10	1	1	1
51010	13	88	 	 
51012	1	1	1	1
51012	2	1	1	1
51012	3	1	1	1
51012	5	1	1	1
51012	9	1	1	1
51012	10	1	1	1
51012	13	88	 	 
51013	1	1	1	6
51013	2	1	1	6
51013	3	1	1	6
51013	5	1	1	6
51013	9	1	1	6
51013	10	1	1	6
51013	13	1	1	6
51014	1	1	1	1
51014	2	1	1	7
51014	3	1	1	3
51014	5	1	1	7
51014	9	1	1	7
51014	10	1	1	3
51014	13	1	0	3
51015	1	1	1	7
51015	2	1	1	7
51015	3	1	1	7
51015	5	1	1	7
51015	9	1	0	3
51015	10	1	1	7
51015	13	1	0	3
51016	1	1	1	1
51016	2	1	1	9
51016	3	1	1	9
51016	5	1	1	3
51016	9	1	1	9
51016	10	1	1	9
51016	13	88	 	 
51017	1	1	1	1
51017	2	1	1	1
51017	3	1	1	1
51017	5	1	1	1
51017	9	0	0	3
51017	10	0	0	3
51017	13	0	0	88
51018	1	1	1	7
51018	2	1	1	7
51018	3	1	1	7
51018	5	1	1	7
51018	9	1	1	7
51018	10	1	1	7
51018	13	1	1	7
51019	1	1	1	1
51019	2	1	1	1
51019	3	1	1	7
51019	5	1	1	7
51019	9	1	1	3
51019	10	1	1	3
51019	13	1	1	3
51021	1	1	1	9
51021	2	1	1	7
51021	3	1	1	7
51021	5	0	88	88
51021	9	1	1	3
51021	10	1	0	3
51021	13	0	0	5
51022	1	1	1	3
51022	2	1	1	1
51022	3	1	1	7
51022	5	1	1	7
51022	9	1	1	3
51022	10	1	0	3
51022	13	1	0	3
51023	1	1	1	1
51023	2	1	1	1
51023	3	1	1	1
51023	5	1	1	1
51023	9	1	0	3
51023	10	1	0	3
51023	13	1	0	3
51024	1	1	1	7
51024	2	1	1	1
51024	3	1	1	1
51024	5	1	1	7
51024	9	1	1	3
51024	10	1	1	3
51024	13	88	 	 
51025	1	1	1	3
51025	2	1	1	1
51025	3	1	1	1
51025	5	1	1	1
51025	9	1	1	3
51025	10	1	1	3
51025	13	1	0	3
51026	1	1	1	1
51026	2	1	1	1
51026	3	1	1	7
51026	5	1	1	7
51026	9	1	1	3
51026	10	1	1	3
51026	13	1	1	3
51027	1	1	1	7
51027	2	1	1	1
51027	3	1	1	1
51027	5	1	1	1
51027	9	1	1	3
51027	10	1	0	3
51027	13	1	0	3
51028	1	1	1	3
51028	2	1	1	7
51028	3	1	1	1
51028	5	1	1	7
51028	9	1	1	3
51028	10	1	0	3
51028	13	88	 	 
51029	1	1	1	6
51029	2	1	1	6
51029	3	1	1	6
51029	5	1	1	6
51029	9	1	1	6
51029	10	1	1	6
51029	13	1	1	6
51030	1	1	1	1
51030	2	1	1	1
51030	3	1	1	1
51030	5	1	1	1
51030	9	1	0	3
51030	10	1	1	3
51030	13	1	0	3
51031	1	1	1	1
51031	2	1	1	1
51031	3	1	1	1
51031	5	1	1	7
51031	9	1	1	7
51031	10	1	1	3
51031	13	88	 	 
51032	1	1	1	6
51032	2	1	1	6
51032	3	1	1	6
51032	5	1	1	6
51032	9	1	1	6
51032	10	1	1	6
51032	13	1	0	2
51033	1	1	1	6
51033	2	1	1	1
51033	3	1	1	1
51033	5	1	1	6
51033	9	1	1	6
51033	10	1	1	6
51033	13	1	1	6
51034	1	1	1	3
51034	2	1	1	8
51034	3	1	1	3
51034	5	1	1	1
51034	9	1	1	3
51034	10	1	1	3
51034	13	0	0	88
51035	1	1	1	7
51035	2	1	1	7
51035	3	1	1	7
51035	5	1	0	3
51035	9	1	1	7
51035	10	1	0	3
51035	13	1	1	3
51036	1	1	1	7
51036	2	1	1	7
51036	3	1	1	7
51036	5	1	1	3
51036	9	1	1	3
51036	10	1	0	3
51036	13	1	1	3
51038	1	1	1	7
51038	2	1	1	1
51038	3	1	1	7
51038	5	1	1	1
51038	9	1	0	3
51038	10	1	0	3
51038	13	88	 	 
51039	1	1	1	1
51039	2	1	1	7
51039	3	1	1	7
51039	5	1	1	3
51039	9	1	1	3
51039	10	1	1	3
51039	13	1	0	3
51040	1	1	1	1
51040	2	1	1	1
51040	3	1	1	7
51040	5	1	1	7
51040	9	1	1	7
51040	10	1	1	8
51040	13	1	0	2
51041	1	1	1	1
51041	2	1	1	1
51041	3	1	1	4
51041	5	1	0	4
51041	9	1	0	4
51041	10	1	0	4
51041	13	1	0	4
51042	1	1	1	3
51042	2	1	1	1
51042	3	1	1	3
51042	5	1	1	3
51042	9	0	0	3
51042	10	0	0	3
51042	13	0	0	3
51043	1	1	1	1
51043	2	1	1	9
51043	3	1	1	1
51043	5	1	1	7
51043	9	1	1	5
51043	10	1	0	5
51043	13	88	 	 
51044	1	1	1	1
51044	2	1	1	4
51044	3	1	1	4
51044	5	1	1	7
51044	9	1	1	7
51044	10	1	1	7
51044	13	88	 	 
51045	1	1	1	1
51045	2	1	1	1
51045	3	1	1	1
51045	5	1	1	1
51045	9	1	1	3
51045	10	0	0	3
51045	13	1	1	3
51046	1	1	1	3
51046	2	1	1	1
51046	3	1	1	3
51046	5	1	1	3
51046	9	0	0	3
51046	10	0	0	3
51046	13	0	0	3
51047	1	1	1	1
51047	2	1	1	7
51047	3	1	1	7
51047	5	1	1	7
51047	9	1	1	7
51047	10	1	1	3
51047	13	1	0	3
51048	1	1	1	7
51048	2	1	1	7
51048	3	1	1	7
51048	5	1	1	7
51048	9	1	1	3
51048	10	1	1	3
51048	13	1	1	3
51049	1	1	1	1
51049	2	1	1	1
51049	3	1	1	1
51049	5	1	1	1
51049	9	1	1	1
51049	10	1	1	1
51049	13	0	88	88
51050	1	1	1	1
51050	2	1	1	1
51050	3	0	0	88
51050	5	1	1	7
51050	9	1	1	3
51050	10	0	0	4
51050	13	0	0	5
61002	1	1	1	2
61002	2	1	1	1
61002	3	1	1	2
61002	5	1	1	7
61002	9	1	1	6
61002	10	1	1	6
61002	13	1	1	2
61003	1	1	1	1
61003	2	1	1	1
61003	3	1	1	1
61003	5	1	1	6
61003	9	1	1	6
61003	10	1	1	6
61003	13	88	 	 
61004	1	1	1	3
61004	2	1	1	3
61004	3	1	1	7
61004	5	1	1	7
61004	9	1	1	3
61004	10	1	1	3
61004	13	1	1	3
61005	1	1	1	7
61005	2	1	1	1
61005	3	1	1	7
61005	5	1	1	1
61005	9	1	1	7
61005	10	1	1	3
61005	13	1	0	3
61007	1	1	1	6
61007	2	1	1	1
61007	3	1	1	1
61007	5	1	1	1
61007	9	1	1	6
61007	10	1	1	1
61007	13	1	0	2
61008	1	1	1	1
61008	2	1	1	1
61008	3	1	1	1
61008	5	1	1	1
61008	9	1	1	3
61008	10	1	1	3
61008	13	1	1	3
61009	1	1	1	7
61009	2	1	1	7
61009	3	1	1	7
61009	5	1	1	7
61009	9	1	1	3
61009	10	1	1	3
61009	13	1	1	3
61010	1	1	1	1
61010	2	1	1	1
61010	3	1	1	1
61010	5	1	1	1
61010	9	1	1	2
61010	10	0	1	2
61010	13	0	1	2
61011	1	1	1	7
61011	2	1	1	1
61011	3	1	1	3
61011	5	1	1	7
61011	9	1	1	3
61011	10	1	1	3
61011	13	1	1	3
61012	1	1	1	7
61012	2	1	1	7
61012	3	1	1	3
61012	5	1	1	1
61012	9	1	0	3
61012	10	1	0	3
61012	13	1	1	3
61014	1	1	1	1
61014	2	1	1	1
61014	3	1	1	7
61014	5	1	1	1
61014	9	1	1	7
61014	10	1	1	3
61014	13	1	1	7
61015	1	1	1	7
61015	2	1	1	1
61015	3	1	1	7
61015	5	1	1	1
61015	9	1	0	3
61015	10	1	0	3
61015	13	1	1	7
61016	1	1	1	7
61016	2	1	1	7
61016	3	1	1	7
61016	5	1	1	1
61016	9	1	1	3
61016	10	1	1	3
61016	13	1	1	3
61018	1	1	1	7
61018	2	1	1	1
61018	3	1	0	5
61018	5	1	0	3
61018	9	1	0	3
61018	10	1	0	3
61018	13	88	 	 
61019	1	1	1	7
61019	2	1	1	1
61019	3	1	1	3
61019	5	1	1	1
61019	9	1	1	7
61019	10	1	1	3
61019	13	1	0	3
61020	1	1	1	7
61020	2	1	1	7
61020	3	1	1	7
61020	5	1	1	7
61020	9	1	1	3
61020	10	1	1	7
61020	13	1	1	3
61021	1	1	1	1
61021	2	1	1	1
61021	3	1	1	1
61021	5	1	1	1
61021	9	1	1	3
61021	10	1	1	7
61021	13	1	1	3
61022	1	1	1	1
61022	2	1	1	7
61022	3	1	1	7
61022	5	1	1	1
61022	9	1	1	3
61022	10	1	0	3
61022	13	1	1	3
61023	1	1	1	6
61023	2	1	1	6
61023	3	1	1	6
61023	5	1	1	6
61023	9	1	1	6
61023	10	1	1	5
61023	13	1	1	6
61024	1	1	1	6
61024	2	1	1	6
61024	3	1	0	3
61024	5	1	1	2
61024	9	1	1	2
61024	10	1	1	6
61024	13	1	0	2
61025	1	1	1	8
61025	2	1	1	8
61025	3	1	1	8
61025	5	1	1	8
61025	9	1	1	8
61025	10	1	1	7
61025	13	1	1	4
61026	1	1	1	1
61026	2	1	1	1
61026	3	1	1	1
61026	5	1	1	1
61026	9	1	0	3
61026	10	1	0	3
61026	13	0	0	3
61027	1	1	1	1
61027	2	1	1	1
61027	3	1	1	1
61027	5	1	1	1
61027	9	1	0	3
61027	10	1	0	3
61027	13	1	0	3
61029	1	1	1	7
61029	2	1	1	1
61029	3	1	1	1
61029	5	1	1	7
61029	9	1	1	3
61029	10	1	1	8
61029	13	88	 	 
61031	1	1	1	1
61031	2	1	1	1
61031	3	1	1	7
61031	5	1	1	1
61031	9	1	1	3
61031	10	1	0	3
61031	13	1	1	3
61033	1	1	1	7
61033	2	1	1	1
61033	3	1	1	3
61033	5	1	1	3
61033	9	1	1	3
61033	10	1	1	3
61033	13	1	1	3
61034	1	1	1	7
61034	2	1	0	3
61034	3	1	1	3
61034	5	1	1	1
61034	9	1	1	3
61034	10	1	0	3
61034	13	1	1	3
61036	1	1	1	1
61036	2	1	1	1
61036	3	1	1	7
61036	5	1	1	1
61036	9	1	1	8
61036	10	1	0	3
61036	13	1	0	3
61037	1	1	1	7
61037	2	1	1	1
61037	3	1	1	7
61037	5	1	1	1
61037	9	1	1	7
61037	10	1	1	3
61037	13	1	1	7
61038	1	1	1	7
61038	2	1	1	1
61038	3	1	1	1
61038	5	1	1	7
61038	9	1	1	3
61038	10	1	1	3
61038	13	1	1	7
61039	1	1	1	7
61039	2	1	1	3
61039	3	1	1	3
61039	5	1	1	3
61039	9	1	1	3
61039	10	1	1	7
61039	13	1	1	4
61041	1	1	1	1
61041	2	1	1	1
61041	3	1	1	1
61041	5	1	1	1
61041	9	1	1	1
61041	10	1	1	1
61041	13	0	0	88
61044	1	1	1	7
61044	2	1	1	1
61044	3	1	1	7
61044	5	1	1	7
61044	9	1	1	3
61044	10	1	1	7
61044	13	1	1	3
61046	1	1	1	7
61046	2	1	1	7
61046	3	1	1	7
61046	5	1	1	3
61046	9	1	1	3
61046	10	1	1	3
61046	13	1	1	7
61047	1	1	1	1
61047	2	1	1	1
61047	3	1	1	1
61047	5	1	1	1
61047	9	1	1	1
61047	10	0	0	5
61047	13	88	 	 
61049	1	1	1	7
61049	2	1	1	7
61049	3	1	1	7
61049	5	1	1	3
61049	9	1	1	3
61049	10	1	1	3
61049	13	1	0	3
61050	1	1	1	7
61050	2	1	1	1
61050	3	1	1	7
61050	5	1	1	1
61050	9	1	1	7
61050	10	1	0	3
61050	13	1	0	3
61051	1	1	1	1
61051	2	1	1	1
61051	3	1	1	1
61051	5	1	1	1
61051	9	1	0	3
61051	10	0	0	3
61051	13	0	0	3
61052	1	1	1	7
61052	2	1	1	1
61052	3	1	1	7
61052	5	1	1	1
61052	9	1	1	3
61052	10	1	1	7
61052	13	1	1	3
61054	1	1	1	4
61054	2	1	1	8
61054	3	1	1	4
61054	5	1	1	8
61054	9	1	1	4
61054	10	1	1	4
61054	13	1	1	4
61056	1	1	1	7
61056	2	1	1	3
61056	3	1	1	3
61056	5	1	1	7
61056	9	1	1	3
61056	10	1	1	3
61056	13	1	0	3
61057	1	1	1	7
61057	2	1	1	7
61057	3	1	1	1
61057	5	1	1	1
61057	9	1	1	8
61057	10	1	0	3
61057	13	88	 	 
61058	1	1	1	1
61058	2	1	1	1
61058	3	1	1	7
61058	5	1	1	1
61058	9	1	0	3
61058	10	1	0	1
61058	13	1	1	7
61059	1	1	1	3
61059	2	1	1	7
61059	3	1	1	7
61059	5	1	1	7
61059	9	1	1	7
61059	10	1	1	3
61059	13	1	1	7
71001	1	1	1	7
71001	2	1	1	7
71001	3	1	1	7
71001	5	1	1	7
71001	9	1	1	3
71001	10	1	1	3
71001	13	1	1	3
71002	1	1	1	4
71002	2	1	1	8
71002	3	1	1	4
71002	5	1	1	8
71002	9	1	1	4
71002	10	0	0	4
71002	13	88	 	 
71003	1	1	1	3
71003	2	1	1	1
71003	3	1	1	1
71003	5	1	1	7
71003	9	1	0	3
71003	10	1	1	7
71003	13	1	1	7
71004	1	1	1	7
71004	2	1	1	1
71004	3	1	1	3
71004	5	1	1	7
71004	9	1	0	3
71004	10	1	0	3
71004	13	1	0	3
71005	1	1	1	3
71005	2	1	1	1
71005	3	1	1	8
71005	5	1	1	8
71005	9	1	1	8
71005	10	1	1	3
71005	13	1	1	3
71006	1	1	0	3
71006	2	1	1	1
71006	3	1	1	3
71006	5	1	1	1
71006	9	1	1	3
71006	10	1	0	3
71006	13	1	1	3
71007	1	1	1	1
71007	2	1	1	7
71007	3	1	1	7
71007	5	1	1	1
71007	9	1	1	8
71007	10	1	0	3
71007	13	1	1	8
71008	1	1	1	1
71008	2	1	1	1
71008	3	1	1	1
71008	5	1	1	1
71008	9	1	1	4
71008	10	1	1	4
71008	13	1	1	8
71009	1	1	1	3
71009	2	1	1	7
71009	3	1	1	8
71009	5	1	1	7
71009	9	1	0	3
71009	10	1	1	3
71009	13	1	0	3
71010	1	1	1	3
71010	2	1	1	7
71010	3	1	1	7
71010	5	1	1	7
71010	9	1	1	3
71010	10	1	1	7
71010	13	1	0	3
71011	1	1	1	3
71011	2	1	1	7
71011	3	1	1	7
71011	5	1	1	7
71011	9	1	1	3
71011	10	1	1	7
71011	13	1	1	3
71012	1	1	1	3
71012	2	1	1	1
71012	3	1	1	3
71012	5	1	1	3
71012	9	1	1	3
71012	10	1	0	3
71012	13	1	1	3
71013	1	1	0	3
71013	2	1	1	3
71013	3	1	1	3
71013	5	1	1	7
71013	9	1	1	3
71013	10	1	1	3
71013	13	1	1	3
71014	1	1	1	2
71014	2	1	1	1
71014	3	1	1	6
71014	5	1	1	1
71014	9	1	1	6
71014	10	1	1	1
71014	13	1	1	2
71015	1	1	1	8
71015	2	1	1	7
71015	3	1	1	7
71015	5	1	1	7
71015	9	1	1	7
71015	10	1	1	7
71015	13	1	1	7
71016	1	1	1	3
71016	2	1	1	1
71016	3	1	1	7
71016	5	1	1	3
71016	9	1	1	3
71016	10	1	1	3
71016	13	1	0	3
71017	1	1	1	7
71017	2	1	1	1
71017	3	1	0	3
71017	5	1	1	1
71017	9	1	0	3
71017	10	1	1	7
71017	13	1	1	3
71018	1	1	1	3
71018	2	1	1	7
71018	3	1	1	7
71018	5	1	1	1
71018	9	1	1	3
71018	10	1	1	7
71018	13	1	1	3
71019	1	1	0	3
71019	2	1	1	7
71019	3	1	1	7
71019	5	1	1	3
71019	9	1	1	7
71019	10	1	1	3
71019	13	1	0	3
71020	1	1	1	7
71020	2	1	1	1
71020	3	1	1	7
71020	5	1	1	7
71020	9	1	1	3
71020	10	1	1	3
71020	13	1	1	3
71021	1	1	1	1
71021	2	1	1	7
71021	3	1	1	8
71021	5	1	0	1
71021	9	1	0	3
71021	10	1	0	3
71021	13	1	1	3
71022	1	1	1	3
71022	2	1	1	3
71022	3	1	1	7
71022	5	1	1	7
71022	9	1	0	3
71022	10	1	1	7
71022	13	1	1	3
71024	1	1	1	3
71024	2	1	1	7
71024	3	1	1	3
71024	5	1	1	7
71024	9	1	0	3
71024	10	1	1	3
71024	13	1	0	3
71025	1	1	1	1
71025	2	1	1	1
71025	3	1	1	3
71025	5	1	1	1
71025	9	1	1	3
71025	10	1	1	3
71025	13	1	1	3
71026	1	1	1	7
71026	2	1	1	1
71026	3	1	1	1
71026	5	1	1	1
71026	9	1	0	3
71026	10	1	0	3
71026	13	1	1	7
71027	1	1	1	1
71027	2	1	1	1
71027	3	1	1	8
71027	5	1	1	1
71027	9	1	1	3
71027	10	1	0	3
71027	13	1	1	3
71028	1	1	1	3
71028	2	1	1	1
71028	3	1	1	1
71028	5	1	1	1
71028	9	1	1	3
71028	10	1	1	3
71028	13	1	0	3
71029	1	1	1	3
71029	2	1	1	1
71029	3	1	1	3
71029	5	1	1	3
71029	9	1	1	3
71029	10	1	1	3
71029	13	1	1	3
71030	1	1	1	7
71030	2	1	1	1
71030	3	1	1	7
71030	5	1	1	1
71030	9	1	0	3
71030	10	1	0	3
71030	13	1	0	3
71031	1	1	1	3
71031	2	1	1	1
71031	3	1	1	3
71031	5	1	1	8
71031	9	1	1	7
71031	10	1	1	7
71031	13	1	1	3
71032	1	1	1	8
71032	2	1	1	4
71032	3	1	1	4
71032	5	1	1	4
71032	9	1	0	5
71032	10	1	0	5
71032	13	88	 	 
71033	1	1	1	7
71033	2	1	1	1
71033	3	1	1	3
71033	5	1	1	3
71033	9	1	0	3
71033	10	1	1	7
71033	13	1	0	3
71034	1	1	1	7
71034	2	1	1	1
71034	3	1	1	3
71034	5	1	1	1
71034	9	1	0	3
71034	10	1	0	3
71034	13	1	1	7
71035	1	1	1	7
71035	2	1	1	1
71035	3	1	1	7
71035	5	1	1	1
71035	9	1	0	3
71035	10	1	0	3
71035	13	1	1	3
71036	1	1	1	1
71036	2	1	1	1
71036	3	0	1	8
71036	5	1	1	8
71036	9	1	0	4
71036	10	1	1	4
71036	13	88	 	 
71037	1	1	1	7
71037	2	1	1	1
71037	3	1	1	7
71037	5	1	1	7
71037	9	1	0	3
71037	10	1	1	7
71037	13	1	0	3
71038	1	1	1	1
71038	2	1	1	1
71038	3	1	1	7
71038	5	1	1	3
71038	9	1	1	3
71038	10	1	1	3
71038	13	1	1	3
71039	1	1	1	3
71039	2	1	1	1
71039	3	1	0	3
71039	5	1	1	1
71039	9	1	0	3
71039	10	1	1	7
71039	13	1	0	3
71040	1	1	1	1
71040	2	1	1	1
71040	3	1	1	1
71040	5	1	1	1
71040	9	1	1	8
71040	10	1	1	8
71040	13	1	0	4
71041	1	1	1	1
71041	2	1	1	7
71041	3	1	1	7
71041	5	1	1	7
71041	9	1	1	7
71041	10	1	1	7
71041	13	1	1	3
71042	1	1	1	3
71042	2	1	1	3
71042	3	1	1	7
71042	5	1	1	7
71042	9	1	1	7
71042	10	1	1	3
71042	13	0	0	88
71043	1	1	1	3
71043	2	1	1	1
71043	3	1	1	1
71043	5	1	1	3
71043	9	1	0	3
71043	10	1	1	7
71043	13	1	1	7
71044	1	1	1	8
71044	2	1	1	1
71044	3	1	1	1
71044	5	1	1	8
71044	9	1	1	4
71044	10	1	1	4
71044	13	1	1	4
71045	1	1	1	6
71045	2	1	1	6
71045	3	1	1	6
71045	5	1	1	6
71045	9	1	1	8
71045	10	1	1	8
71045	13	1	1	8
71046	1	1	1	7
71046	2	1	1	1
71046	3	1	1	7
71046	5	1	1	3
71046	9	1	1	8
71046	10	1	0	3
71046	13	1	1	7
71047	1	1	1	1
71047	2	1	1	7
71047	3	1	1	7
71047	5	1	1	7
71047	9	1	0	3
71047	10	1	1	7
71047	13	1	0	3
71048	1	1	1	1
71048	2	1	1	1
71048	3	0	1	1
71048	5	1	1	1
71048	9	1	0	3
71048	10	1	0	3
71048	13	88	 	 
71049	1	1	1	1
71049	2	1	1	7
71049	3	1	1	6
71049	5	1	1	7
71049	9	1	0	3
71049	10	1	1	3
71049	13	1	1	7
81001	1	1	1	3
81001	2	1	1	3
81001	3	1	1	3
81001	5	1	1	1
81001	9	1	0	3
81001	10	1	0	3
81001	13	1	0	3
81002	1	1	1	2
81002	2	1	1	2
81002	3	1	1	2
81002	5	1	1	2
81002	9	1	1	2
81002	10	1	1	2
81002	13	1	1	2
81003	1	1	1	1
81003	2	1	1	1
81003	3	1	1	1
81003	5	1	1	3
81003	9	1	1	3
81003	10	1	0	3
81003	13	1	0	3
81004	1	1	1	3
81004	2	1	1	1
81004	3	1	1	1
81004	5	1	1	3
81004	9	1	1	3
81004	10	1	1	3
81004	13	1	1	3
81005	1	0	1	1
81005	2	0	1	1
81005	3	0	1	1
81005	5	1	1	7
81005	9	1	0	3
81005	10	1	1	7
81005	13	1	0	3
81006	1	1	1	1
81006	2	0	1	1
81006	3	1	1	1
81006	5	1	1	7
81006	9	1	1	7
81006	10	1	0	3
81006	13	1	0	3
81007	1	1	1	7
81007	2	1	1	7
81007	3	1	1	7
81007	5	1	1	7
81007	9	1	1	7
81007	10	1	1	7
81007	13	1	1	7
81009	1	1	1	7
81009	2	1	1	7
81009	3	1	1	8
81009	5	1	1	7
81009	9	1	1	7
81009	10	1	0	3
81009	13	1	1	7
81010	1	1	1	1
81010	2	1	1	1
81010	3	1	1	1
81010	5	1	1	3
81010	9	1	0	3
81010	10	1	0	3
81010	13	1	0	3
81011	1	1	1	6
81011	2	1	1	6
81011	3	1	1	6
81011	5	1	1	6
81011	9	1	1	6
81011	10	1	1	6
81011	13	1	1	6
81012	1	1	1	6
81012	2	1	1	1
81012	3	1	1	1
81012	5	1	1	6
81012	9	1	1	6
81012	10	1	1	6
81012	13	1	1	6
81013	1	1	1	1
81013	2	1	1	3
81013	3	1	1	3
81013	5	0	0	3
81013	9	1	1	3
81013	10	1	1	3
81013	13	1	1	3
81014	1	1	1	1
81014	2	1	1	3
81014	3	1	1	1
81014	5	1	1	1
81014	9	1	1	3
81014	10	0	0	3
81014	13	1	1	3
81015	1	1	1	7
81015	2	0	0	1
81015	3	1	1	7
81015	5	1	1	7
81015	9	1	1	7
81015	10	1	1	7
81015	13	1	0	3
81016	1	1	1	3
81016	2	1	1	3
81016	3	1	1	3
81016	5	1	1	3
81016	9	1	0	3
81016	10	1	0	3
81016	13	1	0	3
81017	1	1	1	3
81017	2	1	1	3
81017	3	1	1	3
81017	5	1	1	3
81017	9	1	0	3
81017	10	1	0	3
81017	13	1	0	3
81018	1	0	1	1
81018	2	0	1	1
81018	3	1	1	8
81018	5	0	1	1
81018	9	1	0	3
81018	10	1	0	3
81018	13	1	0	3
81019	1	1	1	1
81019	2	1	1	1
81019	3	1	1	1
81019	5	1	1	1
81019	9	1	0	3
81019	10	1	0	3
81019	13	1	0	3
81020	1	1	1	1
81020	2	1	1	1
81020	3	1	1	1
81020	5	1	0	3
81020	9	1	0	3
81020	10	1	0	3
81020	13	1	0	3
81021	1	1	1	6
81021	2	1	1	6
81021	3	1	1	6
81021	5	1	1	6
81021	9	1	1	6
81021	10	1	1	6
81021	13	1	1	6
81023	1	1	1	1
81023	2	1	1	1
81023	3	1	1	1
81023	5	1	1	1
81023	9	0	88	3
81023	10	0	88	3
81023	13	1	1	1
81024	1	0	0	4
81024	2	1	1	1
81024	3	0	0	4
81024	5	1	1	1
81024	9	0	0	2
81024	10	0	0	2
81024	13	0	0	2
81025	1	1	1	3
81025	2	1	1	3
81025	3	1	1	1
81025	5	1	1	1
81025	9	1	1	3
81025	10	1	0	3
81025	13	1	0	3
81026	1	0	1	3
81026	2	1	1	1
81026	3	1	1	1
81026	5	1	1	3
81026	9	0	1	3
81026	10	0	0	3
81026	13	1	1	3
81027	1	1	1	1
81027	2	1	1	1
81027	3	1	1	7
81027	5	1	1	7
81027	9	1	1	8
81027	10	1	0	3
81027	13	1	1	7
81028	1	1	0	3
81028	2	1	1	1
81028	3	1	1	1
81028	5	1	0	3
81028	9	1	0	3
81028	10	1	0	3
81028	13	1	0	3
81029	1	1	1	1
81029	2	1	1	1
81029	3	1	1	1
81029	5	1	0	3
81029	9	1	0	3
81029	10	1	0	3
81029	13	1	0	3
81030	1	1	1	1
81030	2	1	1	1
81030	3	1	1	1
81030	5	1	1	1
81030	9	1	1	1
81030	10	1	1	1
81030	13	1	1	2
81031	1	1	1	1
81031	2	1	1	1
81031	3	1	1	1
81031	5	1	1	7
81031	9	1	0	3
81031	10	1	0	3
81031	13	1	0	3
81032	1	1	1	1
81032	2	1	1	1
81032	3	1	1	1
81032	5	1	1	1
81032	9	1	0	2
81032	10	1	0	2
81032	13	1	0	2
81033	1	1	1	1
81033	2	1	0	1
81033	3	1	1	3
81033	5	1	1	1
81033	9	1	1	3
81033	10	1	1	3
81033	13	1	1	3
81034	1	1	1	8
81034	2	1	1	7
81034	3	1	1	7
81034	5	1	1	7
81034	9	1	0	3
81034	10	1	0	3
81034	13	1	0	3
81035	1	1	1	3
81035	2	1	1	3
81035	3	1	1	3
81035	5	1	1	3
81035	9	1	1	3
81035	10	1	1	3
81035	13	1	0	3
81036	1	1	1	1
81036	2	1	1	1
81036	3	1	1	1
81036	5	1	1	1
81036	9	1	0	3
81036	10	1	0	3
81036	13	1	0	3
81037	1	1	1	1
81037	2	1	1	1
81037	3	1	1	1
81037	5	1	1	3
81037	9	1	0	3
81037	10	1	0	3
81037	13	1	0	3
81038	1	1	1	1
81038	2	1	1	1
81038	3	1	1	3
81038	5	1	1	3
81038	9	1	1	3
81038	10	1	1	3
81038	13	1	1	3
81039	1	1	1	1
81039	2	1	1	1
81039	3	1	1	1
81039	5	1	1	7
81039	9	1	0	3
81039	10	1	0	3
81039	13	1	0	3
81040	1	1	1	1
81040	2	1	1	1
81040	3	1	1	7
81040	5	1	1	1
81040	9	1	0	3
81040	10	1	0	3
81040	13	1	0	3
81041	1	1	1	1
81041	2	1	1	1
81041	3	1	1	1
81041	5	1	1	1
81041	9	1	0	3
81041	10	1	0	3
81041	13	1	0	3
81042	1	1	1	1
81042	2	1	1	1
81042	3	1	1	1
81042	5	1	1	3
81042	9	1	1	3
81042	10	1	0	3
81042	13	1	1	3
81043	1	1	1	1
81043	2	1	1	1
81043	3	1	1	3
81043	5	0	1	3
81043	9	1	1	3
81043	10	1	1	3
81043	13	1	1	3
81044	1	1	1	6
81044	2	1	1	6
81044	3	1	1	6
81044	5	1	1	6
81044	9	1	1	6
81044	10	1	1	6
81044	13	1	1	6
81045	1	1	1	1
81045	2	1	1	1
81045	3	1	1	1
81045	5	1	1	1
81045	9	1	0	3
81045	10	1	0	3
81045	13	1	0	3
81046	1	1	1	1
81046	2	1	1	1
81046	3	1	1	1
81046	5	1	1	1
81046	9	1	0	3
81046	10	1	0	3
81046	13	1	0	3
81047	1	1	1	1
81047	2	1	1	1
81047	3	1	1	1
81047	5	1	1	3
81047	9	1	0	3
81047	10	1	0	3
81047	13	1	0	3
81048	1	1	0	3
81048	2	1	1	1
81048	3	1	1	1
