CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	CHDSANR5
11001	1	 	 	 
11001	2	 	 	 
11001	3	 	 	 
11001	4	 	 	 
11001	5	 	 	 
11001	6	 	 	 
11001	7	 	 	 
11001	8	 	 	 
11001	9	 	 	 
11001	10	 	 	 
11001	11	 	 	 
11001	12	 	 	 
11001	13	 	 	 
11001	14	 	 	 
11001	15	 	 	 
11001	16	 	 	 
11001	17	 	 	 
11001	31	 	 	 
11001	32	 	 	 
11001	33	 	 	 
11003	1	 	 	 
11003	2	 	 	 
11003	3	 	 	 
11003	4	 	 	 
11003	5	 	 	 
11003	6	 	 	 
11003	7	 	 	 
11003	8	 	 	 
11003	9	 	 	 
11003	10	 	 	 
11003	11	 	 	 
11003	12	 	 	 
11003	13	 	 	 
11003	14	 	 	 
11003	15	 	 	 
11003	16	 	 	 
11003	17	 	 	 
11003	31	 	 	 
11003	32	 	 	 
11003	33	 	 	 
11004	1	 	 	 
11004	2	 	 	 
11004	3	 	 	 
11004	4	 	 	 
11004	5	 	 	 
11004	6	 	 	 
11004	7	 	 	 
11004	8	 	 	 
11004	9	 	 	 
11004	10	 	 	 
11004	11	 	 	 
11004	12	 	 	 
11004	13	 	 	 
11004	14	 	 	 
11004	15	 	 	 
11004	16	 	 	 
11004	17	 	 	 
11004	31	 	 	 
11004	32	 	 	 
11004	33	 	 	 
11005	1	 	 	 
11005	2	 	 	 
11005	3	 	 	 
11005	4	 	 	 
11005	5	 	 	 
11005	6	 	 	 
11005	7	 	 	 
11005	8	 	 	 
11005	9	 	 	 
11005	10	 	 	 
11005	11	 	 	 
11005	12	 	 	 
11005	13	 	 	 
11005	14	 	 	 
11005	15	 	 	 
11005	16	 	 	 
11005	17	 	 	 
11005	31	 	 	 
11005	32	 	 	 
11005	33	 	 	 
11006	1	 	 	 
11006	2	 	 	 
11006	3	 	 	 
11006	4	 	 	 
11006	5	 	 	 
11006	6	 	 	 
11006	7	 	 	 
11006	8	 	 	 
11006	9	 	 	 
11006	10	 	 	 
11006	11	 	 	 
11006	12	 	 	 
11006	13	 	 	 
11006	14	 	 	 
11006	15	 	 	 
11006	16	 	 	 
11006	17	 	 	 
11006	31	 	 	 
11006	32	 	 	 
11006	33	 	 	 
11007	1	 	 	 
11007	2	 	 	 
11007	3	 	 	 
11007	4	 	 	 
11007	5	 	 	 
11007	6	 	 	 
11007	7	 	 	 
11007	8	 	 	 
11007	9	 	 	 
11007	10	 	 	 
11007	11	 	 	 
11007	12	 	 	 
11007	13	 	 	 
11007	14	 	 	 
11007	15	 	 	 
11007	16	 	 	 
11007	17	 	 	 
11007	31	 	 	 
11007	32	 	 	 
11007	33	 	 	 
11008	1	 	 	 
11008	2	 	 	 
11008	3	 	 	 
11008	4	 	 	 
11008	5	 	 	 
11008	6	 	 	 
11008	7	 	 	 
11008	8	 	 	 
11008	9	 	 	 
11008	10	 	 	 
11008	11	 	 	 
11008	12	 	 	 
11008	13	 	 	 
11008	14	 	 	 
11008	15	 	 	 
11008	16	 	 	 
11008	17	 	 	 
11008	31	 	 	 
11008	32	 	 	 
11008	33	 	 	 
11009	1	 	 	 
11009	2	 	 	 
11009	3	 	 	 
11009	4	 	 	 
11009	5	 	 	 
11009	6	 	 	 
11009	7	 	 	 
11009	8	 	 	 
11009	9	 	 	 
11009	10	 	 	 
11009	11	 	 	 
11009	12	 	 	 
11009	13	 	 	 
11009	14	 	 	 
11009	15	 	 	 
11009	16	 	 	 
11009	17	 	 	 
11009	31	 	 	 
11009	32	 	 	 
11009	33	 	 	 
11010	1	 	 	 
11010	2	 	 	 
11010	3	 	 	 
11010	4	 	 	 
11010	5	 	 	 
11010	6	 	 	 
11010	7	 	 	 
11010	8	 	 	 
11010	9	 	 	 
11010	10	 	 	 
11010	11	 	 	 
11010	12	 	 	 
11010	13	 	 	 
11010	14	 	 	 
11010	15	 	 	 
11010	16	 	 	 
11010	17	 	 	 
11010	31	 	 	 
11010	32	 	 	 
11010	33	 	 	 
11012	1	 	 	 
11012	2	 	 	 
11012	3	 	 	 
11012	4	 	 	 
11012	5	 	 	 
11012	6	 	 	 
11012	7	 	 	 
11012	8	 	 	 
11012	9	 	 	 
11012	10	 	 	 
11012	11	 	 	 
11012	12	 	 	 
11012	13	 	 	 
11012	14	 	 	 
11012	15	 	 	 
11012	16	 	 	 
11012	17	 	 	 
11012	31	 	 	 
11012	32	 	 	 
11012	33	 	 	 
11014	1	 	 	 
11014	2	 	 	 
11014	3	 	 	 
11014	4	 	 	 
11014	5	 	 	 
11014	6	 	 	 
11014	7	 	 	 
11014	8	 	 	 
11014	9	 	 	 
11014	10	 	 	 
11014	11	 	 	 
11014	12	 	 	 
11014	13	 	 	 
11014	14	 	 	 
11014	15	 	 	 
11014	16	 	 	 
11014	17	 	 	 
11014	31	 	 	 
11014	32	 	 	 
11014	33	 	 	 
11015	1	 	 	 
11015	2	 	 	 
11015	3	 	 	 
11015	4	 	 	 
11015	5	 	 	 
11015	6	 	 	 
11015	7	 	 	 
11015	8	 	 	 
11015	9	 	 	 
11015	10	 	 	 
11015	11	 	 	 
11015	12	 	 	 
11015	13	 	 	 
11015	14	 	 	 
11015	15	 	 	 
11015	16	 	 	 
11015	17	 	 	 
11015	31	 	 	 
11015	32	 	 	 
11015	33	 	 	 
11016	1	 	 	 
11016	2	 	 	 
11016	3	 	 	 
11016	4	 	 	 
11016	5	 	 	 
11016	6	 	 	 
11016	7	 	 	 
11016	8	 	 	 
11016	9	 	 	 
11016	10	 	 	 
11016	11	 	 	 
11016	12	 	 	 
11016	13	 	 	 
11016	14	 	 	 
11016	15	 	 	 
11016	16	 	 	 
11016	17	 	 	 
11016	31	 	 	 
11016	32	 	 	 
11016	33	 	 	 
11017	1	 	 	 
11017	2	 	 	 
11017	3	 	 	 
11017	4	 	 	 
11017	5	 	 	 
11017	6	 	 	 
11017	7	 	 	 
11017	8	 	 	 
11017	9	 	 	 
11017	10	 	 	 
11017	11	 	 	 
11017	12	 	 	 
11017	13	 	 	 
11017	14	 	 	 
11017	15	 	 	 
11017	16	 	 	 
11017	17	 	 	 
11017	31	 	 	 
11017	32	 	 	 
11017	33	 	 	 
11018	1	 	 	 
11018	2	 	 	 
11018	3	 	 	 
11018	4	 	 	 
11018	5	 	 	 
11018	6	 	 	 
11018	7	 	 	 
11018	8	 	 	 
11018	9	 	 	 
11018	10	 	 	 
11018	11	 	 	 
11018	12	 	 	 
11018	13	 	 	 
11018	14	 	 	 
11018	15	 	 	 
11018	16	 	 	 
11018	17	 	 	 
11018	31	 	 	 
11018	32	 	 	 
11018	33	 	 	 
11019	1	 	 	 
11019	2	 	 	 
11019	3	 	 	 
11019	4	 	 	 
11019	5	 	 	 
11019	6	 	 	 
11019	7	 	 	 
11019	8	 	 	 
11019	9	 	 	 
11019	10	 	 	 
11019	11	 	 	 
11019	12	 	 	 
11019	13	 	 	 
11019	14	 	 	 
11019	15	 	 	 
11019	16	 	 	 
11019	17	 	 	 
11019	31	 	 	 
11019	32	 	 	 
11019	33	 	 	 
11021	1	 	 	 
11021	2	 	 	 
11021	3	 	 	 
11021	4	 	 	 
11021	5	 	 	 
11021	6	 	 	 
