CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
11001	1	1	1	7
11001	2	1	0	3
11001	3	1	1	7
11001	4	1	1	7
11001	5	1	1	7
11001	6	0	0	88
11001	7	0	0	88
11001	8	1	1	7
11001	9	1	1	6
11002	1	1	1	6
11002	2	1	1	1
11002	3	1	1	6
11002	4	1	1	6
11002	5	1	1	6
11002	6	1	1	6
11002	7	1	1	6
11002	8	1	1	7
11002	9	1	1	1
11003	1	0	0	88
11003	2	1	0	3
11003	3	1	1	7
11003	4	1	1	7
11003	5	1	1	7
11003	6	0	0	88
11003	7	0	0	88
11003	8	1	1	7
11003	9	1	1	6
11004	1	1	1	7
11004	2	1	1	7
11004	3	1	1	1
11004	4	0	0	88
11004	5	1	1	1
11004	6	0	0	88
11004	7	1	1	1
11004	8	0	0	88
11004	9	0	0	88
11005	1	0	0	88
11005	2	1	1	7
11005	3	1	1	7
11005	4	1	1	7
11005	5	1	1	7
11005	6	0	0	88
11005	7	0	0	88
11005	8	1	1	7
11005	9	1	1	6
11006	1	1	1	6
11006	2	1	1	6
11006	3	1	1	1
11006	4	0	0	88
11006	5	1	1	6
11006	6	1	1	6
11006	7	0	0	88
11006	8	1	1	7
11006	9	1	1	6
11007	1	1	1	6
11007	2	1	1	6
11007	3	1	1	1
11007	4	1	1	6
11007	5	1	1	6
11007	6	0	0	88
11007	7	0	0	88
11007	8	1	1	7
11007	9	1	1	6
11008	1	0	0	88
11008	2	1	1	7
11008	3	1	1	1
11008	4	0	0	88
11008	5	1	1	1
11008	6	0	0	88
11008	7	0	0	88
11008	8	0	0	7
11008	9	0	0	88
11009	1	0	0	88
11009	2	1	1	2
11009	3	1	1	3
11009	4	1	1	6
11009	5	1	1	6
11009	6	1	1	6
11009	7	1	1	6
11009	8	1	1	7
11009	9	1	1	6
11010	1	0	0	88
11010	2	1	0	3
11010	3	1	1	3
11010	4	0	0	88
11010	5	1	1	7
11010	6	0	0	88
11010	7	1	1	7
11010	8	1	1	7
11010	9	0	0	6
11011	1	1	1	3
11011	2	1	1	3
11011	3	1	1	7
11011	4	0	0	88
11011	5	1	1	1
11011	6	1	1	3
11011	7	0	0	88
11011	8	0	0	88
11011	9	0	0	88
11012	1	1	1	7
11012	2	1	1	7
11012	3	1	1	1
11012	4	1	1	3
11012	5	1	1	3
11012	6	1	1	3
11012	7	0	0	3
11012	8	0	0	88
11012	9	0	0	88
11013	1	0	0	88
11013	2	1	1	3
11013	3	1	1	5
11013	4	0	0	88
11013	5	1	1	1
11013	6	0	0	88
11013	7	0	0	88
11013	8	1	1	7
11013	9	0	0	88
11014	1	1	1	6
11014	2	1	1	6
11014	3	1	1	3
11014	4	1	1	6
11014	5	1	1	6
11014	6	1	1	6
11014	7	1	1	6
11014	8	1	1	6
11014	9	1	1	6
11015	1	1	1	6
11015	2	1	1	6
11015	3	1	1	3
11015	4	1	1	6
11015	5	1	1	6
11015	6	1	1	6
11015	7	1	1	6
11015	8	1	1	3
11015	9	1	1	1
11016	1	1	1	3
11016	2	1	1	7
11016	3	1	1	7
11016	4	1	1	7
11016	5	1	1	1
11016	6	1	1	3
11016	7	1	1	3
11016	8	1	1	7
11016	9	1	1	1
11018	1	1	1	3
11018	2	1	1	3
11018	3	1	1	3
11018	4	1	1	3
11018	5	1	1	3
11018	6	1	1	3
11018	7	1	0	3
11018	8	1	1	3
11018	9	1	1	6
11019	1	1	1	3
11019	2	1	1	3
11019	3	1	1	3
11019	4	1	1	1
11019	5	1	1	1
11019	6	1	1	1
11019	7	1	1	3
11019	8	0	0	88
11019	9	0	0	88
11021	1	1	1	8
11021	2	1	1	1
11021	3	1	1	8
11021	4	1	1	8
11021	5	1	1	1
11021	6	1	1	8
11021	7	1	1	8
11021	8	1	1	8
11021	9	1	1	1
11022	1	1	1	3
11022	2	1	1	3
11022	3	1	1	3
11022	4	1	1	3
11022	5	1	1	3
11022	6	0	1	3
11022	7	1	1	3
11022	8	0	0	88
11022	9	0	0	88
11023	1	1	1	7
11023	2	1	1	7
11023	3	1	1	7
11023	4	1	1	7
11023	5	1	1	3
11023	6	1	1	3
11023	7	1	1	3
11023	8	1	1	7
11023	9	1	1	1
11024	1	1	1	6
11024	2	1	1	6
11024	3	1	1	3
11024	4	1	1	2
11024	5	1	1	6
11024	6	0	0	88
11024	7	0	0	88
11024	8	1	1	7
11024	9	1	1	6
11025	1	1	1	3
11025	2	1	1	3
11025	3	1	1	3
11025	4	0	1	3
11025	5	1	1	3
11025	6	1	1	3
11025	7	1	1	3
11025	8	0	0	88
11025	9	0	0	88
11026	1	1	1	7
11026	2	1	1	7
11026	3	1	1	7
11026	4	1	1	7
11026	5	1	1	7
11026	6	1	1	3
11026	7	1	1	3
11026	8	1	1	7
11026	9	1	1	1
11027	1	1	1	6
11027	2	1	1	6
11027	3	1	1	6
11027	4	1	1	6
11027	5	1	1	6
11027	6	1	1	6
11027	7	1	1	6
11027	8	1	1	3
11027	9	1	1	6
11030	1	0	0	88
11030	2	1	1	3
11030	3	1	1	7
11030	4	1	1	7
11030	5	1	1	7
11030	6	1	1	7
11030	7	1	1	7
11030	8	0	0	88
11030	9	0	0	88
11031	1	0	0	88
11031	2	1	1	3
11031	3	1	1	3
11031	4	1	1	3
11031	5	1	1	3
11031	6	1	1	3
11031	7	1	1	3
11031	8	0	0	88
11031	9	0	0	88
11032	1	1	0	3
11032	2	1	0	3
11032	3	1	0	3
11032	4	1	1	3
11032	5	1	1	3
11032	6	1	1	3
11032	7	1	1	3
11032	8	1	1	3
11032	9	1	1	6
11034	1	1	1	3
11034	2	1	1	3
11034	3	1	1	3
11034	4	1	1	3
11034	5	1	0	3
11034	6	1	1	3
11034	7	1	1	3
11034	8	0	1	88
11034	9	0	1	88
11035	1	1	1	3
11035	2	1	1	3
11035	3	1	1	1
11035	4	1	1	7
11035	5	1	1	1
11035	6	0	0	88
11035	7	1	1	7
11035	8	0	0	88
11035	9	0	0	88
11036	1	0	0	88
11036	2	1	0	3
11036	3	1	1	3
11036	4	1	1	7
11036	5	1	1	3
11036	6	1	1	3
11036	7	1	1	3
11036	8	0	0	88
11036	9	0	0	88
11037	1	1	1	7
11037	2	1	1	3
11037	3	1	1	7
11037	4	1	1	7
11037	5	1	1	7
11037	6	0	0	88
11037	7	0	0	88
11037	8	1	1	7
11037	9	1	1	6
11038	1	1	1	6
11038	2	1	1	6
11038	3	0	0	88
11038	4	1	1	6
11038	5	1	1	6
11038	6	1	1	6
11038	7	0	0	88
11038	8	1	1	3
11038	9	1	1	6
11039	1	0	0	88
11039	2	1	1	7
11039	3	1	1	1
11039	4	1	1	7
11039	5	1	1	1
11039	6	0	0	88
11039	7	0	0	88
11039	8	0	0	88
11039	9	0	0	88
11040	1	0	0	88
11040	2	1	1	3
11040	3	1	1	1
11040	4	1	1	7
11040	5	1	1	1
11040	6	0	0	88
11040	7	0	0	88
11040	8	0	0	88
11040	9	0	0	88
11041	1	1	1	3
11041	2	1	1	3
11041	3	1	1	7
11041	4	0	0	88
11041	5	1	1	1
11041	6	1	1	3
11041	7	1	1	1
11041	8	0	0	88
11041	9	0	0	88
11042	1	1	1	3
11042	2	1	1	7
11042	3	1	1	1
11042	4	0	0	88
11042	5	1	1	1
11042	6	0	0	88
11042	7	0	0	88
11042	8	0	0	88
11042	9	0	0	88
11043	1	1	1	3
11043	2	1	1	3
11043	3	1	1	3
11043	4	1	1	3
11043	5	1	1	1
11043	6	1	1	3
11043	7	0	0	88
11043	8	0	0	88
11043	9	0	0	88
11044	1	0	0	88
11044	2	1	1	6
11044	3	1	1	2
11044	4	1	1	6
11044	5	1	1	6
11044	6	1	1	6
11044	7	1	1	6
11044	8	1	1	7
11044	9	1	1	6
11045	1	0	0	88
11045	2	1	1	6
11045	3	1	1	1
11045	4	1	1	6
11045	5	1	1	1
11045	6	0	0	88
11045	7	1	1	3
11045	8	1	1	7
11045	9	1	1	6
11046	1	0	0	3
11046	2	1	1	3
11046	3	1	1	7
11046	4	1	1	3
11046	5	1	1	3
11046	6	0	0	88
11046	7	1	1	3
11046	8	1	1	7
11046	9	0	0	88
11047	1	0	0	88
11047	2	1	1	6
11047	3	1	1	6
11047	4	0	0	6
11047	5	1	1	6
11047	6	0	0	88
11047	7	0	0	6
11047	8	1	1	7
11047	9	1	1	6
11048	1	1	1	6
11048	2	1	1	6
11048	3	1	1	1
11048	4	1	1	6
11048	5	1	1	6
11048	6	0	0	88
11048	7	0	0	88
11048	8	1	1	7
11048	9	1	1	6
11049	1	1	1	6
11049	2	1	1	1
11049	3	1	1	6
11049	4	1	1	1
11049	5	1	1	6
11049	6	1	1	6
11049	7	1	1	6
11049	8	1	1	7
11049	9	1	1	6
11050	1	1	1	3
11050	2	1	1	7
11050	3	1	1	7
11050	4	1	1	7
11050	5	1	1	1
11050	6	1	1	3
11050	7	1	1	3
11050	8	1	1	7
11050	9	1	1	1
21001	1	1	0	3
21001	2	1	1	3
21001	3	1	1	1
21001	4	1	1	3
21001	5	1	1	3
21001	6	1	1	3
21001	7	1	1	3
21001	8	0	1	7
21001	9	1	1	6
21002	1	1	1	6
21002	2	1	1	1
21002	3	1	1	1
21002	4	1	0	2
21002	5	1	1	1
21002	6	1	0	2
21002	7	1	1	6
21002	8	1	1	6
21002	9	1	1	6
21003	1	1	1	3
21003	2	1	1	3
21003	3	1	0	1
21003	4	1	1	7
21003	5	1	1	1
21003	6	0	0	88
21003	7	1	1	3
21003	8	1	0	3
21003	9	0	1	1
21004	1	1	1	3
21004	2	1	1	3
21004	3	1	1	3
21004	4	1	1	3
21004	5	1	1	3
21004	6	1	1	3
21004	7	1	1	3
21004	8	1	1	1
21004	9	1	1	1
21005	1	1	1	7
21005	2	1	1	7
21005	3	1	1	7
21005	4	1	1	7
21005	5	1	1	7
21005	6	0	0	88
21005	7	0	0	88
21005	8	1	1	7
21005	9	1	1	6
21006	1	0	1	3
21006	2	0	1	3
21006	3	0	1	3
21006	4	1	1	3
21006	5	1	1	3
21006	6	1	1	3
21006	7	1	1	3
21006	8	1	1	3
21006	9	1	1	6
21007	1	0	0	88
21007	2	1	1	1
21007	3	1	1	1
21007	4	1	1	7
21007	5	1	1	1
21007	6	0	0	88
21007	7	1	1	7
21007	8	1	1	7
21007	9	1	1	6
21008	1	1	1	3
21008	2	1	0	3
21008	3	1	1	7
21008	4	1	1	7
21008	5	1	1	7
21008	6	0	0	88
21008	7	0	0	88
21008	8	1	1	7
21008	9	1	1	6
21009	1	1	1	3
21009	2	1	1	7
21009	3	1	1	1
21009	4	1	1	6
21009	5	1	1	1
21009	6	0	0	88
21009	7	1	1	1
21009	8	0	0	88
21009	9	0	0	88
21010	1	0	0	88
21010	2	1	1	6
21010	3	1	1	6
21010	4	1	0	2
21010	5	1	1	6
21010	6	0	0	88
21010	7	0	0	88
21010	8	1	1	6
21010	9	1	1	6
21011	1	0	0	88
21011	2	1	1	3
21011	3	1	1	3
21011	4	1	1	3
21011	5	1	1	3
21011	6	0	0	88
21011	7	0	0	88
21011	8	1	1	7
21011	9	0	0	88
21012	1	1	1	3
21012	2	1	1	7
21012	3	1	1	3
21012	4	1	1	7
21012	5	1	1	7
21012	6	0	0	88
21012	7	1	0	3
21012	8	1	1	7
21012	9	1	1	6
21013	1	0	0	88
21013	2	1	1	1
21013	3	0	0	88
21013	4	0	0	88
21013	5	1	1	6
21013	6	0	0	6
21013	7	1	0	6
21013	8	1	1	3
21013	9	1	1	6
21014	1	0	0	88
21014	2	1	1	6
21014	3	1	1	8
21014	4	0	0	88
21014	5	1	1	1
21014	6	0	0	88
21014	7	1	1	6
21014	8	1	1	8
21014	9	1	1	6
21015	1	1	1	3
21015	2	1	1	3
21015	3	1	1	1
21015	4	1	1	3
21015	5	1	1	3
21015	6	1	1	3
21015	7	1	1	3
21015	8	1	1	3
21015	9	1	1	1
21016	1	1	1	3
21016	2	0	1	3
21016	3	1	1	3
21016	4	1	1	3
21016	5	1	1	3
21016	6	0	1	3
21016	7	0	1	3
21016	8	1	1	1
21016	9	1	1	1
21017	1	1	1	3
21017	2	0	0	1
21017	3	0	0	3
21017	4	1	1	3
21017	5	1	1	3
21017	6	1	1	3
21017	7	1	1	3
21017	8	1	1	3
21017	9	1	1	1
21018	1	1	1	3
21018	2	1	1	7
21018	3	1	1	7
21018	4	1	1	3
21018	5	1	1	1
21018	6	0	0	88
21018	7	0	0	88
21018	8	1	1	7
21018	9	1	1	1
21019	1	0	0	88
21019	2	1	1	1
21019	3	1	1	7
21019	4	1	1	7
21019	5	1	1	7
21019	6	1	1	7
21019	7	1	1	6
21019	8	1	0	7
21019	9	0	0	88
21020	1	0	0	88
21020	2	1	1	6
21020	3	0	0	88
21020	4	1	1	6
21020	5	1	1	6
21020	6	0	0	88
21020	7	0	0	88
21020	8	1	1	3
21020	9	1	1	6
21021	1	0	1	3
21021	2	0	1	3
21021	3	1	1	3
21021	4	1	1	1
21021	5	0	0	3
21021	6	1	1	3
21021	7	0	1	3
21021	8	1	1	7
21021	9	1	1	7
21022	1	1	0	3
21022	2	1	1	7
21022	3	1	1	7
21022	4	1	1	3
21022	5	1	1	1
21022	6	1	0	3
21022	7	1	0	3
21022	8	1	1	3
21022	9	1	1	1
21023	1	1	1	3
21023	2	1	1	7
21023	3	1	1	7
21023	4	0	0	88
21023	5	1	1	1
21023	6	1	1	3
21023	7	1	1	1
21023	8	1	1	7
21023	9	0	0	88
21024	1	0	0	88
21024	2	1	1	3
21024	3	1	1	3
21024	4	1	1	3
21024	5	1	1	3
21024	6	1	1	3
21024	7	1	0	3
21024	8	1	0	3
21024	9	1	1	1
21025	1	1	1	3
21025	2	1	1	3
21025	3	1	1	3
21025	4	1	1	3
21025	5	1	1	3
21025	6	1	1	3
21025	7	1	1	3
21025	8	1	1	1
21025	9	1	1	1
21026	1	1	1	3
21026	2	1	1	3
21026	3	1	1	1
21026	4	1	1	3
21026	5	1	1	3
21026	6	1	1	3
21026	7	1	1	3
21026	8	1	1	3
21026	9	1	1	1
21027	1	1	1	3
21027	2	1	1	3
21027	3	1	1	3
21027	4	1	1	3
21027	5	1	1	3
21027	6	1	1	3
21027	7	1	1	3
21027	8	1	1	3
21027	9	1	1	6
21028	1	1	1	3
21028	2	1	1	7
21028	3	1	1	7
21028	4	1	1	3
21028	5	1	1	1
21028	6	1	1	3
21028	7	1	1	7
21028	8	1	1	3
21028	9	1	1	1
21029	1	1	1	3
21029	2	1	1	3
21029	3	1	1	3
21029	4	1	1	3
21029	5	1	1	3
21029	6	1	1	3
21029	7	0	0	88
