CHILDCODE	SITUIDR5	LADCURR5	LADOLDR5
11001	1	8	7
11001	2	6	5
11001	3	5	4
11001	4	7	6
11001	5	4	4
11001	6	6	5
11001	7	7	6
11001	8	7	6
11001	9	7	6
11001	10	6	5
11001	11	5	4
11001	12	6	5
11001	13	6	5
11002	1	6	4
11002	2	5	4
11002	3	4	4
11002	4	5	4
11002	5	5	5
11002	6	5	4
11002	7	5	5
11002	8	5	5
11002	9	4	5
11002	10	5	5
11002	11	6	5
11002	12	4	4
11002	13	6	5
11003	1	8	7
11003	2	7	6
11003	3	5	5
11003	4	7	6
11003	5	6	6
11003	6	7	6
11003	7	6	5
11003	8	6	5
11003	9	7	6
11003	10	6	5
11003	11	5	5
11003	12	6	5
11003	13	6	5
11004	1	9	8
11004	2	9	9
11004	3	8	7
11004	4	9	9
11004	5	7	6
11004	6	9	9
11004	7	8	7
11004	8	9	9
11004	9	8	7
11004	10	7	6
11004	11	8	7
11004	12	9	8
11004	13	9	8
11005	1	9	8
11005	2	9	7
11005	3	6	5
11005	4	8	7
11005	5	7	7
11005	6	8	7
11005	7	7	5
11005	8	7	6
11005	9	7	6
11005	10	7	7
11005	11	7	7
11005	12	7	6
11005	13	7	6
11006	1	9	8
11006	2	7	6
11006	3	6	5
11006	4	8	7
11006	5	9	8
11006	6	9	9
11006	7	8	7
11006	8	9	9
11006	9	9	9
11006	10	7	6
11006	11	9	8
11006	12	8	7
11006	13	9	8
11007	1	9	8
11007	2	8	7
11007	3	9	8
11007	4	8	7
11007	5	7	6
11007	6	9	9
11007	7	7	7
11007	8	9	9
11007	9	8	7
11007	10	7	8
11007	11	7	9
11007	12	6	5
11007	13	5	5
11008	1	8	5
11008	2	6	6
11008	3	5	6
11008	4	7	6
11008	5	7	7
11008	6	7	7
11008	7	6	4
11008	8	8	8
11008	9	6	6
11008	10	5	5
11008	11	6	6
11008	12	5	4
11008	13	4	3
11009	1	4	6
11009	2	3	4
11009	3	4	6
11009	4	4	7
11009	5	3	5
11009	6	6	6
11009	7	6	6
11009	8	5	6
11009	9	6	7
11009	10	5	5
11009	11	3	5
11009	12	3	4
11009	13	4	5
11010	1	6	4
11010	2	6	5
11010	3	8	5
11010	4	6	4
11010	5	7	5
11010	6	7	5
11010	7	6	4
11010	8	6	5
11010	9	6	6
11010	10	5	5
11010	11	6	6
11010	12	5	4
11010	13	5	5
11011	1	9	9
11011	2	9	8
11011	3	8	7
11011	4	9	8
11011	5	9	9
11011	6	9	9
11011	7	9	8
11011	8	9	9
11011	9	9	9
11011	10	9	8
11011	11	9	9
11011	12	9	8
11011	13	9	8
11012	1	8	2
11012	2	6	3
11012	3	7	7
11012	4	8	2
11012	5	8	8
11012	6	9	5
11012	7	9	5
11012	8	8	8
11012	9	6	5
11012	10	8	4
11012	11	6	1
11012	12	1	1
11012	13	1	1
11013	1	9	8
11013	2	6	5
11013	3	6	5
