CHILDCODE	EDCHSTR4	SCHAGER4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	LOCSCRR4	LOCSCZR4	NMSCWDR4
10001	13	12	1	4	 	1	14	1403	758
10001	12	11	1	4	N	1	14	1407	497
10001	11	10	1	3	Y	 	 	 	497
10001	10	9	1	2	Y	 	 	 	497
10001	9	8	1	2	Y	 	 	 	497
10001	8	7	1	1	N	1	14	1407	732
10001	7	6	1	15	N	1	14	1404	705
10001	6	5	1	15	Y	 	 	 	705
10001	5	4	0	 	 	 	 	 	 
10001	4	3	0	 	 	 	 	 	 
10001	3	2	0	 	 	 	 	 	 
10001	2	1	0	 	 	 	 	 	 
10001	1	-88	88	 	 	 	 	 	 
10002	13	11	1	6	 	4	14	1407	82
10002	12	10	1	5	Y	 	 	 	82
10002	11	9	1	4	Y	 	 	 	82
10002	10	8	1	3	Y	 	 	 	82
10002	9	7	1	2	Y	 	 	 	82
10002	8	6	1	1	N	1	14	1407	497
10002	7	5	1	15	Y	 	 	 	497
10002	6	4	1	15	Y	 	 	 	497
10002	5	3	0	 	 	 	 	 	 
10002	4	2	0	 	 	 	 	 	 
10002	3	1	0	 	 	 	 	 	 
10002	2	0	0	 	 	 	 	 	 
10002	1	-88	0	 	 	 	 	 	 
10004	13	12	1	5	 	4	14	1407	82
10004	12	11	1	4	Y	 	 	 	82
10004	11	10	1	3	Y	 	 	 	82
10004	10	9	1	2	Y	 	 	 	82
10004	9	8	1	1	Y	 	 	 	82
10004	8	7	1	15	N	2	14	1407	596
10004	7	6	1	15	Y	 	 	 	596
10004	6	5	1	14	Y	 	 	 	596
10004	5	4	0	 	 	 	 	 	 
10004	4	3	0	 	 	 	 	 	 
10004	3	2	0	 	 	 	 	 	 
10004	2	1	0	 	 	 	 	 	 
10004	1	-88	88	 	 	 	 	 	 
10005	13	12	1	5	 	4	14	1407	82
10005	12	11	1	4	Y	 	 	 	82
10005	11	10	1	4	Y	 	 	 	82
10005	10	9	1	3	Y	 	 	 	82
10005	9	8	1	2	Y	 	 	 	82
10005	8	7	1	1	Y	 	 	 	82
10005	7	6	1	15	Y	 	 	 	82
10005	6	5	0	 	 	 	 	 	 
10005	5	4	0	 	 	 	 	 	 
10005	4	3	0	 	 	 	 	 	 
10005	3	2	0	 	 	 	 	 	 
10005	2	1	0	 	 	 	 	 	 
10005	1	-88	88	 	 	 	 	 	 
10006	13	11	1	6	 	1	14	1407	730
10006	12	10	1	5	Y	 	 	 	730
10006	11	9	1	4	Y	 	 	 	730
10006	10	8	1	3	Y	 	 	 	730
10006	9	7	1	2	Y	 	 	 	730
10006	8	6	1	1	Y	 	 	 	730
10006	7	5	1	15	Y	 	 	 	730
10006	6	4	1	15	Y	 	 	 	730
10006	5	3	1	14	Y	 	 	 	730
10006	4	2	0	 	 	 	 	 	 
10006	3	1	0	 	 	 	 	 	 
10006	2	0	88	 	 	 	 	 	 
10006	1	-88	88	 	 	 	 	 	 
10007	13	11	1	5	 	3	14	1408	750
10007	12	10	1	4	Y	 	 	 	750
10007	11	9	1	3	Y	 	 	 	750
10007	10	8	1	2	Y	 	 	 	750
10007	9	7	1	1	N	1	14	1407	497
10007	8	6	1	15	N	4	14	1407	546
10007	7	5	1	15	Y	 	 	 	546
10007	6	4	1	14	Y	 	 	 	546
10007	5	3	0	 	 	 	 	 	 
10007	4	2	0	 	 	 	 	 	 
10007	3	1	0	 	 	 	 	 	 
10007	2	-88	88	 	 	 	 	 	 
10007	1	-88	88	 	 	 	 	 	 
10008	13	12	1	8	 	4	14	1407	269
10008	12	11	1	7	Y	 	 	 	269
10008	11	10	1	6	Y	 	 	 	269
10008	10	9	1	5	Y	 	 	 	269
10008	9	8	1	4	N	1	14	1407	497
10008	8	7	1	3	Y	 	 	 	497
10008	7	6	1	2	Y	 	 	 	497
10008	6	5	1	1	N	2	14	1407	569
10008	5	4	1	15	Y	 	 	 	569
10008	4	3	1	15	Y	 	 	 	569
10008	3	2	0	 	 	 	 	 	 
10008	2	1	0	 	 	 	 	 	 
10008	1	-88	88	 	 	 	 	 	 
10009	13	12	1	6	 	1	14	1403	1074
10009	12	11	1	5	Y	 	 	 	1074
10009	11	10	1	4	Y	 	 	 	1074
10009	10	9	1	3	N	1	14	1403	747
10009	9	8	1	2	Y	 	 	 	747
10009	8	7	1	1	Y	 	 	 	747
10009	7	6	1	15	Y	 	 	 	747
10009	6	5	1	15	Y	 	 	 	747
10009	5	4	0	 	 	 	 	 	 
10009	4	3	0	 	 	 	 	 	 
10009	3	2	0	 	 	 	 	 	 
10009	2	1	0	 	 	 	 	 	 
10009	1	-88	88	 	 	 	 	 	 
10010	13	12	1	6	 	4	14	1407	269
10010	12	11	1	5	Y	 	 	 	269
10010	11	10	1	4	Y	 	 	 	269
10010	10	9	1	3	Y	 	 	 	269
10010	9	8	1	2	Y	 	 	 	269
10010	8	7	1	1	Y	 	 	 	269
10010	7	6	1	15	N	4	14	1407	546
10010	6	5	1	15	Y	 	 	 	546
10010	5	4	1	14	Y	 	 	 	546
10010	4	3	0	 	 	 	 	 	 
10010	3	2	0	 	 	 	 	 	 
10010	2	1	0	 	 	 	 	 	 
10010	1	-88	88	 	 	 	 	 	 
10011	13	12	1	6	 	4	14	1407	82
10011	12	11	1	5	Y	 	 	 	82
10011	11	10	1	4	Y	 	 	 	82
10011	10	9	1	3	Y	 	 	 	82
10011	9	8	1	2	Y	 	 	 	82
10011	8	7	1	1	Y	 	 	 	82
10011	7	6	0	 	 	 	 	 	 
10011	6	5	0	 	 	 	 	 	 
10011	5	4	0	 	 	 	 	 	 
10011	4	3	0	 	 	 	 	 	 
10011	3	2	0	 	 	 	 	 	 
10011	2	1	0	 	 	 	 	 	 
10011	1	-88	88	 	 	 	 	 	 
10012	13	12	1	3	 	4	14	1407	25
10012	12	11	1	3	Y	 	 	 	25
10012	11	10	1	2	Y	 	 	 	25
10012	10	9	1	2	Y	 	 	 	25
10012	9	8	1	1	Y	 	 	 	25
10012	8	7	1	15	Y	 	 	 	25
10012	7	6	1	15	Y	 	 	 	25
10012	6	5	0	 	 	 	 	 	 
10012	5	4	0	 	 	 	 	 	 
10012	4	3	0	 	 	 	 	 	 
10012	3	2	0	 	 	 	 	 	 
10012	2	1	0	 	 	 	 	 	 
10012	1	-88	88	 	 	 	 	 	 
10014	13	12	1	2	 	4	14	1403	72
10014	12	11	1	4	N	1	4	402	961
10014	11	10	1	3	Y	 	 	 	961
10014	10	9	1	3	Y	 	 	 	961
10014	9	8	1	2	Y	 	 	 	961
10014	8	7	1	1	Y	 	 	 	961
10014	7	6	0	 	 	 	 	 	 
10014	6	5	0	 	 	 	 	 	 
10014	5	4	0	 	 	 	 	 	 
10014	4	3	0	 	 	 	 	 	 
10014	3	2	0	 	 	 	 	 	 
10014	2	1	0	 	 	 	 	 	 
10014	1	0	0	 	 	 	 	 	 
10015	13	11	1	6	 	4	14	1408	82
10015	12	10	1	5	Y	 	 	 	82
10015	11	9	1	4	Y	 	 	 	82
10015	10	8	1	3	Y	 	 	 	82
10015	9	7	1	2	Y	 	 	 	82
10015	8	6	1	1	Y	 	 	 	82
10015	7	5	1	15	Y	 	 	 	82
10015	6	4	1	15	Y	 	 	 	82
10015	5	3	0	 	 	 	 	 	 
10015	4	2	0	 	 	 	 	 	 
10015	3	1	0	 	 	 	 	 	 
10015	2	0	0	 	 	 	 	 	 
10015	1	-88	88	 	 	 	 	 	 
10016	13	12	1	7	 	1	14	1404	635
10016	12	11	1	6	Y	 	 	 	635
10016	11	10	1	5	Y	 	 	 	635
10016	10	9	1	4	N	1	14	1407	497
10016	9	8	1	3	Y	 	 	 	497
10016	8	7	1	2	Y	 	 	 	497
10016	7	6	1	1	Y	 	 	 	497
10016	6	5	1	15	Y	 	 	 	497
10016	5	4	1	14	Y	 	 	 	497
10016	4	3	0	 	 	 	 	 	 
10016	3	2	0	 	 	 	 	 	 
10016	2	1	0	 	 	 	 	 	 
10016	1	-88	0	 	 	 	 	 	 
10017	13	12	1	6	 	2	14	1407	569
10017	12	11	1	6	Y	 	 	 	569
10017	11	10	1	5	Y	 	 	 	569
10017	10	9	1	4	N	1	14	1407	497
10017	9	8	1	3	Y	 	 	 	497
10017	8	7	1	2	Y	 	 	 	497
10017	7	6	1	1	Y	 	 	 	497
10017	6	5	1	15	Y	 	 	 	497
10017	5	4	1	14	Y	 	 	 	497
10017	4	3	0	 	 	 	 	 	 
10017	3	2	0	 	 	 	 	 	 
10017	2	1	0	 	 	 	 	 	 
10017	1	-88	88	 	 	 	 	 	 
10018	13	12	1	7	 	1	14	1405	756
10018	12	11	1	6	Y	 	 	 	756
10018	11	10	1	5	Y	 	 	 	756
10018	10	9	1	4	Y	 	 	 	756
10018	9	8	1	3	Y	 	 	 	756
10018	8	7	1	2	Y	 	 	 	756
10018	7	6	1	1	Y	 	 	 	756
10018	6	5	1	15	N	4	14	1407	787
10018	5	4	1	15	Y	 	 	 	787
10018	4	3	1	15	Y	 	 	 	787
10018	3	2	0	 	 	 	 	 	 
10018	2	1	0	 	 	 	 	 	 
10018	1	-88	88	 	 	 	 	 	 
10020	13	11	1	5	 	4	14	1407	82
10020	12	10	1	4	Y	 	 	 	82
10020	11	9	1	3	N	1	14	1407	497
10020	10	8	1	2	Y	 	 	 	497
10020	9	7	1	1	Y	 	 	 	497
10020	8	6	1	1	Y	 	 	 	497
10020	7	5	1	15	Y	 	 	 	497
10020	6	4	1	14	Y	 	 	 	497
10020	5	3	0	 	 	 	 	 	 
10020	4	2	0	 	 	 	 	 	 
10020	3	1	0	 	 	 	 	 	 
10020	2	0	0	 	 	 	 	 	 
10020	1	-88	88	 	 	 	 	 	 
10021	13	12	1	7	 	4	14	1407	569
10021	12	11	1	6	Y	 	 	 	569
10021	11	10	1	5	Y	 	 	 	569
10021	10	9	1	4	Y	 	 	 	569
10021	9	8	1	3	Y	 	 	 	569
10021	8	7	1	2	Y	 	 	 	569
10021	7	6	1	1	Y	 	 	 	569
10021	6	5	1	15	Y	 	 	 	569
10021	5	4	1	14	Y	 	 	 	569
10021	4	3	0	 	 	 	 	 	 
10021	3	2	0	 	 	 	 	 	 
10021	2	1	0	 	 	 	 	 	 
10021	1	-88	88	 	 	 	 	 	 
10022	13	12	1	6	 	2	14	1407	569
10022	12	11	1	5	Y	 	 	 	569
10022	11	10	1	4	Y	 	 	 	569
10022	10	9	1	3	Y	 	 	 	569
10022	9	8	1	2	Y	 	 	 	569
10022	8	7	1	1	Y	 	 	 	569
10022	7	6	1	15	Y	 	 	 	569
10022	6	5	1	15	Y	 	 	 	569
10022	5	4	1	15	N	1	14	1407	615
10022	4	3	0	 	 	 	 	 	 
10022	3	2	0	 	 	 	 	 	 
10022	2	1	0	 	 	 	 	 	 
10022	1	-88	88	 	 	 	 	 	 
10023	13	12	1	5	 	4	14	1409	779
10023	12	11	1	4	N	1	14	1409	728
10023	11	10	1	3	N	1	14	1409	783
10023	10	9	1	2	Y	 	 	 	783
10023	9	8	1	2	N	1	14	1407	497
10023	8	7	1	1	Y	 	 	 	497
10023	7	6	1	15	N	1	14	1407	702
10023	6	5	1	15	Y	 	 	 	702
10023	5	4	1	15	Y	 	 	 	702
10023	4	3	0	 	 	 	 	 	 
10023	3	2	0	 	 	 	 	 	 
10023	2	1	0	 	 	 	 	 	 
10023	1	-88	88	 	 	 	 	 	 
10024	13	11	1	6	 	4	14	1407	546
10024	12	10	1	5	Y	 	 	 	546
10024	11	9	1	4	N	1	14	1407	497
10024	10	8	1	3	Y	 	 	 	497
10024	9	7	1	2	Y	 	 	 	497
10024	8	6	1	1	Y	 	 	 	497
10024	7	5	1	15	Y	 	 	 	497
10024	6	4	1	15	Y	 	 	 	497
10024	5	3	1	14	Y	 	 	 	497
10024	4	2	0	 	 	 	 	 	 
10024	3	1	0	 	 	 	 	 	 
10024	2	0	0	 	 	 	 	 	 
10024	1	-88	88	 	 	 	 	 	 
10025	13	11	1	5	 	4	14	1407	82
10025	12	10	1	5	Y	 	 	 	82
10025	11	9	1	4	Y	 	 	 	82
10025	10	8	1	3	Y	 	 	 	82
10025	9	7	1	2	Y	 	 	 	82
10025	8	6	1	1	Y	 	 	 	82
10025	7	5	1	15	Y	 	 	 	82
10025	6	4	1	15	Y	 	 	 	82
10025	5	3	1	14	Y	 	 	 	82
10025	4	2	0	 	 	 	 	 	 
10025	3	1	0	 	 	 	 	 	 
10025	2	0	88	 	 	 	 	 	 
10025	1	-88	88	 	 	 	 	 	 
10026	13	11	1	6	 	3	14	1407	732
10026	12	10	1	5	Y	 	 	 	732
10026	11	9	1	4	Y	 	 	 	732
10026	10	8	1	3	N	2	14	1407	569
10026	9	7	1	2	Y	 	 	 	569
10026	8	6	1	1	N	1	14	1407	497
10026	7	5	1	15	Y	 	 	 	497
10026	6	4	1	15	Y	 	 	 	497
10026	5	3	0	 	 	 	 	 	 
10026	4	2	0	 	 	 	 	 	 
10026	3	1	0	 	 	 	 	 	 
10026	2	0	0	 	 	 	 	 	 
10026	1	-88	88	 	 	 	 	 	 
10028	13	12	1	5	 	4	7	702	1065
10028	12	11	1	4	Y	 	 	 	1065
10028	11	10	1	3	Y	 	 	 	1065
10028	10	9	1	2	N	1	7	702	1092
10028	9	8	1	1	Y	 	 	 	1092
10028	8	7	0	 	 	 	 	 	 
10028	7	6	0	 	 	 	 	 	 
10028	6	5	0	 	 	 	 	 	 
10028	5	4	0	 	 	 	 	 	 
10028	4	3	0	 	 	 	 	 	 
10028	3	2	0	 	 	 	 	 	 
10028	2	1	0	 	 	 	 	 	 
10028	1	0	0	 	 	 	 	 	 
10029	13	11	1	6	 	4	14	1407	569
10029	12	10	1	5	N	4	14	1407	497
10029	11	9	1	4	Y	 	 	 	497
10029	10	8	1	3	Y	 	 	 	497
10029	9	7	1	2	Y	 	 	 	497
10029	8	6	1	1	N	1	14	1407	657
10029	7	5	1	15	N	1	14	1407	700
10029	6	4	1	15	Y	 	 	 	700
10029	5	3	0	 	 	 	 	 	 
10029	4	2	0	 	 	 	 	 	 
10029	3	1	0	 	 	 	 	 	 
10029	2	-88	0	 	 	 	 	 	 
10029	1	-88	88	 	 	 	 	 	 
10030	13	12	1	8	 	1	14	1403	629
10030	12	11	1	7	Y	 	 	 	629
10030	11	10	1	6	Y	 	 	 	629
10030	10	9	1	5	Y	 	 	 	629
10030	9	8	1	4	Y	 	 	 	629
10030	8	7	1	3	N	1	14	1403	737
10030	7	6	1	2	Y	 	 	 	737
10030	6	5	1	1	Y	 	 	 	737
10030	5	4	1	15	N	1	14	1405	678
10030	4	3	1	14	N	1	14	1407	497
10030	3	2	0	 	 	 	 	 	 
10030	2	1	0	 	 	 	 	 	 
10030	1	-88	88	 	 	 	 	 	 
10031	13	12	1	6	 	4	14	1407	82
10031	12	11	1	5	Y	 	 	 	82
10031	11	10	1	4	Y	 	 	 	82
10031	10	9	1	3	Y	 	 	 	82
10031	9	8	1	2	Y	 	 	 	82
10031	8	7	1	1	Y	 	 	 	82
10031	7	6	1	15	N	1	14	1407	596
10031	6	5	1	15	Y	 	 	 	596
10031	5	4	1	15	Y	 	 	 	596
10031	4	3	0	 	 	 	 	 	 
10031	3	2	0	 	 	 	 	 	 
10031	2	1	0	 	 	 	 	 	 
10031	1	0	0	 	 	 	 	 	 
10032	13	12	1	6	 	4	14	1403	623
10032	12	11	1	5	Y	 	 	 	623
10032	11	10	1	4	Y	 	 	 	623
10032	10	9	1	3	N	1	14	1403	748
10032	9	8	1	2	Y	 	 	 	748
10032	8	7	1	1	Y	 	 	 	748
10032	7	6	1	15	Y	 	 	 	748
10032	6	5	1	15	Y	 	 	 	748
10032	5	4	1	15	Y	 	 	 	748
10032	4	3	0	 	 	 	 	 	 
10032	3	2	0	 	 	 	 	 	 
10032	2	1	0	 	 	 	 	 	 
10032	1	0	88	 	 	 	 	 	 
10033	13	11	1	5	 	1	14	1407	700
10033	12	10	1	4	Y	 	 	 	700
10033	11	9	1	3	Y	 	 	 	700
10033	10	8	1	2	Y	 	 	 	700
10033	9	7	1	1	Y	 	 	 	700
10033	8	6	1	15	Y	 	 	 	700
10033	7	5	1	15	Y	 	 	 	700
10033	6	4	1	15	Y	 	 	 	700
10033	5	3	0	 	 	 	 	 	 
10033	4	2	0	 	 	 	 	 	 
10033	3	1	0	 	 	 	 	 	 
10033	2	0	0	 	 	 	 	 	 
10033	1	-88	88	 	 	 	 	 	 
10035	13	12	1	5	 	4	14	1403	738
10035	12	11	1	4	N	4	14	1407	82
10035	11	10	1	3	Y	 	 	 	82
