CHILDCODE	TDINTEN	MATHTEST	MPROVR4	MTHDIST	MTHCOMM	MTHITM01	MTHITM02	MTHITM03	MTHITM04	MTHITM05	MTHITM06	MTHITM07	MTHITM08	MTHITM09	MTHITM10	MTHITM11	MTHITM12	MTHITM13	MTHITM14	MTHITM15	MTHITM16	MTHITM17	MTHITM18	MTHITM19	MTHITM20	MTHITM21	MTHITM22	MTHITM23	MTHITM24	MTHITM25	MTHITM26	MTHITM27L	MTHITM27W	MATHEND	READTEST	RPROVR4	RDGDIST	RDGCOMM	RDGCMP01	RDGCMP02	RDGCMP03	RDGCMP04	RDGCMP05	RDGCMP06	RDGCMP07	RDGCMP08	RDGCMP09	RDGCMP10	RDGCMP11	RDGCMP12	RDGCMP13	RDGCMP14	RDGCMP15	RDGCMP16	RDGCMP17	RDGCMP18	RDGCMP19	RDGCMP20	RDGCMP21	RDGCMP22	RDGCMP23	RDGCMP24	READEND	lang_raw	lang_perco	maths_raw	maths_perco	correct01maths	correct02maths	correct03maths	correct04maths	correct05maths	correct06maths	correct07maths	correct08maths	correct09maths	correct10maths	correct11maths	correct12maths	correct13maths	correct14maths	correct15maths	correct16maths	correct17maths	correct18maths	correct19maths	correct20maths	correct21maths	correct22maths	correct23maths	correct24maths	correct25maths	correct26maths	correct27maths	correct28maths	correct01lang	correct02lang	correct03lang	correct04lang	correct05lang	correct06lang	correct07lang	correct08lang	correct09lang	correct10lang	correct11lang	correct12lang	correct13lang	correct14lang	correct15lang	correct16lang	correct17lang	correct18lang	correct19lang	correct20lang	correct21lang	correct22lang	correct23lang	correct24lang
11011	15/02/2014 10:59:04	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	4	2	3	3	2	3	3	3	1	1	1	99	1	4	4	3	32	1.5	20.8999996185303	20	15	 	1	1	1	1	1	1	2	1	2	3	2	2	2	4	2	1	2	4	1	3	2	2	1	3	4	1	2	2	 	22	91.6666641235352	18	64.2857131958008	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
11015	25/04/2014 14:01:20	1	98	98	98	1	4	3	60	17.4300003051758	3/4	1	4	2	4	3	4	2	3	3	3	1	1	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	2	2	4	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	22	91.6666641235352	23	82.1428604125977	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11016	02/05/2014 11:38:55	1	98	98	98	1	4	3	99	17.4300003051758	99	2	3	99	4	99	99	99	99	3	1	1	3	99	1	4	99	3	99	99	99	99	99	 	1	98	98	98	4	1	4	4	2	3	2	2	2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	 	7	29.1666660308838	10	35.7142868041992	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11018	15/02/2014 11:08:56	1	1	1	1	3	1	2	145	-99	-99	2	99	99	99	99	99	99	99	1	4	2	99	99	99	99	99	99	-99	-99	-99	-99	-99	 	1	1	1	1	3	1	3	1	2	1	3	99	99	4	99	99	1	99	99	99	99	1	1	1	4	99	99	99	 	5	20.8333339691162	1	3.57142853736877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
11019	25/04/2014 10:22:35	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	4	3	4	2	3	3	3	1	1	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	2	2	4	2	1	2	4	1	3	2	2	1	3	4	1	2	1	 	22	91.6666641235352	24	85.7142868041992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
11020	15/02/2014 11:05:14	1	1	1	1	1	4	3	-99	17.4300003051758	-99	2	4	2	3	2	4	3	2	3	3	4	2	99	1	3	2	3	-99	-99	-99	-99	-99	 	1	1	1	1	1	1	1	3	2	3	2	1	3	4	2	1	4	1	3	3	2	1	1	4	3	4	2	3	 	11	45.8333320617676	11	39.2857131958008	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0
11021	15/02/2014 11:12:26	1	1	1	1	1	4	2	60	17.4300003051758	0.75	2	4	4	99	3	99	2	3	3	4	2	3	99	1	2	2	3	22	-99	-99	-99	-99	 	1	1	1	1	3	1	2	1	2	3	2	2	2	4	2	1	4	4	3	3	2	2	3	1	4	1	3	3	 	15	62.5	13	46.4285697937012	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0
11022	15/02/2014 10:46:34	1	1	1	1	1	4	1	215	17	-99	2	2	3	2	4	1	2	3	4	2	3	3	99	2	4	2	4	21	-99	-99	30	-99	 	1	1	1	1	4	1	3	1	2	3	1	2	3	4	2	1	1	2	99	2	3	2	3	99	2	4	2	4	 	9	37.5	7	25	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0
11024	15/02/2014 10:54:58	1	1	1	1	1	4	3	9.60000038146973	17.4300003051758	1.6875	2	4	2	3	1	1	3	3	2	4	2	4	99	4	3	1	3	23	3	-99	500	200	 	1	1	1	1	1	1	2	4	2	3	2	2	4	4	2	1	2	4	1	3	4	4	1	3	1	1	2	3	 	20	83.3333358764648	8	28.5714282989502	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0
11025	15/02/2014 10:25:42	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	4	2	2	4	4	3	1	2	4	4	2	99	3	2	4	3	32	1.20000004768372	.479999989271164	20	15	 	1	1	1	1	1	1	2	1	2	4	2	2	3	4	4	1	2	4	1	2	4	2	1	3	3	1	2	3	 	17	70.8333358764648	12	42.8571434020996	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0
11028	15/02/2014 10:16:56	1	1	1	1	1	4	3	60	17.4300003051758	1.6875	99	4	2	3	3	4	3	3	3	4	2	4	99	1	4	4	3	32	5	4.55999994277954	140	30	 	1	1	1	1	1	1	3	3	2	2	2	1	3	4	2	1	2	2	3	3	4	2	3	3	1	1	2	3	 	14	58.3333320617676	13	46.4285697937012	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0
11029	15/02/2014 09:57:51	1	1	1	1	1	4	3	96	17.4300003051758	0.75	2	4	2	3	2	4	3	3	1	3	2	2	99	2	3	4	3	32	3	14200	40	30	 	1	1	1	1	3	1	3	1	2	3	2	2	2	4	1	1	2	4	1	3	2	3	1	3	1	1	2	3	 	16	66.6666641235352	11	39.2857131958008	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0
11030	27/04/2014 22:29:15	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	3	4	4	2	3	3	3	1	2	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	2	3	4	2	1	2	4	1	3	4	4	1	3	4	1	2	3	 	21	87.5	21	75	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11031	15/02/2014 10:02:53	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	3	2	4	3	2	3	3	3	1	1	3	1	1	4	2	3	32	1.5	3	20	15	 	1	1	1	1	3	1	2	1	2	3	2	1	2	4	2	1	2	3	1	4	4	2	1	3	1	1	2	2	 	18	75	20	71.4285736083984	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
11032	25/04/2014 13:37:56	1	98	98	98	1	99	3	60	17.4300003051758	3/4	2	4	2	4	3	4	2	3	3	3	1	1	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	4	2	2	2	4	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	21	87.5	23	82.1428604125977	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11034	25/04/2014 13:52:36	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	4	3	4	2	3	3	3	1	1	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	2	2	4	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	22	91.6666641235352	24	85.7142868041992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11035	15/02/2014 10:37:08	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	4	2	4	3	4	2	3	3	1	1	1	99	1	4	2	3	32	.670000016689301	2	20	15	 	1	1	1	1	1	1	2	4	2	3	1	1	2	4	2	1	2	1	4	2	4	4	99	99	99	99	99	99	 	12	50	23	82.1428604125977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
11037	25/04/2014 14:38:12	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	4	3	4	2	3	3	3	1	1	4	1	4	2	4	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	2	2	4	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	22	91.6666641235352	24	85.7142868041992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11038	15/02/2014 09:42:02	1	1	1	1	1	4	3	60	17.4300003051758	18.24	2	4	2	4	3	2	3	1	3	3	1	2	99	1	4	1	3	22	3	28800	50	40	 	1	1	1	1	2	1	2	1	2	3	2	2	4	1	2	1	2	4	4	1	2	3	1	1	1	1	2	1	 	13	54.1666679382324	13	46.4285697937012	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0
11039	16/02/2014 16:10:18	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	15/02/2014 09:48:52	1	1	1	1	1	4	3	60	17.4300003051758	18.24	3	3	2	4	3	2	3	1	2	3	1	2	99	1	3	2	3	22	34	28800	50	40	 	1	1	1	1	1	4	3	1	2	3	2	2	4	1	2	1	3	4	4	2	2	3	1	2	2	1	3	1	 	10	41.6666679382324	11	39.2857131958008	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0
11041	21/02/2014 10:09:07	1	1	98	98	1	4	3	60	17.4300003051758	18.24	2	4	2	4	3	2	3	1	3	3	1	2	99	1	4	1	3	22	3	28800	40	50	 	1	1	98	98	2	1	2	1	2	3	2	2	4	1	2	1	2	4	4	1	2	3	1	1	1	1	2	1	 	13	54.1666679382324	13	46.4285697937012	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0
11042	25/08/2014 11:50:36	1	98	98	98	2	4	4	24	18.3299999237061	18/32	2	3	2	3	3	1	3	1	1	3	3	2	1	1	3	4	3	41	3	99	99	4000	 	1	98	98	98	3	1	2	1	1	1	3	2	2	2	1	1	4	4	3	1	4	4	1	2	2	1	2	2	 	11	45.8333320617676	6	21.4285717010498	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1
11044	15/02/2014 09:53:15	1	1	1	1	2	1	1	-99	-99	-99	3	1	2	99	2	2	4	1	1	4	1	1	99	2	4	4	3	-99	-99	-99	-99	-99	 	1	1	1	1	1	4	1	4	4	3	4	1	2	1	2	2	99	99	1	3	99	2	99	3	1	1	4	3	 	10	41.6666679382324	3	10.7142858505249	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0
11048	27/04/2014 21:31:45	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	3	4	2	2	3	3	1	1	2	1	1	3	4	3	11	40	3	99	99	 	1	98	98	98	1	1	2	1	2	3	2	2	4	1	2	1	1	4	4	3	4	2	1	4	3	1	2	3	 	16	66.6666641235352	18	64.2857131958008	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0
11050	25/08/2014 13:44:06	1	1	1	1	1	4	3	60	17.4300003051758	43/24	2	3	4	4	3	4	3	3	2	4	1	2	2	1	4	1	4	23	3	28800	370	230	 	1	1	1	1	4	1	2	1	2	3	2	2	4	2	2	1	2	4	1	3	2	3	1	1	4	3	2	1	 	15	62.5	13	46.4285697937012	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0
11052	25/04/2014 09:27:41	1	98	98	98	1	4	3	51	17.4300003051758	18/24	2	2	2	4	2	1	2	4	1	3	4	4	1	3	4	1	2	32	.660000026226044	3	20	15	 	1	98	98	98	1	1	2	4	2	3	2	3	2	2	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	20	83.3333358764648	14	50	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
11061	15/02/2014 10:50:18	1	1	1	1	1	2	1	-99	1743	-99	3	1	2	2	2	4	1	2	1	4	3	99	99	4	2	3	4	-99	-99	-99	2100	-99	 	1	1	1	1	4	1	2	4	2	2	4	1	3	4	4	2	2	4	4	3	4	2	1	3	1	3	4	3	 	12	50	4	14.2857141494751	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0
11063	15/02/2014 10:09:55	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	4	2	4	3	2	4	1	3	1	3	2	1	1	4	1	3	22	.680000007152557	25.1200008392334	20	15	 	1	1	1	1	1	1	2	1	1	4	2	2	4	4	2	1	2	2	1	3	4	2	1	1	3	1	2	3	 	16	66.6666641235352	16	57.1428565979004	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0
11069	02/05/2014 11:13:55	1	98	98	98	1	4	3	60	17.4300003051758	18/21	2	4	1	 	2	4	1	2	1	2	2	4	2	1	2	1	4	1	.5	72	40	99	 	1	98	98	98	1	4	3	2	2	1	4	3	2	4	2	3	2	3	4	4	2	1	1	4	3	4	2	4	 	8	33.3333320617676	10	35.7142868041992	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0
11074	17/02/2014 10:00:58	1	1	1	1	1	4	3	60	17.4300003051758	18.24	3	3	2	4	4	2	3	1	2	3	1	2	99	1	3	2	3	22	3	28800	50	40	 	1	1	1	1	1	4	3	1	2	3	2	2	4	1	2	1	3	4	4	2	2	3	1	2	2	1	3	1	 	10	41.6666679382324	10	35.7142868041992	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0
11088	02/05/2014 13:17:49	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	99	3	99	99	99	1	99	99	99	99	99	99	4	1	4	40	1.5	99	150	100	 	1	98	98	98	4	1	2	2	3	1	3	2	2	4	3	1	2	4	3	3	4	4	2	1	1	4	2	3	 	11	45.8333320617676	9	32.1428565979004	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0
21002	27/04/2014 22:37:11	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	2	4	3	4	2	3	3	2	1	3	4	1	4	2	4	32	1	6	99	99	 	1	98	98	98	1	1	3	4	2	3	4	2	4	2	2	1	2	4	1	3	4	4	1	3	4	1	2	1	 	18	75	20	71.4285736083984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
21004	17/02/2014 19:24:47	1	1	2	2	1	4	3	70	17.4300003051758	18	3	4	2	4	1	2	3	2	3	4	4	3	2	3	2	2	3	24	34	45	72	8	 	1	1	2	2	4	1	1	3	1	2	2	3	4	3	1	4	2	3	4	2	3	1	4	2	1	3	2	3	 	4	16.6666660308838	9	32.1428565979004	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
21005	17/02/2014 16:57:31	1	1	2	2	1	4	3	60	17.4300003051758	0.75	2	1	2	3	4	2	2	3	3	1	2	3	99	1	3	2	3	32	1.5	3	20	15	 	1	1	2	2	1	1	2	1	3	3	2	2	2	4	2	1	2	2	1	4	2	2	1	4	1	3	2	1	 	15	62.5	17	60.7142868041992	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0
