CHILDCODE	LANDIDR4	LNDLIVR4	TOTLIVR4	USELIVR4	LNDTYPR4	TOTINDR4	USEINDR4	TOTLNDR4	USERANR4	USEDRYR4	PRIRRR4
10001	1	N	 	 	N	 	 	 	 	 	 
10001	2	N	 	 	N	 	 	 	 	 	 
10001	3	Y	.0199999995529652	1	N	 	 	 	 	 	 
10001	4	N	 	 	N	 	 	 	 	 	 
10001	5	N	 	 	N	 	 	 	 	 	 
10002	1	N	 	 	N	 	 	 	 	 	 
10002	2	N	 	 	N	 	 	 	 	 	 
10002	3	N	 	 	N	 	 	 	 	 	 
10002	4	N	 	 	N	 	 	 	 	 	 
10002	5	N	 	 	N	 	 	 	 	 	 
10003	1	N	 	 	N	 	 	 	 	 	 
10003	2	N	 	 	N	 	 	 	 	 	 
10003	3	N	 	 	N	 	 	 	 	 	 
10003	4	N	 	 	N	 	 	 	 	 	 
10003	5	N	 	 	N	 	 	 	 	 	 
10004	1	N	 	 	N	 	 	 	 	 	 
10004	2	N	 	 	N	 	 	 	 	 	 
10004	3	N	 	 	N	 	 	 	 	 	 
10004	4	N	 	 	N	 	 	 	 	 	 
10004	5	N	 	 	N	 	 	 	 	 	 
10005	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
10005	2	N	 	 	N	 	 	 	 	 	 
10005	3	N	 	 	N	 	 	 	 	 	 
10005	4	N	 	 	N	 	 	 	 	 	 
10005	5	N	 	 	N	 	 	 	 	 	 
10007	1	N	 	 	N	 	 	 	 	 	 
10007	2	N	 	 	N	 	 	 	 	 	 
10007	3	N	 	 	N	 	 	 	 	 	 
10007	4	N	 	 	N	 	 	 	 	 	 
10007	5	N	 	 	N	 	 	 	 	 	 
10008	1	Y	.0299999993294477	1	Y	0	 	5	10	11	5
10008	2	N	 	 	N	 	 	 	 	 	 
10008	3	N	 	 	N	 	 	 	 	 	 
10008	4	N	 	 	N	 	 	 	 	 	 
10008	5	N	 	 	N	 	 	 	 	 	 
10009	1	N	 	 	N	 	 	 	 	 	 
