CHILDCODE	SHCKIDR4	EVNTR4	EV2002R4	EV2003R4	EV2004R4	EV2005R4	EV2006R4
11001	1	0	 	 	 	 	 
11001	10	0	 	 	 	 	 
11001	12	0	 	 	 	 	 
11001	13	0	 	 	 	 	 
11001	14	0	 	 	 	 	 
11001	16	0	 	 	 	 	 
11001	23	0	 	 	 	 	 
11001	24	0	 	 	 	 	 
11001	25	0	 	 	 	 	 
11001	26	0	 	 	 	 	 
11001	27	0	 	 	 	 	 
11001	28	0	 	 	 	 	 
11001	29	0	 	 	 	 	 
11001	30	0	 	 	 	 	 
11001	31	0	 	 	 	 	 
11001	32	0	 	 	 	 	 
11001	34	0	 	 	 	 	 
11001	35	0	 	 	 	 	 
11001	36	0	 	 	 	 	 
11001	37	1	Y	Y	Y	Y	Y
11001	38	0	 	 	 	 	 
11001	39	1	N	Y	Y	Y	N
11001	40	0	 	 	 	 	 
11001	41	0	 	 	 	 	 
11001	42	0	 	 	 	 	 
11001	45	0	 	 	 	 	 
11001	47	1	N	N	Y	Y	N
11001	61	0	 	 	 	 	 
11002	1	0	 	 	 	 	 
11002	10	0	 	 	 	 	 
11002	12	0	 	 	 	 	 
11002	13	0	 	 	 	 	 
11002	14	0	 	 	 	 	 
11002	16	0	 	 	 	 	 
11002	23	0	 	 	 	 	 
11002	24	0	 	 	 	 	 
11002	25	0	 	 	 	 	 
11002	26	0	 	 	 	 	 
11002	27	0	 	 	 	 	 
11002	28	0	 	 	 	 	 
11002	29	0	 	 	 	 	 
11002	30	0	 	 	 	 	 
11002	31	0	 	 	 	 	 
11002	32	0	 	 	 	 	 
11002	34	0	 	 	 	 	 
11002	35	0	 	 	 	 	 
11002	36	0	 	 	 	 	 
11002	37	0	 	 	 	 	 
11002	38	1	N	N	Y	N	N
11002	39	1	N	N	Y	Y	N
11002	40	0	 	 	 	 	 
11002	41	0	 	 	 	 	 
11002	42	0	 	 	 	 	 
11002	45	0	 	 	 	 	 
11002	47	1	N	N	Y	Y	N
11002	61	0	 	 	 	 	 
11003	1	0	 	 	 	 	 
11003	10	0	 	 	 	 	 
11003	12	0	 	 	 	 	 
11003	13	0	 	 	 	 	 
11003	14	0	 	 	 	 	 
11003	16	0	 	 	 	 	 
11003	23	0	 	 	 	 	 
11003	24	0	 	 	 	 	 
11003	25	0	 	 	 	 	 
11003	26	0	 	 	 	 	 
11003	27	0	 	 	 	 	 
11003	28	0	 	 	 	 	 
11003	29	0	 	 	 	 	 
11003	30	0	 	 	 	 	 
11003	31	0	 	 	 	 	 
11003	32	0	 	 	 	 	 
11003	34	0	 	 	 	 	 
11003	35	0	 	 	 	 	 
11003	36	0	 	 	 	 	 
11003	37	0	 	 	 	 	 
11003	38	0	 	 	 	 	 
11003	39	0	 	 	 	 	 
11003	40	0	 	 	 	 	 
11003	41	0	 	 	 	 	 
11003	42	0	 	 	 	 	 
11003	45	0	 	 	 	 	 
11003	47	0	 	 	 	 	 
11003	61	0	 	 	 	 	 
11004	1	0	 	 	 	 	 
11004	10	0	 	 	 	 	 
11004	12	0	 	 	 	 	 
11004	13	0	 	 	 	 	 
11004	14	0	 	 	 	 	 
11004	16	0	 	 	 	 	 
11004	23	0	 	 	 	 	 
11004	24	0	 	 	 	 	 
11004	25	0	 	 	 	 	 
11004	26	0	 	 	 	 	 
11004	27	0	 	 	 	 	 
11004	28	0	 	 	 	 	 
11004	29	0	 	 	 	 	 
11004	30	0	 	 	 	 	 
11004	31	0	 	 	 	 	 
11004	32	0	 	 	 	 	 
11004	34	0	 	 	 	 	 
11004	35	0	 	 	 	 	 
11004	36	0	 	 	 	 	 
11004	37	1	N	N	N	N	Y
11004	38	0	 	 	 	 	 
11004	39	0	 	 	 	 	 
11004	40	0	 	 	 	 	 
11004	41	0	 	 	 	 	 
11004	42	0	 	 	 	 	 
11004	45	0	 	 	 	 	 
11004	47	0	 	 	 	 	 
11004	61	0	 	 	 	 	 
11005	1	0	 	 	 	 	 
11005	10	0	 	 	 	 	 
11005	12	0	 	 	 	 	 
11005	13	0	 	 	 	 	 
11005	14	0	 	 	 	 	 
11005	16	0	 	 	 	 	 
11005	23	0	 	 	 	 	 
11005	24	0	 	 	 	 	 
11005	25	0	 	 	 	 	 
11005	26	0	 	 	 	 	 
11005	27	0	 	 	 	 	 
11005	28	0	 	 	 	 	 
11005	29	0	 	 	 	 	 
11005	30	0	 	 	 	 	 
11005	31	0	 	 	 	 	 
11005	32	0	 	 	 	 	 
11005	34	0	 	 	 	 	 
11005	35	0	 	 	 	 	 
11005	36	0	 	 	 	 	 
11005	37	0	 	 	 	 	 
11005	38	0	 	 	 	 	 
11005	39	0	 	 	 	 	 
11005	40	0	 	 	 	 	 
11005	41	0	 	 	 	 	 
11005	42	1	N	N	N	N	Y
11005	45	0	 	 	 	 	 
11005	47	0	 	 	 	 	 
11005	61	0	 	 	 	 	 
11006	1	0	 	 	 	 	 
11006	10	0	 	 	 	 	 
11006	12	0	 	 	 	 	 
11006	13	0	 	 	 	 	 
11006	14	0	 	 	 	 	 
11006	16	0	 	 	 	 	 
11006	23	0	 	 	 	 	 
11006	24	0	 	 	 	 	 
11006	25	0	 	 	 	 	 
11006	26	0	 	 	 	 	 
11006	27	0	 	 	 	 	 
11006	28	0	 	 	 	 	 
11006	29	0	 	 	 	 	 
11006	30	0	 	 	 	 	 
11006	31	0	 	 	 	 	 
11006	32	0	 	 	 	 	 
11006	34	0	 	 	 	 	 
11006	35	0	 	 	 	 	 
11006	36	0	 	 	 	 	 
11006	37	0	 	 	 	 	 
11006	38	0	 	 	 	 	 
11006	39	0	 	 	 	 	 
11006	40	0	 	 	 	 	 
11006	41	0	 	 	 	 	 
11006	42	0	 	 	 	 	 
11006	45	0	 	 	 	 	 
11006	47	0	 	 	 	 	 
11006	61	0	 	 	 	 	 
11007	1	0	 	 	 	 	 
11007	10	0	 	 	 	 	 
11007	12	0	 	 	 	 	 
11007	13	0	 	 	 	 	 
11007	14	0	 	 	 	 	 
11007	16	0	 	 	 	 	 
11007	23	0	 	 	 	 	 
11007	24	0	 	 	 	 	 
11007	25	0	 	 	 	 	 
11007	26	0	 	 	 	 	 
11007	27	0	 	 	 	 	 
11007	28	0	 	 	 	 	 
11007	29	0	 	 	 	 	 
11007	30	0	 	 	 	 	 
11007	31	0	 	 	 	 	 
11007	32	0	 	 	 	 	 
11007	34	0	 	 	 	 	 
11007	35	0	 	 	 	 	 
11007	36	0	 	 	 	 	 
11007	37	0	 	 	 	 	 
11007	38	0	 	 	 	 	 
11007	39	0	 	 	 	 	 
11007	40	0	 	 	 	 	 
11007	41	0	 	 	 	 	 
11007	42	0	 	 	 	 	 
11007	45	0	 	 	 	 	 
11007	47	1	N	Y	Y	Y	N
11007	61	0	 	 	 	 	 
11008	1	0	 	 	 	 	 
11008	10	0	 	 	 	 	 
11008	12	0	 	 	 	 	 
11008	13	0	 	 	 	 	 
