CHILDCODE	LANDIDR4	LNDTYPR4	ANYAGRR4	TOTLNDR4	UNTLNDR4	USERANR4	PRIRRR4	ANYLIVR4	TOTLIVR4	UNTLIVR4	USELIVR4	ANYINDR4	TOTINDR4	UNTINDR4	USEINDR4
21038	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21038	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	3	1	N	 	 	 	 	Y	20	17	1	Y	4	17	8
21040	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21041	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21041	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21041	3	1	N	 	 	 	 	Y	51	17	2	Y	6	17	8
21041	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21041	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	1	1	N	 	 	 	 	Y	29	17	1	Y	14	17	7
21042	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21043	1	1	N	 	 	 	 	Y	45	17	1	Y	24	17	7
21043	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21043	3	1	N	 	 	 	 	N	 	 	 	Y	16	17	8
21043	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21043	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21045	1	1	Y	4	5	10	5	N	 	 	 	N	 	 	 
21045	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21045	3	1	N	 	 	 	 	Y	24	17	1	Y	6	17	8
21045	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21045	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
21046	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	1	1	N	 	 	 	 	Y	126	17	1	Y	92	17	7
21047	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
21048	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21050	1	1	N	 	 	 	 	Y	80	17	1	Y	64	17	7
21050	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21050	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21050	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21050	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31001	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31001	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31001	3	1	N	 	 	 	 	Y	40	17	1	N	 	 	 
31001	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31001	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31002	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31002	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31002	3	1	N	 	 	 	 	Y	137	17	2	Y	4	17	8
31002	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31002	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31003	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31003	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31003	3	1	N	 	 	 	 	Y	32	17	1	N	 	 	 
31003	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31003	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31004	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31004	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31004	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
31004	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31004	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	3	1	N	 	 	 	 	Y	120	17	4	Y	16	17	8
31006	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	2	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
31007	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
31009	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	3	1	N	 	 	 	 	Y	90	17	1	N	 	 	 
31010	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	3	1	N	 	 	 	 	Y	9	17	1	N	 	 	 
31011	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	3	1	N	 	 	 	 	Y	9	17	1	N	 	 	 
31012	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	1	1	N	 	 	 	 	Y	160	17	1	N	 	 	 
31013	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	3	1	N	 	 	 	 	Y	70	17	1	N	 	 	 
31015	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
31016	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31017	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31017	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31017	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
31017	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31017	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	3	1	N	 	 	 	 	Y	15	17	1	Y	2	17	8
31018	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	2	1	N	 	 	 	 	Y	21	17	1	N	 	 	 
31019	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
31020	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31021	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31021	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31021	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
31021	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31021	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31022	1	1	N	 	 	 	 	Y	150	17	2	N	 	 	 
31022	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31022	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31022	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31022	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	1	1	N	 	 	 	 	Y	82	17	1	Y	12	17	7
31023	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	3	1	N	 	 	 	 	Y	15	17	1	N	 	 	 
31024	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
31026	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	3	1	N	 	 	 	 	Y	60	17	4	N	 	 	 
31027	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	3	1	N	 	 	 	 	Y	42	17	1	Y	15	17	7
31028	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31029	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31029	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31029	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
31029	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31029	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31030	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31030	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31030	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
31030	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31030	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31033	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31033	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31033	3	1	N	 	 	 	 	Y	27	17	1	N	 	 	 
31033	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31033	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31034	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31034	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31034	3	1	N	 	 	 	 	Y	21	17	1	N	 	 	 
31034	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31034	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31035	1	1	N	 	 	 	 	Y	49	17	1	N	 	 	 
31035	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31035	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31035	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31035	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31036	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31036	2	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
31036	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31036	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31036	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31037	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31037	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31037	3	1	N	 	 	 	 	Y	28	17	2	Y	8	17	8
31037	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31037	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31038	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31038	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31038	3	1	N	 	 	 	 	Y	35	17	1	N	 	 	 
31038	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31038	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31039	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31039	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31039	3	1	N	 	 	 	 	Y	12	17	1	Y	16	17	8
31039	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31039	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31040	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31040	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31040	3	1	N	 	 	 	 	Y	30	17	1	N	 	 	 
31040	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31040	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31042	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31042	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31042	3	1	N	 	 	 	 	Y	19	17	1	Y	3	17	8
31042	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31042	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31043	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31043	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31043	3	1	N	 	 	 	 	Y	75	17	1	N	 	 	 
31043	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31043	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31044	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31044	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31044	3	1	N	 	 	 	 	Y	22	17	1	N	 	 	 
31044	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31044	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31045	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31045	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31045	3	1	N	 	 	 	 	Y	29	17	1	N	 	 	 
31045	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31045	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31046	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31046	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31046	3	1	N	 	 	 	 	Y	8	17	1	N	 	 	 
31046	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31046	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31048	1	1	N	 	 	 	 	N	 	 	 	Y	55	17	9
31048	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31048	3	1	N	 	 	 	 	Y	36	17	1	Y	6	17	7
31048	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31048	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31050	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31050	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31050	3	1	N	 	 	 	 	Y	29	17	1	N	 	 	 
31050	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
31050	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41001	1	1	N	 	 	 	 	Y	56	17	1	N	 	 	 
41001	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41001	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41001	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41001	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41002	1	1	Y	4	4	5	5	Y	150	17	3	Y	300	17	9
41002	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41002	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41002	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41002	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41003	1	1	Y	5	4	5	1	Y	150	17	1	N	 	 	 
41003	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41003	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41003	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41003	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41005	1	1	Y	2	4	5	5	N	 	 	 	N	 	 	 
41005	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41005	3	1	N	 	 	 	 	Y	100	17	1	N	 	 	 
41005	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41005	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41006	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41006	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41006	3	1	N	 	 	 	 	Y	25	17	1	N	 	 	 
41006	4	1	Y	4	4	5	5	 	 	 	 	 	 	 	 
41006	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41007	1	1	Y	3	4	5	5	Y	20	17	1	N	 	 	 
41007	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41007	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41007	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41007	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41008	1	1	Y	4	4	5	5	N	 	 	 	N	 	 	 
41008	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41008	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
41008	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41008	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41009	1	1	N	 	 	 	 	Y	181	17	1	N	 	 	 
41009	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41009	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41009	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41009	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41010	1	1	N	 	 	 	 	Y	150	17	1	Y	6	17	8
41010	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41010	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41010	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41010	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41011	1	1	N	 	 	 	 	Y	210	17	1	N	 	 	 
41011	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41011	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41011	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41011	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41012	1	1	Y	2	4	5	5	Y	350	17	1	N	 	 	 
41012	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41012	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41012	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41012	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41013	1	1	N	 	 	 	 	Y	150	17	1	N	 	 	 
41013	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41013	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41013	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41013	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41014	1	1	Y	3	4	10	5	Y	200	17	1	N	 	 	 
41014	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41014	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41014	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41014	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41015	1	1	Y	.5	2	10	5	Y	500	17	1	N	 	 	 
41015	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41015	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41015	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41015	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41016	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41016	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41016	3	1	N	 	 	 	 	Y	21	17	1	N	 	 	 
41016	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41016	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41017	1	1	N	 	 	 	 	Y	420	17	1	N	 	 	 
41017	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41017	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41017	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41017	5	1	N	 	 	 	 	Y	400	17	9	N	 	 	 
41018	1	1	N	 	 	 	 	Y	500	17	2	N	 	 	 
41018	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41018	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41018	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41018	5	1	N	 	 	 	 	Y	200	17	1	N	 	 	 
41020	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41020	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41020	3	1	N	 	 	 	 	Y	12	17	1	Y	200	17	7
41020	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41020	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41021	1	1	Y	3	4	10	5	Y	252.5	17	1	N	 	 	 
41021	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41021	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41021	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41021	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41022	1	1	Y	7	4	5	5	Y	40	17	2	Y	100	17	7
41022	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41022	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41022	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41022	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41023	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41023	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41023	3	1	N	 	 	 	 	Y	18	17	1	N	 	 	 
41023	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41023	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41024	1	1	Y	1	3	10	5	N	 	 	 	N	 	 	 
41024	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41024	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
41024	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41024	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41025	1	1	N	 	 	 	 	Y	525	17	5	N	 	 	 
41025	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41025	3	1	N	 	 	 	 	N	 	 	 	Y	6	17	8
41025	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41025	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41026	1	1	Y	1	4	5	5	Y	200	17	1	N	 	 	 
41026	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41026	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41026	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41026	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41027	1	1	N	 	 	 	 	Y	35	17	1	N	 	 	 
41027	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41027	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41027	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41027	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41028	1	1	Y	1	4	5	5	N	 	 	 	N	 	 	 
41028	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41028	3	1	N	 	 	 	 	Y	25	17	2	N	 	 	 
41028	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41028	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41029	1	1	N	 	 	 	 	Y	150	17	1	N	 	 	 
41029	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41029	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41029	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41029	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41030	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41030	2	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
41030	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41030	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41030	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41031	1	1	N	 	 	 	 	Y	165	17	1	N	 	 	 
41031	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41031	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41031	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41031	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41032	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41032	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41032	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
41032	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41032	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41034	1	1	Y	2	4	5	5	Y	.25	4	1	N	 	 	 
41034	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41034	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41034	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41034	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41035	1	1	N	 	 	 	 	Y	150	17	1	N	 	 	 
41035	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41035	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41035	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41035	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41036	1	1	N	 	 	 	 	Y	120	17	9	N	 	 	 
41036	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41036	3	1	N	 	 	 	 	Y	9	17	1	N	 	 	 
41036	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
