CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
11001	1	4	1	1	2	1
11003	1	2	1	0	 	0
11003	2	3	1	0	 	0
11004	1	2	1	0	 	0
11005	1	2	1	0	 	0
11005	2	3	1	0	 	0
11010	1	7	1	0	 	0
11010	2	2	1	0	 	0
11010	3	3	1	0	 	0
11011	1	3	1	0	 	0
11011	2	3	1	0	 	0
11012	1	2	1	0	 	0
11013	1	2	1	0	 	0
11013	2	3	1	0	 	0
11013	3	7	1	0	 	0
11014	1	2	1	0	 	0
11014	2	3	1	0	 	0
11015	1	2	1	0	 	0
11015	2	3	1	0	 	0
11017	1	2	1	0	 	0
11017	2	3	1	0	 	0
11017	3	1	2	1	1	0
11018	1	2	1	0	 	0
11018	2	3	1	0	 	0
11019	1	3	1	0	 	0
11019	2	2	1	0	 	0
11020	1	2	1	0	 	0
11021	1	2	1	0	 	0
11022	1	2	1	0	 	0
11023	1	3	1	0	 	0
11023	2	2	1	0	 	0
11024	1	2	1	0	 	0
11025	1	2	1	0	 	1
11025	2	2	2	0	 	0
11026	1	1	2	0	 	0
11026	2	2	1	0	 	0
11026	3	3	1	0	 	0
11026	4	6	2	1	1	0
11027	1	2	1	0	 	0
11027	2	2	2	3	2	0
11028	1	2	1	0	 	0
11029	1	2	1	0	 	0
11030	1	2	1	0	 	0
11030	2	3	1	0	 	0
11032	1	2	1	0	 	0
11033	1	2	1	0	 	0
11034	1	3	1	0	 	0
11035	1	2	1	0	 	0
11035	2	4	1	1	2	0
11036	1	2	1	0	 	0
11036	2	3	1	0	 	0
11037	1	2	1	0	 	0
11037	2	3	1	0	 	0
11039	1	2	1	0	 	0
11040	1	2	1	0	 	0
11041	1	1	2	1	1	1
11041	2	2	1	0	 	0
11042	1	2	1	0	 	0
11042	2	3	1	0	 	0
11043	1	2	1	0	 	1
11043	2	3	2	0	 	0
11043	3	2	2	0	 	0
11044	1	3	1	0	 	0
11045	1	2	1	0	 	0
11046	1	2	1	0	 	0
11046	2	3	1	0	 	0
11047	1	2	1	0	 	0
11048	1	2	1	0	 	0
11049	1	2	2	0	 	0
11051	1	3	2	1	1	0
11052	1	2	1	1	0	0
11053	1	2	1	0	 	0
11053	2	3	1	0	 	0
11054	1	2	1	0	 	0
11055	1	2	1	0	 	0
11057	1	3	1	0	 	0
11057	2	2	1	0	 	0
11060	1	3	1	0	 	0
11060	2	2	1	0	 	0
11061	1	3	1	0	 	0
11061	2	2	1	0	 	0
11062	1	2	1	0	 	0
11063	1	2	1	0	 	0
11063	2	3	1	0	 	0
11064	1	4	1	0	 	0
11064	2	2	1	0	 	0
11064	3	3	1	0	 	0
11065	1	1	2	1	2	1
11066	1	2	1	0	 	1
11066	2	3	1	0	 	0
11066	3	4	1	0	 	0
11067	1	2	1	0	 	0
11067	2	3	1	0	 	0
11068	1	2	1	0	 	1
11070	1	2	1	0	 	0
11070	2	3	1	0	 	0
11071	1	3	1	0	 	0
11071	2	2	1	0	 	0
11073	1	2	1	0	 	0
11073	2	7	1	0	 	1
11074	1	3	1	0	 	0
11075	1	2	1	0	 	0
11076	1	2	1	0	 	0
11076	2	7	1	0	 	0
11077	1	2	1	0	 	0
11078	1	3	1	0	 	0
11079	2	3	1	0	 	0
11080	1	3	1	0	 	0
11081	1	2	1	0	 	1
11081	2	2	2	0	 	0
11082	1	2	1	0	 	1
11083	1	2	1	0	 	1
11084	1	2	1	0	 	1
11084	2	2	2	0	 	0
11085	1	2	1	0	 	1
11085	2	7	1	2	2	0
11086	1	3	1	0	 	1
11086	2	2	1	0	 	0
11087	1	2	1	0	 	0
11088	1	2	1	0	 	0
11088	2	3	1	0	 	0
11089	1	2	1	0	 	1
11090	1	2	1	0	 	0
11090	2	3	1	0	 	0
11091	1	3	1	0	 	0
11093	1	3	1	0	 	0
11093	2	2	1	0	 	0
11094	1	2	1	0	 	0
11095	1	3	1	0	 	0
11097	1	2	1	0	 	1
11098	1	4	1	0	 	0
11098	2	2	1	0	 	0
11099	1	3	1	0	 	0
11099	2	2	1	0	 	0
11100	1	2	1	0	 	0
11100	2	3	1	0	 	0
21001	1	2	1	0	 	0
21001	2	3	1	0	 	0
21002	1	2	1	0	 	0
21002	2	3	1	0	 	0
21003	1	2	1	0	 	0
21004	1	1	1	0	 	0
21004	2	2	1	0	 	0
21004	3	1	2	1	1	0
21004	4	4	1	1	1	0
21005	1	2	1	0	 	0
21005	2	1	1	0	 	0
21006	1	2	1	0	 	0
21007	1	3	1	0	 	0
21007	2	2	1	0	 	0
21008	1	2	1	0	 	0
21008	2	3	1	0	 	0
21009	1	3	1	0	 	0
21009	2	2	1	0	 	0
21013	1	3	1	0	 	0
21013	2	2	1	0	 	0
21014	1	4	2	1	2	0
21014	2	2	1	0	 	0
21014	3	3	1	0	 	0
21015	1	2	1	0	 	0
21016	1	2	1	0	 	0
21016	2	7	1	0	 	0
21017	1	2	1	0	 	0
21018	1	3	1	0	 	0
21018	2	2	1	0	 	0
21019	1	3	1	0	 	0
21019	2	2	1	0	 	0
21020	1	3	1	0	 	0
21021	1	2	1	0	 	0
21021	2	3	1	0	 	0
21022	1	2	1	0	 	0
21023	1	3	1	0	 	0
21023	2	2	1	0	 	0
21024	1	3	1	0	 	0
21024	2	2	1	0	 	0
21025	1	2	1	0	 	0
21026	1	2	1	0	 	0
21026	2	1	1	0	 	0
21027	1	2	1	0	 	0
21028	1	1	1	0	 	0
21028	2	2	1	0	 	0
21029	1	2	1	0	 	0
21029	2	3	1	0	 	0
21031	1	2	1	0	 	0
21031	2	4	2	1	2	0
21032	1	2	1	0	 	0
21033	1	1	1	0	 	0
21033	2	2	1	0	 	0
21034	1	2	1	0	 	0
21035	1	2	1	0	 	0
21035	2	3	1	0	 	0
21036	1	2	1	0	 	0
21036	2	3	1	0	 	0
21037	1	2	1	0	 	0
21037	2	1	2	1	1	0
21038	1	2	1	0	 	0
21039	1	2	1	0	 	0
21039	2	3	1	0	 	0
21040	1	1	2	0	 	0
21042	1	2	1	0	 	0
21042	2	3	1	0	 	0
21043	1	2	1	0	 	0
21045	1	2	1	0	 	0
21045	2	3	1	0	 	0
21046	1	2	1	0	 	0
21047	1	3	1	0	 	0
21047	2	2	1	0	 	0
21048	1	2	1	0	 	0
21049	1	2	1	0	 	0
21050	1	2	1	0	 	1
21051	1	2	1	0	 	0
21052	1	2	1	0	 	1
21053	1	2	1	0	 	1
21053	2	2	2	0	 	0
21054	1	2	1	0	 	0
21054	2	2	2	0	 	0
21054	3	1	2	0	 	0
21055	1	2	1	0	 	0
21055	2	1	1	0	 	0
21055	3	1	2	1	2	0
21056	1	2	1	0	 	0
21056	2	3	1	0	 	0
21057	1	2	1	0	 	1
21058	1	2	1	0	 	0
21059	1	3	1	0	 	0
21059	2	2	1	0	 	0
21060	1	2	1	0	 	0
21060	2	3	1	0	 	0
21061	1	2	1	0	 	0
21062	1	2	1	0	 	1
21062	2	2	2	0	 	0
21062	3	3	1	0	 	0
21063	1	2	1	0	 	0
21065	1	2	1	0	 	0
21066	1	2	1	0	 	0
21068	1	2	1	0	 	1
21069	1	2	1	0	 	0
21070	1	3	1	0	 	0
21070	2	2	1	0	 	0
21071	1	2	1	0	 	0
21071	2	3	1	0	 	0
21072	1	2	1	0	 	0
21072	2	3	1	0	 	0
21073	1	2	1	0	 	0
21073	2	3	1	0	 	0
21074	1	2	1	0	 	0
21075	1	2	1	0	 	0
21075	2	1	2	0	 	0
21076	1	2	1	0	 	0
21077	1	3	1	0	 	0
21077	2	2	1	0	 	0
21079	1	2	1	0	 	0
21080	1	2	1	0	 	0
21080	2	3	1	0	 	0
21081	1	2	1	0	 	0
21082	1	2	1	0	 	0
21083	1	2	1	0	 	1
21084	1	1	1	0	 	0
21084	2	2	1	0	 	0
21084	3	3	1	0	 	0
21085	1	2	1	0	 	0
21085	2	3	1	0	 	0
21086	1	2	1	0	 	0
21086	2	3	1	0	 	0
21086	3	4	1	0	 	0
21087	1	3	1	0	 	0
21087	2	2	1	0	 	0
21088	1	2	1	0	 	0
21088	2	3	1	0	 	0
21089	1	2	1	0	 	0
21089	2	3	1	0	 	0
21090	1	2	1	0	 	0
21090	2	5	1	5	2	0
21091	1	1	2	0	 	0
21091	2	2	1	0	 	0
21091	3	3	1	0	 	0
21092	1	2	1	0	 	0
21092	2	3	1	0	 	0
21093	1	2	1	0	 	0
21093	2	3	1	0	 	0
21094	1	1	2	1	2	0
21094	2	1	1	0	 	0
21094	3	2	1	0	 	0
21094	4	3	1	0	 	0
21095	1	2	1	0	 	0
21095	2	3	1	0	 	0
21096	1	2	1	0	 	0
21097	1	2	1	0	 	0
21099	1	2	1	0	 	0
21099	2	3	1	0	 	0
31002	1	2	1	0	 	0
31002	2	1	1	0	 	0
31003	1	2	1	0	 	0
31003	2	1	1	0	 	0
31004	1	2	1	0	 	0
31004	2	1	2	1	2	0
31004	3	3	1	0	 	0
31005	1	1	1	0	 	0
31005	2	2	1	0	 	0
31005	3	3	1	0	 	0
31006	1	1	1	0	 	0
31006	2	2	1	0	 	0
31006	3	3	1	0	 	0
31007	1	1	1	0	 	0
31007	2	2	1	0	 	0
31007	3	3	1	0	 	0
31011	1	2	1	0	 	0
31011	2	3	1	0	 	0
31012	1	2	1	0	 	0
31013	1	1	1	0	 	0
31013	2	3	1	0	 	0
31013	3	2	1	0	 	0
31014	1	2	1	0	 	0
31015	1	3	1	0	 	0
31015	2	2	1	0	 	0
31016	1	2	1	0	 	0
31016	2	1	1	0	 	0
31017	1	2	1	0	 	0
31017	2	3	1	0	 	0
31018	1	2	1	0	 	0
31018	2	3	1	0	 	0
31019	1	1	1	0	 	0
31019	2	2	1	0	 	0
31019	3	3	1	0	 	0
31020	1	1	1	0	 	0
31020	2	2	1	0	 	0
31020	3	3	1	0	 	0
31021	1	1	1	0	 	0
31021	2	2	1	0	 	0
31022	1	2	1	0	 	0
31023	1	2	1	0	 	0
31023	2	3	1	0	 	0
31024	1	2	1	0	 	0
31025	1	2	1	0	 	0
31025	2	3	1	0	 	0
31026	1	2	1	0	 	0
31027	1	2	1	0	 	0
31028	1	2	1	0	 	0
31028	2	3	1	0	 	0
31029	1	2	1	0	 	0
31029	2	3	1	0	 	0
31031	1	2	1	0	 	0
31031	2	3	1	0	 	0
31032	1	2	1	0	 	0
31032	2	3	1	0	 	0
31033	1	2	1	0	 	0
31034	1	2	1	0	 	0
31034	2	3	1	0	 	0
31035	1	1	1	0	 	0
31035	2	2	1	0	 	0
31036	1	1	1	0	 	0
31036	2	2	1	0	 	0
31037	1	2	1	0	 	0
31037	2	3	1	0	 	0
31038	1	2	1	0	 	0
31039	1	2	1	0	 	0
31039	2	1	1	0	 	0
31040	1	2	1	0	 	0
31040	2	3	1	0	 	0
31041	1	2	1	0	 	0
31042	1	2	1	0	 	0
31043	1	2	1	0	 	0
31043	2	3	1	0	 	0
31044	1	2	1	0	 	0
31045	1	2	1	0	 	0
31045	2	1	1	0	 	0
31046	1	1	1	0	 	0
31046	2	2	1	0	 	0
31047	1	2	1	0	 	0
31047	2	1	1	0	 	0
31048	1	2	1	0	 	0
31049	1	1	1	0	 	0
31049	2	2	1	0	 	0
31052	1	2	1	0	 	0
31053	1	2	1	0	 	0
31053	2	3	1	0	 	0
31054	1	2	1	0	 	0
31054	2	4	1	0	 	0
31055	1	3	1	0	 	0
31056	1	1	1	0	 	0
31056	2	2	1	0	 	0
31057	1	2	1	0	 	0
31057	2	1	1	0	 	0
31058	1	2	1	0	 	0
31058	2	1	1	0	 	0
31059	1	1	1	0	 	0
