CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4
10003	1	7	2	1	2
10003	2	2	1	0	 
10004	1	2	1	0	 
10004	2	3	1	0	 
10006	1	2	1	0	 
10007	1	2	1	0	 
10008	1	2	1	0	 
10008	2	3	1	0	 
10009	1	3	1	0	 
10009	2	2	1	0	 
10009	3	1	1	0	 
10010	1	2	1	0	 
10011	1	2	1	0	 
10012	1	2	1	0	 
10012	2	3	1	0	 
10014	1	2	1	0	 
10015	1	2	1	0	 
10015	2	3	1	0	 
10015	3	1	1	0	 
10016	1	2	1	0	 
10017	1	2	1	0	 
10018	1	2	1	0	 
10019	1	1	1	0	 
10019	2	2	1	0	 
10020	1	2	1	0	 
10021	1	2	1	0	 
10022	1	2	1	0	 
10022	2	6	1	0	 
10025	1	2	1	0	 
10025	2	3	1	0	 
10026	1	2	1	0	 
10026	2	7	2	1	0
10029	1	2	1	0	 
10030	1	2	1	0	 
10030	2	3	1	0	 
10032	1	2	1	0	 
10033	1	2	1	0	 
10036	1	2	1	0	 
10039	1	2	1	0	 
10040	1	2	1	0	 
10041	1	2	1	0	 
10042	1	2	1	0	 
10042	2	3	1	0	 
10043	1	7	1	0	 
10045	1	2	1	0	 
10045	2	1	1	0	 
10046	1	3	1	0	 
10046	2	2	1	0	 
10048	1	2	1	0	 
10050	1	2	1	0	 
10051	1	2	1	0	 
10053	1	2	1	0	 
10055	1	3	1	0	 
10055	2	2	1	0	 
10056	1	4	1	0	 
10065	1	4	1	0	 
10068	1	2	1	0	 
10072	1	2	1	0	 
10075	1	2	1	0	 
10076	1	2	1	0	 
10076	2	4	1	0	 
10077	1	2	1	0	 
10079	1	2	1	0	 
10079	2	4	1	0	 
10081	1	2	1	0	 
10081	2	1	1	0	 
10082	1	2	1	0	 
10082	2	3	1	0	 
10084	1	2	1	0	 
10086	1	2	1	0	 
10087	1	2	1	0	 
10088	1	2	1	0	 
10088	2	3	1	0	 
10088	3	1	1	0	 
10089	1	2	1	0	 
10091	1	2	1	0	 
10092	1	1	1	0	 
10093	1	2	1	0	 
10095	1	2	1	0	 
10096	1	2	1	0	 
10100	1	2	1	0	 
10100	2	3	1	0	 
10100	3	1	1	0	 
10122	1	2	1	0	 
10124	1	3	1	0	 
10140	1	3	1	0	 
10140	2	2	1	0	 
10140	3	1	1	0	 
20001	1	1	1	0	 
20001	2	2	1	0	 
20001	3	3	1	0	 
20002	1	2	1	0	 
20002	2	1	1	0	 
20003	1	1	1	0	 
20003	2	2	1	0	 
20005	1	2	1	0	 
20007	1	2	1	0	 
20008	1	2	1	0	 
20009	1	2	1	0	 
20009	2	3	1	0	 
20010	1	2	1	0	 
20011	1	2	1	0	 
20012	1	2	1	0	 
20012	2	5	1	1	1
20013	1	2	1	0	 
20018	1	2	1	0	 
20019	1	3	1	0	 
20019	2	2	1	0	 
20020	1	2	1	0	 
20022	1	2	1	0	 
20023	1	2	1	0	 
20023	2	3	1	0	 
20024	1	4	1	0	 
20024	2	2	1	0	 
20025	1	2	1	0	 
20026	1	2	1	0	 
20027	1	2	1	0	 
20028	1	4	1	0	 
20028	2	2	1	0	 
20029	1	2	1	0	 
20033	1	2	1	0	 
20034	1	2	1	0	 
20035	1	2	1	0	 
20035	2	4	1	0	 
20036	1	2	1	0	 
20037	1	2	1	0	 
20038	1	2	1	0	 
20038	2	3	1	0	 
20038	3	5	1	0	 
20039	1	2	1	0	 
20041	1	2	1	0	 
20043	1	3	1	0	 
20043	2	2	1	0	 
20044	1	2	1	0	 
20047	1	3	1	0	 
20047	2	2	1	0	 
20048	1	3	1	0	 
20048	2	2	1	0	 
20050	1	2	1	0	 
20052	1	4	1	0	 
20052	2	2	1	0	 
20053	1	1	1	0	 
20053	2	2	1	0	 
20054	1	2	1	0	 
20055	1	3	1	0	 
20055	2	2	1	0	 
20056	1	2	1	0	 
20056	2	4	1	1	2
20060	1	2	1	0	 
20061	1	1	1	0	 
20062	1	2	1	0	 
20062	2	3	1	0	 
20063	1	2	1	0	 
20065	1	2	1	0	 
20065	2	3	1	0	 
20065	3	1	1	0	 
20066	1	2	1	0	 
20066	2	1	1	0	 
20067	1	2	1	0	 
20067	2	1	1	0	 
20068	1	2	1	0	 
20069	1	2	1	0	 
20070	1	2	1	0	 
20073	1	2	1	0	 
20073	2	3	1	0	 
20077	1	4	1	0	 
20077	2	2	1	0	 
20078	1	2	1	0	 
20078	2	7	1	0	 
20079	1	2	1	0	 
20080	1	1	1	0	 
20080	2	2	1	0	 
20081	1	2	1	0	 
20083	1	2	1	0	 
20084	1	2	1	0	 
20086	1	1	1	0	 
20086	2	2	1	0	 
20087	1	2	1	0	 
20087	2	7	1	0	 
20088	1	2	1	0	 
20088	2	1	1	0	 
20088	3	4	1	0	 
20089	1	1	1	0	 
20089	2	2	1	0	 
20090	1	2	1	0	 
20091	1	2	1	0	 
20092	1	4	1	0	 
20092	2	2	1	0	 
20094	1	2	1	0	 
20094	2	4	1	1	2
20095	1	2	1	0	 
20096	1	2	1	0	 
20096	2	3	1	0	 
20097	1	2	1	0	 
20098	1	3	1	0	 
20098	2	2	1	0	 
20099	1	2	1	0	 
20099	2	3	1	0	 
20100	1	2	1	0	 
20105	1	2	1	0	 
20106	1	4	1	0	 
20106	2	2	1	0	 
20110	1	2	1	0	 
20112	1	2	1	0	 
20114	1	2	1	0	 
20117	1	3	1	0	 
