CHILDCODE	LANDIDR5	TOTLNDR5	LUPLTAR5	PLTUSAR5	PRIRRR5	TOTINDR5	LUPLTNR5	USEINDR5
10001	1	 	 	 	 	0	 	 
10001	2	 	 	 	 	0	 	 
10001	3	 	 	 	 	16	17	1
10001	4	 	 	 	 	 	 	 
10001	5	 	 	 	 	0	 	 
10002	1	 	 	 	 	0	 	 
10002	2	 	 	 	 	0	 	 
10002	3	 	 	 	 	12	17	1
10002	4	 	 	 	 	 	 	 
10002	5	 	 	 	 	0	 	 
10004	1	 	 	 	 	25	17	1
10004	2	 	 	 	 	0	 	 
10004	3	 	 	 	 	0	 	 
10004	4	 	 	 	 	 	 	 
10004	5	 	 	 	 	0	 	 
10005	1	 	 	 	 	0	 	 
10005	2	 	 	 	 	0	 	 
10005	3	 	 	 	 	20	17	1
10005	4	 	 	 	 	 	 	 
10005	5	 	 	 	 	0	 	 
10006	1	 	 	 	 	28	17	1
10006	2	 	 	 	 	0	 	 
10006	3	 	 	 	 	0	 	 
10006	4	 	 	 	 	 	 	 
10006	5	 	 	 	 	0	 	 
10007	1	 	 	 	 	0	 	 
10007	2	 	 	 	 	0	 	 
10007	3	 	 	 	 	24	17	1
10007	4	 	 	 	 	 	 	 
10007	5	 	 	 	 	0	 	 
10008	1	 	 	 	 	36	17	1
10008	2	 	 	 	 	0	 	 
10008	3	 	 	 	 	0	 	 
10008	4	 	 	 	 	 	 	 
10008	5	 	 	 	 	0	 	 
10009	1	 	 	 	 	105	17	1
10009	2	 	 	 	 	0	 	 
10009	3	 	 	 	 	0	 	 
10009	4	 	 	 	 	 	 	 
10009	5	 	 	 	 	0	 	 
10010	1	 	 	 	 	16	17	1
10010	2	 	 	 	 	0	 	 
10010	3	 	 	 	 	0	 	 
10010	4	 	 	 	 	 	 	 
10010	5	 	 	 	 	0	 	 
10011	1	 	 	 	 	0	 	 
10011	2	 	 	 	 	0	 	 
10011	3	 	 	 	 	20	17	1
10011	4	 	 	 	 	 	 	 
10011	5	 	 	 	 	0	 	 
10012	1	 	 	 	 	0	 	 
10012	2	 	 	 	 	0	 	 
10012	3	 	 	 	 	16	17	1
10012	4	 	 	 	 	 	 	 
10012	5	 	 	 	 	0	 	 
10014	1	 	 	 	 	0	 	 
10014	2	 	 	 	 	0	 	 
10014	3	 	 	 	 	24	17	1
10014	4	 	 	 	 	 	 	 
10014	5	 	 	 	 	0	 	 
10015	1	 	 	 	 	0	 	 
10015	2	 	 	 	 	0	 	 
10015	3	 	 	 	 	9	17	1
10015	4	 	 	 	 	 	 	 
10015	5	 	 	 	 	6	17	20
10016	1	 	 	 	 	165	17	1
10016	2	 	 	 	 	0	 	 
10016	3	 	 	 	 	0	 	 
10016	4	 	 	 	 	 	 	 
10016	5	 	 	 	 	0	 	 
10017	1	 	 	 	 	20	17	1
10017	2	 	 	 	 	0	 	 
10017	3	 	 	 	 	0	 	 
10017	4	 	 	 	 	 	 	 
10017	5	 	 	 	 	0	 	 
10018	1	 	 	 	 	0	 	 
10018	2	 	 	 	 	0	 	 
10018	3	 	 	 	 	10	17	1
10018	4	 	 	 	 	 	 	 
10018	5	 	 	 	 	0	 	 
10020	1	 	 	 	 	0	 	 
10020	2	 	 	 	 	0	 	 
10020	3	 	 	 	 	8	17	1
10020	4	 	 	 	 	 	 	 
10020	5	 	 	 	 	0	 	 
10021	1	 	 	 	 	28	17	1
10021	2	 	 	 	 	0	 	 
10021	3	 	 	 	 	0	 	 
10021	4	 	 	 	 	 	 	 
10021	5	 	 	 	 	0	 	 
10022	1	 	 	 	 	12	17	1
10022	2	 	 	 	 	0	 	 
10022	3	 	 	 	 	0	 	 
10022	4	 	 	 	 	 	 	 
10022	5	 	 	 	 	0	 	 
10023	1	 	 	 	 	12	17	1
10023	2	 	 	 	 	0	 	 
10023	3	 	 	 	 	0	 	 
10023	4	 	 	 	 	 	 	 
10023	5	 	 	 	 	0	 	 
10024	1	 	 	 	 	125	17	4
10024	2	 	 	 	 	0	 	 
10024	3	 	 	 	 	0	 	 
10024	4	 	 	 	 	 	 	 
10024	5	 	 	 	 	0	 	 
10025	1	 	 	 	 	0	 	 
10025	2	 	 	 	 	0	 	 
10025	3	 	 	 	 	20	17	1
10025	4	 	 	 	 	 	 	 
10025	5	 	 	 	 	0	 	 
