CHILDCODE	LANDIDR5	TOTINDR5	USEINDR5	TOTLNDR5	USERANR5	USEDRYR5	PRIRRR5
10033	5	0	 	0	 	 	 
10034	1	0	 	 	 	 	 
10034	2	0	 	 	 	 	 
10034	3	0	 	 	 	 	 
10034	4	 	 	 	 	 	 
10034	5	0	 	 	 	 	 
10035	1	0	 	 	 	 	 
10035	2	0	 	 	 	 	 
10035	3	0	 	 	 	 	 
10035	4	 	 	 	 	 	 
10035	5	0	 	 	 	 	 
10036	1	.0199999995529652	1	0	 	 	 
10036	2	0	 	0	 	 	 
10036	3	0	 	0	 	 	 
10036	4	 	 	0	 	 	 
10036	5	0	 	0	 	 	 
10037	1	.0199999995529652	1	0	 	 	 
10037	2	0	 	0	 	 	 
10037	3	0	 	0	 	 	 
10037	4	 	 	0	 	 	 
10037	5	0	 	0	 	 	 
10038	1	.0500000007450581	1	1.5	5	11	 
10038	2	0	 	0	 	 	 
10038	3	0	 	0	 	 	 
10038	4	 	 	0	 	 	 
10038	5	0	 	0	 	 	 
10039	1	.0299999993294477	1	0	 	 	 
10039	2	0	 	0	 	 	 
10039	3	0	 	0	 	 	 
10039	4	 	 	0	 	 	 
10039	5	0	 	0	 	 	 
10040	1	0	 	 	 	 	 
10040	2	0	 	 	 	 	 
10040	3	0	 	 	 	 	 
10040	4	 	 	 	 	 	 
10040	5	0	 	 	 	 	 
10041	1	.0299999993294477	1	0	 	 	 
10041	2	0	 	0	 	 	 
10041	3	0	 	0	 	 	 
10041	4	 	 	0	 	 	 
10041	5	0	 	0	 	 	 
10042	1	0	 	 	 	 	 
10042	2	0	 	 	 	 	 
10042	3	0	 	 	 	 	 
10042	4	 	 	 	 	 	 
10042	5	0	 	 	 	 	 
10043	1	.0299999993294477	1	0	 	 	 
10043	2	0	 	0	 	 	 
10043	3	0	 	0	 	 	 
10043	4	 	 	0	 	 	 
10043	5	0	 	0	 	 	 
10044	1	0	 	 	 	 	 
10044	2	0	 	 	 	 	 
10044	3	0	 	 	 	 	 
10044	4	 	 	 	 	 	 
10044	5	0	 	 	 	 	 
10045	1	0	 	 	 	 	 
10045	2	0	 	 	 	 	 
10045	3	0	 	 	 	 	 
10045	4	 	 	 	 	 	 
10045	5	0	 	 	 	 	 
10046	1	0	 	 	 	 	 
10046	2	0	 	 	 	 	 
10046	3	0	 	 	 	 	 
10046	4	 	 	 	 	 	 
10046	5	0	 	 	 	 	 
10047	1	0	 	 	 	 	 
10047	2	0	 	 	 	 	 
10047	3	0	 	 	 	 	 
10047	4	 	 	 	 	 	 
10047	5	0	 	 	 	 	 
10048	1	0	 	 	 	 	 
10048	2	0	 	 	 	 	 
10048	3	0	 	 	 	 	 
10048	4	 	 	 	 	 	 
10048	5	0	 	 	 	 	 
10049	1	.0500000007450581	2	.5	5	11	 
10049	2	0	 	0	 	 	 
10049	3	0	 	0	 	 	 
10049	4	 	 	0	 	 	 
10049	5	0	 	0	 	 	 
10050	1	0	 	 	 	 	 
10050	2	0	 	 	 	 	 
10050	3	0	 	 	 	 	 
10050	4	 	 	 	 	 	 
10050	5	0	 	 	 	 	 
10051	1	.0500000007450581	1	5	5	5	1
10051	2	0	 	0	 	 	 
10051	3	0	 	0	 	 	 
10051	4	 	 	0	 	 	 
10051	5	0	 	0	 	 	 
10052	1	.0500000007450581	1	5	5	11	 
10052	2	0	 	0	 	 	 
10052	3	0	 	0	 	 	 
10052	4	 	 	0	 	 	 
10052	5	0	 	0	 	 	 
10053	1	.0199999995529652	1	 	 	 	 
10053	2	0	 	 	 	 	 
10053	3	0	 	 	 	 	 
10053	4	 	 	 	 	 	 
10053	5	0	 	 	 	 	 
10054	1	0	 	 	 	 	 
10054	2	0	 	 	 	 	 
10054	3	0	 	 	 	 	 
10054	4	 	 	 	 	 	 
10054	5	0	 	 	 	 	 
10055	1	.0299999993294477	1	0	 	 	 
10055	2	0	 	0	 	 	 
10055	3	0	 	0	 	 	 
10055	4	 	 	0	 	 	 
10055	5	0	 	0	 	 	 
10056	1	.0299999993294477	1	0	 	 	 
10056	2	0	 	0	 	 	 
10056	3	0	 	0	 	 	 
10056	4	 	 	0	 	 	 
10056	5	0	 	0	 	 	 
10057	1	.0500000007450581	1	0	 	 	 
10057	2	0	 	0	 	 	 
10057	3	0	 	0	 	 	 
10057	4	 	 	0	 	 	 
10057	5	0	 	0	 	 	 
10058	1	0	 	 	 	 	 
10058	2	0	 	 	 	 	 
10058	3	0	 	 	 	 	 
10058	4	 	 	 	 	 	 
10058	5	0	 	 	 	 	 
10059	1	0	 	 	 	 	 
10059	2	0	 	 	 	 	 
10059	3	0	 	 	 	 	 
10059	4	 	 	 	 	 	 
10059	5	0	 	 	 	 	 
10060	1	.0199999995529652	1	0	 	 	 
10060	2	0	 	0	 	 	 
10060	3	0	 	0	 	 	 
10060	4	 	 	0	 	 	 
10060	5	0	 	0	 	 	 
10062	1	.0399999991059303	1	0	 	 	 
10062	2	0	 	0	 	 	 
10062	3	0	 	0	 	 	 
10062	4	 	 	0	 	 	 
10062	5	0	 	0	 	 	 
10063	1	0	 	.200000002980232	5	5	4
10063	2	0	 	0	 	 	 
10063	3	0	 	0	 	 	 
10063	4	 	 	0	 	 	 
10063	5	0	 	0	 	 	 
10064	1	.0399999991059303	1	1	5	11	 
10064	2	0	 	0	 	 	 
10064	3	0	 	0	 	 	 
10064	4	 	 	0	 	 	 
10064	5	0	 	0	 	 	 
10065	1	0	 	 	 	 	 
10065	2	0	 	 	 	 	 
10065	3	0	 	 	 	 	 
10065	4	 	 	 	 	 	 
10065	5	0	 	 	 	 	 
10066	1	.0299999993294477	1	0	 	 	 
10066	2	0	 	0	 	 	 
10066	3	0	 	0	 	 	 
10066	4	 	 	0	 	 	 
10066	5	0	 	0	 	 	 
10067	1	.0199999995529652	1	 	 	 	 
10067	2	0	 	 	 	 	 
10067	3	0	 	 	 	 	 
10067	4	 	 	 	 	 	 
10067	5	0	 	 	 	 	 
10068	1	0	 	 	 	 	 
10068	2	0	 	 	 	 	 
10068	3	.00999999977648258	1	 	 	 	 
10068	4	 	 	 	 	 	 
10068	5	0	 	 	 	 	 
10069	1	.0199999995529652	1	0	 	 	 
10069	2	0	 	0	 	 	 
10069	3	0	 	0	 	 	 
10069	4	 	 	0	 	 	 
10069	5	0	 	0	 	 	 
10070	1	0	 	 	 	 	 
10070	2	.0199999995529652	1	 	 	 	 
10070	3	0	 	 	 	 	 
10070	4	 	 	 	 	 	 
10070	5	0	 	 	 	 	 
10071	1	0	 	 	 	 	 
10071	2	0	 	 	 	 	 
10071	3	0	 	 	 	 	 
10071	4	 	 	 	 	 	 
10071	5	0	 	 	 	 	 
10072	1	.0199999995529652	1	0	 	 	 
10072	2	0	 	0	 	 	 
10072	3	0	 	0	 	 	 
10072	4	 	 	0	 	 	 
10072	5	0	 	0	 	 	 
10073	1	0	 	 	 	 	 
10073	2	0	 	 	 	 	 
10073	3	0	 	 	 	 	 
10073	4	 	 	 	 	 	 
10073	5	0	 	 	 	 	 
10074	1	0	 	 	 	 	 
10074	2	0	 	 	 	 	 
10074	3	0	 	 	 	 	 
10074	4	 	 	 	 	 	 
10074	5	0	 	 	 	 	 
10075	1	.0599999986588955	1	0	 	 	 
10075	2	0	 	0	 	 	 
10075	3	0	 	0	 	 	 
10075	4	 	 	0	 	 	 
10075	5	0	 	0	 	 	 
10076	1	.0500000007450581	1	0	 	 	 
10076	2	0	 	0	 	 	 
10076	3	0	 	0	 	 	 
10076	4	 	 	0	 	 	 
10076	5	0	 	0	 	 	 
10077	1	0	 	 	 	 	 
10077	2	0	 	 	 	 	 
10077	3	0	 	 	 	 	 
10077	4	 	 	 	 	 	 
10077	5	0	 	 	 	 	 
10079	1	0	 	 	 	 	 
10079	2	0	 	 	 	 	 
10079	3	0	 	 	 	 	 
10079	4	 	 	 	 	 	 
10079	5	0	 	 	 	 	 
10080	1	.0199999995529652	1	 	 	 	 
10080	2	0	 	 	 	 	 
10080	3	0	 	 	 	 	 
10080	4	 	 	 	 	 	 
10080	5	0	 	 	 	 	 
10081	1	.0799999982118607	1	0	 	 	 
10081	2	0	 	0	 	 	 
10081	3	0	 	0	 	 	 
10081	4	 	 	0	 	 	 
10081	5	0	 	0	 	 	 
10082	1	0	 	 	 	 	 
10082	2	0	 	 	 	 	 
10082	3	0	 	 	 	 	 
10082	4	 	 	 	 	 	 
10082	5	0	 	 	 	 	 
10083	1	.0299999993294477	1	0	 	 	 
10083	2	0	 	0	 	 	 
10083	3	0	 	0	 	 	 
10083	4	 	 	0	 	 	 
10083	5	0	 	0	 	 	 
10084	1	0	 	 	 	 	 
10084	2	0	 	 	 	 	 
10084	3	0	 	 	 	 	 
10084	4	 	 	 	 	 	 
10084	5	0	 	 	 	 	 
10085	1	0	 	 	 	 	 
10085	2	0	 	 	 	 	 
10085	3	0	 	 	 	 	 
10085	4	 	 	 	 	 	 
10085	5	0	 	 	 	 	 
10086	1	0	 	 	 	 	 
10086	2	0	 	 	 	 	 
10086	3	0	 	 	 	 	 
10086	4	 	 	 	 	 	 
10086	5	0	 	 	 	 	 
10087	1	0	 	 	 	 	 
10087	2	0	 	 	 	 	 
10087	3	0	 	 	 	 	 
10087	4	 	 	 	 	 	 
10087	5	0	 	 	 	 	 
10088	1	.00999999977648258	1	0	 	 	 
10088	2	0	 	0	 	 	 
10088	3	0	 	0	 	 	 
10088	4	 	 	0	 	 	 
10088	5	0	 	0	 	 	 
10089	1	.0299999993294477	1	0	 	 	 
10089	2	0	 	0	 	 	 
10089	3	0	 	0	 	 	 
10089	4	 	 	0	 	 	 
10089	5	0	 	0	 	 	 
10090	1	0	 	 	 	 	 
10090	2	0	 	 	 	 	 
10090	3	0	 	 	 	 	 
10090	4	 	 	 	 	 	 
10090	5	0	 	 	 	 	 
10091	1	.0399999991059303	1	 	 	 	 
10091	2	0	 	 	 	 	 
10091	3	0	 	 	 	 	 
10091	4	 	 	 	 	 	 
10091	5	0	 	 	 	 	 
10092	1	.00999999977648258	1	 	 	 	 
10092	2	0	 	 	 	 	 
10092	3	0	 	 	 	 	 
10092	4	 	 	 	 	 	 
10092	5	0	 	 	 	 	 
10093	1	.0199999995529652	1	 	 	 	 
10093	2	0	 	 	 	 	 
10093	3	0	 	 	 	 	 
10093	4	 	 	 	 	 	 
10093	5	0	 	 	 	 	 
10094	1	.0299999993294477	1	3	5	11	 
10094	2	0	 	0	 	 	 
10094	3	0	 	0	 	 	 
10094	4	 	 	0	 	 	 
10094	5	0	 	0	 	 	 
10095	1	.0199999995529652	1	0	 	 	 
10095	2	0	 	0	 	 	 
10095	3	0	 	0	 	 	 
10095	4	 	 	0	 	 	 
10095	5	0	 	0	 	 	 
10096	1	0	 	 	 	 	 
10096	2	0	 	 	 	 	 
10096	3	0	 	 	 	 	 
10096	4	 	 	 	 	 	 
10096	5	0	 	 	 	 	 
10097	1	0	 	 	 	 	 
10097	2	0	 	 	 	 	 
10097	3	0	 	 	 	 	 
10097	4	 	 	 	 	 	 
10097	5	0	 	 	 	 	 
10098	1	0	 	 	 	 	 
10098	2	0	 	 	 	 	 
10098	3	0	 	 	 	 	 
10098	4	 	 	 	 	 	 
10098	5	0	 	 	 	 	 
10099	1	.0599999986588955	1	1.08000004291534	5	11	 
10099	2	0	 	0	 	 	 
10099	3	0	 	0	 	 	 
10099	4	 	 	0	 	 	 
10099	5	0	 	0	 	 	 
10100	1	0	 	 	 	 	 
10100	2	0	 	 	 	 	 
10100	3	0	 	 	 	 	 
10100	4	 	 	 	 	 	 
10100	5	0	 	 	 	 	 
20001	1	.0500000007450581	1	0	 	 	 
20001	2	0	 	0	 	 	 
20001	3	0	 	0	 	 	 
20001	4	 	 	0	 	 	 
20001	5	0	 	0	 	 	 
20002	1	.0299999993294477	1	1	5	11	 
20002	2	0	 	0	 	 	 
20002	3	0	 	0	 	 	 
20002	4	 	 	0	 	 	 
20002	5	0	 	0	 	 	 
20003	1	.0299999993294477	1	1	5	5	5
20003	2	0	 	0	 	 	 
20003	3	0	 	0	 	 	 
20003	4	 	 	0	 	 	 
20003	5	0	 	0	 	 	 
20004	1	.0199999995529652	1	3	5	11	 
20004	2	0	 	0	 	 	 
20004	3	0	 	2	5	5	4
20004	4	 	 	0	 	 	 
20004	5	0	 	0	 	 	 
20005	1	.0500000007450581	1	2	5	11	 
20005	2	0	 	0	 	 	 
20005	3	0	 	0	 	 	 
20005	4	 	 	0	 	 	 
20005	5	0	 	0	 	 	 
20006	1	.0500000007450581	1	2	5	11	 
20006	2	0	 	0	 	 	 
20006	3	0	 	0	 	 	 
20006	4	 	 	0	 	 	 
20006	5	0	 	0	 	 	 
20007	1	.0299999993294477	1	2	5	11	 
20007	2	0	 	0	 	 	 
20007	3	0	 	0	 	 	 
20007	4	 	 	0	 	 	 
20007	5	0	 	0	 	 	 
20008	1	.0299999993294477	1	2.5	5	11	 
20008	2	0	 	0	 	 	 
20008	3	0	 	0	 	 	 
20008	4	 	 	0	 	 	 
20008	5	0	 	0	 	 	 
20009	1	.0299999993294477	1	2	5	11	 
20009	2	0	 	0	 	 	 
20009	3	0	 	0	 	 	 
20009	4	 	 	0	 	 	 
20009	5	0	 	0	 	 	 
20010	1	.0299999993294477	1	2	5	11	 
20010	2	0	 	0	 	 	 
20010	3	0	 	0	 	 	 
20010	4	 	 	0	 	 	 
20010	5	0	 	0	 	 	 
20011	1	.0299999993294477	1	4	5	11	 
20011	2	0	 	0	 	 	 
20011	3	0	 	0	 	 	 
20011	4	 	 	0	 	 	 
20011	5	0	 	0	 	 	 
20014	1	.0299999993294477	1	5	5	11	 
20014	2	0	 	0	 	 	 
20014	3	0	 	0	 	 	 
20014	4	 	 	0	 	 	 
20014	5	0	 	0	 	 	 
20015	1	.0299999993294477	1	2.5	5	11	 
20015	2	0	 	0	 	 	 
20015	3	0	 	0	 	 	 
20015	4	 	 	0	 	 	 
20015	5	0	 	0	 	 	 
20016	1	.0500000007450581	1	2	5	11	 
20016	2	0	 	0	 	 	 
20016	3	0	 	0	 	 	 
20016	4	 	 	0	 	 	 
20016	5	0	 	0	 	 	 
20017	1	.0299999993294477	1	0	 	 	 
20017	2	0	 	0	 	 	 
20017	3	0	 	0	 	 	 
20017	4	 	 	0	 	 	 
20017	5	0	 	0	 	 	 
20018	1	.0500000007450581	1	5	5	11	 
20018	2	0	 	0	 	 	 
20018	3	0	 	0	 	 	 
20018	4	 	 	0	 	 	 
20018	5	0	 	0	 	 	 
20019	1	.0299999993294477	1	4	5	11	 
20019	2	0	 	0	 	 	 
20019	3	0	 	0	 	 	 
20019	4	 	 	0	 	 	 
20019	5	0	 	0	 	 	 
20020	1	.0299999993294477	1	0	 	 	 
20020	2	0	 	0	 	 	 
20020	3	0	 	2	5	11	 
20020	4	 	 	0	 	 	 
20020	5	0	 	0	 	 	 
20021	1	.0299999993294477	1	0	 	 	 
20021	2	0	 	0	 	 	 
20021	3	0	 	0	 	 	 
20021	4	 	 	0	 	 	 
20021	5	0	 	0	 	 	 
20022	1	.0500000007450581	1	3	5	11	 
20022	2	0	 	0	 	 	 
20022	3	0	 	3	5	11	 
20022	4	 	 	0	 	 	 
20022	5	0	 	0	 	 	 
20023	1	.0599999986588955	1	10	5	11	 
20023	2	0	 	0	 	 	 
20023	3	0	 	0	 	 	 
20023	4	 	 	0	 	 	 
20023	5	0	 	0	 	 	 
20024	1	.100000001490116	1	5	5	11	 
20024	2	0	 	0	 	 	 
20024	3	0	 	0	 	 	 
20024	4	 	 	0	 	 	 
20024	5	0	 	0	 	 	 
20025	1	.0500000007450581	1	2	5	11	 
20025	2	0	 	0	 	 	 
20025	3	0	 	0	 	 	 
20025	4	 	 	0	 	 	 
20025	5	0	 	0	 	 	 
20026	1	.0199999995529652	1	0	 	 	 
20026	2	0	 	0	 	 	 
20026	3	0	 	0	 	 	 
20026	4	 	 	0	 	 	 
20026	5	0	 	0	 	 	 
20027	1	.0299999993294477	1	0	 	 	 
20027	2	0	 	0	 	 	 
20027	3	0	 	0	 	 	 
20027	4	 	 	0	 	 	 
20027	5	0	 	0	 	 	 
20028	1	.0199999995529652	1	0	 	 	 
20028	2	0	 	0	 	 	 
20028	3	0	 	0	 	 	 
20028	4	 	 	0	 	 	 
20028	5	0	 	0	 	 	 
20029	1	.0199999995529652	1	0	 	 	 
20029	2	0	 	0	 	 	 
20029	3	0	 	0	 	 	 
20029	4	 	 	0	 	 	 
20029	5	0	 	0	 	 	 
20030	1	.0299999993294477	1	1.5	5	11	 
20030	2	0	 	0	 	 	 
20030	3	0	 	0	 	 	 
20030	4	 	 	0	 	 	 
20030	5	0	 	0	 	 	 
20031	1	.0399999991059303	1	5	5	11	 
20031	2	0	 	0	 	 	 
20031	3	0	 	0	 	 	 
20031	4	 	 	0	 	 	 
20031	5	0	 	0	 	 	 
20032	1	.0399999991059303	1	0	 	 	 
20032	2	0	 	0	 	 	 
20032	3	0	 	0	 	 	 
20032	4	 	 	0	 	 	 
20032	5	0	 	0	 	 	 
20033	1	.0199999995529652	1	2	5	11	 
20033	2	0	 	0	 	 	 
20033	3	0	 	0	 	 	 
20033	4	 	 	0	 	 	 
20033	5	0	 	0	 	 	 
20034	1	.0199999995529652	1	0	 	 	 
20034	2	0	 	0	 	 	 
20034	3	0	 	0	 	 	 
20034	4	 	 	0	 	 	 
20034	5	0	 	0	 	 	 
20035	1	.0500000007450581	1	0	 	 	 
20035	2	0	 	0	 	 	 
20035	3	0	 	0	 	 	 
20035	4	 	 	0	 	 	 
20035	5	0	 	0	 	 	 
20036	1	0	 	 	 	 	 
20036	2	0	 	 	 	 	 
20036	3	.0199999995529652	1	 	 	 	 
20036	4	 	 	 	 	 	 
20036	5	0	 	 	 	 	 
20037	1	.0399999991059303	1	0	 	 	 
20037	2	0	 	0	 	 	 
20037	3	0	 	0	 	 	 
20037	4	 	 	0	 	 	 
20037	5	0	 	0	 	 	 
20038	1	.0299999993294477	1	0	 	 	 
20038	2	0	 	0	 	 	 
20038	3	0	 	0	 	 	 
20038	4	 	 	0	 	 	 
20038	5	0	 	0	 	 	 
20039	1	 	 	 	 	 	 
20039	2	 	 	 	 	 	 
20039	3	 	 	 	 	 	 
20039	4	 	 	 	 	 	 
20039	5	 	 	 	 	 	 
20040	1	.0299999993294477	1	0	 	 	 
20040	2	0	 	0	 	 	 
20040	3	0	 	0	 	 	 
20040	4	 	 	0	 	 	 
20040	5	0	 	0	 	 	 
20041	1	.0399999991059303	1	0	 	 	 
20041	2	0	 	0	 	 	 
20041	3	0	 	2	5	11	 
20041	4	 	 	0	 	 	 
20041	5	0	 	0	 	 	 
20042	1	.0399999991059303	1	0	 	 	 
20042	2	0	 	0	 	 	 
20042	3	0	 	0	 	 	 
20042	4	 	 	0	 	 	 
20042	5	0	 	0	 	 	 
20043	1	.100000001490116	1	10	5	11	 
20043	2	0	 	0	 	 	 
20043	3	0	 	25	5	11	 
20043	4	 	 	0	 	 	 
20043	5	0	 	0	 	 	 
20044	1	.0500000007450581	1	3	5	11	 
20044	2	0	 	0	 	 	 
20044	3	0	 	0	 	 	 
20044	4	 	 	0	 	 	 
20044	5	0	 	0	 	 	 
20045	1	.0399999991059303	1	0	 	 	 
20045	2	0	 	0	 	 	 
20045	3	0	 	0	 	 	 
20045	4	 	 	0	 	 	 
20045	5	0	 	0	 	 	 
20046	1	.0199999995529652	1	0	 	 	 
20046	2	0	 	0	 	 	 
20046	3	0	 	0	 	 	 
20046	4	 	 	0	 	 	 
20046	5	0	 	0	 	 	 
20047	1	.0399999991059303	1	0	 	 	 
20047	2	0	 	0	 	 	 
20047	3	0	 	0	 	 	 
20047	4	 	 	0	 	 	 
20047	5	0	 	0	 	 	 
20048	1	.0199999995529652	1	0	 	 	 
20048	2	0	 	0	 	 	 
20048	3	0	 	0	 	 	 
20048	4	 	 	0	 	 	 
20048	5	0	 	0	 	 	 
20049	1	.0500000007450581	1	10	5	11	 
20049	2	0	 	0	 	 	 
20049	3	.5	7	0	 	 	 
20049	4	 	 	0	 	 	 
20049	5	0	 	0	 	 	 
20050	1	.0500000007450581	1	1	5	11	 
20050	2	0	 	0	 	 	 
20050	3	0	 	0	 	 	 
20050	4	 	 	0	 	 	 
20050	5	0	 	0	 	 	 
20051	1	.0399999991059303	1	4	5	11	 
20051	2	0	 	0	 	 	 
20051	3	0	 	0	 	 	 
20051	4	 	 	0	 	 	 
20051	5	0	 	0	 	 	 
20052	1	.0299999993294477	1	0	 	 	 
20052	2	0	 	0	 	 	 
20052	3	0	 	0	 	 	 
20052	4	 	 	0	 	 	 
20052	5	0	 	0	 	 	 
20053	1	.0399999991059303	1	4	5	11	 
20053	2	0	 	0	 	 	 
20053	3	0	 	0	 	 	 
20053	4	 	 	0	 	 	 
20053	5	0	 	0	 	 	 
20054	1	.200000002980232	1	0	 	 	 
20054	2	0	 	0	 	 	 
20054	3	0	 	2	5	11	 
20054	4	 	 	0	 	 	 
20054	5	0	 	0	 	 	 
20055	1	.0299999993294477	1	0	 	 	 
20055	2	0	 	0	 	 	 
20055	3	0	 	0	 	 	 
20055	4	 	 	0	 	 	 
20055	5	0	 	0	 	 	 
20056	1	.0299999993294477	1	8	5	11	 
20056	2	0	 	0	 	 	 
20056	3	0	 	0	 	 	 
20056	4	 	 	0	 	 	 
20056	5	0	 	0	 	 	 
20057	1	.0500000007450581	1	2	5	11	 
20057	2	0	 	0	 	 	 
20057	3	0	 	0	 	 	 
20057	4	 	 	0	 	 	 
20057	5	0	 	0	 	 	 
20058	1	.0399999991059303	1	0	 	 	 
20058	2	0	 	0	 	 	 
20058	3	0	 	0	 	 	 
20058	4	 	 	0	 	 	 
20058	5	0	 	0	 	 	 
20059	1	.150000005960464	1	0	 	 	 
20059	2	0	 	0	 	 	 
20059	3	0	 	.5	5	11	 
20059	4	 	 	0	 	 	 
20059	5	0	 	0	 	 	 
20060	1	.0199999995529652	1	0	 	 	 
20060	2	0	 	0	 	 	 
20060	3	0	 	0	 	 	 
20060	4	 	 	0	 	 	 
20060	5	0	 	0	 	 	 
20061	1	.0399999991059303	1	3	5	11	 
20061	2	0	 	0	 	 	 
20061	3	0	 	0	 	 	 
20061	4	 	 	0	 	 	 
20061	5	0	 	0	 	 	 
