CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
11001	3	0	 
11001	4	1	1
11001	5	1	1
11001	6	0	 
11001	7	0	 
11001	8	0	 
11001	9	0	 
11001	10	1	4
11001	11	1	1
11001	12	1	1
11001	15	0	 
11001	20	0	 
11001	21	0	 
11001	22	1	1
11001	23	1	1
11001	24	1	1
11001	25	1	1
11001	26	0	 
11001	27	0	 
11001	28	0	 
11001	29	0	 
11001	30	0	 
11001	31	0	 
11002	3	0	 
11002	4	1	1
11002	5	0	 
11002	6	0	 
11002	7	1	1
11002	8	0	 
11002	9	0	 
11002	10	1	2
11002	11	1	2
11002	12	1	2
11002	15	0	 
11002	20	0	 
11002	21	1	1
11002	22	1	1
11002	23	1	1
11002	24	0	 
11002	25	0	 
11002	26	0	 
11002	27	0	 
11002	28	0	 
11002	29	0	 
11002	30	0	 
11002	31	0	 
11003	3	0	 
11003	4	1	2
11003	5	0	 
11003	6	0	 
11003	7	1	1
11003	8	0	 
11003	9	0	 
11003	10	1	3
11003	11	1	1
11003	12	1	1
11003	15	0	 
11003	20	0	 
11003	21	0	 
11003	22	1	1
11003	23	1	1
11003	24	1	1
11003	25	0	 
11003	26	1	1
11003	27	0	 
11003	28	0	 
11003	29	0	 
11003	30	0	 
11003	31	0	 
11004	3	1	1
11004	4	1	1
11004	5	0	 
11004	6	0	 
11004	7	0	 
11004	8	0	 
11004	9	0	 
11004	10	1	3
11004	11	0	 
11004	12	1	2
11004	15	0	 
11004	20	0	 
11004	21	1	1
11004	22	1	1
11004	23	1	1
11004	24	0	 
11004	25	0	 
11004	26	1	1
11004	27	0	 
11004	28	0	 
11004	29	0	 
11004	30	0	 
11004	31	0	 
11005	3	0	 
11005	4	1	1
11005	5	1	1
11005	6	0	 
11005	7	0	 
11005	8	0	 
11005	9	0	 
11005	10	1	3
11005	11	1	1
11005	12	1	1
11005	15	1	1
11005	20	0	 
11005	21	0	 
11005	22	1	1
11005	23	1	1
11005	24	1	1
11005	25	1	1
11005	26	0	 
11005	27	0	 
11005	28	0	 
11005	29	0	 
11005	30	0	 
11005	31	0	 
11006	3	0	 
11006	4	1	1
11006	5	0	 
11006	6	0	 
11006	7	0	 
11006	8	0	 
11006	9	0	 
11006	10	1	2
11006	11	0	 
11006	12	1	1
11006	15	0	 
11006	20	0	 
11006	21	0	 
11006	22	1	1
11006	23	0	 
11006	24	1	1
11006	25	0	 
11006	26	0	 
11006	27	0	 
11006	28	0	 
11006	29	0	 
11006	30	0	 
11006	31	0	 
11007	3	1	1
11007	4	1	1
11007	5	0	 
11007	6	0	 
11007	7	0	 
11007	8	0	 
