CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	SMESCHR4	PROVR4	SITER4	SCHNMER4
11001	0	0	 	 	 	 	 
11001	1	1	3	0	1	1	94
11001	2	2	3	1	1	1	94
11001	3	3	3	1	1	1	94
11001	4	4	3	1	1	1	94
11001	5	5	3	1	1	1	94
11001	6	6	3	0	1	1	141
11001	7	7	3	1	1	1	141
11001	8	8	3	1	1	1	141
11001	9	9	3	1	1	1	141
11001	10	10	3	0	1	1	182
11001	11	11	3	1	1	1	182
11001	12	12	3	1	1	1	182
11002	0	1	3	0	1	1	94
11002	1	2	3	1	1	1	94
11002	2	3	3	1	1	1	94
11002	3	4	3	1	1	1	94
11002	4	5	3	1	1	1	94
11002	5	6	3	0	1	1	141
11002	6	6	3	1	1	1	141
11002	7	7	3	1	1	1	141
11002	8	8	3	1	1	1	141
11002	9	9	3	1	1	1	141
11002	10	10	3	0	1	98	191
11002	11	11	3	1	1	98	191
11002	12	12	3	1	1	98	191
11003	0	50	3	1	 	 	 
11003	1	50	3	0	1	1	724
11003	2	1	3	0	1	1	91
11003	3	2	3	1	1	1	91
11003	4	3	3	1	1	1	91
11003	5	4	3	1	1	1	91
11003	6	5	3	1	1	1	91
11003	7	6	3	0	1	1	141
11003	8	7	3	1	1	1	141
11003	9	0	 	 	 	 	 
11003	10	0	 	 	 	 	 
11003	11	0	 	 	 	 	 
11003	12	0	 	 	 	 	 
11004	0	1	3	0	1	1	94
11004	1	2	3	1	1	1	94
11004	2	3	3	1	1	1	94
11004	3	4	3	1	1	1	94
11004	4	5	3	1	1	1	94
11004	5	6	3	0	1	1	141
11004	6	7	3	1	1	1	141
11004	7	8	3	1	1	1	141
11004	8	9	3	1	1	1	141
11004	9	10	3	0	1	1	189
11004	10	11	3	1	1	1	189
11004	11	12	3	1	1	1	189
11004	12	0	 	 	 	 	 
11005	0	1	3	0	1	1	94
11005	1	 	 	 	 	 	 
11005	2	 	 	 	 	 	 
11005	3	 	 	 	 	 	 
11005	4	 	 	 	 	 	 
11005	5	6	3	0	1	1	141
11005	6	 	 	 	 	 	 
11005	7	 	 	 	 	 	 
11005	8	 	 	 	 	 	 
11005	9	9	3	0	1	1	191
11005	10	 	 	 	 	 	 
11005	11	 	 	 	 	 	 
11005	12	24	3	0	98	98	334
11006	0	1	3	0	1	1	94
11006	1	2	3	1	1	1	94
11006	2	3	3	1	1	1	94
11006	3	4	3	1	1	1	94
11006	4	5	3	1	1	1	94
11006	5	6	3	0	1	1	141
11006	6	7	3	1	1	1	141
11006	7	8	3	1	1	1	141
11006	8	9	3	1	1	1	141
11006	9	10	3	0	1	98	182
11006	10	11	3	1	1	98	182
11006	11	12	3	1	1	98	182
11006	12	29	3	0	1	98	202
11007	0	1	3	0	1	1	92
11007	1	2	3	1	1	1	92
11007	2	3	3	1	1	1	92
11007	3	4	3	1	1	1	92
11007	4	5	3	1	1	1	92
11007	5	6	3	0	1	1	141
11007	6	7	3	1	1	1	141
11007	7	8	3	1	1	1	141
11007	8	9	3	1	1	1	141
11007	9	0	 	 	 	 	 
11007	10	0	 	 	 	 	 
11007	11	0	 	 	 	 	 
11007	12	0	 	 	 	 	 
11008	0	1	3	0	1	1	92
11008	1	2	3	1	1	1	92
11008	2	3	3	1	1	1	92
11008	3	4	3	1	1	1	92
11008	4	5	3	1	1	1	92
11008	5	6	3	0	1	1	141
11008	6	7	3	1	1	1	141
11008	7	8	3	1	1	1	141
11008	8	9	3	1	1	1	141
11008	9	10	3	0	1	1	182
11008	10	11	3	1	1	1	182
11008	11	12	3	1	1	1	182
11008	12	0	 	 	 	 	 
11009	0	50	3	0	1	1	724
11009	1	1	3	0	1	1	91
11009	2	2	3	1	1	1	91
11009	3	3	3	1	1	1	91
11009	4	4	3	1	1	1	91
11009	5	5	3	1	1	1	91
11009	6	6	3	0	1	1	141
11009	7	7	3	1	1	1	141
11009	8	8	3	1	1	1	141
11009	9	9	3	1	1	1	141
11009	10	14	3	0	1	98	200
11009	11	16	8	1	1	98	200
11009	12	0	 	 	 	 	 
11010	0	1	3	0	1	1	92
11010	1	2	3	1	1	1	92
11010	2	3	3	1	1	1	92
11010	3	4	3	1	1	1	92
11010	4	5	3	1	1	1	92
11010	5	6	3	0	1	1	141
11010	6	7	3	1	1	1	141
11010	7	8	3	1	1	1	141
11010	8	9	3	1	1	1	141
11010	9	0	 	 	 	 	 
11010	10	0	 	 	 	 	 
11010	11	0	 	 	 	 	 
11010	12	0	 	 	 	 	 
11011	0	50	3	1	 	 	 
11011	1	1	3	0	1	1	93
11011	2	2	3	1	1	1	93
11011	3	3	3	1	1	1	93
11011	4	4	3	1	1	1	93
11011	5	5	3	1	1	1	93
11011	6	6	3	0	1	1	141
11011	7	7	3	1	1	1	141
11011	8	8	3	1	1	1	141
11011	9	9	3	1	1	1	141
11011	10	10	3	0	1	1	189
11011	11	11	3	1	1	1	189
11011	12	12	3	1	1	1	189
11015	0	1	3	0	1	1	91
11015	1	2	3	1	1	1	91
11015	2	3	3	1	1	1	91
11015	3	4	3	1	1	1	91
11015	4	5	3	1	1	1	91
11015	5	6	3	0	1	1	141
11015	6	7	3	1	1	1	141
11015	7	8	3	1	1	1	141
11015	8	9	3	1	1	1	141
11015	9	10	3	0	1	1	141
11015	10	11	3	1	1	1	141
11015	11	12	3	1	1	1	141
11015	12	29	3	0	98	98	301
11016	0	1	3	0	1	1	93
11016	1	2	3	1	1	1	93
11016	2	3	3	1	1	1	93
11016	3	4	3	1	1	1	93
11016	4	5	3	1	1	1	93
11016	5	6	3	0	1	1	141
11016	6	7	3	1	1	1	141
11016	7	8	3	1	1	1	141
11016	8	9	3	1	1	1	141
11016	9	10	3	0	1	1	189
11016	10	11	3	1	1	1	189
11016	11	12	3	1	1	1	189
11016	12	24	3	0	98	98	337
11018	0	50	3	0	1	1	724
11018	1	50	3	1	1	1	724
