CHILDCODE	HHDCIDR4	MADDECR4	WHOPRVR4
11001	1	1	3
11001	2	1	3
11001	3	1	1
11001	4	1	3
11001	5	1	3
11001	6	1	3
11001	7	1	3
11001	8	1	3
11002	1	1	3
11002	2	1	3
11002	3	1	1
11002	4	1	3
11002	5	1	3
11002	6	1	3
11002	7	1	3
11002	8	1	1
11003	1	1	1
11003	2	1	7
11003	3	1	7
11003	4	1	7
11003	5	1	7
11003	6	1	1
11003	7	1	6
11003	8	1	3
11004	1	1	1
11004	2	1	3
11004	3	1	7
11004	4	1	7
11004	5	1	7
11004	6	1	8
11004	7	1	3
11004	8	1	8
11005	1	1	7
11005	2	1	3
11005	3	1	7
11005	4	1	7
11005	5	1	3
11005	6	1	7
11005	7	1	7
11005	8	1	7
11006	1	1	1
11006	2	1	3
11006	3	1	7
11006	4	1	3
11006	5	1	7
11006	6	1	7
11006	7	1	7
11006	8	1	7
11007	1	1	3
11007	2	1	3
11007	3	1	1
11007	4	1	1
11007	5	1	1
11007	6	1	3
11007	7	1	3
11007	8	1	3
11008	1	1	1
11008	2	1	3
11008	3	1	3
11008	4	1	3
11008	5	1	3
11008	6	1	3
11008	7	1	3
11008	8	0	3
11009	1	1	1
11009	2	1	1
11009	3	1	1
11009	4	1	1
11009	5	1	1
11009	6	1	1
11009	7	1	1
11009	8	1	1
11010	1	1	1
11010	2	1	3
11010	3	1	8
11010	4	1	3
11010	5	1	1
11010	6	1	8
11010	7	1	8
11010	8	1	8
11011	1	1	1
11011	2	1	3
11011	3	1	7
11011	4	1	3
11011	5	1	7
11011	6	1	7
11011	7	1	7
11011	8	1	7
11015	1	1	8
11015	2	1	8
11015	3	1	8
11015	4	1	8
11015	5	1	7
11015	6	1	8
11015	7	1	8
11015	8	1	8
11016	1	1	1
11016	2	1	3
11016	3	1	7
11016	4	1	1
11016	5	1	7
11016	6	1	7
11016	7	1	7
11016	8	1	7
11018	1	1	1
11018	2	1	3
11018	3	1	3
11018	4	1	3
11018	5	1	1
11018	6	1	3
11018	7	1	3
11018	8	1	3
11019	1	1	8
11019	2	1	8
11019	3	1	8
11019	4	1	8
11019	5	1	8
11019	6	1	8
11019	7	1	8
11019	8	1	8
11020	1	1	1
11020	2	1	3
11020	3	1	3
11020	4	1	3
11020	5	1	1
11020	6	1	3
11020	7	1	3
11020	8	1	3
11021	1	1	1
11021	2	1	3
11021	3	1	3
11021	4	1	3
11021	5	1	3
11021	6	1	3
11021	7	1	3
11021	8	1	3
11022	1	1	7
11022	2	1	3
11022	3	1	3
11022	4	1	3
11022	5	1	7
11022	6	1	7
11022	7	1	3
11022	8	0	79
11024	1	1	1
11024	2	1	3
11024	3	1	8
11024	4	1	1
11024	5	1	1
11024	6	1	8
11024	7	1	3
11024	8	1	1
11025	1	1	1
11025	2	1	3
11025	3	1	1
11025	4	1	3
11025	5	1	3
11025	6	1	3
11025	7	1	3
11025	8	1	3
11028	1	0	3
11028	2	0	3
11028	3	0	3
11028	4	0	3
11028	5	0	3
11028	6	0	3
11028	7	0	3
11028	8	0	3
11029	1	1	1
11029	2	1	3
11029	3	1	3
11029	4	1	3
11029	5	1	3
11029	6	1	3
11029	7	1	3
11029	8	0	3
11030	1	1	1
11030	2	1	3
11030	3	1	7
11030	4	1	3
11030	5	1	7
11030	6	1	3
11030	7	1	3
11030	8	1	7
11031	1	1	1
11031	2	1	3
11031	3	1	1
11031	4	1	1
11031	5	1	2
11031	6	1	8
11031	7	1	7
11031	8	1	1
11032	1	1	8
11032	2	1	8
11032	3	1	8
11032	4	1	8
11032	5	1	8
11032	6	1	8
11032	7	1	8
11032	8	1	8
11033	1	1	1
11033	2	1	3
11033	3	1	1
11033	4	1	1
11033	5	1	1
11033	6	1	1
11033	7	1	1
11033	8	1	1
11034	1	1	7
11034	2	1	8
11034	3	1	8
11034	4	1	8
11034	5	1	8
11034	6	1	7
11034	7	1	8
11034	8	1	8
11035	1	1	1
11035	2	1	3
11035	3	1	3
11035	4	1	3
11035	5	1	1
11035	6	1	3
11035	7	1	3
11035	8	1	1
11037	1	1	8
11037	2	1	1
11037	3	1	7
11037	4	1	8
11037	5	1	7
11037	6	1	7
11037	7	1	7
11037	8	1	7
11038	1	1	7
11038	2	1	3
11038	3	1	3
11038	4	1	3
11038	5	1	3
11038	6	1	3
11038	7	1	1
11038	8	1	7
11039	1	1	1
11039	2	1	3
11039	3	1	1
11039	4	1	3
11039	5	1	1
11039	6	1	3
11039	7	1	1
11039	8	1	3
11040	1	1	1
11040	2	1	3
11040	3	1	3
11040	4	1	3
11040	5	1	1
11040	6	1	3
11040	7	1	3
11040	8	0	77
11041	1	1	1
11041	2	1	2
11041	3	1	2
11041	4	1	8
11041	5	1	1
11041	6	1	1
11041	7	1	8
11041	8	1	8
11042	1	1	1
11042	2	1	1
11042	3	1	1
11042	4	1	1
11042	5	1	1
11042	6	1	1
11042	7	1	1
11042	8	1	1
11043	1	1	7
11043	2	1	7
11043	3	1	3
11043	4	1	3
11043	5	1	7
11043	6	1	7
11043	7	1	7
11043	8	1	7
11044	1	1	3
11044	2	1	3
11044	3	1	3
11044	4	1	3
11044	5	1	3
11044	6	1	3
11044	7	1	3
11044	8	1	3
11048	1	1	1
11048	2	1	3
11048	3	1	1
11048	4	1	1
11048	5	1	1
11048	6	1	1
11048	7	1	1
11048	8	1	1
11050	1	1	1
11050	2	1	3
11050	3	1	3
11050	4	1	3
11050	5	1	1
11050	6	1	3
11050	7	1	3
11050	8	1	3
11052	1	0	1
11052	2	1	3
11052	3	1	3
11052	4	1	3
11052	5	0	1
11052	6	1	1
11052	7	1	3
11052	8	1	3
11061	1	1	1
11061	2	1	3
11061	3	1	3
11061	4	1	3
11061	5	1	3
11061	6	1	3
11061	7	1	1
11061	8	1	3
11063	1	1	3
11063	2	1	3
11063	3	1	3
11063	4	1	3
11063	5	1	7
11063	6	1	3
11063	7	1	7
11063	8	1	3
11069	1	1	1
11069	2	1	3
11069	3	1	7
11069	4	1	7
11069	5	1	1
11069	6	1	3
11069	7	1	7
11069	8	1	7
11074	1	1	7
11074	2	1	3
11074	3	1	3
11074	4	1	3
11074	5	1	3
11074	6	1	7
11074	7	1	1
11074	8	1	1
11088	1	1	1
11088	2	1	3
11088	3	1	3
11088	4	1	3
11088	5	1	3
11088	6	1	8
11088	7	1	3
11088	8	1	8
21002	1	1	8
21002	2	1	8
21002	3	1	8
21002	4	1	8
21002	5	1	8
21002	6	1	8
21002	7	1	8
21002	8	1	8
21004	1	1	1
21004	2	1	3
21004	3	1	3
21004	4	1	3
21004	5	1	3
21004	6	1	3
21004	7	1	3
21004	8	0	5
21005	1	1	1
21005	2	1	3
21005	3	1	3
21005	4	1	3
21005	5	1	3
21005	6	1	3
21005	7	1	3
21005	8	1	3
21007	1	1	1
21007	2	1	3
21007	3	1	7
21007	4	1	7
21007	5	1	1
21007	6	1	3
21007	7	1	3
21007	8	1	7
21008	1	1	7
21008	2	1	7
21008	3	1	7
21008	4	1	7
21008	5	1	7
21008	6	1	7
21008	7	1	7
21008	8	1	7
21009	1	1	1
21009	2	1	3
21009	3	1	7
21009	4	1	3
21009	5	1	3
21009	6	1	3
21009	7	1	3
21009	8	1	3
21011	1	1	1
21011	2	1	3
21011	3	1	7
21011	4	1	1
21011	5	1	1
21011	6	1	7
21011	7	1	3
21011	8	1	7
21012	1	1	1
21012	2	1	4
21012	3	1	7
21012	4	1	8
21012	5	1	6
21012	6	1	4
21012	7	1	4
21012	8	1	8
21013	1	1	3
21013	2	1	3
21013	3	1	3
21013	4	1	3
21013	5	1	1
21013	6	1	3
21013	7	1	4
21013	8	1	4
21014	1	1	1
21014	2	1	1
21014	3	1	1
21014	4	1	1
21014	5	1	1
21014	6	1	1
21014	7	1	1
21014	8	1	1
21015	1	1	1
21015	2	1	3
21015	3	1	3
21015	4	1	3
21015	5	1	7
21015	6	1	3
21015	7	1	3
21015	8	1	3
21017	1	1	1
21017	2	1	3
21017	3	1	7
21017	4	1	3
21017	5	1	3
21017	6	1	3
21017	7	1	3
21017	8	1	1
21018	1	1	1
21018	2	1	4
21018	3	1	8
21018	4	1	8
21018	5	1	1
21018	6	1	8
21018	7	1	4
21018	8	1	8
21020	1	1	1
21020	2	1	3
21020	3	1	3
21020	4	1	3
21020	5	1	1
21020	6	1	3
21020	7	1	7
21020	8	1	1
21022	1	1	1
21022	2	1	4
21022	3	1	3
21022	4	1	3
21022	5	1	1
21022	6	1	3
21022	7	1	4
21022	8	1	3
21023	1	1	1
21023	2	1	3
21023	3	1	3
21023	4	1	3
21023	5	1	3
21023	6	1	3
21023	7	1	4
21023	8	1	4
21024	1	1	1
21024	2	1	3
21024	3	1	3
21024	4	1	3
21024	5	1	3
21024	6	1	3
21024	7	1	3
21024	8	1	1
21025	1	1	1
21025	2	0	3
21025	3	1	1
21025	4	1	1
21025	5	1	1
21025	6	1	1
21025	7	1	1
21025	8	1	1
21026	1	1	7
21026	2	1	3
21026	3	1	7
21026	4	1	7
21026	5	1	1
21026	6	1	3
21026	7	1	3
21026	8	1	7
21027	1	1	1
21027	2	1	1
21027	3	1	1
21027	4	1	1
21027	5	1	1
21027	6	1	1
21027	7	1	1
21027	8	1	1
21029	1	1	1
21029	2	1	3
21029	3	1	4
21029	4	1	3
21029	5	1	1
21029	6	1	3
21029	7	1	3
21029	8	1	4
21030	1	1	1
21030	2	1	3
21030	3	1	3
21030	4	1	3
21030	5	1	1
21030	6	1	8
21030	7	1	3
21030	8	1	3
21031	1	1	1
21031	2	1	3
21031	3	1	7
21031	4	1	7
21031	5	1	1
21031	6	1	8
21031	7	1	7
21031	8	1	8
21032	1	1	1
21032	2	1	1
21032	3	1	1
21032	4	1	1
21032	5	1	1
21032	6	1	1
21032	7	1	1
21032	8	1	1
21034	1	1	1
21034	2	1	3
21034	3	1	3
21034	4	1	3
21034	5	1	1
21034	6	1	3
21034	7	1	3
21034	8	1	3
21036	1	1	7
21036	2	1	3
21036	3	1	7
21036	4	1	7
21036	5	1	7
21036	6	1	7
21036	7	1	7
21036	8	1	7
21038	1	1	1
21038	2	1	3
21038	3	1	3
21038	4	1	3
21038	5	1	1
21038	6	1	3
21038	7	1	7
21038	8	1	1
21039	1	1	1
21039	2	1	4
21039	3	1	3
21039	4	1	3
21039	5	1	1
21039	6	1	3
21039	7	1	4
21039	8	1	4
21041	1	1	7
21041	2	1	7
21041	3	1	7
21041	4	1	7
21041	5	1	7
21041	6	1	7
21041	7	1	7
21041	8	1	7
21044	1	1	7
21044	2	1	8
21044	3	1	8
21044	4	1	8
21044	5	1	8
21044	6	1	8
21044	7	1	8
21044	8	1	8
21046	1	1	1
21046	2	1	3
21046	3	1	3
21046	4	1	3
21046	5	1	1
21046	6	1	3
21046	7	1	3
21046	8	1	4
21047	1	1	1
21047	2	1	3
21047	3	1	1
21047	4	1	1
21047	5	1	1
21047	6	1	1
21047	7	1	1
21047	8	1	3
21049	1	1	1
21049	2	1	3
21049	3	1	7
21049	4	1	7
21049	5	1	1
21049	6	1	7
21049	7	1	3
21049	8	1	7
21056	1	1	1
21056	2	1	3
21056	3	1	1
21056	4	1	1
21056	5	1	3
21056	6	1	4
21056	7	1	1
21056	8	1	1
21069	1	1	7
21069	2	1	7
21069	3	1	7
21069	4	1	7
21069	5	1	7
21069	6	1	7
21069	7	1	7
21069	8	1	7
21072	1	1	1
21072	2	0	3
21072	3	1	7
21072	4	1	7
21072	5	1	7
21072	6	1	7
21072	7	1	7
21072	8	1	7
21083	1	1	1
21083	2	1	3
21083	3	1	3
21083	4	1	3
21083	5	1	1
21083	6	1	4
21083	7	1	4
21083	8	1	4
21090	1	1	1
21090	2	1	3
21090	3	1	1
21090	4	0	3
21090	5	1	1
21090	6	1	3
21090	7	1	1
21090	8	0	77
21094	1	1	1
21094	2	1	3
21094	3	1	3
21094	4	1	3
21094	5	1	1
21094	6	1	3
21094	7	1	3
21094	8	1	3
31001	1	1	7
31001	2	1	3
31001	3	1	7
31001	4	1	3
31001	5	1	7
31001	6	1	3
31001	7	1	7
31001	8	1	7
31002	1	1	3
31002	2	1	3
31002	3	1	3
