CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
11001	1	4	4
11001	2	1	1
11001	3	1	1
11001	4	7	7
11001	5	4	4
11001	6	5	5
11001	7	2	2
11001	8	3	3
11001	9	1	1
11001	10	1	1
11001	11	3	3
11002	1	5	5
11002	2	3	3
11002	3	5	5
11002	4	5	5
11002	5	3	3
11002	6	6	6
11002	7	3	3
11002	8	8	8
11002	9	5	5
11002	10	4	4
11002	11	4	4
11003	1	4	5
11003	2	4	3
11003	3	4	4
11003	4	4	4
11003	5	4	6
11003	6	4	6
11003	7	3	4
11003	8	3	5
11003	9	4	4
11003	10	4	4
11003	11	4	4
11004	1	5	4
11004	2	4	2
11004	3	6	4
11004	4	8	7
11004	5	6	4
11004	6	7	5
11004	7	4	2
11004	8	5	5
11004	9	6	5
11004	10	5	4
11004	11	6	5
11005	1	8	8
11005	2	5	5
11005	3	5	6
11005	4	3	3
11005	5	6	5
11005	6	7	8
11005	7	8	8
11005	8	9	8
11005	9	8	5
11005	10	5	5
11005	11	9	9
11006	1	7	6
11006	2	6	6
11006	3	7	5
11006	4	5	5
11006	5	8	6
11006	6	7	5
11006	7	5	5
11006	8	6	5
11006	9	4	4
11006	10	5	5
11006	11	7	6
11007	1	1	4
11007	2	3	3
11007	3	3	3
11007	4	4	4
11007	5	4	4
11007	6	2	5
11007	7	1	1
11007	8	2	2
11007	9	5	5
11007	10	5	5
11007	11	4	4
11008	1	3	4
11008	2	3	3
11008	3	5	4
11008	4	2	2
11008	5	5	4
11008	6	7	6
11008	7	6	5
11008	8	4	3
11008	9	3	3
11008	10	4	4
11008	11	4	4
11009	1	3	3
11009	2	5	3
11009	3	4	2
11009	4	4	3
11009	5	3	3
11009	6	3	3
11009	7	2	3
11009	8	2	3
11009	9	2	2
11009	10	1	3
11009	11	4	4
11010	1	7	5
11010	2	1	1
11010	3	6	5
11010	4	6	5
11010	5	5	5
11010	6	6	6
11010	7	8	8
11010	8	9	9
11010	9	5	5
11010	10	5	5
11010	11	9	9
11011	1	7	8
11011	2	3	6
11011	3	3	3
11011	4	5	5
11011	5	6	4
11011	6	5	3
11011	7	2	2
11011	8	4	3
11011	9	6	6
11011	10	6	6
11011	11	7	7
11015	1	5	4
11015	2	6	3
11015	3	2	2
11015	4	7	6
11015	5	6	5
11015	6	4	6
11015	7	5	5
11015	8	6	6
11015	9	4	4
11015	10	3	3
11015	11	5	5
11016	1	6	6
11016	2	6	5
11016	3	5	5
11016	4	7	6
11016	5	7	8
11016	6	7	8
11016	7	1	3
11016	8	5	5
11016	9	1	2
11016	10	1	2
11016	11	6	7
11018	1	1	1
11018	2	1	1
11018	3	1	1
11018	4	2	2
11018	5	1	1
11018	6	-77	-77
11018	7	1	1
11018	8	1	1
11018	9	-77	-77
11018	10	-77	-77
11018	11	1	1
11019	1	8	7
11019	2	7	5
11019	3	5	5
11019	4	7	6
11019	5	6	6
11019	6	6	6
11019	7	7	6
11019	8	6	6
11019	9	7	6
11019	10	6	6
11019	11	5	5
11020	1	4	5
11020	2	5	3
11020	3	6	3
11020	4	5	3
11020	5	5	3
11020	6	6	3
11020	7	2	4
11020	8	3	4
11020	9	1	1
11020	10	1	1
11020	11	3	5
11021	1	6	5
11021	2	5	4
11021	3	5	4
11021	4	4	4
11021	5	5	4
11021	6	5	4
11021	7	5	5
11021	8	5	4
11021	9	4	4
11021	10	5	5
11021	11	6	4
11022	1	4	4
11022	2	3	3
11022	3	2	1
11022	4	5	4
11022	5	3	4
11022	6	4	4
11022	7	1	1
11022	8	2	2
11022	9	4	3
11022	10	1	1
11022	11	3	3
11024	1	3	2
11024	2	2	7
11024	3	4	3
11024	4	5	5
11024	5	5	5
11024	6	6	5
11024	7	3	2
11024	8	5	4
11024	9	7	7
11024	10	5	4
11024	11	5	5
11025	1	5	5
11025	2	3	3
11025	3	3	3
11025	4	2	2
11025	5	6	6
11025	6	5	5
11025	7	7	7
11025	8	7	7
11025	9	4	4
11025	10	4	4
11025	11	7	7
11028	1	6	6
11028	2	4	4
11028	3	4	4
11028	4	4	5
11028	5	4	4
11028	6	5	4
11028	7	5	5
11028	8	4	5
11028	9	2	3
11028	10	3	3
11028	11	4	5
11029	1	5	6
11029	2	5	6
11029	3	4	4
11029	4	5	4
11029	5	3	3
11029	6	5	5
11029	7	5	5
11029	8	5	4
11029	9	2	2
11029	10	2	3
11029	11	6	6
11030	1	7	6
11030	2	5	4
11030	3	4	3
11030	4	8	5
11030	5	5	5
11030	6	6	6
11030	7	4	7
11030	8	6	6
11030	9	5	5
11030	10	5	5
11030	11	6	6
11031	1	5	4
11031	2	4	4
11031	3	3	3
11031	4	3	4
11031	5	4	4
11031	6	6	5
11031	7	6	3
11031	8	7	5
11031	9	1	2
11031	10	1	1
11031	11	5	5
11032	1	1	1
11032	2	7	3
11032	3	5	2
11032	4	4	4
11032	5	4	4
11032	6	5	5
11032	7	5	5
11032	8	4	4
11032	9	3	3
11032	10	3	3
11032	11	5	5
11033	1	6	4
11033	2	7	5
11033	3	5	3
11033	4	7	3
11033	5	8	4
11033	6	6	7
11033	7	4	7
11033	8	4	3
11033	9	5	4
11033	10	2	1
11033	11	7	5
11034	1	6	4
11034	2	7	4
11034	3	4	5
11034	4	6	6
11034	5	6	6
11034	6	5	5
11034	7	4	7
11034	8	6	6
11034	9	5	5
11034	10	5	5
11034	11	5	5
11035	1	5	5
11035	2	5	5
11035	3	4	4
11035	4	4	4
11035	5	5	5
11035	6	6	6
11035	7	4	4
11035	8	7	7
11035	9	1	1
11035	10	3	3
11035	11	5	5
11037	1	7	4
11037	2	5	5
11037	3	4	4
11037	4	6	6
11037	5	5	5
11037	6	5	5
11037	7	4	5
11037	8	5	5
11037	9	3	3
11037	10	4	4
11037	11	4	5
11038	1	5	2
11038	2	3	2
11038	3	2	2
11038	4	5	4
11038	5	2	2
11038	6	5	3
