CHILDCODE	SHCKIDR4	EVNTR4	EV2009R4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
11001	1	0	 	 	 	 	 
11001	2	0	 	 	 	 	 
11001	3	0	 	 	 	 	 
11001	4	0	 	 	 	 	 
11001	5	0	 	 	 	 	 
11001	6	0	 	 	 	 	 
11001	7	0	 	 	 	 	 
11001	8	0	 	 	 	 	 
11001	10	0	 	 	 	 	 
11001	11	0	 	 	 	 	 
11001	12	0	 	 	 	 	 
11001	13	0	 	 	 	 	 
11001	14	0	 	 	 	 	 
11001	15	0	 	 	 	 	 
11001	17	0	 	 	 	 	 
11001	18	0	 	 	 	 	 
11001	19	0	 	 	 	 	 
11001	20	0	 	 	 	 	 
11001	24	0	 	 	 	 	 
11001	25	0	 	 	 	 	 
11001	26	0	 	 	 	 	 
11001	27	0	 	 	 	 	 
11001	28	0	 	 	 	 	 
11001	29	0	 	 	 	 	 
11001	30	0	 	 	 	 	 
11001	31	0	 	 	 	 	 
11001	32	0	 	 	 	 	 
11001	33	0	 	 	 	 	 
11001	34	0	 	 	 	 	 
11001	35	0	 	 	 	 	 
11001	36	0	 	 	 	 	 
11001	37	0	 	 	 	 	 
11001	38	0	 	 	 	 	 
11001	39	0	 	 	 	 	 
11001	40	0	 	 	 	 	 
11001	41	0	 	 	 	 	 
11001	42	0	 	 	 	 	 
11001	45	0	 	 	 	 	 
11001	46	0	 	 	 	 	 
11001	50	0	 	 	 	 	 
11001	51	0	 	 	 	 	 
11001	52	0	 	 	 	 	 
11001	53	0	 	 	 	 	 
11001	54	0	 	 	 	 	 
11001	55	0	 	 	 	 	 
11001	56	0	 	 	 	 	 
11001	57	0	 	 	 	 	 
11001	58	0	 	 	 	 	 
11001	59	0	 	 	 	 	 
11001	60	0	 	 	 	 	 
11001	61	0	 	 	 	 	 
11001	62	0	 	 	 	 	 
11001	63	0	 	 	 	 	 
11001	69	0	 	 	 	 	 
11002	1	0	 	 	 	 	 
11002	2	0	 	 	 	 	 
11002	3	0	 	 	 	 	 
11002	4	0	 	 	 	 	 
11002	5	0	 	 	 	 	 
11002	6	0	 	 	 	 	 
11002	7	0	 	 	 	 	 
11002	8	0	 	 	 	 	 
11002	10	0	 	 	 	 	 
11002	11	0	 	 	 	 	 
11002	12	0	 	 	 	 	 
11002	13	0	 	 	 	 	 
11002	14	0	 	 	 	 	 
11002	15	0	 	 	 	 	 
11002	17	0	 	 	 	 	 
11002	18	0	 	 	 	 	 
11002	19	0	 	 	 	 	 
11002	20	0	 	 	 	 	 
11002	24	0	 	 	 	 	 
11002	25	0	 	 	 	 	 
11002	26	0	 	 	 	 	 
11002	27	0	 	 	 	 	 
11002	28	0	 	 	 	 	 
11002	29	0	 	 	 	 	 
11002	30	0	 	 	 	 	 
11002	31	0	 	 	 	 	 
11002	32	0	 	 	 	 	 
11002	33	0	 	 	 	 	 
11002	34	0	 	 	 	 	 
11002	35	0	 	 	 	 	 
11002	36	0	 	 	 	 	 
11002	37	0	 	 	 	 	 
11002	38	0	 	 	 	 	 
11002	39	0	 	 	 	 	 
11002	40	0	 	 	 	 	 
11002	41	0	 	 	 	 	 
11002	42	0	 	 	 	 	 
11002	45	0	 	 	 	 	 
11002	46	0	 	 	 	 	 
11002	50	0	 	 	 	 	 
11002	51	0	 	 	 	 	 
11002	52	0	 	 	 	 	 
11002	53	0	 	 	 	 	 
11002	54	0	 	 	 	 	 
11002	55	0	 	 	 	 	 
11002	56	0	 	 	 	 	 
11002	57	0	 	 	 	 	 
11002	58	0	 	 	 	 	 
11002	59	0	 	 	 	 	 
11002	60	0	 	 	 	 	 
11002	61	0	 	 	 	 	 
11002	62	0	 	 	 	 	 
11002	63	0	 	 	 	 	 
11002	69	0	 	 	 	 	 
11003	1	1	0	0	1	0	0
11003	2	0	 	 	 	 	 
11003	3	0	 	 	 	 	 
11003	4	0	 	 	 	 	 
