CHILDCODE	ASSTIDR4	ASSETR4	NMTOTR4	ASACTR4	NMOWNR4	VLASTR4
10001	1	1	4	11	4	250
10001	2	13	2	5	2	200
10001	3	88	 	 	 	 
10001	4	88	 	 	 	 
10001	5	88	 	 	 	 
10001	6	88	 	 	 	 
10002	1	1	11	11	11	250
10002	2	25	1	10	1	4
10002	3	88	 	 	 	 
10002	4	88	 	 	 	 
10002	5	88	 	 	 	 
10002	6	88	 	 	 	 
10003	1	1	3	11	3	100
10003	2	3	1	11	1	200
10003	3	88	 	 	 	 
10003	4	88	 	 	 	 
10003	5	88	 	 	 	 
10003	6	88	 	 	 	 
10004	1	1	9	11	9	500
10004	2	88	 	 	 	 
10004	3	88	 	 	 	 
10004	4	88	 	 	 	 
10004	5	88	 	 	 	 
10004	6	88	 	 	 	 
10005	1	1	4	11	4	100
10005	2	88	 	 	 	 
10005	3	88	 	 	 	 
10005	4	88	 	 	 	 
10005	5	88	 	 	 	 
10005	6	88	 	 	 	 
10006	1	1	8	11	8	200
10006	2	3	1	11	1	20
10006	3	88	 	 	 	 
10006	4	88	 	 	 	 
10006	5	88	 	 	 	 
10006	6	88	 	 	 	 
10007	1	7	1	23	1	20000
10007	2	1	4	11	4	200
10007	3	88	 	 	 	 
10007	4	88	 	 	 	 
10007	5	88	 	 	 	 
10007	6	88	 	 	 	 
10008	1	1	2	11	1	100
10008	2	3	1	11	1	20
10008	3	88	 	 	 	 
10008	4	88	 	 	 	 
10008	5	88	 	 	 	 
10008	6	88	 	 	 	 
10009	1	1	4	11	4	100
10009	2	25	1	13	1	10000
10009	3	20	2	13	2	200
10009	4	88	 	 	 	 
10009	5	88	 	 	 	 
10009	6	88	 	 	 	 
10010	1	1	3	11	3	150
10010	2	88	 	 	 	 
10010	3	88	 	 	 	 
10010	4	88	 	 	 	 
10010	5	88	 	 	 	 
10010	6	88	 	 	 	 
10011	1	23	2	23	2	200
10011	2	25	2	23	2	2000
10011	3	88	 	 	 	 
10011	4	88	 	 	 	 
10011	5	88	 	 	 	 
10011	6	88	 	 	 	 
10012	1	13	-77	14	-77	 
10012	2	15	10	23	10	-77
10012	3	19	2	23	2	1000
10012	4	1	3	11	3	50
10012	5	88	 	 	 	 
10012	6	88	 	 	 	 
10013	1	25	2	28	2	30000
10013	2	88	 	 	 	 
10013	3	88	 	 	 	 
10013	4	88	 	 	 	 
10013	5	88	 	 	 	 
10013	6	88	 	 	 	 
10014	1	1	4	11	4	200
10014	2	88	 	 	 	 
10014	3	88	 	 	 	 
10014	4	88	 	 	 	 
10014	5	88	 	 	 	 
10014	6	88	 	 	 	 
10015	1	1	4	11	4	100
10015	2	3	4	11	4	100
10015	3	88	 	 	 	 
10015	4	88	 	 	 	 
10015	5	88	 	 	 	 
10015	6	88	 	 	 	 
10016	1	1	2	11	0	 
10016	2	88	 	 	 	 
10016	3	88	 	 	 	 
10016	4	88	 	 	 	 
10016	5	88	 	 	 	 
10016	6	88	 	 	 	 
10017	1	1	3	11	3	60
10017	2	88	 	 	 	 
10017	3	88	 	 	 	 
10017	4	88	 	 	 	 
10017	5	88	 	 	 	 
10017	6	88	 	 	 	 
