CHILDCODE	NONFODR4	SPYRR4	SPNMR4
10001	1	600	 
10001	2	1800	 
10001	3	1800	0
10001	4	800	4
10001	5	250	 
10001	6	750	 
10001	7	500	0
10001	8	200	4
10001	9	500	4
10001	10	500	0
10001	11	0	 
10001	12	0	 
10001	13	2400	4
10001	14	1800	0
10001	15	1000	2
10001	16	0	 
10001	17	2500	0
10001	18	500	0
10001	19	0	 
10001	20	0	 
10001	21	0	 
10001	22	0	 
10001	23	0	 
10001	24	0	 
10001	25	0	 
10001	26	0	 
10001	27	0	 
10001	28	0	 
10001	29	0	 
10001	30	0	 
10001	31	0	 
10001	32	360	2
10001	33	0	 
10002	1	1200	 
10002	2	900	 
10002	3	0	 
10002	4	900	1
10002	5	600	 
10002	6	450	 
10002	7	0	 
10002	8	150	1
10002	9	400	2
10002	10	0	 
10002	11	1000	2
10002	12	0	 
10002	13	1800	2
10002	14	0	 
10002	15	200	2
10002	16	0	 
10002	17	0	 
10002	18	100	1
10002	19	0	 
10002	20	0	 
10002	21	0	 
10002	22	0	 
10002	23	0	 
10002	24	0	 
10002	25	0	 
10002	26	0	 
10002	27	0	 
10002	28	20	2
10002	29	0	 
10002	30	500	 
10002	31	200	 
10002	32	1140	1
10002	33	0	 
10003	1	0	 
10003	2	-77	 
10003	3	1000	1
10003	4	0	 
10003	5	0	 
10003	6	60	 
10003	7	300	1
10003	8	0	 
10003	9	0	 
10003	10	900	2
10003	11	0	 
10003	12	1660	1
10003	13	0	 
10003	14	-77	 
10003	15	500	1
10003	16	0	 
10003	17	0	 
10003	18	0	 
10003	19	0	 
10003	20	0	 
10003	21	0	 
10003	22	0	 
10003	23	0	 
10003	24	0	 
10003	25	0	 
10003	26	0	 
10003	27	0	 
10003	28	0	 
10003	29	0	 
10003	30	0	 
10003	31	0	 
10003	32	0	 
10003	33	0	 
10004	1	1000	 
10004	2	1000	 
10004	3	1000	2
10004	4	0	 
10004	5	400	 
10004	6	400	 
10004	7	200	2
10004	8	0	 
10004	9	0	 
10004	10	300	4
10004	11	0	 
10004	12	1000	4
10004	13	0	 
10004	14	900	4
10004	15	800	4
10004	16	0	 
10004	17	100	0
10004	18	200	0
10004	19	0	 
10004	20	100	0
10004	21	0	 
10004	22	0	 
10004	23	500	0
10004	24	0	 
10004	25	0	 
10004	26	0	 
10004	27	0	 
10004	28	0	 
10004	29	100	4
10004	30	0	 
10004	31	0	 
10004	32	290	4
10004	33	0	 
10005	1	0	 
10005	2	0	 
10005	3	0	 
10005	4	0	 
10005	5	0	 
10005	6	20	 
10005	7	70	4
10005	8	0	 
10005	9	0	 
10005	10	300	4
10005	11	0	 
10005	12	450	4
10005	13	0	 
10005	14	2520	4
10005	15	150	4
10005	16	0	 
10005	17	0	 
10005	18	500	1
10005	19	0	 
10005	20	0	 
10005	21	0	 
10005	22	0	 
10005	23	0	 
10005	24	0	 
10005	25	0	 
10005	26	0	 
10005	27	0	 
10005	28	0	 
10005	29	8	4
10005	30	0	 
10005	31	0	 
10005	32	0	 
10005	33	0	 
10006	1	500	 
10006	2	3000	 
10006	3	0	 
10006	4	250	4
10006	5	200	 
10006	6	500	 
10006	7	0	 
10006	8	120	4
10006	9	250	4
10006	10	0	 
10006	11	600	4
10006	12	0	 
10006	13	0	 
10006	14	0	 
10006	15	500	4
10006	16	0	 
10006	17	0	 
10006	18	200	1
10006	19	0	 
10006	20	0	 
10006	21	0	 
10006	22	0	 
10006	23	0	 
10006	24	0	 
10006	25	0	 
10006	26	0	 
10006	27	0	 
10006	28	0	 
10006	29	0	 
10006	30	0	 
10006	31	0	 
10006	32	295	4
10006	33	0	 
10007	1	300	 
10007	2	700	 
10007	3	2000	1
10007	4	0	 
10007	5	200	 
10007	6	100	 
10007	7	700	1
10007	8	0	 
10007	9	0	 
10007	10	1500	1
10007	11	0	 
10007	12	0	 
10007	13	0	 
10007	14	9600	2
10007	15	1000	1
10007	16	0	 
10007	17	2500	0
10007	18	500	0
10007	19	0	 
10007	20	0	 
10007	21	0	 
10007	22	0	 
10007	23	0	 
10007	24	0	 
10007	25	0	 
10007	26	0	 
10007	27	0	 
10007	28	0	 
10007	29	0	 
10007	30	0	 
10007	31	0	 
10007	32	780	1
10007	33	0	 
10008	1	1140	 
10008	2	120	 
10008	3	100	4
10008	4	0	 
10008	5	250	 
10008	6	30	 
10008	7	180	4
10008	8	0	 
10008	9	0	 
10008	10	2350	4
10008	11	0	 
10008	12	600	4
10008	13	0	 
10008	14	2400	4
10008	15	630	4
10008	16	0	 
10008	17	0	 
10008	18	0	 
10008	19	0	 
10008	20	0	 
10008	21	0	 
10008	22	0	 
10008	23	0	 
10008	24	7000	 
10008	25	0	 
10008	26	0	 
10008	27	0	 
10008	28	0	 
10008	29	0	 
10008	30	0	 
10008	31	0	 
10008	32	410	4
10008	33	0	 
10009	1	1000	 
10009	2	1000	 
10009	3	0	 
10009	4	1000	2
10009	5	500	 
10009	6	200	 
10009	7	0	 
10009	8	200	2
10009	9	600	3
10009	10	0	 
10009	11	-77	 
10009	12	0	 
10009	13	700	3
10009	14	0	 
10009	15	1000	3
10009	16	0	 
10009	17	0	 
10009	18	200	1
10009	19	0	 
10009	20	0	 
10009	21	0	 
10009	22	0	 
10009	23	0	 
10009	24	0	 
10009	25	0	 
10009	26	0	 
10009	27	0	 
10009	28	0	 
10009	29	0	 
10009	30	0	 
10009	31	0	 
10009	32	290	4
10009	33	0	 
10010	1	200	 
10010	2	200	 
10010	3	150	4
10010	4	0	 
10010	5	50	 
10010	6	50	 
10010	7	50	4
10010	8	0	 
10010	9	0	 
10010	10	150	4
10010	11	0	 
10010	12	0	 
10010	13	2400	4
10010	14	0	 
10010	15	300	4
10010	16	0	 
10010	17	0	 
10010	18	0	 
10010	19	0	 
10010	20	0	 
10010	21	0	 
10010	22	0	 
10010	23	0	 
10010	24	0	 
10010	25	0	 
10010	26	0	 
10010	27	0	 
10010	28	0	 
10010	29	0	 
10010	30	0	 
10010	31	0	 
10010	32	120	4
10010	33	0	 
10011	1	300	 
10011	2	800	 
10011	3	0	 
10011	4	400	2
10011	5	100	 
10011	6	300	 
10011	7	0	 
10011	8	480	1
10011	9	400	2
10011	10	0	 
10011	11	1925	2
10011	12	0	 
10011	13	6400	0
10011	14	0	 
10011	15	1200	1
10011	16	0	 
10011	17	0	 
10011	18	1800	1
10011	19	0	 
10011	20	0	 
10011	21	0	 
10011	22	0	 
10011	23	0	 
10011	24	0	 
10011	25	0	 
10011	26	0	 
10011	27	0	 
10011	28	30	1
10011	29	0	 
10011	30	0	 
10011	31	0	 
10011	32	580	2
10011	33	0	 
10012	1	500	 
10012	2	1000	 
10012	3	1000	1
10012	4	0	 
10012	5	0	 
10012	6	100	 
10012	7	500	1
10012	8	0	 
10012	9	0	 
10012	10	600	1
10012	11	0	 
10012	12	-77	 
10012	13	0	 
10012	14	4500	1
10012	15	2000	1
10012	16	0	 
10012	17	1000	1
10012	18	2000	1
10012	19	0	 
10012	20	0	 
10012	21	0	 
10012	22	0	 
10012	23	0	 
10012	24	0	 
10012	25	-77	 
10012	26	0	 
10012	27	0	 
10012	28	0	 
10012	29	0	 
10012	30	0	 
10012	31	0	 
10012	32	870	1
10012	33	0	 
10013	1	3000	 
10013	2	3000	 
10013	3	2000	2
10013	4	0	 
10013	5	800	 
10013	6	800	 
10013	7	400	2
10013	8	0	 
10013	9	0	 
10013	10	1500	2
10013	11	0	 
10013	12	1000	2
10013	13	0	 
10013	14	0	 
10013	15	1000	2
10013	16	0	 
10013	17	500	0
10013	18	2000	0
10013	19	0	 
10013	20	0	 
10013	21	780	0
10013	22	700	2
10013	23	0	 
10013	24	1700	 
10013	25	0	 
10013	26	0	 
10013	27	0	 
10013	28	0	 
10013	29	0	 
10013	30	200	 
10013	31	0	 
10013	32	2000	1
10013	33	0	 
10014	1	500	 
10014	2	500	 
10014	3	0	 
10014	4	2000	2
10014	5	100	 
10014	6	100	 
10014	7	0	 
10014	8	200	2
10014	9	300	2
10014	10	0	 
10014	11	0	 
10014	12	0	 
10014	13	3800	3
10014	14	0	 
10014	15	2500	2
10014	16	0	 
10014	17	8000	0
10014	18	2000	0
10014	19	0	 
10014	20	0	 
10014	21	0	 
10014	22	0	 
10014	23	0	 
10014	24	0	 
10014	25	0	 
10014	26	0	 
10014	27	0	 
10014	28	0	 
10014	29	0	 
10014	30	0	 
10014	31	0	 
10014	32	240	2
10014	33	0	 
10015	1	1000	 
10015	2	1000	 
10015	3	0	 
10015	4	400	4
10015	5	500	 
10015	6	0	 
10015	7	0	 
10015	8	160	4
10015	9	500	4
10015	10	0	 
10015	11	-77	 
10015	12	0	 
10015	13	600	4
10015	14	0	 
10015	15	500	4
10015	16	0	 
10015	17	200	0
10015	18	100	0
10015	19	0	 
10015	20	0	 
10015	21	100	2
10015	22	0	 
10015	23	0	 
10015	24	0	 
10015	25	0	 
10015	26	0	 
10015	27	0	 
10015	28	-77	 
10015	29	0	 
10015	30	0	 
10015	31	0	 
10015	32	290	4
10015	33	0	 
10016	1	0	 
10016	2	500	 
10016	3	500	4
10016	4	400	0
10016	5	0	 
10016	6	120	 
10016	7	120	4
10016	8	150	0
10016	9	100	0
10016	10	100	4
10016	11	0	 
10016	12	0	 
10016	13	1200	0
10016	14	3600	4
10016	15	1000	2
10016	16	0	 
10016	17	0	 
10016	18	0	 
10016	19	0	 
10016	20	0	 
10016	21	0	 
10016	22	0	 
10016	23	0	 
10016	24	0	 
